purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,103.59032019012086
2021-01-06,2021-01-07,100,102.64689920568355
2021-01-07,2021-01-26,100,98.24325298598929
2021-01-26,2021-01-27,100,95.84801043705153
2021-01-27,2021-01-28,100,102.34032054990303
2021-01-28,2021-01-29,100,98.84787072211738
2021-01-29,2021-02-02,100,102.52285284199371
2021-02-02,2021-02-11,100,103.04889552385718
2021-02-11,2021-02-17,100,102.4986070206161
2021-02-17,2021-02-18,100,98.11911251931753
2021-02-18,2021-02-22,100,96.73439021108535
2021-02-22,2021-02-25,100,98.85944313988594
2021-02-25,2021-03-03,100,97.69918975063521
2021-03-03,2021-03-04,100,96.40312756783315
2021-03-04,2021-03-09,100,104.20382949183222
2021-03-09,2021-03-15,100,103.52068136779526
2021-03-15,2021-03-17,100,98.76588465298143
2021-03-17,2021-03-24,100,98.62757227102148
2021-03-24,2021-03-26,100,103.97471170169175
2021-03-26,2021-04-05,100,103.63054353595959
2021-04-05,2021-04-13,100,102.28175835092512
2021-04-13,2021-04-23,100,102.79084590402768
2021-04-23,2021-04-28,100,98.61662705032998
2021-04-28,2021-05-03,100,98.81430025750045
2021-05-03,2021-05-04,100,98.2857099569723
2021-05-04,2021-05-07,100,102.2736907009904
2021-05-07,2021-05-10,100,98.49805945966314
2021-05-10,2021-05-12,100,97.54479656011384
2021-05-12,2021-05-20,100,102.73583647729679
2021-05-20,2021-05-27,100,104.0776906574236
2021-05-27,2021-06-10,100,104.0059564853802
2021-06-10,2021-06-17,100,102.70624828082353
2021-06-17,2021-06-18,100,98.69248729570114
2021-06-18,2021-06-28,100,102.02482674162931
2021-06-28,2021-07-23,100,103.08540095208217
2021-07-23,2021-07-26,100,98.64836255375454
2021-07-26,2021-08-03,100,102.40632565875512
2021-08-03,2021-08-12,100,102.78005173712303
2021-08-12,2021-08-16,100,102.48948642793425
2021-08-16,2021-08-19,100,103.45048400032329
2021-08-19,2021-08-25,100,103.35342584301401
2021-08-25,2021-09-02,100,102.72943474999563
2021-09-02,2021-09-13,100,96.66045927175371
2021-09-13,2021-09-27,100,96.68561992375754
2021-09-27,2021-09-28,100,96.10686144472507
2021-09-28,2021-09-30,100,98.51212795321491
2021-09-30,2021-10-04,100,96.84433413083252
2021-10-04,2021-10-11,100,98.4668635105589
2021-10-11,2021-10-12,100,98.62277618268172
2021-10-12,2021-10-14,100,103.13165323266334
2021-10-14,2021-10-20,100,103.27267690724777
2021-10-20,2021-10-27,100,98.52983439880957
2021-10-27,2021-11-08,100,103.65571464684112
2021-11-08,2021-11-10,100,98.96572639898947
2021-11-10,2021-11-19,100,103.14788487663098
2021-11-19,2021-11-23,100,94.21367620844485
2021-11-23,2021-11-24,100,98.82705574085996
2021-11-24,2021-11-30,100,98.64339427751862
2021-11-30,2021-12-01,100,98.22523093340448
2021-12-01,2021-12-06,100,102.19251191656366
2021-12-06,2021-12-08,100,103.1972784595656
2021-12-08,2021-12-09,100,98.915751859125
2021-12-09,2021-12-14,100,98.22952398929904
2021-12-14,2021-12-22,100,103.22242911384856
2021-12-22,2021-12-29,100,102.47602295633418
2021-12-29,2022-01-03,100,97.5280490631519
2022-01-03,2022-01-04,100,96.62009827536372
2022-01-04,2022-01-05,100,98.29081988791609
2022-01-05,2022-01-07,100,97.67470172875578
2022-01-07,2022-01-12,100,103.00871106679408
2022-01-12,2022-01-13,100,97.09261288392635
2022-01-13,2022-01-18,100,96.76391985266626
2022-01-18,2022-01-21,100,97.88923869490556
2022-01-21,2022-01-25,100,97.86565309553394
2022-01-25,2022-01-27,100,98.15520203151841
2022-01-27,2022-01-28,100,103.76807183077159
2022-01-28,2022-02-01,100,102.89355586190713
2022-02-01,2022-02-02,100,102.27269487877535
2022-02-02,2022-02-03,100,98.30600597880242
2022-02-03,2022-02-07,100,98.99628568998271
2022-02-07,2022-02-09,100,102.89703565802664
2022-02-09,2022-02-10,100,98.0794121331051
2022-02-10,2022-02-11,100,96.84701942587942
2022-02-11,2022-02-14,100,98.55386734260303
2022-02-14,2022-02-17,100,96.33384871550905
2022-02-17,2022-02-23,100,96.73215222692059
2022-02-23,2022-02-25,100,106.13667727602683
2022-02-25,2022-02-28,100,97.48372841102108
2022-02-28,2022-03-02,100,102.14330871355219
2022-03-02,2022-03-03,100,103.00861977869363
2022-03-03,2022-03-04,100,97.61196435898938
2022-03-04,2022-03-07,100,97.35236050535609
2022-03-07,2022-03-09,100,102.23617044245333
2022-03-09,2022-03-11,100,97.79011358665318
2022-03-11,2022-03-14,100,97.90136977849077
2022-03-14,2022-03-15,100,102.11998266829481
2022-03-15,2022-03-16,100,103.62118710752472
2022-03-16,2022-03-18,100,103.04794520547944
2022-03-18,2022-03-23,100,96.4512260320488
2022-03-23,2022-03-29,100,103.15800512351873
2022-03-29,2022-03-30,100,97.86520280573345
2022-03-30,2022-03-31,100,97.68508213506655
2022-03-31,2022-04-04,100,102.03709611265552
2022-04-04,2022-04-05,100,98.84918862587465
2022-04-05,2022-04-07,100,102.00460864195671
2022-04-07,2022-04-11,100,96.56419796834396
