date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,97.83244996440156,100,-2.1675500355984383,1,97.83244996440156
2021-01-06,97.83244996440156,200,-2.1675500355984383,2,0.0
2021-01-07,201.22777623593063,200,1.201728176414946,2,103.39532627152907
2021-01-07,201.22777623593063,300,1.201728176414946,3,3.395326271529072
2021-01-11,299.7559574213626,300,-0.23886505896673782,3,101.92350745696103
2021-01-11,299.7559574213626,400,-0.23886505896673782,4,1.9235074569610333
2021-01-15,398.3232699218587,400,-1.6411571752059189,4,100.49081995745712
2021-01-15,398.3232699218587,500,-1.6411571752059189,5,0.4908199574571199
2021-01-20,502.17245901528605,500,2.126368905321783,5,104.34000905088449
2021-01-20,502.17245901528605,600,2.126368905321783,6,4.34000905088449
2021-01-21,605.8495111701844,600,5.725410042764295,6,108.01706120578284
2021-01-21,605.8495111701844,700,5.725410042764295,7,8.017061205782838
2021-01-25,710.2637396151075,700,10.045987802909323,7,112.43128965070593
2021-01-25,710.2637396151075,800,10.045987802909323,8,12.431289650705935
2021-01-28,806.190848765144,800,6.059505941942362,8,108.35839880074246
2021-01-28,806.190848765144,900,6.059505941942362,9,8.358398800742464
2021-01-29,902.4378619073184,900,2.3861411049487202,9,104.6054119429169
2021-01-29,902.4378619073184,1000,2.3861411049487202,10,4.605411942916902
2021-02-02,1004.7319950710032,1000,4.6316027636510455,10,106.89954510660178
2021-02-02,1004.7319950710032,1100,4.6316027636510455,11,6.899545106601778
2021-02-16,1103.5503582233493,1100,3.4750350988278456,11,105.71790825894799
2021-02-16,1103.5503582233493,1200,3.4750350988278456,12,5.717908258947986
2021-02-17,1201.7805010552743,1200,1.742726584570292,12,103.94805109087295
2021-02-17,1201.7805010552743,1300,1.742726584570292,13,3.9480510908729514
2021-02-22,1298.0910638468079,1300,-1.868436849593479,13,100.25861388240646
2021-02-22,1298.0910638468079,1400,-1.868436849593479,14,0.25861388240646477
2021-02-25,1394.102096986791,1400,-5.772775221833157,14,96.26964702238942
2021-02-25,1394.102096986791,1500,-5.772775221833157,15,0.0
2021-03-01,1499.7236537515862,1500,-0.26095535468648734,15,105.62155676479534
2021-03-01,1499.7236537515862,1600,-0.26095535468648734,16,5.6215567647953435
2021-03-02,1597.642070404253,1600,-2.2266065036743754,16,103.53997341746212
2021-03-02,1597.642070404253,1700,-2.2266065036743754,17,3.5399734174621216
2021-03-03,1695.1951549882774,1700,-4.537242830127809,17,101.0930580014865
2021-03-03,1695.1951549882774,1800,-4.537242830127809,18,1.0930580014864972
2021-03-04,1793.618993385651,1800,-6.025621313344573,18,99.51689639886013
2021-03-04,1793.618993385651,1900,-6.025621313344573,19,0.0
2021-03-08,1890.4731994066515,1900,-8.955358570618728,19,96.85420602100032
2021-03-08,1890.4731994066515,2000,-8.955358570618728,20,0.0
2021-03-09,1994.5346973201151,2000,-4.989922694972634,20,104.06149791346364
2021-03-09,1994.5346973201151,2100,-4.989922694972634,21,4.06149791346364
2021-03-15,2096.929841180712,2100,-2.803111934846683,21,106.45664177406069
2021-03-15,2096.929841180712,2200,-2.803111934846683,22,6.456641774060685
2021-03-18,2194.143016758896,2200,-5.347534310666191,22,103.66981735224431
2021-03-18,2194.143016758896,2300,-5.347534310666191,23,3.6698173522443085
2021-03-22,2296.5169618842087,2300,-3.1800783889628548,23,106.04376247755705
2021-03-22,2296.5169618842087,2400,-3.1800783889628548,24,6.043762477557053
2021-03-24,2393.847622011462,2400,-5.617235192855347,24,103.3744226048105
2021-03-24,2393.847622011462,2500,-5.617235192855347,25,3.374422604810505
2021-04-01,2496.262460029201,2500,-3.412443302051628,25,105.7892606225494
2021-04-01,2496.262460029201,2600,-3.412443302051628,26,5.789260622549406
2021-04-05,2598.6295009786772,2600,-1.2512910209178614,26,108.15630157202538
2021-04-05,2598.6295009786772,2700,-1.2512910209178614,27,8.156301572025384
2021-04-08,2702.1677863960376,2700,1.9792291788797343,27,111.69458698938556
2021-04-08,2702.1677863960376,2800,1.9792291788797343,28,11.694586989385556
2021-04-09,2804.1917032750807,2800,3.827102820836757,28,113.71850386842887
2021-04-12,2804.1917032750807,2900,3.827102820836757,29,13.718503868428868
2021-04-13,2906.6165169157284,2900,6.041002640343592,29,116.14331750907662
2021-04-13,2906.6165169157284,3000,6.041002640343592,30,16.143317509076624
2021-04-14,3004.8407704938386,3000,4.419713227825312,30,114.36757108718665
2021-04-14,3004.8407704938386,3100,4.419713227825312,31,14.367571087186647
2021-04-19,3106.962960972241,3100,6.357312488376962,31,116.48976156558926
2021-04-19,3106.962960972241,3200,6.357312488376962,32,16.489761565589262
2021-04-20,3205.684719880505,3200,5.190254667997451,32,115.2115204738531
2021-04-20,3205.684719880505,3300,5.190254667997451,33,15.2115204738531
2021-04-30,3304.4444538568823,3300,4.057868789012886,33,113.97125445023043
2021-04-30,3304.4444538568823,3400,4.057868789012886,34,13.971254450230433
2021-05-04,3401.6924884450204,3400,1.5452733357053745,34,111.21928903836877
2021-05-04,3401.6924884450204,3500,1.5452733357053745,35,11.219289038368771
2021-05-07,3503.7163170073104,3500,3.393066342828959,35,113.24311760065886
2021-05-07,3503.7163170073104,3600,3.393066342828959,36,13.243117600658863
2021-05-10,3601.13776522858,3600,1.0388007523419986,36,110.66456582192839
2021-05-10,3601.13776522858,3700,1.0388007523419986,37,10.664565821928392
2021-05-12,3697.9189657016254,3700,-1.9000229049886883,37,107.44576629497367
2021-05-12,3697.9189657016254,3800,-1.9000229049886883,38,7.445766294973666
2021-05-14,3801.726945751501,3800,1.576733495495958,38,111.25374634484896
2021-05-14,3801.726945751501,3900,1.576733495495958,39,11.253746344848963
