date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-11,103.42291798568286,100,3.422917985682858,1,103.42291798568286
2021-01-11,103.42291798568286,200,3.422917985682858,2,3.422917985682858
2021-01-13,206.56667391517806,200,6.566673915178043,2,106.56667391517804
2021-01-13,206.56667391517806,300,6.566673915178043,3,6.566673915178043
2021-01-26,304.4395087476287,300,4.439508747628679,3,104.43950874762868
2021-01-26,304.4395087476287,400,4.439508747628679,4,4.439508747628679
2021-01-27,398.9289533789327,400,-1.071046621067282,4,98.92895337893272
2021-01-27,398.9289533789327,500,-1.071046621067282,5,0.0
2021-02-03,502.97457524593665,500,2.9430537679983075,5,104.04562186700392
2021-02-03,502.97457524593665,600,2.9430537679983075,6,4.045621867003916
2021-02-09,601.5237773976818,600,1.5076299777468876,6,102.59482401874904
2021-02-09,601.5237773976818,700,1.5076299777468876,7,2.594824018749037
2021-02-10,700.2419460349829,700,0.23938214065400132,7,101.31299265605018
2021-02-10,700.2419460349829,800,0.23938214065400132,8,1.3129926560501843
2021-02-17,802.392591549274,800,2.3672373337977177,8,103.46363817034128
2021-02-17,802.392591549274,900,2.3672373337977177,9,3.4636381703412837
2021-02-19,901.1949637191087,900,1.182300727120051,9,102.266010340176
2021-02-19,901.1949637191087,1000,1.182300727120051,10,2.2660103401759955
2021-02-24,1004.6884372190693,1000,4.638754001081054,10,105.75948384013654
2021-02-24,1004.6884372190693,1100,4.638754001081054,11,5.759483840136539
2021-02-25,1103.4459133548478,1100,3.409397122171967,11,104.51695997591504
2021-02-25,1103.4459133548478,1200,3.409397122171967,12,4.516959975915043
2021-03-04,1201.8721144593947,1200,1.8522757228522266,12,102.94316108046198
2021-03-04,1201.8721144593947,1300,1.8522757228522266,13,2.9431610804619766
2021-03-10,1304.1004353441217,1300,4.056983163036847,13,105.1714819651891
2021-03-10,1304.1004353441217,1400,4.056983163036847,14,5.171481965189102
2021-03-15,1406.201062144054,1400,6.135349688524457,14,107.27210876512135
2021-03-15,1406.201062144054,1500,6.135349688524457,15,7.272108765121345
2021-03-17,1501.4630693859751,1500,1.4475652868823232,15,102.5341160070425
2021-03-17,1501.4630693859751,1600,1.4475652868823232,16,2.534116007042499
2021-03-18,1600.2523670105722,1600,0.24969268550132995,16,101.32341363163971
2021-03-18,1600.2523670105722,1700,0.24969268550132995,17,1.3234136316397098
2021-03-22,1702.31204584172,1700,2.287545166508977,17,103.38309246278753
2021-03-22,1702.31204584172,1800,2.287545166508977,18,3.3830924627875305
2021-03-23,1801.3014654871176,1800,1.287673899328695,18,102.37251210818509
2021-03-23,1801.3014654871176,1900,1.287673899328695,19,2.3725121081850915
2021-03-24,1899.6060265217911,1900,-0.3897985539673954,19,100.67707314285865
2021-03-24,1899.6060265217911,2000,-0.3897985539673954,20,0.6770731428586458
2021-03-26,2002.4511843964124,2000,2.425209274425157,20,103.52223101747998
2021-03-26,2002.4511843964124,2100,2.425209274425157,21,3.5222310174799816
2021-03-31,2104.5526736239576,2100,4.504429088408003,21,105.62372024502505
2021-03-31,2104.5526736239576,2200,4.504429088408003,22,5.623720245025055
2021-04-05,2202.6309774715264,2200,2.6030970881213875,22,103.70202409259409
2021-04-05,2202.6309774715264,2300,2.6030970881213875,23,3.702024092594087
2021-04-16,2305.5343099058277,2300,5.475663002261427,23,106.60535652689548
2021-04-16,2305.5343099058277,2400,5.475663002261427,24,6.605356526895477
2021-04-21,2408.221327090125,2400,8.134205952124944,24,109.29237371119312
2021-04-21,2408.221327090125,2500,8.134205952124944,25,9.292373711193122
2021-05-03,2511.7217828786393,2500,11.59756752355294,25,112.79282949970724
2021-05-03,2511.7217828786393,2600,11.59756752355294,26,12.792829499707238
2021-05-18,2613.9125248383475,2600,13.765094261374927,26,114.98357145941539
2021-05-18,2613.9125248383475,2700,13.765094261374927,27,14.983571459415387
2021-05-19,2712.7648827212424,2700,12.62961367076862,27,113.83592934231054
2021-05-19,2712.7648827212424,2800,12.62961367076862,28,13.835929342310536
2021-05-25,2811.649804849343,2800,11.526352243111958,28,112.7208514704114
2021-05-25,2811.649804849343,2900,11.526352243111958,29,12.720851470411404
2021-05-27,2909.6831425138503,2900,9.580530564955112,29,110.75418913491868
2021-05-27,2909.6831425138503,3000,9.580530564955112,30,10.754189134918676
2021-06-10,3013.174674035147,3000,13.035062439337494,30,114.24572065621531
2021-06-10,3013.174674035147,3100,13.035062439337494,31,14.245720656215312
2021-06-17,3112.0257008841613,3100,11.898264919773482,31,113.09674750522963
2021-06-17,3112.0257008841613,3200,11.898264919773482,32,13.09674750522963
2021-06-18,3210.4746963403472,3200,10.363696321083665,32,111.5457429614156
2021-06-18,3210.4746963403472,3300,10.363696321083665,33,11.545742961415598
2021-07-06,3312.7880358776792,3300,12.652521473953811,33,113.85908249874768
2021-07-06,3312.7880358776792,3400,12.652521473953811,34,13.859082498747682
2021-07-14,3415.319181370311,3400,15.156844499440396,34,116.39022799137935
2021-07-14,3415.319181370311,3500,15.156844499440396,35,16.390227991379348
2021-07-19,3513.6766935343985,3500,13.531762054147748,35,114.74774015546684
2021-07-19,3513.6766935343985,3600,13.531762054147748,36,14.747740155466843
2021-07-23,3616.0708775257986,3600,15.90057495501351,36,117.14192414686673
2021-07-23,3616.0708775257986,3700,15.90057495501351,37,17.141924146866728
2021-07-30,3714.474706911709,3700,14.321318909437906,37,115.545753532777
2021-07-30,3714.474706911709,3800,14.321318909437906,38,15.545753532776999
2021-08-04,3813.4186490455245,3800,13.276452054399002,38,114.48969566659255
2021-08-04,3813.4186490455245,3900,13.276452054399002,39,14.489695666592553
2021-08-11,3912.2453176616514,3900,12.115554425355839,39,113.31636428271945
2021-08-11,3912.2453176616514,4000,12.115554425355839,40,13.316364282719448
2021-08-13,4014.666074402414,4000,14.51065848501645,40,115.73712102348212
2021-08-13,4014.666074402414,4100,14.51065848501645,41,15.737121023482118
2021-08-17,4117.402473658503,4100,17.218060206449735,41,118.47352027957153
2021-08-17,4117.402473658503,4200,17.218060206449735,42,18.47352027957153
2021-08-18,4215.419996088796,4200,15.256590887605029,42,116.49104270986406
2021-08-18,4215.419996088796,4300,15.256590887605029,43,16.49104270986406
2021-08-24,4317.460501373848,4300,17.27547300396654,43,118.5315479949162
2021-08-24,4317.460501373848,4400,17.27547300396654,44,18.531547994916195
2021-09-01,4411.264590393942,4400,11.145219892869477,44,112.33563701500985
2021-09-01,4411.264590393942,4500,11.145219892869477,45,12.335637015009851
2021-09-07,4508.370383490931,4500,8.281682807058772,45,109.44143011199857
2021-09-07,4508.370383490931,4600,8.281682807058772,46,9.44143011199857
2021-09-09,4606.772119685771,4600,6.700355751890825,46,107.84316630683823
2021-09-10,4606.772119685771,4700,6.700355751890825,47,7.843166306838228
2021-09-29,4708.8026966259085,4700,8.709414733688476,47,109.87374324697565
2021-09-29,4708.8026966259085,4800,8.709414733688476,48,9.87374324697565
2021-10-08,4810.943573264655,4800,10.82760457174652,48,112.01461988572203
2021-10-08,4810.943573264655,4900,10.82760457174652,49,12.014619885722027
2021-10-12,4908.605431860068,4900,8.514240376208448,49,109.67647848113467
2021-10-12,4908.605431860068,5000,8.514240376208448,50,9.676478481134666
2021-10-26,5010.677042370175,5000,10.563898096557466,50,111.74808899124092
2021-10-26,5010.677042370175,5100,10.563898096557466,51,11.74808899124092
2021-10-29,5115.394667996408,5100,15.231531196193487,51,116.46571461747442
2021-10-29,5115.394667996408,5200,15.231531196193487,52,16.46571461747442
2021-11-03,5217.9281028121095,5200,17.738119284866443,52,118.99914943317518
2021-11-03,5217.9281028121095,5300,17.738119284866443,53,18.999149433175177
2021-11-08,5316.644080189275,5300,16.467703408350445,53,117.71512681034025
2021-11-08,5316.644080189275,5400,16.467703408350445,54,17.71512681034025
2021-11-23,5419.077231200402,5400,18.87507039669245,54,120.14827782146759
2021-11-23,5419.077231200402,5500,18.87507039669245,55,20.148277821467588
2021-11-26,5517.079416037632,5500,16.898426016763807,55,118.15046265869721
2021-11-26,5517.079416037632,5600,16.898426016763807,56,18.150462658697208
2021-11-30,5616.030717547365,5600,15.860840550573599,56,117.10176416843066
2021-11-30,5616.030717547365,5700,15.860840550573599,57,17.101764168430662
2021-12-03,5719.123640413546,5700,18.920987812901373,57,120.19468703461128
2021-12-03,5719.123640413546,5800,18.920987812901373,58,20.194687034611277
2021-12-06,5821.224256699223,5800,20.9993439355528,58,122.29530332028811
2021-12-06,5821.224256699223,5900,20.9993439355528,59,22.295303320288113
2021-12-09,5923.524809790885,5900,23.275518140305707,59,124.59585641195063
2021-12-09,5923.524809790885,6000,23.275518140305707,60,24.595856411950635
2021-12-14,6026.060692956136,6000,25.78452863344755,60,127.1317395772015
2021-12-14,6026.060692956136,6100,25.78452863344755,61,27.1317395772015
2021-12-15,6128.3673492839325,6100,28.066741398538056,61,129.4383959049981
2021-12-15,6128.3673492839325,6200,28.066741398538056,62,29.43839590499809
2021-12-23,6230.566150952979,6200,30.242242437218835,62,131.63719757404493
2021-12-23,6230.566150952979,6300,30.242242437218835,63,31.637197574044933
2021-12-30,6332.702032355354,6300,32.355489973264014,63,133.7730789764197
2021-12-30,6332.702032355354,6400,32.355489973264014,64,33.7730789764197
2022-01-20,6431.585341612194,6400,31.25063276589009,64,132.65638823325858
2022-01-20,6431.585341612194,6500,31.25063276589009,65,32.65638823325858
2022-01-27,6533.791383104943,6500,33.43329690809534,65,134.86242972600817
2022-01-27,6533.791383104943,6600,33.43329690809534,66,34.86242972600817
2022-02-03,6637.291451170225,6600,36.89627486498199,66,138.36249779129037
2022-02-03,6637.291451170225,6700,36.89627486498199,67,38.362497791290366
2022-02-15,6740.158740398161,6700,39.733179521452314,67,141.2297870192267
2022-02-15,6740.158740398161,6800,39.733179521452314,68,41.229787019226706
2022-02-25,6843.460392644961,6800,42.99984426588537,68,144.5314392660266
2022-02-25,6843.460392644961,6900,42.99984426588537,69,44.53143926602661
2022-02-28,6942.273534724094,6900,41.82556344012457,69,143.34458134515964
2022-02-28,6942.273534724094,7000,41.82556344012457,70,43.34458134515964
2022-03-14,7045.208120667031,7000,44.72905167047696,70,146.27916728809632
2022-03-14,7045.208120667031,7100,44.72905167047696,71,46.27916728809632
2022-03-15,7147.6946502748515,7100,47.18923160424478,71,148.76569689591693
2022-03-15,7147.6946502748515,7200,47.18923160424478,72,48.76569689591693
2022-03-18,7249.823348450913,7200,49.29537203439395,72,150.89439507197815
2022-03-18,7249.823348450913,7300,49.29537203439395,73,50.89439507197815
2022-03-30,7352.680177583723,7300,52.12192744102916,73,153.75122420478874
2022-03-30,7352.680177583723,7400,52.12192744102916,74,53.75122420478874
2022-03-31,7451.676064424754,7400,51.12845483681892,74,152.74711104581985
2022-03-31,7451.676064424754,7500,51.12845483681892,75,52.74711104581985
2022-04-06,7555.875980692848,7500,55.283864727685625,75,156.9470273139142
2022-04-06,7555.875980692848,7600,55.283864727685625,76,56.94702731391419
2022-04-07,7658.460796876257,7600,57.84128969737023,76,159.53184349732294
2022-04-07,7658.460796876257,7700,57.84128969737023,77,59.53184349732294
2022-04-11,7756.46985255742,7700,55.871443351264475,77,157.540899178487
2022-04-11,7756.46985255742,7800,55.871443351264475,78,57.540899178486995
2022-04-12,7854.985819086441,7800,54.403136135110685,78,156.0568657075077
2022-04-12,7854.985819086441,7900,54.403136135110685,79,56.05686570750771
2022-04-13,7950.796693849051,7900,50.25840292274407,79,151.86774047011778
2022-04-13,7950.796693849051,8000,50.25840292274407,80,51.86774047011778
2022-04-14,8052.91035018585,8000,52.34966091151696,80,153.98139680691722
2022-04-14,8052.91035018585,8100,52.34966091151696,81,53.98139680691722
2022-04-18,8151.0929793115265,8100,50.55154865773099,81,152.1640259325941
2022-04-18,8151.0929793115265,8200,50.55154865773099,82,52.164025932594086
2022-04-19,8249.204219098337,8200,48.68280357560019,82,150.27526571940476
2022-04-19,8249.204219098337,8300,48.68280357560019,83,50.27526571940476
2022-04-29,8343.147130648413,8300,42.68990189661153,83,144.2181772694794
2022-04-29,8343.147130648413,8400,42.68990189661153,84,44.21817726947941
2022-05-04,8446.35358938235,8400,45.86238189076829,84,147.42463600341762
2022-05-04,8446.35358938235,8500,45.86238189076829,85,47.42463600341762
2022-05-16,8548.91291460835,8500,48.39458602989845,85,149.98396122941847
2022-05-16,8548.91291460835,8600,48.39458602989845,86,49.98396122941847
2022-05-18,8646.957865650147,8600,46.46025466244629,86,148.02891227121495
2022-05-18,8646.957865650147,8700,46.46025466244629,87,48.02891227121495
2022-05-23,8744.071500797576,8700,43.60447652511999,87,145.14254741864363
2022-05-23,8744.071500797576,8800,43.60447652511999,88,45.14254741864363
2022-05-25,8846.726806932676,8800,46.231644466751675,88,147.79785355374395
2022-05-25,8846.726806932676,8900,46.231644466751675,89,47.79785355374395
2022-05-27,8945.4365146543,8900,44.95502537403246,89,146.50756127536826
2022-05-27,8945.4365146543,9000,44.95502537403246,90,46.50756127536826
2022-05-31,9043.682760737243,9000,43.219855930668444,90,144.7538073583113
2022-05-31,9043.682760737243,9100,43.219855930668444,91,44.75380735831129
2022-06-09,9142.36679829268,9100,41.91783869768517,91,143.43784491374845
2022-06-09,9142.36679829268,9200,41.91783869768517,92,43.43784491374845
2022-06-10,9240.833471035632,9200,40.40076006012379,92,141.90451765670053
2022-06-10,9240.833471035632,9300,40.40076006012379,93,41.904517656700534
2022-06-13,9338.193984834727,9300,37.789244409354296,93,139.26503145579483
2022-06-13,9338.193984834727,9400,37.789244409354296,94,39.265031455794826
2022-06-14,9436.903185709398,9400,36.512123840723376,94,137.97423233046663
2022-06-14,9436.903185709398,9500,36.512123840723376,95,37.974232330466634
2022-06-21,9541.15295603213,9500,40.716859484420354,95,142.22400265320022
2022-06-21,9541.15295603213,9600,40.716859484420354,96,42.224002653200216
2022-06-22,9644.004250912309,9600,43.537939284719016,96,145.0752975333776
2022-06-22,9644.004250912309,9700,43.537939284719016,97,45.07529753337761
2022-06-24,9747.243609674055,9700,46.74297066615085,97,148.31465629512442
2022-06-24,9747.243609674055,9800,46.74297066615085,98,48.31465629512442
2022-07-20,9845.097807575105,9800,44.61990756283157,98,146.1688541961739
2022-07-20,9845.097807575105,9900,44.61990756283157,99,46.168854196173896
2022-07-26,9947.250992894047,9900,46.75027564639851,99,148.3220395151162
2022-07-26,9947.250992894047,10000,46.75027564639851,100,48.32203951511619
2022-07-29,10042.372519509381,10000,41.92349928683717,100,143.4435661304493
2022-07-29,10042.372519509381,10100,41.92349928683717,101,43.44356613044931
2022-08-01,10140.080594743078,10100,39.65586197335875,101,141.1516413641468
2022-08-01,10140.080594743078,10200,39.65586197335875,102,41.1516413641468
2022-08-05,10238.525929305928,10200,38.117671275701014,102,139.5969759269962
2022-08-05,10238.525929305928,10300,38.117671275701014,103,39.59697592699621
2022-08-10,10340.626185434725,10300,40.19567105804265,103,141.69723205579243
2022-08-10,10340.626185434725,10400,40.19567105804265,104,41.697232055792426
2022-08-23,10439.26437350812,10400,38.848290208499066,104,140.3354201291869
2022-08-23,10439.26437350812,10500,38.848290208499066,105,40.3354201291869
2022-08-26,10537.343867767675,10500,36.948136005441285,105,138.4149143887422
2022-08-26,10537.343867767675,10600,36.948136005441285,106,38.414914388742204
2022-08-31,10635.957705680801,10600,35.57666303349214,106,137.02875230186814
2022-08-31,10635.957705680801,10700,35.57666303349214,107,37.02875230186814
2022-09-01,10738.924514089138,10700,38.51203226881756,107,139.99556071020436
2022-09-01,10738.924514089138,10800,38.51203226881756,108,39.99556071020436
2022-09-02,10837.35726006703,10800,36.96138638703121,108,138.42830668809643
2022-09-02,10837.35726006703,10900,36.96138638703121,109,38.42830668809643
2022-09-08,10940.469033362708,10900,40.04018432146273,109,141.54007998377418
2022-09-08,10940.469033362708,11000,40.04018432146273,110,41.54007998377418
2022-09-13,11039.052836964303,11000,38.63899531061415,110,140.1238835853701
2022-09-13,11039.052836964303,11100,38.63899531061415,111,40.123883585370095
2022-09-15,11141.925918234585,11100,41.48163063134331,111,142.9969648556512
2022-09-15,11141.925918234585,11200,41.48163063134331,112,42.996964855651214
2022-09-21,11240.382058585463,11200,39.954131213126146,112,141.4531052065284
2022-09-21,11240.382058585463,11300,39.954131213126146,113,41.45310520652839
2022-09-28,11343.439000060082,11300,42.978678377536994,113,144.51004668114626
2022-09-28,11343.439000060082,11400,42.978678377536994,114,44.510046681146264
2022-09-29,11442.138901557186,11400,41.6923569765427,114,143.20994817825056
2022-09-29,11442.138901557186,11500,41.6923569765427,115,43.209948178250556
2022-09-30,11536.176358558077,11500,35.79299885327842,115,137.2474051791424
2022-09-30,11536.176358558077,11600,35.79299885327842,116,37.24740517914239
2022-10-03,11639.239026970969,11600,38.82321226778319,116,140.31007359203434
2022-10-03,11639.239026970969,11700,38.82321226778319,117,40.31007359203434
2022-10-04,11741.892265557954,11700,41.448334571039595,117,142.96331217901866
2022-10-04,11741.892265557954,11800,41.448334571039595,118,42.96331217901866
2022-10-06,11840.694912114584,11800,40.26366944348979,118,141.7659587356493
2022-10-06,11840.694912114584,11900,40.26366944348979,119,41.76595873564929
2022-10-07,11939.604018734111,11900,39.184336224983326,119,140.67506535517592
2022-10-07,11939.604018734111,12000,39.184336224983326,120,40.67506535517592
2022-10-13,12043.650261508677,12000,43.18770109537644,120,144.7213081297424
2022-10-13,12043.650261508677,12100,43.18770109537644,121,44.7213081297424
2022-10-21,12146.546986949483,12100,46.053730030118146,121,147.61803357054845
2022-10-21,12146.546986949483,12200,46.053730030118146,122,47.61803357054845
2022-10-24,12249.151366114449,12200,48.63051067307609,122,150.22241273551512
2022-10-24,12249.151366114449,12300,48.63051067307609,123,50.22241273551512
2022-10-28,12346.977597143676,12300,46.479777061972584,123,148.0486437647417
2022-10-28,12346.977597143676,12400,46.479777061972584,124,48.04864376474171
2022-11-02,12444.884243034876,12400,44.40860615914363,124,145.9552896559415
2022-11-02,12444.884243034876,12500,44.40860615914363,125,45.9552896559415
2022-11-07,12547.361408825078,12500,46.85952150336615,125,148.43245544614354
2022-11-07,12547.361408825078,12600,46.85952150336615,126,48.432455446143535
2022-11-14,12649.819207609682,12600,49.2912750735253,126,150.89025423074855
2022-11-14,12649.819207609682,12700,49.2912750735253,127,50.89025423074855
2022-11-18,12751.954438926408,12700,51.403879412858345,127,153.02548554747455
2022-11-18,12751.954438926408,12800,51.403879412858345,128,53.025485547474545
2022-11-22,12855.058065200767,12800,54.47461665969223,128,156.1291118218325
2022-11-22,12855.058065200767,12900,54.47461665969223,129,56.12911182183251
2022-12-02,12957.479993982291,12900,56.870880340037786,129,158.55104060335827
2022-12-02,12957.479993982291,13000,56.870880340037786,130,58.551040603358274
2022-12-16,13055.536941312123,13000,54.94841813634193,130,156.6079879331884
2022-12-16,13055.536941312123,13100,54.94841813634193,131,56.60798793318841
2023-01-04,13157.537190564366,13100,56.927470811775805,131,158.60823718543168
2023-01-04,13157.537190564366,13200,56.927470811775805,132,58.608237185431676
2023-01-09,13256.297041502114,13200,55.70046356913653,132,157.36808812317986
2023-01-09,13256.297041502114,13300,55.70046356913653,133,57.36808812317986
2023-01-10,13355.047505438772,13300,54.46416879915404,133,156.11855205983704
