purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-11,100,103.42291798568286
2021-01-11,2021-01-13,100,103.14375592949519
2021-01-13,2021-01-26,100,97.87283483245064
2021-01-26,2021-01-27,100,94.48944463130404
2021-01-27,2021-02-03,100,104.04562186700392
2021-02-03,2021-02-09,100,98.54920215174512
2021-02-09,2021-02-10,100,98.71816863730115
2021-02-10,2021-02-17,100,102.1506455142911
2021-02-17,2021-02-19,100,98.80237216983471
2021-02-19,2021-02-24,100,103.49347349996054
2021-02-24,2021-02-25,100,98.7574761357785
2021-02-25,2021-03-04,100,98.42620110454693
2021-03-04,2021-03-10,100,102.22832088472713
2021-03-10,2021-03-15,100,102.10062679993224
2021-03-15,2021-03-17,100,95.26200724192115
2021-03-17,2021-03-18,100,98.78929762459721
2021-03-18,2021-03-22,100,102.05967883114782
2021-03-22,2021-03-23,100,98.98941964539756
2021-03-23,2021-03-24,100,98.30456103467355
2021-03-24,2021-03-26,100,102.84515787462134
2021-03-26,2021-03-31,100,102.10148922754507
2021-03-31,2021-04-05,100,98.07830384756903
2021-04-05,2021-04-16,100,102.90333243430139
2021-04-16,2021-04-21,100,102.68701718429764
2021-04-21,2021-05-03,100,103.50045578851412
2021-05-03,2021-05-18,100,102.19074195970815
2021-05-18,2021-05-19,100,98.85235788289515
2021-05-19,2021-05-25,100,98.88492212810087
2021-05-25,2021-05-27,100,98.03333766450727
2021-05-27,2021-06-10,100,103.49153152129664
2021-06-10,2021-06-17,100,98.85102684901432
2021-06-17,2021-06-18,100,98.44899545618597
2021-06-18,2021-07-06,100,102.31333953733208
2021-07-06,2021-07-14,100,102.53114549263167
2021-07-14,2021-07-19,100,98.3575121640875
2021-07-19,2021-07-23,100,102.39418399139988
2021-07-23,2021-07-30,100,98.40382938591027
2021-07-30,2021-08-04,100,98.94394213381555
2021-08-04,2021-08-11,100,98.8266686161269
2021-08-11,2021-08-13,100,102.42075674076267
2021-08-13,2021-08-17,100,102.73639925608941
2021-08-17,2021-08-18,100,98.01752243029253
2021-08-18,2021-08-24,100,102.04050528505213
2021-08-24,2021-09-01,100,93.80408902009366
2021-09-01,2021-09-07,100,97.10579309698872
2021-09-07,2021-09-09,100,98.40173619483966
2021-09-10,2021-09-29,100,102.03057694013742
2021-09-29,2021-10-08,100,102.14087663874638
2021-10-08,2021-10-12,100,97.66185859541264
2021-10-12,2021-10-26,100,102.07161051010625
2021-10-26,2021-10-29,100,104.7176256262335
2021-10-29,2021-11-03,100,102.53343481570076
2021-11-03,2021-11-08,100,98.71597737716507
2021-11-08,2021-11-23,100,102.43315101112734
2021-11-23,2021-11-26,100,98.00218483722962
2021-11-26,2021-11-30,100,98.95130150973345
2021-11-30,2021-12-03,100,103.09292286618061
2021-12-03,2021-12-06,100,102.10061628567684
2021-12-06,2021-12-09,100,102.30055309166252
2021-12-09,2021-12-14,100,102.53588316525087
2021-12-14,2021-12-15,100,102.30665632779659
2021-12-15,2021-12-23,100,102.19880166904684
2021-12-23,2021-12-30,100,102.13588140237475
2021-12-30,2022-01-20,100,98.88330925683888
2022-01-20,2022-01-27,100,102.20604149274959
2022-01-27,2022-02-03,100,103.50006806528218
2022-02-03,2022-02-15,100,102.86728922793633
2022-02-15,2022-02-25,100,103.30165224679992
2022-02-25,2022-02-28,100,98.81314207913303
2022-02-28,2022-03-14,100,102.93458594293668
2022-03-14,2022-03-15,100,102.48652960782061
2022-03-15,2022-03-18,100,102.12869817606122
2022-03-18,2022-03-30,100,102.85682913281057
2022-03-30,2022-03-31,100,98.9958868410311
2022-03-31,2022-04-06,100,104.19991626809436
2022-04-06,2022-04-07,100,102.58481618340873
2022-04-07,2022-04-11,100,98.00905568116406
2022-04-11,2022-04-12,100,98.5159665290207
2022-04-12,2022-04-13,100,95.81087476261008
2022-04-13,2022-04-14,100,102.11365633679944
2022-04-14,2022-04-18,100,98.18262912567688
2022-04-18,2022-04-19,100,98.11123978681067
2022-04-19,2022-04-29,100,93.94291155007465
2022-04-29,2022-05-04,100,103.2064587339382
2022-05-04,2022-05-16,100,102.55932522600087
2022-05-16,2022-05-18,100,98.04495104179647
2022-05-18,2022-05-23,100,97.1136351474287
2022-05-23,2022-05-25,100,102.65530613510032
2022-05-25,2022-05-27,100,98.70970772162431
2022-05-27,2022-05-31,100,98.24624608294303
2022-05-31,2022-06-09,100,98.68403755543717
2022-06-09,2022-06-10,100,98.46667274295208
2022-06-10,2022-06-13,100,97.3605137990943
2022-06-13,2022-06-14,100,98.70920087467182
2022-06-14,2022-06-21,100,104.2497703227336
2022-06-21,2022-06-22,100,102.85129488017739
2022-06-22,2022-06-24,100,103.23935876174681
2022-06-24,2022-07-20,100,97.85419790104947
2022-07-20,2022-07-26,100,102.15318531894229
2022-07-26,2022-07-29,100,95.12152661533311
2022-07-29,2022-08-01,100,97.70807523369749
2022-08-01,2022-08-05,100,98.44533456284942
2022-08-05,2022-08-10,100,102.1002561287962
2022-08-10,2022-08-23,100,98.63818807339449
2022-08-23,2022-08-26,100,98.0794942595553
2022-08-26,2022-08-31,100,98.61383791312593
2022-08-31,2022-09-01,100,102.96680840833623
2022-09-01,2022-09-02,100,98.43274597789208
2022-09-02,2022-09-08,100,103.11177329567775
2022-09-08,2022-09-13,100,98.58380360159592
2022-09-13,2022-09-15,100,102.87308127028112
2022-09-15,2022-09-21,100,98.45614035087719
2022-09-21,2022-09-28,100,103.05694147461789
2022-09-28,2022-09-29,100,98.6999014971043
2022-09-29,2022-09-30,100,94.03745700089183
2022-09-30,2022-10-03,100,103.06266841289195
2022-10-03,2022-10-04,100,102.65323858698432
2022-10-04,2022-10-06,100,98.80264655663062
2022-10-06,2022-10-07,100,98.90910661952663
2022-10-07,2022-10-13,100,104.04624277456647
2022-10-13,2022-10-21,100,102.89672544080605
2022-10-21,2022-10-24,100,102.60437916496667
2022-10-24,2022-10-28,100,97.8262310292266
2022-10-28,2022-11-02,100,97.90664589119979
2022-11-02,2022-11-07,100,102.47716579020204
2022-11-07,2022-11-14,100,102.45779878460502
2022-11-14,2022-11-18,100,102.13523131672598
2022-11-18,2022-11-22,100,103.10362627435798
2022-11-22,2022-12-02,100,102.42192878152576
2022-12-02,2022-12-16,100,98.05694732983014
2022-12-16,2023-01-04,100,102.00024925224326
2023-01-04,2023-01-09,100,98.75985093774818
2023-01-09,2023-01-10,100,98.75046393665717
2023-01-10,2023-01-11,100,98.45276872964169
2023-01-11,2023-01-12,100,96.85054399694599
2023-01-12,2023-01-18,100,98.01602943108658
2023-01-18,2023-01-24,100,98.98793565683647
2023-01-24,2023-01-30,100,98.61872841763153
2023-01-30,2023-02-09,100,102.09406110538961
2023-02-09,2023-02-10,100,102.25285810356424
2023-02-10,2023-02-16,100,98.34265044393291
2023-02-16,2023-02-24,100,102.12666354577678
2023-02-24,2023-03-03,100,102.19370047803025
2023-03-03,2023-03-07,100,97.99436114315007
2023-03-07,2023-03-08,100,97.82253318511736
2023-03-08,2023-03-09,100,98.49598930481284
2023-03-09,2023-03-13,100,103.12181879877842
2023-03-13,2023-03-16,100,102.20467258966768
2023-03-16,2023-03-22,100,98.95041854475207
2023-03-22,2023-03-24,100,102.8307411986725
2023-03-24,2023-04-06,100,102.23389444374129
2023-04-06,2023-04-18,100,98.7867533271433
2023-04-18,2023-04-24,100,102.81345948994299
2023-04-24,2023-04-26,100,98.61043393466602
2023-04-26,2023-04-27,100,92.00865265760197
2023-04-27,2023-05-01,100,103.2511587290925
2023-05-01,2023-05-02,100,98.64029666254636
2023-05-02,2023-05-03,100,98.4368816778789
2023-05-03,2023-05-04,100,98.73366834170855
2023-05-04,2023-05-16,100,97.23805646036915
2023-05-16,2023-05-24,100,98.50652522855748
2023-05-24,2023-05-25,100,98.20758058802693
2023-05-25,2023-05-30,100,98.42735535997691
2023-05-30,2023-06-01,100,97.80123131046614
2023-06-01,2023-06-02,100,102.57044364508394
2023-06-05,2023-06-06,100,98.95513663597836
2023-06-06,2023-06-09,100,102.03056929779221
2023-06-09,2023-06-14,100,98.58879722101605
2023-06-14,2023-06-27,100,97.3353886809073
2023-06-27,2023-07-05,100,103.78582202111615
2023-07-05,2023-07-07,100,98.45952623165238
2023-07-07,2023-07-13,100,98.59040590405904
2023-07-13,2023-07-18,100,102.23819148139832
2023-07-18,2023-07-20,100,104.10748279396688
2023-07-20,2023-07-27,100,104.68387369013293
2023-07-27,2023-08-11,100,102.23715149479342
2023-08-11,2023-08-17,100,98.58062820344328
2023-08-17,2023-08-22,100,98.81349153446207
2023-08-22,2023-08-24,100,98.91392336751214
2023-08-24,2023-09-13,100,103.08940871581531
2023-09-13,2023-09-25,100,102.30881185498811
2023-09-25,2023-09-28,100,98.44810863239573
2023-09-28,2023-09-29,100,97.90476190476191
2023-09-29,2023-10-03,100,98.90648061183417
2023-10-03,2023-10-19,100,98.70446991792716
2023-10-19,2023-10-27,100,95.4714128642111
2023-10-27,2023-10-30,100,102.13056935147196
2023-10-30,2023-11-09,100,97.28663048840652
2023-11-09,2023-11-30,100,103.15126050420167
2023-11-30,2023-12-06,100,102.80216307324955
2023-12-06,2023-12-11,100,103.32012570023228
2023-12-11,2023-12-13,100,102.02327426606719
2023-12-13,2023-12-20,100,98.30848995463383
2023-12-20,2023-12-22,100,102.14252752323819
2023-12-22,2024-01-02,100,103.14960629921259
2024-01-02,2024-01-10,100,103.17231885871605
2024-01-10,2024-01-12,100,98.48990235914854
2024-01-12,2024-01-23,100,103.14039408866995
2024-01-23,2024-01-24,100,98.04179104477612
2024-01-24,2024-02-01,100,102.05212519790526
2024-02-01,2024-02-05,100,102.1898681305567
2024-02-05,2024-02-07,100,102.18965315893962
2024-02-07,2024-02-12,100,98.89149191474773
2024-02-12,2024-02-15,100,102.03385913214306
2024-02-15,2024-03-06,100,102.53128716235346
2024-03-06,2024-03-08,100,98.77941014028498
2024-03-08,2024-03-20,100,98.55745037741124
2024-03-20,2024-03-27,100,102.31463096386224
2024-03-27,2024-04-03,100,98.32547823676187
2024-04-03,2024-04-04,100,94.68223086900129
2024-04-04,2024-04-12,100,96.65276950565813
2024-04-12,2024-04-19,100,102.56347054473748
2024-04-19,2024-04-26,100,95.90242730112955
2024-04-26,2024-05-03,100,102.6124545796266
2024-05-03,2024-05-08,100,97.96080346785517
2024-05-08,2024-05-15,100,102.08164537239016
2024-05-15,2024-05-22,100,97.44795164539961
2024-05-22,2024-05-24,100,98.40235574212142
2024-05-24,2024-05-28,100,98.90487711702534
2024-05-28,2024-05-31,100,103.79812025234969
2024-05-31,2024-06-05,100,102.60481270156288
2024-06-05,2024-06-07,100,102.40570599613153
2024-06-07,2024-06-11,100,98.98477157360406
2024-06-11,2024-06-18,100,102.18246869409661
2024-06-18,2024-06-27,100,98.61694677871148
2024-06-27,2024-07-02,100,98.20699449671578
2024-07-02,2024-07-03,100,98.72258375512172
2024-07-03,2024-07-05,100,102.081298828125
2024-07-05,2024-07-17,100,104.79521674140508
2024-07-17,2024-07-18,100,97.64363553374793
2024-07-18,2024-07-24,100,102.96248685286902
2024-07-24,2024-07-25,100,103.38232790420521
2024-07-25,2024-07-30,100,102.53060328264809
2024-07-30,2024-08-05,100,98.70435806831567
2024-08-05,2024-08-08,100,103.27619874159252
2024-08-08,2024-08-19,100,103.39810924369748
2024-08-19,2024-09-05,100,97.96312287296186
2024-09-05,2024-09-10,100,103.3651353313284
2024-09-10,2024-09-11,100,97.61223977928267
2024-09-11,2024-09-25,100,98.2887095945321
2024-09-25,2024-09-30,100,103.25211753633796
2024-09-30,2024-10-03,100,98.97204780230909
2024-10-03,2024-10-08,100,98.75159887439243
2024-10-08,2024-10-16,100,98.67882493135072
2024-10-16,2024-10-21,100,97.94182505512968
2024-10-21,2024-10-30,100,108.0197276723491
2024-10-30,2024-11-11,100,86.56575682382133
2024-11-11,2024-11-12,100,98.08519176747119
2024-11-12,2024-11-15,100,96.43462505114267
2024-11-15,2024-11-21,100,104.08509606642826
2024-11-21,2024-11-22,100,103.03965527281198
2024-11-22,2024-11-26,100,102.36790053687481
2024-11-26,2024-12-04,100,97.41636303411727
2024-12-04,2024-12-11,100,98.81559560240281
2024-12-11,2024-12-16,100,98.42862877788609
2024-12-16,2024-12-17,100,102.18493270407272
2024-12-17,2024-12-18,100,98.65435055308474
2024-12-18,2024-12-23,100,103.1036874349786
2024-12-23,2024-12-30,100,98.77235271035372
