purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,106.57563780093425
2021-01-05,2021-01-06,100,96.27107215104517
2021-01-06,2021-01-07,100,105.95363171534635
2021-01-07,2021-01-11,100,97.92424142262179
2021-01-11,2021-01-12,100,108.55329777897794
2021-01-12,2021-01-13,100,105.71517412935323
2021-01-13,2021-01-14,100,106.18271663039003
2021-01-14,2021-01-15,100,93.77839335180056
2021-01-15,2021-01-19,100,102.61121285520174
2021-01-19,2021-01-20,100,93.17174276008983
2021-01-20,2021-01-21,100,111.47500463449298
2021-01-21,2021-01-25,100,98.4090909090909
2021-01-25,2021-01-26,100,108.56756604517548
2021-01-26,2021-01-27,100,104.41527446300715
2021-01-27,2021-01-28,100,93.10310559006211
2021-01-28,2021-01-29,100,98.00394940492075
2021-01-29,2021-02-01,100,98.26281108751293
2021-02-01,2021-02-03,100,102.9261804477943
2021-02-03,2021-02-04,100,105.42752530691364
2021-02-04,2021-02-08,100,102.364657814096
2021-02-08,2021-02-10,100,105.60295364965324
2021-02-10,2021-02-11,100,102.44732117547011
2021-02-11,2021-02-12,100,98.08153477218225
2021-02-12,2021-02-16,100,98.6740643219861
2021-02-16,2021-02-17,100,96.23558562851424
2021-02-17,2021-02-18,100,98.05902158843335
2021-02-18,2021-02-22,100,98.6366390628156
2021-02-22,2021-02-23,100,96.0325586157469
2021-02-23,2021-02-24,100,106.72210672210672
2021-02-24,2021-02-25,100,90.93906093906095
2021-02-25,2021-02-26,100,113.34175546523124
2021-02-26,2021-03-01,100,95.18778773927792
2021-03-01,2021-03-02,100,96.68058242541494
2021-03-02,2021-03-03,100,94.99736703528173
2021-03-03,2021-03-11,100,109.6840354767184
2021-03-11,2021-03-12,100,104.48274119371304
2021-03-12,2021-03-16,100,96.74470349230917
2021-03-16,2021-03-18,100,95.72021398930053
2021-03-18,2021-03-23,100,97.7487594672238
2021-03-23,2021-03-24,100,95.57016137650956
2021-03-24,2021-03-25,100,98.49594632373497
2021-03-25,2021-03-29,100,103.59900090826521
2021-03-29,2021-03-31,100,102.98082191780821
2021-03-31,2021-04-07,100,95.74332233691604
2021-04-07,2021-04-12,100,98.08269423141047
2021-04-12,2021-04-19,100,98.91778571023853
2021-04-19,2021-04-20,100,97.13025547027149
2021-04-20,2021-04-21,100,98.52568260895205
2021-04-21,2021-04-22,100,102.17872747949961
2021-04-22,2021-04-23,100,102.07369222658309
2021-04-23,2021-04-27,100,102.11764705882354
2021-04-27,2021-04-30,100,97.0608070136001
2021-04-30,2021-05-03,100,97.33657576283944
2021-05-03,2021-05-05,100,96.5617750282553
2021-05-05,2021-05-06,100,94.6467073245857
2021-05-06,2021-05-07,100,98.41838063004428
2021-05-07,2021-05-10,100,97.03723298723628
2021-05-10,2021-05-11,100,97.27390445035098
2021-05-11,2021-05-12,100,98.26245358368949
2021-05-12,2021-05-13,100,96.79144385026738
2021-05-13,2021-05-14,100,104.0147329650092
2021-05-14,2021-05-17,100,93.83852691218131
2021-05-17,2021-05-19,100,104.29433962264152
2021-05-19,2021-05-20,100,98.55995368695274
2021-05-20,2021-05-21,100,98.90602055800295
2021-05-21,2021-05-27,100,106.28015737510206
2021-05-27,2021-05-28,100,98.06523713068381
2021-05-28,2021-06-01,100,102.78490028490029
2021-06-01,2021-06-02,100,104.63585337121475
2021-06-02,2021-06-03,100,95.49006622516556
2021-06-03,2021-06-04,100,104.53568208613635
2021-06-04,2021-06-07,100,98.83234923372919
2021-06-07,2021-06-08,100,98.68429885211786
2021-06-08,2021-06-09,100,98.53071219644922
2021-06-09,2021-06-11,100,102.47842595788748
2021-06-11,2021-06-15,100,102.25006736728646
2021-06-15,2021-06-16,100,98.26722888391093
2021-06-16,2021-06-18,100,102.25947033188065
2021-06-18,2021-06-21,100,98.15106215578282
2021-06-21,2021-06-29,100,97.58183032732133
2021-06-29,2021-06-30,100,104.83296823658267
2021-06-30,2021-07-02,100,98.09977798093247
2021-07-02,2021-07-06,100,98.76189842241897
2021-07-06,2021-07-07,100,96.86594324998315
2021-07-07,2021-07-09,100,104.11912051210686
2021-07-09,2021-07-12,100,98.02860197808073
2021-07-12,2021-07-13,100,97.76399209216716
2021-07-13,2021-07-14,100,96.98765776445157
2021-07-14,2021-07-15,100,98.85685527356388
2021-07-15,2021-07-16,100,97.68
2021-07-16,2021-07-19,100,98.19075273620727
2021-07-19,2021-07-20,100,103.19229602669094
2021-07-20,2021-07-21,100,102.3219927988831
2021-07-21,2021-07-28,100,102.90843806104131
2021-07-28,2021-08-04,100,102.86113049546405
2021-08-04,2021-08-12,100,102.54409769335142
2021-08-12,2021-08-16,100,98.29308633807476
2021-08-16,2021-08-17,100,96.85670054519755
2021-08-17,2021-08-23,100,102.00833912439194
2021-08-23,2021-08-24,100,109.96661897949451
2021-08-24,2021-08-26,100,94.61652831123777
2021-08-26,2021-08-30,100,102.15412820009169
2021-08-30,2021-09-07,100,105.75567234969876
2021-09-07,2021-09-13,100,97.16363636363636
2021-09-13,2021-09-15,100,103.77370259481037
2021-09-15,2021-09-20,100,97.15693935204663
2021-09-20,2021-09-21,100,104.73273942093542
2021-09-21,2021-09-23,100,103.44970169531574
2021-09-23,2021-09-28,100,96.25992120139327
2021-09-28,2021-10-01,100,102.62783248309407
2021-10-01,2021-10-04,100,95.0812091786602
2021-10-04,2021-10-07,100,103.10030395136778
2021-10-07,2021-10-11,100,98.27240566037736
2021-10-11,2021-10-12,100,103.64792704145917
2021-10-12,2021-10-14,100,98.69753979739508
2021-10-14,2021-10-22,100,97.73607038123167
2021-10-22,2021-10-26,100,102.70043206913107
2021-10-26,2021-10-27,100,98.80799345565035
2021-10-27,2021-11-01,100,103.25251330573626
2021-11-01,2021-11-04,100,102.20504009163803
2021-11-04,2021-11-05,100,112.98402913981509
