purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,102.00721119722908
2021-01-07,2021-01-12,100,97.79385842842564
2021-01-12,2021-01-13,100,103.03665616817818
2021-01-13,2021-01-14,100,98.52135563882777
2021-01-14,2021-01-19,100,102.29704598764566
2021-01-19,2021-01-28,100,106.95199378796876
2021-01-28,2021-01-29,100,102.65727098014095
2021-01-29,2021-02-02,100,97.28753764997586
2021-02-02,2021-02-05,100,103.15242118947026
2021-02-05,2021-02-11,100,102.267601896992
2021-02-11,2021-02-18,100,98.86742279909524
2021-02-18,2021-02-19,100,98.11480114801148
2021-02-19,2021-02-23,100,98.17803445019265
2021-02-23,2021-03-03,100,98.65839228405308
2021-03-03,2021-03-04,100,97.35018766987359
2021-03-04,2021-03-19,100,103.64461462100263
2021-03-19,2021-03-24,100,98.14342888417596
2021-03-24,2021-03-26,100,103.42874569773015
2021-03-26,2021-03-30,100,98.09688289806235
2021-03-30,2021-04-13,100,102.73185561786656
2021-04-13,2021-04-20,100,97.90339569644381
2021-04-20,2021-04-21,100,102.17480403709207
2021-04-21,2021-04-29,100,98.70049556664242
2021-04-29,2021-05-03,100,98.77482939054748
2021-05-03,2021-05-04,100,98.3353191781174
2021-05-05,2021-05-12,100,98.16715225604537
2021-05-12,2021-06-01,100,90.9244629977014
2021-06-01,2021-06-03,100,103.23414889289242
2021-06-03,2021-06-08,100,98.8102945177846
2021-06-08,2021-06-10,100,102.08901085336093
2021-06-10,2021-06-25,100,102.33181103680484
2021-06-25,2021-06-28,100,102.6477004181058
2021-06-28,2021-07-02,100,102.01712519812631
2021-07-02,2021-07-23,100,102.72717014868371
2021-07-23,2021-07-26,100,98.93707806308247
2021-07-26,2021-08-03,100,102.1743029164354
2021-08-03,2021-08-16,100,102.07955466771423
2021-08-16,2021-09-01,100,102.19849503393952
2021-09-01,2021-09-20,100,98.01544698511385
2021-09-20,2021-09-27,100,96.56522556544627
2021-09-27,2021-09-28,100,98.46531510559953
2021-09-28,2021-10-01,100,98.72165196609411
2021-10-01,2021-10-04,100,98.56838072016372
2021-10-04,2021-10-07,100,102.06553524573508
2021-10-07,2021-10-20,100,104.97450856494905
2021-10-20,2021-10-22,100,102.76146970546523
2021-10-22,2021-11-05,100,98.14804413239719
2021-11-05,2021-11-10,100,102.77066965344149
2021-11-10,2021-11-16,100,102.40402208327369
2021-11-16,2021-11-17,100,98.26766515443414
2021-11-17,2021-11-19,100,98.61341681291404
2021-11-19,2021-11-22,100,98.75344705957801
2021-11-22,2021-11-29,100,102.21204815365009
2021-11-29,2021-11-30,100,98.23689184681608
2021-11-30,2021-12-02,100,102.07447410545379
2021-12-02,2021-12-06,100,103.1862822746713
2021-12-06,2021-12-13,100,102.63196272729367
2021-12-13,2021-12-14,100,97.7765645566591
2021-12-14,2021-12-16,100,102.3719012689404
2021-12-16,2021-12-22,100,102.13314405260012
2021-12-22,2022-01-04,100,97.68023702403161
2022-01-04,2022-01-12,100,98.49315478865222
2022-01-12,2022-01-13,100,97.30290771944766
2022-01-13,2022-01-14,100,98.84577814246083
2022-01-14,2022-01-18,100,98.76272848017203
2022-01-18,2022-01-20,100,98.52389071668148
2022-01-20,2022-01-25,100,98.84951941435989
2022-01-25,2022-01-26,100,97.401839507492
2022-01-26,2022-01-28,100,104.39823800442187
2022-01-28,2022-02-02,100,103.74007792165803
2022-02-02,2022-02-07,100,98.47203933271518
2022-02-07,2022-02-11,100,98.00047475866435
2022-02-11,2022-02-14,100,97.83937409671142
2022-02-14,2022-02-17,100,98.20923112471839
2022-02-17,2022-02-18,100,96.86068886704143
2022-02-18,2022-02-25,100,104.80519818514631
2022-02-25,2022-02-28,100,98.53985597218774
2022-02-28,2022-03-01,100,97.96969238781648
2022-03-01,2022-03-03,100,102.37076541854941
2022-03-03,2022-03-07,100,98.25619377858183
2022-03-07,2022-03-08,100,97.68565875613747
2022-03-08,2022-03-11,100,98.20152360009425
2022-03-11,2022-03-15,100,103.0292528613066
2022-03-15,2022-03-17,100,103.17133123463711
2022-03-17,2022-03-23,100,96.4705488956881
2022-03-23,2022-03-28,100,102.61871750433275
2022-03-28,2022-03-31,100,98.64467750924659
2022-03-31,2022-04-07,100,104.23226071547806
2022-04-07,2022-04-11,100,97.29880667865737
2022-04-11,2022-04-12,100,98.62836788439463
2022-04-12,2022-04-18,100,98.61699487363818
2022-04-18,2022-04-19,100,103.17362515295365
2022-04-19,2022-04-20,100,102.21721283897449
2022-04-20,2022-04-22,100,97.55439254797406
2022-04-22,2022-04-26,100,97.76722450907617
2022-04-26,2022-04-29,100,97.03377766274104
2022-04-29,2022-05-06,100,98.91612650822019
2022-05-06,2022-05-09,100,95.65385445131596
2022-05-09,2022-05-11,100,98.55656733669758
