date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-07,102.6276829014549,100,2.6276829014549037,1,102.6276829014549
2021-01-07,102.6276829014549,200,2.6276829014549037,2,2.6276829014549037
2021-01-11,201.54496006992218,200,1.5449600699221975,2,101.5449600699222
2021-01-11,201.54496006992218,300,1.5449600699221975,3,1.5449600699221975
2021-01-14,299.82407053636757,300,-0.17592946363238582,3,99.82407053636761
2021-01-14,299.82407053636757,400,-0.17592946363238582,4,0.0
2021-01-20,402.44218235155967,400,2.4378933788144366,4,102.61811181519211
2021-01-20,402.44218235155967,500,2.4378933788144366,5,2.6181118151921083
2021-01-21,501.01527472731595,500,1.0134916968098224,5,101.19120419094837
2021-01-21,501.01527472731595,600,1.0134916968098224,6,1.191204190948369
2021-01-22,599.7881568090154,600,-0.21147115092297497,6,99.96408627264786
2021-01-22,599.7881568090154,700,-0.21147115092297497,7,0.0
2021-01-25,698.712780085964,700,-1.2844987908092804,7,98.92462327694864
2021-01-25,698.712780085964,800,-1.2844987908092804,8,0.0
2021-01-27,796.3621351092352,800,-3.591632679673012,8,97.6493550232711
2021-01-27,796.3621351092352,900,-3.591632679673012,9,0.0
2021-01-29,894.6596626388425,900,-5.152882459307932,9,98.29752752960731
2021-01-29,894.6596626388425,1000,-5.152882459307932,10,0.0
2021-02-01,996.9995188232916,1000,-2.848368679911502,10,102.33985618444915
2021-02-01,996.9995188232916,1100,-2.848368679911502,11,2.339856184449147
2021-02-04,1099.196240676502,1100,-0.7630119132258386,11,104.53657803765955
2021-02-04,1099.196240676502,1200,-0.7630119132258386,12,4.536578037659552
2021-02-11,1201.5498618497961,1200,1.4712900002232772,12,106.89019921095365
2021-02-11,1201.5498618497961,1300,1.4712900002232772,13,6.890199210953654
2021-02-19,1299.7439865353574,1300,-0.2430345972453125,13,105.08432389651495
2021-02-19,1299.7439865353574,1400,-0.2430345972453125,14,5.084323896514945
2021-02-26,1398.4112215910166,1400,-1.5082336441891329,14,103.75155895217418
2021-02-26,1398.4112215910166,1500,-1.5082336441891329,15,3.751558952174179
2021-03-01,1501.3022879392163,1500,1.2362671051180172,15,106.64262530037382
2021-03-01,1501.3022879392163,1600,1.2362671051180172,16,6.6426253003738225
2021-03-03,1599.7620894722843,1600,-0.22584940743077198,16,105.10242683344174
2021-03-03,1599.7620894722843,1700,-0.22584940743077198,17,5.10242683344174
2021-03-04,1696.9400879997258,1700,-2.9047865964045627,17,102.28042536088323
2021-03-04,1696.9400879997258,1800,-2.9047865964045627,18,2.2804253608832283
2021-03-09,1799.9218751675248,1800,-0.07416421328457545,18,105.26221252868226
