purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,96.07903737586024
2021-01-06,2021-01-07,100,102.45115910016942
2021-01-07,2021-01-12,100,98.7252480428685
2021-01-12,2021-01-14,100,98.22325877239479
2021-01-14,2021-01-15,100,98.87970298098301
2021-01-15,2021-01-20,100,102.54322389102342
2021-01-20,2021-01-27,100,97.9285972792881
2021-01-27,2021-02-01,100,102.17391304347827
2021-02-01,2021-02-02,100,103.17659574468085
2021-02-02,2021-02-09,100,102.29311447012972
2021-02-09,2021-02-18,100,98.45176897490173
2021-02-18,2021-02-19,100,98.10594426357065
2021-02-19,2021-02-22,100,97.53923860410752
2021-02-22,2021-02-25,100,98.2517706973659
2021-02-25,2021-03-01,100,102.26718355257427
2021-03-01,2021-03-03,100,95.50226803245523
2021-03-03,2021-03-04,100,97.90612108373286
2021-03-04,2021-03-08,100,95.93221883113925
2021-03-08,2021-03-09,100,104.2687559354226
2021-03-09,2021-03-11,100,102.70504121316999
2021-03-11,2021-03-12,100,98.50130802997384
2021-03-12,2021-03-18,100,98.84762547828045
2021-03-18,2021-03-22,100,103.01243226012113
2021-03-22,2021-03-26,100,103.68692115558895
2021-03-26,2021-04-01,100,103.0377965848771
2021-04-01,2021-04-07,100,102.08341953904085
2021-04-07,2021-04-09,100,102.15439492511298
2021-04-09,2021-04-13,100,102.14665502737878
2021-04-13,2021-04-22,100,98.5296973934662
2021-04-22,2021-05-04,100,96.72968124741271
2021-05-04,2021-05-06,100,98.55512533115957
2021-05-06,2021-05-12,100,97.61791526229813
2021-05-12,2021-05-14,100,103.06509352030334
2021-05-14,2021-05-18,100,98.77918447878987
2021-05-18,2021-05-20,100,102.29911364487536
2021-05-20,2021-05-25,100,102.72743913600586
2021-05-25,2021-05-27,100,98.65367862516828
2021-05-27,2021-06-03,100,98.96845147306735
2021-06-03,2021-06-04,100,102.30360546700734
2021-06-04,2021-06-09,100,102.01783944499503
2021-06-09,2021-06-10,100,104.04911789850004
2021-06-10,2021-06-14,100,104.00171795637887
2021-06-14,2021-06-15,100,98.47562617829249
2021-06-15,2021-06-18,100,103.12329066841701
2021-06-18,2021-06-24,100,102.24013861631217
2021-06-24,2021-06-29,100,102.15992806004219
2021-06-29,2021-07-01,100,98.98095641134151
2021-07-01,2021-07-06,100,102.08130248148717
2021-07-06,2021-07-21,100,102.57329535935669
2021-07-21,2021-07-23,100,102.2229118348414
2021-07-23,2021-07-27,100,98.78728809497179
2021-07-27,2021-08-05,100,102.23199844730544
2021-08-05,2021-08-10,100,98.36413112264269
2021-08-10,2021-08-12,100,102.02817898156786
2021-08-12,2021-08-18,100,98.80507606211081
2021-08-18,2021-08-20,100,103.28190564321842
2021-08-20,2021-08-30,100,102.88102079278276
2021-08-30,2021-09-10,100,98.94142554693013
2021-09-10,2021-09-13,100,97.90724496919293
2021-09-13,2021-09-15,100,102.46919321088119
2021-09-15,2021-09-20,100,97.00641374720153
2021-09-20,2021-09-22,100,97.62821812284615
2021-09-22,2021-09-27,100,96.41739074878609
2021-09-27,2021-09-28,100,95.87840636130208
2021-09-28,2021-10-04,100,96.4960174162448
2021-10-04,2021-10-06,100,102.11642106394025
2021-10-06,2021-10-13,100,103.64889270747489
2021-10-13,2021-10-14,100,102.77270266612533
2021-10-14,2021-10-18,100,102.52176918898455
2021-10-18,2021-10-19,100,102.1257807106273
2021-10-19,2021-10-29,100,102.2466080777273
2021-10-29,2021-11-01,100,98.43778830186359
2021-11-01,2021-11-03,100,102.33989378319275
2021-11-03,2021-11-04,100,102.88470344027596
2021-11-04,2021-11-05,100,98.314740090197
2021-11-05,2021-11-10,100,97.70340415258329
2021-11-10,2021-11-16,100,103.63397683397683
2021-11-16,2021-11-19,100,102.58408714960584
2021-11-19,2021-11-22,100,97.84999346281796
2021-11-22,2021-11-23,100,98.75142895318972
2021-11-23,2021-11-29,100,103.35708701665764
2021-11-29,2021-11-30,100,97.43414449664722
2021-11-30,2021-12-01,100,98.14286780622527
2021-12-01,2021-12-02,100,102.20106174229173
2021-12-02,2021-12-03,100,91.76192177174495
2021-12-03,2021-12-07,100,105.42228277618284
2021-12-07,2021-12-09,100,97.32445073542988
2021-12-09,2021-12-10,100,103.45890573375279
2021-12-10,2021-12-14,100,93.95064558025823
