date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,102.24533374953,100,2.2453337495300048,1,102.24533374953
2021-01-06,102.24533374953,200,2.2453337495300048,2,2.2453337495300048
2021-01-07,206.47433100189602,200,6.474331001896033,2,106.47433100189602
2021-01-07,206.47433100189602,300,6.474331001896033,3,6.474331001896019
2021-01-12,308.7064055064527,300,8.706405506452725,3,108.70640550645271
2021-01-12,308.7064055064527,400,8.706405506452725,4,8.706405506452711
2021-01-22,406.5035299822686,400,6.503529982268617,4,106.50352998226862
2021-01-22,406.5035299822686,500,6.503529982268617,5,6.503529982268617
2021-01-25,505.30903504588844,500,5.309035045888464,5,105.30903504588846
2021-01-25,505.30903504588844,600,5.309035045888464,6,5.309035045888464
2021-01-27,601.2415125552385,600,1.241512555238529,6,101.24151255523851
2021-01-27,601.2415125552385,700,1.241512555238529,7,1.241512555238515
2021-02-01,704.2269226803447,700,4.226922680344742,7,104.22692268034476
2021-02-01,704.2269226803447,800,4.226922680344742,8,4.226922680344757
2021-02-03,801.3955821760101,800,1.3955821760100946,8,101.3955821760101
2021-02-03,801.3955821760101,900,1.3955821760100946,9,1.3955821760100946
2021-02-08,905.2100397705292,900,5.210039770529178,9,105.21003977052918
2021-02-08,905.2100397705292,1000,5.210039770529178,10,5.210039770529178
2021-02-11,1008.8579720454325,1000,8.857972045432504,10,108.8579720454325
2021-02-11,1008.8579720454325,1100,8.857972045432504,11,8.857972045432504
2021-02-19,1112.0102289230542,1100,12.010228923054214,11,112.01022892305421
2021-02-19,1112.0102289230542,1200,12.010228923054214,12,12.010228923054214
2021-02-22,1209.2287795083728,1200,9.228779508372867,12,109.22877950837287
2021-02-22,1209.2287795083728,1300,9.228779508372867,13,9.228779508372867
2021-02-25,1306.1491742494948,1300,6.149174249494777,13,106.14917424949476
2021-02-25,1306.1491742494948,1400,6.149174249494777,14,6.149174249494763
2021-03-01,1409.3467686704846,1400,9.346768670484522,14,109.34676867048451
2021-03-01,1409.3467686704846,1500,9.346768670484522,15,9.346768670484508
2021-03-02,1506.6326399818906,1500,6.632639981890605,15,106.6326399818906
2021-03-02,1506.6326399818906,1600,6.632639981890605,16,6.632639981890605
2021-03-03,1603.8107009266819,1600,3.810700926681946,16,103.81070092668195
2021-03-03,1603.8107009266819,1700,3.810700926681946,17,3.810700926681946
2021-03-04,1700.194775997026,1700,0.19477599702597104,17,100.19477599702599
2021-03-04,1700.194775997026,1800,0.19477599702597104,18,0.19477599702598525
2021-03-05,1803.2211641027498,1800,3.221164102749711,18,103.22116410274971
2021-03-05,1803.2211641027498,1900,3.221164102749711,19,3.221164102749711
2021-03-08,1899.9760708859922,1900,-0.023929114007827934,19,99.97607088599217
2021-03-08,1899.9760708859922,2000,-0.023929114007827934,20,0.0
2021-03-09,2003.6973308299978,2000,3.6964463031477095,20,103.72125994400567
2021-03-09,2003.6973308299978,2100,3.6964463031477095,21,3.7212599440056664
2021-03-10,2102.145423392164,2100,2.1449101341725054,21,102.1693525061717
2021-03-10,2102.145423392164,2200,2.1449101341725054,22,2.1693525061717054
2021-03-11,2204.8213276318174,2200,4.820174206835873,22,104.84525674582503
2021-03-11,2204.8213276318174,2300,4.820174206835873,23,4.845256745825026
2021-03-17,2306.8900058359122,2300,6.888357512989657,23,106.91393494992005
2021-03-17,2306.8900058359122,2400,6.888357512989657,24,6.913934949920048
2021-03-18,2403.8274635979883,2400,3.826547938969213,24,103.85139271199591
2021-03-18,2403.8274635979883,2500,3.826547938969213,25,3.8513927119959135
2021-03-22,2507.2173058056997,2500,7.215579181530927,25,107.24123491970744
2021-03-22,2507.2173058056997,2600,7.215579181530927,26,7.241234919707438
2021-03-23,2604.6229205201234,2600,4.6218145608481365,26,104.64684963413146
2021-03-23,2604.6229205201234,2700,4.6218145608481365,27,4.646849634131456
2021-03-26,2709.0239102458927,2700,9.021751420709862,27,109.04783935990065
2021-03-26,2709.0239102458927,2800,9.021751420709862,28,9.04783935990065
2021-03-29,2806.9453913383295,2800,6.943729765317855,28,106.96932045233763
2021-03-29,2806.9453913383295,2900,6.943729765317855,29,6.969320452337627
2021-04-01,2911.1832931042895,2900,11.180617681538024,29,111.20722221829764
2021-04-01,2911.1832931042895,3000,11.180617681538024,30,11.207222218297645
2021-04-14,3009.9908184299047,3000,9.988428287512363,30,110.0147475439127
2021-04-14,3009.9908184299047,3100,9.988428287512363,31,10.014747543912705
2021-04-20,3107.474235410656,3100,7.472447320217768,31,107.49816452466403
2021-04-20,3107.474235410656,3200,7.472447320217768,32,7.498164524664034
2021-04-21,3209.944269800159,3200,9.94189079377648,32,109.96819891416689
2021-04-21,3209.944269800159,3300,9.94189079377648,33,9.96819891416689
2021-04-22,3308.0994172710625,3300,8.097479615933338,33,108.12334638507022
2021-04-22,3308.0994172710625,3400,8.097479615933338,34,8.12334638507022
2021-04-23,3410.4509837648916,3400,10.4484835353541,34,110.47491287889919
2021-04-23,3410.4509837648916,3500,10.4484835353541,35,10.47491287889919
2021-04-28,3508.588693361752,3500,8.586638655198641,35,108.61262247575971
2021-04-28,3508.588693361752,3600,8.586638655198641,36,8.612622475759707
2021-04-30,3606.7373311134143,3600,6.73571931545996,36,106.76126022742203
2021-04-30,3606.7373311134143,3700,6.73571931545996,37,6.761260227422028
2021-05-03,3705.529193356079,3700,5.5278705856242,37,105.55312247008668
2021-05-03,3705.529193356079,3800,5.5278705856242,38,5.553122470086677
2021-05-06,3808.238141610668,3800,8.236170767975224,38,108.262070724676
2021-05-06,3808.238141610668,3900,8.236170767975224,39,8.262070724675993
2021-05-10,3905.266142646023,3900,5.264882806213805,39,105.2900717600307
2021-05-10,3905.266142646023,4000,5.264882806213805,40,5.290071760030699
2021-05-12,4002.12308029779,4000,2.1225723850234317,40,102.14700941179717
2021-05-12,4002.12308029779,4100,2.1225723850234317,41,2.147009411797171
2021-05-14,4104.546809111349,4100,4.545721360501844,41,104.5707382253565
2021-05-14,4104.546809111349,4200,4.545721360501844,42,4.570738225356493
2021-05-18,4202.0708038159655,4200,2.070308409505955,42,102.0947329299734
2021-05-18,4202.0708038159655,4300,2.070308409505955,43,2.0947329299734037
2021-05-19,4307.028347950976,4300,7.026666531930559,43,107.05227706498376
2021-05-19,4307.028347950976,4400,7.026666531930559,44,7.052277064983755
2021-05-20,4411.168378802491,4400,11.165706947745917,44,111.19230791649905
2021-05-20,4411.168378802491,4500,11.165706947745917,45,11.192307916499047
2021-05-25,4513.827516313083,4500,13.824208302517732,45,113.85144542709097
2021-05-25,4513.827516313083,4600,13.824208302517732,46,13.851445427090965
2021-06-09,4615.884727578914,4600,15.880927413687587,46,115.90865669292172
2021-06-09,4615.884727578914,4700,15.880927413687587,47,15.908656692921724
2021-06-18,4713.370141994719,4700,13.366943403592387,47,113.39407110872664
2021-06-18,4713.370141994719,4800,13.366943403592387,48,13.394071108726635
2021-06-24,4816.368204083863,4800,16.364288254669674,48,116.39213319787054
2021-06-24,4816.368204083863,4900,16.364288254669674,49,16.392133197870535
2021-06-28,4918.472289280253,4900,18.467870082565312,49,118.49621839426001
2021-06-28,4918.472289280253,5000,18.467870082565312,50,18.496218394260012
2021-07-06,5017.154075162294,5000,17.14997132610246,50,117.17800427630122
2021-07-06,5017.154075162294,5100,17.14997132610246,51,17.178004276301223
2021-07-07,5115.431967869274,5100,15.428276019514598,51,115.45589698328058
2021-07-07,5115.431967869274,5200,15.428276019514598,52,15.455896983280581
2021-07-15,5214.3670613513,5200,14.363624263274133,52,114.39099046530757
2021-07-15,5214.3670613513,5300,14.363624263274133,53,14.390990465307567
2021-07-16,5312.398844044043,5300,12.39587782030604,53,112.42277315804976
2021-07-16,5312.398844044043,5400,12.39587782030604,54,12.422773158049765
2021-07-21,5415.145393251449,5400,15.141769960051448,54,115.16932236545583
2021-07-21,5415.145393251449,5500,15.141769960051448,55,15.169322365455827
2021-07-22,5513.4306019300875,5500,13.42738887489449,55,113.45453104409448
2021-07-22,5513.4306019300875,5600,13.42738887489449,56,13.45453104409448
2021-07-29,5616.2251801440425,5600,16.22129853102274,56,116.2491092580496
2021-07-29,5616.2251801440425,5700,16.22129853102274,57,16.2491092580496
2021-08-04,5719.844846855937,5700,19.84009929595649,57,119.86877596994411
2021-08-04,5719.844846855937,5800,19.84009929595649,58,19.86877596994411
2021-08-05,5818.312804311104,5800,18.308423267626168,58,118.33673342511074
2021-08-05,5818.312804311104,5900,18.308423267626168,59,18.336733425110737
2021-08-17,5916.177852637657,5900,16.173982346980793,59,116.20178175166404
2021-08-17,5916.177852637657,6000,16.173982346980793,60,16.201781751664043
2021-08-23,6018.182732042246,6000,18.178382116463894,60,118.20666115625315
2021-08-23,6018.182732042246,6100,18.178382116463894,61,18.206661156253148
2021-08-24,6115.948413146206,6100,15.944597745232187,61,115.97234226021256
2021-08-24,6115.948413146206,6200,15.944597745232187,62,15.972342260212557
2021-08-25,6214.837308916702,6200,14.833759329518784,62,114.86123803070821
2021-08-25,6214.837308916702,6300,14.833759329518784,63,14.861238030708208
2021-08-26,6317.3143392360535,6300,17.310197059263245,63,117.33826835006036
2021-08-26,6317.3143392360535,6400,17.310197059263245,64,17.33826835006036
2021-08-31,6414.680219129955,6400,14.67670712397404,64,114.70414824396215
2021-08-31,6414.680219129955,6500,14.67670712397404,65,14.704148243962152
2021-09-01,6513.55412693351,6500,13.550884326949955,65,113.57805604751744
2021-09-01,6513.55412693351,6600,13.550884326949955,66,13.578056047517435
2021-09-09,6618.330089045777,6600,18.32570386720502,66,118.35401815978398
2021-09-09,6618.330089045777,6700,18.32570386720502,67,18.354018159783976
2021-09-13,6720.696773687775,6700,20.691822318021423,67,120.72070280178202
2021-09-13,6720.696773687775,6800,20.691822318021423,68,20.720702801782025
2021-09-20,6818.770133972362,6800,18.765643520128265,68,118.79406308636833
