purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.24533374953
2021-01-06,2021-01-07,100,104.22899725236601
2021-01-07,2021-01-12,100,102.23207450455669
2021-01-12,2021-01-22,100,97.7971244758159
2021-01-22,2021-01-25,100,98.80550506361985
2021-01-25,2021-01-27,100,95.93247750935005
2021-01-27,2021-02-01,100,102.98541012510624
2021-02-01,2021-02-03,100,97.16865949566534
2021-02-03,2021-02-08,100,103.81445759451908
2021-02-08,2021-02-11,100,103.64793227490333
2021-02-11,2021-02-19,100,103.15225687762171
2021-02-19,2021-02-22,100,97.21855058531865
2021-02-22,2021-02-25,100,96.9203947411219
2021-02-25,2021-03-01,100,103.19759442098974
2021-03-01,2021-03-02,100,97.2858713114061
2021-03-02,2021-03-03,100,97.17806094479134
2021-03-03,2021-03-04,100,96.38407507034404
2021-03-04,2021-03-05,100,103.02638810572373
2021-03-05,2021-03-08,100,96.75490678324246
2021-03-08,2021-03-09,100,103.72125994400567
2021-03-09,2021-03-10,100,98.44809256216604
2021-03-10,2021-03-11,100,102.67590423965332
2021-03-11,2021-03-17,100,102.06867820409502
2021-03-17,2021-03-18,100,96.93745776207587
2021-03-18,2021-03-22,100,103.38984220771152
2021-03-22,2021-03-23,100,97.40561471442402
2021-03-23,2021-03-26,100,104.4009897257692
2021-03-26,2021-03-29,100,97.92148109243698
2021-03-29,2021-04-01,100,104.23790176596002
2021-04-01,2021-04-14,100,98.80752532561506
2021-04-14,2021-04-20,100,97.48341698075133
2021-04-20,2021-04-21,100,102.47003438950286
2021-04-21,2021-04-22,100,98.15514747090333
2021-04-22,2021-04-23,100,102.35156649382897
2021-04-23,2021-04-28,100,98.13770959686052
2021-04-28,2021-04-30,100,98.14863775166232
2021-04-30,2021-05-03,100,98.79186224266465
2021-05-03,2021-05-06,100,102.70894825458932
2021-05-06,2021-05-10,100,97.0280010353547
2021-05-10,2021-05-12,100,96.85693765176647
2021-05-12,2021-05-14,100,102.42372881355932
2021-05-14,2021-05-18,100,97.52399470461691
2021-05-18,2021-05-19,100,104.95754413501035
2021-05-19,2021-05-20,100,104.14003085151529
2021-05-20,2021-05-25,100,102.65913751059192
2021-05-25,2021-06-09,100,102.05721126583076
2021-06-09,2021-06-18,100,97.48541441580491
2021-06-18,2021-06-24,100,102.9980620891439
2021-06-24,2021-06-28,100,102.10408519638948
2021-06-28,2021-07-06,100,98.68178588204121
2021-07-06,2021-07-07,100,98.27789270697936
2021-07-07,2021-07-15,100,98.93509348202699
2021-07-15,2021-07-16,100,98.0317826927422
2021-07-16,2021-07-21,100,102.74654920740606
2021-07-21,2021-07-22,100,98.28520867863865
2021-07-22,2021-07-29,100,102.79457821395512
2021-07-29,2021-08-04,100,103.61966671189451
2021-08-04,2021-08-05,100,98.46795745516663
2021-08-05,2021-08-17,100,97.8650483265533
2021-08-17,2021-08-23,100,102.0048794045891
2021-08-23,2021-08-24,100,97.76568110395941
2021-08-24,2021-08-25,100,98.88889577049565
2021-08-25,2021-08-26,100,102.47703031935215
2021-08-26,2021-08-31,100,97.36587989390179
2021-08-31,2021-09-01,100,98.87390780355528
2021-09-01,2021-09-09,100,104.77596211226654
2021-09-09,2021-09-13,100,102.36668464199805
2021-09-13,2021-09-20,100,98.0733602845863
2021-09-20,2021-09-22,100,102.58310600391087
2021-09-22,2021-09-24,100,102.6927964605935
2021-09-24,2021-09-28,100,95.94268658084549
2021-09-28,2021-09-29,100,98.56927036371343
2021-09-29,2021-10-04,100,97.28783372003562
2021-10-04,2021-10-08,100,102.65265202934108
2021-10-08,2021-10-12,100,97.27213170441723
2021-10-12,2021-10-14,100,102.55242989080612
2021-10-14,2021-10-15,100,102.27911219215568
2021-10-15,2021-10-19,100,102.67363464488281
2021-10-19,2021-10-25,100,102.19867396276672
2021-10-25,2021-10-27,100,94.42864265802416
2021-10-27,2021-11-01,100,102.65092194240934
2021-11-01,2021-11-03,100,102.17972024293157
2021-11-03,2021-11-05,100,103.01191034632677
2021-11-05,2021-11-10,100,98.19293500896869
2021-11-10,2021-11-12,100,102.17569577585866
2021-11-12,2021-11-19,100,102.1725412921224
2021-11-19,2021-11-22,100,98.24745786585333
2021-11-22,2021-11-23,100,98.35790773845628
2021-11-23,2021-11-26,100,97.56133112077859
2021-11-26,2021-11-29,100,102.91852941514486
2021-11-29,2021-11-30,100,98.39200468998632
2021-11-30,2021-12-07,100,103.94041708043696
2021-12-07,2021-12-09,100,98.41676266180413
2021-12-09,2021-12-13,100,97.1603548030998
2021-12-13,2021-12-14,100,98.77305166999714
2021-12-14,2021-12-16,100,97.91330685949792
2021-12-16,2021-12-17,100,98.5565939158515
2021-12-17,2021-12-20,100,98.94816287901477
2021-12-20,2021-12-21,100,102.23258066468914
2021-12-21,2021-12-29,100,102.00322126031811
2021-12-29,2022-01-05,100,98.47150544812813
2022-01-05,2022-01-07,100,97.6855236163841
2022-01-07,2022-01-11,100,102.83883115472354
2022-01-11,2022-01-13,100,97.7835287489877
2022-01-13,2022-01-18,100,98.06516272677625
2022-01-18,2022-01-19,100,97.93580367797804
2022-01-19,2022-01-20,100,97.28179364127173
2022-01-20,2022-01-25,100,98.1950386043345
2022-01-25,2022-01-26,100,102.5675074572191
2022-01-26,2022-01-27,100,96.76141762916383
2022-01-27,2022-01-28,100,102.61206572677119
2022-01-28,2022-01-31,100,103.36455081512315
2022-01-31,2022-02-02,100,103.01516281382052
2022-02-02,2022-02-03,100,95.91849045677195
2022-02-03,2022-02-09,100,103.82061054299837
2022-02-09,2022-02-10,100,96.1110000545187
2022-02-10,2022-02-11,100,95.19541664303136
2022-02-11,2022-02-15,100,105.28873528516003
2022-02-15,2022-02-16,100,103.88867229258108
2022-02-16,2022-02-17,100,95.30173718297924
2022-02-17,2022-02-23,100,97.54458614907779
2022-02-23,2022-02-24,100,102.60707635009312
2022-02-24,2022-03-01,100,98.2231924155699
2022-03-01,2022-03-07,100,93.20158153838203
2022-03-07,2022-03-09,100,105.0179186624429
2022-03-09,2022-03-10,100,98.00728703251443
