date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,106.07835628020081,100,6.078356280200808,1,106.07835628020081
2021-01-06,106.07835628020081,200,6.078356280200808,2,6.078356280200808
2021-01-11,204.45294790596427,200,4.452947905964294,2,104.45294790596428
2021-01-11,204.45294790596427,300,4.452947905964294,3,4.45294790596428
2021-01-12,303.2206181509663,300,3.2206181509662883,3,103.22061815096627
2021-01-12,303.2206181509663,400,3.2206181509662883,4,3.220618150966274
2021-01-14,406.08110253281905,400,6.0811025328189885,4,106.081102532819
2021-01-14,406.08110253281905,500,6.0811025328189885,5,6.081102532819003
2021-01-15,504.81519229341535,500,4.815192293415322,5,104.81519229341531
2021-01-15,504.81519229341535,600,4.815192293415322,6,4.815192293415308
2021-01-20,607.3045011208551,600,7.304501120855093,6,107.3045011208551
2021-01-20,607.3045011208551,700,7.304501120855093,7,7.304501120855093
2021-01-21,705.9785935461911,700,5.978593546191107,7,105.9785935461911
2021-01-21,705.9785935461911,800,5.978593546191107,8,5.978593546191107
2021-01-26,804.823864613915,800,4.823864613915035,8,104.82386461391505
2021-01-26,804.823864613915,900,4.823864613915035,9,4.823864613915049
2021-01-27,899.8395848654391,900,-0.16041513456092105,9,99.83958486543908
2021-01-27,899.8395848654391,1000,-0.16041513456092105,10,0.0
2021-01-28,1002.723995827169,1000,2.719633124033521,10,102.88441096172993
2021-01-28,1002.723995827169,1100,2.719633124033521,11,2.8844109617299267
2021-01-29,1100.762148429394,1100,0.7609277860622257,11,100.92256356395508
2021-01-29,1100.762148429394,1200,0.7609277860622257,12,0.9225635639550802
2021-02-03,1203.6238824152242,1200,3.618078469778439,12,103.78429754978518
2021-02-03,1203.6238824152242,1300,3.618078469778439,13,3.7842975497851796
2021-02-04,1305.7216795253769,1300,5.712515785492769,13,105.88209465993779
2021-02-04,1305.7216795253769,1400,5.712515785492769,14,5.882094659937792
2021-02-08,1408.5877190533934,1400,8.573965115715836,14,108.74813418795435
2021-02-08,1408.5877190533934,1500,8.573965115715836,15,8.74813418795435
2021-02-11,1510.9568370669197,1500,10.939288792083815,15,111.11725220148057
2021-02-11,1510.9568370669197,1600,10.939288792083815,16,11.117252201480568
2021-02-16,1613.012222262938,1600,12.991382119829112,16,113.17263739749887
2021-02-16,1613.012222262938,1700,12.991382119829112,17,13.172637397498875
2021-02-24,1717.3465904503284,1700,17.318808460432365,17,117.50700558488944
2021-02-24,1717.3465904503284,1800,17.318808460432365,18,17.50700558488944
2021-02-25,1815.4144955575666,1800,15.389807976392689,18,115.57491069212762
