purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,106.07835628020081
2021-01-06,2021-01-11,100,98.37459162576347
2021-01-11,2021-01-12,100,98.767670245002
2021-01-12,2021-01-14,100,102.86048438185273
2021-01-14,2021-01-15,100,98.7340897605963
2021-01-15,2021-01-20,100,102.48930882743979
2021-01-20,2021-01-21,100,98.67409242533601
2021-01-21,2021-01-26,100,98.84527106772394
2021-01-26,2021-01-27,100,95.01572025152403
2021-01-27,2021-01-28,100,102.88441096172993
2021-01-28,2021-01-29,100,98.03815260222515
2021-01-29,2021-02-03,100,102.8617339858301
2021-02-03,2021-02-04,100,102.09779711015261
2021-02-04,2021-02-08,100,102.86603952801656
2021-02-08,2021-02-11,100,102.36911801352622
2021-02-11,2021-02-16,100,102.0553851960183
2021-02-16,2021-02-24,100,104.33436818739057
2021-02-24,2021-02-25,100,98.06790510723818
2021-02-25,2021-02-26,100,98.65746463397885
2021-02-26,2021-03-04,100,98.07355195841203
2021-03-04,2021-03-05,100,103.78476307876208
2021-03-05,2021-03-19,100,98.67926158143085
2021-03-19,2021-03-23,100,97.76523475612537
2021-03-23,2021-03-25,100,102.37781230821463
2021-03-25,2021-04-06,100,102.04034779566639
2021-04-06,2021-04-16,100,102.42738729987538
2021-04-16,2021-04-20,100,98.75492486314981
2021-04-20,2021-04-26,100,102.16301427416423
2021-04-26,2021-04-27,100,103.06861045978184
2021-04-27,2021-04-28,100,102.07078073396035
2021-04-28,2021-05-03,100,102.42411003183092
2021-05-03,2021-05-05,100,102.42831554150811
2021-05-05,2021-05-10,100,102.16095963328031
2021-05-10,2021-05-11,100,98.90689866017313
2021-05-11,2021-06-01,100,102.09710356453378
2021-06-01,2021-06-10,100,98.98520219318947
2021-06-10,2021-06-11,100,98.1682207456513
2021-06-11,2021-06-14,100,98.81964161333345
2021-06-14,2021-06-16,100,98.11349082426717
2021-06-16,2021-06-17,100,96.78199281916308
2021-06-17,2021-06-18,100,97.9488749935507
2021-06-18,2021-07-06,100,98.0036260634782
2021-07-06,2021-07-14,100,98.87441744340879
2021-07-14,2021-07-19,100,97.73706065133373
2021-07-19,2021-07-27,100,102.43930882661638
2021-07-27,2021-08-06,100,102.44497492849848
2021-08-06,2021-08-11,100,102.00708806398062
2021-08-11,2021-08-19,100,97.02698490112576
2021-08-19,2021-08-27,100,102.10803415968826
2021-08-27,2021-09-01,100,98.49796661320991
2021-09-01,2021-09-13,100,102.49771147593916
2021-09-13,2021-09-14,100,98.74027305813041
2021-09-14,2021-09-15,100,103.54416760849719
2021-09-15,2021-09-20,100,96.80167430670164
2021-09-20,2021-09-22,100,97.47125191315301
2021-09-22,2021-09-23,100,102.18650992162748
2021-09-23,2021-10-05,100,103.3188849226585
2021-10-05,2021-10-11,100,102.71245835561223
2021-10-11,2021-10-13,100,98.35803252220045
2021-10-13,2021-10-19,100,102.57547702915508
2021-10-19,2021-10-22,100,102.6030520292883
2021-10-22,2021-10-26,100,98.70240394137453
2021-10-26,2021-10-27,100,98.72876971747301
2021-10-27,2021-11-01,100,98.57441602344957
2021-11-01,2021-11-03,100,102.02770945185155
2021-11-03,2021-11-04,100,98.96903472916242
2021-11-04,2021-11-11,100,102.97133157961068
2021-11-11,2021-11-26,100,97.9122610510269
2021-11-26,2021-11-30,100,96.59845539685479
2021-11-30,2021-12-07,100,103.1350889176081
2021-12-07,2021-12-09,100,98.62891865150266
2021-12-09,2021-12-13,100,102.14793177631493
2021-12-13,2021-12-16,100,102.36697117544593
2021-12-16,2021-12-17,100,98.64037451683942
2021-12-17,2021-12-20,100,98.39198427579186
2021-12-20,2021-12-27,100,102.88032673215484
2021-12-27,2021-12-31,100,102.30060734676756
2021-12-31,2022-01-04,100,102.30841942919686
2022-01-04,2022-01-13,100,102.52953407120006
2022-01-13,2022-01-20,100,97.16552000678367
2022-01-20,2022-01-26,100,104.90631845660265
2022-01-26,2022-01-27,100,102.67075744779248
2022-01-27,2022-01-28,100,102.31811134350208
2022-01-28,2022-01-31,100,98.78841809843247
2022-01-31,2022-02-02,100,102.25316290596061
2022-02-03,2022-02-09,100,102.67034023608879
2022-02-09,2022-02-10,100,98.91321455552756
2022-02-10,2022-02-23,100,98.43014482606817
2022-02-23,2022-02-25,100,104.86442940723985
