date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-13,97.45444488830164,100,-2.545555111698363,1,97.45444488830164
2021-01-13,97.45444488830164,200,-2.545555111698363,2,0.0
2021-01-14,195.7757227855477,200,-4.119415229505535,2,98.32127789724606
2021-01-14,195.7757227855477,300,-4.119415229505535,3,0.0
2021-01-27,298.10910529223423,300,-1.8142555250108217,3,102.3333825066865
2021-01-27,298.10910529223423,400,-1.8142555250108217,4,2.3333825066865046
2021-02-04,401.0517749423104,400,1.0091458251576029,4,105.27605215676265
2021-02-04,401.0517749423104,500,1.0091458251576029,5,5.2760521567626455
2021-02-05,499.1418117168653,500,-0.8234053582054628,5,103.36608893131758
2021-02-05,499.1418117168653,600,-0.8234053582054628,6,3.3660889313175772
2021-02-18,602.3129960850181,600,2.219248861048854,6,106.53727329947043
2021-02-18,602.3129960850181,700,2.219248861048854,7,6.537273299470428
2021-02-19,700.4022293718256,700,0.38592675581526237,7,104.62650658627794
2021-02-19,700.4022293718256,800,0.38592675581526237,8,4.626506586277941
2021-02-24,804.7336817761435,800,4.541822598974292,8,108.9579589905959
2021-02-24,804.7336817761435,900,4.541822598974292,9,8.957958990595898
2021-02-26,903.2551571262276,900,3.123223507254295,9,107.47943434067996
2021-02-26,903.2551571262276,1000,3.123223507254295,10,7.479434340679958
2021-03-04,1001.5253093456718,1000,1.4634875735654305,10,105.74958656012419
2021-03-04,1001.5253093456718,1100,1.4634875735654305,11,5.749586560124186
2021-03-05,1105.7648410662587,1100,5.531188337623988,11,109.98911828071098
2021-03-05,1105.7648410662587,1200,5.531188337623988,12,9.989118280710983
2021-03-09,1208.4595460234439,1200,8.116675163923247,12,112.68382323789628
2021-03-09,1208.4595460234439,1300,8.116675163923247,13,12.683823237896277
2021-03-15,1312.2798255533255,1300,11.782116299121498,13,116.50410276777785
2021-03-15,1312.2798255533255,1400,11.782116299121498,14,16.50410276777785
2021-03-18,1410.6795501901356,1400,10.246701129105858,14,114.90382740458801
2021-03-18,1410.6795501901356,1500,10.246701129105858,15,14.903827404588014
2021-03-19,1509.535198656005,1500,9.148730901136773,15,113.75947587045735
2021-03-19,1509.535198656005,1600,9.148730901136773,16,13.75947587045735
2021-03-26,1614.298708184709,1600,13.719172314611527,16,118.52298539916141
2021-03-26,1614.298708184709,1700,13.719172314611527,17,18.522985399161414
2021-03-30,1711.8030240294888,1700,11.324639848739707,17,116.02730124394111
2021-03-30,1711.8030240294888,1800,11.324639848739707,18,16.02730124394111
2021-04-05,1814.5632828999821,1800,13.973023645936749,18,118.78756011443438
2021-04-05,1814.5632828999821,1900,13.973023645936749,19,18.787560114434385
2021-04-06,1912.669090152493,1900,12.155603752880921,19,116.89336736694527
2021-04-06,1912.669090152493,2000,12.155603752880921,20,16.89336736694527
2021-04-07,2010.7650502718295,2000,10.328735837312948,20,114.98932748628182
2021-04-07,2010.7650502718295,2100,10.328735837312948,21,14.989327486281823
2021-04-12,2112.8923076332744,2100,12.369774085117385,21,117.11658484772653
2021-04-12,2112.8923076332744,2200,12.369774085117385,22,17.11658484772653
2021-04-21,2215.292107287024,2200,14.672308310239984,22,119.51638450147594
2021-04-21,2215.292107287024,2300,14.672308310239984,23,19.51638450147594
2021-04-28,2311.3338957925266,2300,10.87452568196339,23,115.55817300697863
2021-04-28,2311.3338957925266,2400,10.87452568196339,24,15.558173006978635
2021-05-03,2413.9268266790723,2400,13.362363406383622,24,118.15110389352408
2021-05-03,2413.9268266790723,2500,13.362363406383622,25,18.15110389352408
2021-05-06,2515.938384503266,2500,15.292391493846111,25,120.1626617177178
2021-05-06,2515.938384503266,2600,15.292391493846111,26,20.162661717717796
2021-05-12,2612.933470641309,2600,12.40926872987238,26,117.15774785576083
2021-05-12,2612.933470641309,2700,12.40926872987238,27,17.15774785576083
2021-05-14,2715.6764686345036,2700,15.041091244266312,27,119.90074584895514
2021-05-14,2715.6764686345036,2800,15.041091244266312,28,19.90074584895514
2021-05-18,2814.5984774877247,2800,14.006791774325464,28,118.82275470217637
2021-05-18,2814.5984774877247,2900,14.006791774325464,29,18.82275470217637
2021-05-24,2916.9373104857127,2900,16.250830361588143,29,121.1615877001643
2021-05-24,2916.9373104857127,3000,16.250830361588143,30,21.161587700164304
2021-05-26,3015.5872627752888,3000,14.955500956092635,30,119.81153998974035
2021-05-26,3015.5872627752888,3100,14.955500956092635,31,19.811539989740353
2021-06-02,3117.673264507866,3100,16.956955692291075,31,121.8975417223176
2021-06-02,3117.673264507866,3200,16.956955692291075,32,21.897541722317598
2021-06-18,3215.342513378152,3200,14.720671409965647,32,119.56679059260351
2021-06-18,3215.342513378152,3300,14.720671409965647,33,19.56679059260351
2021-06-22,3317.356297512006,3300,16.652835573321468,33,121.58057472645778
2021-06-22,3317.356297512006,3400,16.652835573321468,34,21.580574726457783
2021-07-02,3419.7420644216386,3400,18.941905810501837,34,123.96634163609019
2021-07-02,3419.7420644216386,3500,18.941905810501837,35,23.966341636090192
2021-07-15,3522.4947934202146,3500,21.58306492634982,35,126.71907063466637
2021-07-15,3522.4947934202146,3600,21.58306492634982,36,26.719070634666366
2021-07-19,3619.9136515989626,3600,19.106538448798787,36,124.13792881341428
2021-07-19,3619.9136515989626,3700,19.106538448798787,37,24.137928813414277
2021-07-23,3722.0956774162028,3700,21.200125351541516,37,126.31995463065432
2021-07-23,3722.0956774162028,3800,21.200125351541516,38,26.319954630654323
2021-08-03,3825.6630432533116,3800,24.622903549147424,38,129.88732046776292
2021-08-03,3825.6630432533116,3900,24.622903549147424,39,29.88732046776292
2021-08-18,3923.3352435828265,3900,22.389451101503568,39,127.55952079727761
2021-08-18,3923.3352435828265,4000,22.389451101503568,40,27.559520797277614
2021-09-07,4020.343322657136,4000,19.518794661704916,40,124.56759987158735
2021-09-07,4020.343322657136,4100,19.518794661704916,41,24.567599871587348
2021-09-16,4118.8942683557325,4100,18.128471466254297,41,123.11854557018405
2021-09-16,4118.8942683557325,4200,18.128471466254297,42,23.118545570184054
2021-10-05,4221.596120494204,4200,20.72081579397029,42,125.8203977086559
2021-10-05,4221.596120494204,4300,20.72081579397029,43,25.820397708655904
2021-10-14,4323.9290033929265,4300,22.959145443330556,43,128.15328060737843
2021-10-14,4323.9290033929265,4400,22.959145443330556,44,28.153280607378434
