purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-13,100,97.45444488830164
2021-01-13,2021-01-14,100,98.32127789724606
2021-01-14,2021-01-27,100,102.3333825066865
2021-01-27,2021-02-04,100,102.94266965007614
2021-02-04,2021-02-05,100,98.09003677455493
2021-02-05,2021-02-18,100,103.17118436815285
2021-02-18,2021-02-19,100,98.08923328680751
2021-02-19,2021-02-24,100,104.33145240431796
2021-02-24,2021-02-26,100,98.52147535008406
2021-02-26,2021-03-04,100,98.27015221944423
2021-03-04,2021-03-05,100,104.2395317205868
2021-03-05,2021-03-09,100,102.6947049571853
2021-03-09,2021-03-15,100,103.82027952988157
2021-03-15,2021-03-18,100,98.39972463681016
2021-03-18,2021-03-19,100,98.85564846586934
2021-03-19,2021-03-26,100,104.76350952870406
2021-03-26,2021-03-30,100,97.5043158447797
2021-03-30,2021-04-05,100,102.76025887049327
2021-04-05,2021-04-06,100,98.10580725251089
2021-04-06,2021-04-07,100,98.09596011933655
2021-04-07,2021-04-12,100,102.1272573614447
2021-04-12,2021-04-21,100,102.39979965374941
2021-04-21,2021-04-28,100,96.0417885055027
2021-04-28,2021-05-03,100,102.59293088654545
2021-05-03,2021-05-06,100,102.01155782419372
2021-05-06,2021-05-12,100,96.99508613804304
2021-05-12,2021-05-14,100,102.74299799319431
2021-05-14,2021-05-18,100,98.92200885322123
2021-05-18,2021-05-24,100,102.33883299798794
2021-05-24,2021-05-26,100,98.64995228957605
2021-05-26,2021-06-02,100,102.08600173257724
2021-06-02,2021-06-18,100,97.66924887028591
2021-06-18,2021-06-22,100,102.01378413385427
2021-06-22,2021-07-02,100,102.38576690963241
2021-07-02,2021-07-15,100,102.75272899857617
2021-07-15,2021-07-19,100,97.41885817874791
2021-07-19,2021-07-23,100,102.18202581724005
2021-07-23,2021-08-03,100,103.5673658371086
2021-08-03,2021-08-18,100,97.6722003295147
2021-08-18,2021-09-07,100,97.00807907430973
2021-09-07,2021-09-16,100,98.5509456985967
2021-09-16,2021-10-05,100,102.70185213847185
2021-10-05,2021-10-14,100,102.33288289872253
2021-10-14,2021-10-15,100,102.14077786668368
2021-10-15,2021-10-22,100,102.23624514591103
2021-10-22,2021-10-28,100,102.38805970149254
2021-10-28,2021-11-05,100,102.98845297399049
2021-11-05,2021-11-16,100,102.46172775662687
2021-11-16,2021-11-26,100,97.60611914582572
2021-11-26,2021-11-29,100,102.73387003307568
2021-11-29,2021-11-30,100,97.87822117700148
2021-11-30,2021-12-01,100,98.2555845675756
2021-12-01,2021-12-02,100,102.45125021430957
2021-12-02,2021-12-03,100,98.90564791368492
2021-12-03,2021-12-07,100,102.28371699541385
2021-12-07,2021-12-14,100,98.1320656976567
2021-12-14,2021-12-22,100,103.43879198679844
2021-12-22,2021-12-27,100,103.64996998027274
2021-12-27,2022-01-05,100,98.68592541716488
2022-01-05,2022-01-07,100,98.26719493532903
2022-01-07,2022-01-10,100,97.50535450674539
2022-01-10,2022-01-14,100,98.22609228345767
