purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,97.51790233879588
2021-01-07,2021-01-19,100,98.31668618890426
2021-01-19,2021-01-21,100,98.28627707521925
2021-01-21,2021-01-25,100,104.65573124968779
2021-01-25,2021-01-28,100,98.44262651816891
2021-01-28,2021-01-29,100,98.39032167895994
2021-01-29,2021-02-05,100,102.0354858394368
2021-02-05,2021-02-08,100,97.82953951405777
2021-02-08,2021-02-18,100,102.06614750396777
2021-02-18,2021-02-19,100,97.62555804365331
2021-02-19,2021-02-22,100,98.16208402068165
2021-02-22,2021-02-26,100,98.96912114014252
2021-02-26,2021-03-02,100,102.33463735419765
2021-03-02,2021-03-03,100,98.91633197502271
2021-03-03,2021-03-05,100,102.43114161110923
2021-03-05,2021-03-09,100,103.31986464766582
2021-03-09,2021-03-12,100,103.45206607288628
2021-03-12,2021-03-23,100,103.4669445816725
2021-03-23,2021-03-25,100,102.01281967427562
2021-03-25,2021-04-09,100,98.70229291505788
2021-04-09,2021-04-13,100,102.17235685323307
2021-04-13,2021-04-16,100,102.38289604520637
2021-04-16,2021-05-11,100,98.98916761262728
2021-05-11,2021-05-12,100,98.84949168108461
2021-05-12,2021-05-19,100,102.1596229830086
2021-05-19,2021-06-04,100,102.27958314490037
2021-06-04,2021-06-16,100,98.04769493897224
2021-06-16,2021-06-18,100,97.85556766935925
2021-06-18,2021-06-24,100,98.95322029091562
2021-06-24,2021-06-29,100,98.35001528948301
2021-06-29,2021-07-07,100,103.01605204719215
2021-07-07,2021-07-15,100,102.12509360741836
2021-07-15,2021-07-21,100,97.89600333374965
2021-07-21,2021-07-27,100,103.26658111064515
2021-07-27,2021-07-30,100,98.74159832180493
2021-07-30,2021-08-03,100,102.01534331693622
2021-08-03,2021-08-09,100,102.45201730121454
2021-08-09,2021-08-16,100,102.16659812093837
2021-08-16,2021-08-23,100,97.7006933882754
2021-08-23,2021-09-13,100,98.9508168690979
2021-09-13,2021-09-16,100,98.7914940186694
2021-09-16,2021-09-17,100,98.29533860012243
2021-09-17,2021-09-27,100,98.32521458458451
2021-09-27,2021-09-30,100,98.5407541929281
2021-09-30,2021-10-06,100,102.43140315837536
2021-10-06,2021-10-08,100,98.99880219837685
2021-10-08,2021-10-11,100,98.94163856736978
2021-10-11,2021-10-14,100,103.23637759602993
2021-10-14,2021-10-18,100,98.54606706708925
2021-10-18,2021-10-20,100,102.01940689762026
2021-10-20,2021-11-08,100,98.37598714506868
2021-11-08,2021-11-15,100,103.38680039241268
2021-11-15,2021-11-18,100,98.40229276046433
2021-11-18,2021-11-22,100,102.20333051059018
2021-11-22,2021-11-26,100,97.9488180349794
2021-11-26,2021-11-30,100,96.54481532823338
2021-11-30,2021-12-02,100,102.00916456587332
2021-12-02,2021-12-03,100,102.16297668091192
2021-12-03,2021-12-07,100,102.41994957932144
2021-12-07,2021-12-15,100,102.19645951982992
2021-12-15,2021-12-17,100,97.71540401783383
2021-12-17,2021-12-28,100,102.32624993021133
2021-12-28,2022-01-10,100,98.97098942431593
2022-01-10,2022-01-24,100,98.73109486174353
2022-01-24,2022-01-31,100,102.70764427463503
2022-01-31,2022-02-01,100,98.70459758547817
2022-02-01,2022-02-10,100,97.68187784184128
2022-02-10,2022-02-15,100,98.62118029270377
2022-02-15,2022-02-24,100,98.66151042642382
2022-02-24,2022-02-25,100,103.33841732189293
2022-02-25,2022-03-01,100,98.55843859881473
2022-03-01,2022-03-03,100,102.96100537869368
2022-03-03,2022-03-04,100,102.54239878847167
2022-03-04,2022-03-08,100,98.67311685675922
2022-03-08,2022-03-09,100,98.84910411633531
2022-03-09,2022-03-17,100,102.15589853792955
2022-03-17,2022-03-25,100,102.44884243862357
2022-03-25,2022-03-30,100,103.34878945748554
2022-03-30,2022-04-06,100,103.5279732630492
2022-04-06,2022-04-18,100,98.91898985339121
2022-04-18,2022-04-20,100,102.52919113854462
2022-04-20,2022-04-22,100,98.34535628407495
2022-04-22,2022-04-26,100,97.97681047149517
2022-04-26,2022-04-29,100,97.87186500254602
2022-05-02,2022-05-04,100,102.02177724871595
2022-05-04,2022-05-06,100,98.71087176400675
2022-05-06,2022-05-24,100,103.0869435538812
2022-05-24,2022-06-01,100,98.80638318089272
2022-06-01,2022-06-03,100,98.87667766289309
2022-06-03,2022-06-09,100,97.00286206674222
2022-06-09,2022-06-13,100,95.15235223010949
2022-06-13,2022-06-14,100,97.3357154781398
2022-06-14,2022-06-16,100,98.43938918446833
2022-06-16,2022-06-23,100,104.03665462309894
2022-06-23,2022-06-24,100,103.04767967770134
2022-06-24,2022-06-30,100,102.78684481081406
2022-06-30,2022-07-01,100,102.02536244478806
2022-07-01,2022-07-05,100,95.44420911949513
2022-07-05,2022-07-13,100,98.96568639869552
2022-07-13,2022-07-20,100,98.58753577994463
2022-07-20,2022-07-25,100,102.83046592570824
2022-07-25,2022-07-28,100,104.28182994113145
2022-07-28,2022-08-10,100,102.0530086322558
2022-08-10,2022-08-15,100,102.17143251562193
2022-08-15,2022-08-26,100,98.74988916521349
2022-08-26,2022-08-30,100,98.4702510814922
2022-08-30,2022-09-07,100,103.08651088469196
2022-09-07,2022-09-13,100,97.35382541713395
2022-09-13,2022-09-15,100,97.95869361583375
2022-09-15,2022-09-23,100,97.69686208777497
2022-09-23,2022-09-26,100,97.33955260992613
2022-09-26,2022-09-27,100,98.15474718341176
2022-09-27,2022-09-29,100,96.92161188627128
2022-09-29,2022-09-30,100,97.64817739545626
2022-09-30,2022-10-03,100,102.73119405839361
2022-10-03,2022-10-05,100,98.41696840506921
2022-10-05,2022-10-06,100,96.80748875314781
2022-10-06,2022-10-07,100,97.61540809302885
2022-10-07,2022-10-12,100,97.37518249703034
2022-10-12,2022-10-13,100,103.00242364966172
2022-10-13,2022-10-14,100,98.78228204726872
2022-10-14,2022-10-18,100,104.07872776439771
2022-10-18,2022-10-19,100,98.99192371808371
2022-10-19,2022-10-20,100,97.53052718996062
2022-10-20,2022-10-25,100,103.7849252121169
2022-10-25,2022-10-28,100,103.53370312082582
2022-10-28,2022-11-02,100,98.59098263125004
2022-11-02,2022-11-10,100,105.08812209210741
2022-11-10,2022-11-11,100,97.67879400211513
2022-11-11,2022-11-14,100,98.99186288465211
2022-11-14,2022-11-16,100,102.42473661017817
2022-11-16,2022-11-17,100,98.94647396515498
2022-11-17,2022-11-18,100,103.09847551391333
2022-11-18,2022-11-23,100,102.27437346081413
2022-11-23,2022-11-29,100,98.97891346065978
2022-11-29,2022-11-30,100,102.38418651565317
2022-11-30,2022-12-02,100,98.56700031561387
2022-12-02,2022-12-12,100,103.7112598019091
2022-12-12,2022-12-15,100,97.24335648913882
2022-12-15,2022-12-19,100,98.99081528517972
2022-12-19,2022-12-23,100,102.55441008018329
2022-12-23,2023-01-03,100,98.83837819725231
2023-01-03,2023-01-05,100,97.18612272573172
2023-01-05,2023-01-06,100,102.69767441860465
2023-01-06,2023-01-11,100,102.60416666666667
2023-01-11,2023-01-17,100,98.47715736040608
2023-01-17,2023-01-18,100,97.1313312415957
2023-01-18,2023-02-03,100,98.40793724042453
2023-02-03,2023-02-09,100,98.14771395076201
2023-02-09,2023-02-10,100,102.12613473483039
2023-02-10,2023-02-17,100,102.05847953216376
2023-02-17,2023-02-21,100,98.60187944075179
2023-02-21,2023-02-23,100,98.74476987447697
2023-02-23,2023-02-27,100,98.75235404896424
2023-02-27,2023-02-28,100,98.58164481525624
2023-02-28,2023-03-01,100,97.9808971103857
2023-03-01,2023-03-03,100,103.31934846989141
2023-03-03,2023-03-07,100,98.45933357219634
2023-03-07,2023-03-10,100,98.31392527899078
2023-03-10,2023-03-13,100,102.78840222085132
2023-03-13,2023-03-15,100,102.31664866162524
2023-03-15,2023-03-21,100,98.24026278742375
2023-03-21,2023-03-22,100,97.69524719369478
2023-03-22,2023-03-23,100,98.53318665199853
2023-03-23,2023-03-24,100,104.255055204069
2023-03-24,2023-03-29,100,102.34412184673964
2023-03-29,2023-04-05,100,103.79025694686663
2023-04-05,2023-04-18,100,98.90220678839476
2023-04-18,2023-04-24,100,102.75229357798163
2023-04-24,2023-04-26,100,98.09303350970016
2023-04-26,2023-05-12,100,98.57287335655693
2023-05-12,2023-05-15,100,96.96762425900593
2023-05-15,2023-05-16,100,98.18951328474017
2023-05-16,2023-05-24,100,98.33572796934867
2023-05-24,2023-05-25,100,98.56325337878972
2023-05-25,2023-05-30,100,98.99938233477455
2023-05-30,2023-06-05,100,102.24606937858746
2023-06-05,2023-06-07,100,102.01366853795462
2023-06-07,2023-06-13,100,98.73190573035052
2023-06-13,2023-06-23,100,97.94014297831092
2023-06-23,2023-06-27,100,102.1774093777063
2023-06-27,2023-06-28,100,97.89320741009806
2023-06-28,2023-07-03,100,102.47371675943104
2023-07-03,2023-07-12,100,102.07604103802052
2023-07-12,2023-07-20,100,102.79058767884595
