purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,97.9773783838474
2021-01-07,2021-01-11,100,98.60376665160149
2021-01-11,2021-01-12,100,98.81426150443802
2021-01-12,2021-01-15,100,103.37705775477619
2021-01-15,2021-01-22,100,102.001184999767
2021-01-22,2021-01-27,100,98.00204938094336
2021-01-27,2021-02-02,100,102.07797500995632
2021-02-02,2021-02-03,100,98.98796941465068
2021-02-03,2021-02-11,100,98.02919496351291
2021-02-11,2021-02-22,100,97.23749551214041
2021-02-22,2021-02-26,100,97.49878652356632
2021-02-26,2021-03-01,100,102.48722771125693
2021-03-01,2021-03-05,100,102.85408634085178
2021-03-05,2021-03-08,100,102.01574002187834
2021-03-08,2021-03-15,100,102.22347668501759
2021-03-15,2021-03-23,100,102.86759393063582
2021-03-23,2021-04-06,100,102.51647820988
2021-04-06,2021-04-09,100,98.9871875183525
2021-04-09,2021-04-15,100,102.22829244175269
2021-04-15,2021-04-20,100,102.66117585040347
2021-04-20,2021-04-22,100,97.5686854601643
2021-04-22,2021-04-28,100,98.61306256065589
2021-04-28,2021-04-30,100,102.28250305402753
2021-04-30,2021-05-05,100,98.60244303202127
2021-05-05,2021-05-12,100,97.97663131142109
2021-05-12,2021-05-14,100,102.09438936044752
2021-05-14,2021-05-17,100,98.4899758420402
2021-05-17,2021-06-08,100,97.09737666222338
2021-06-08,2021-06-10,100,102.1214155119628
2021-06-10,2021-06-18,100,97.19110965332418
2021-06-18,2021-06-25,100,102.93902961272714
2021-06-25,2021-07-15,100,102.84182918227248
2021-07-15,2021-07-19,100,98.38336513149952
2021-07-19,2021-07-21,100,98.77545559875888
2021-07-21,2021-07-26,100,103.49563542605075
2021-07-26,2021-08-05,100,102.25535383902404
2021-08-05,2021-08-20,100,102.43421330715799
2021-08-20,2021-08-23,100,98.94535225991031
2021-08-23,2021-09-07,100,98.65747321375821
2021-09-07,2021-09-14,100,98.78574598947436
2021-09-14,2021-09-16,100,97.8932429011058
2021-09-16,2021-09-17,100,97.81341939776753
2021-09-17,2021-09-21,100,98.67967788907357
2021-09-21,2021-09-24,100,98.86744032455891
2021-09-24,2021-09-30,100,98.94060733762383
2021-09-30,2021-10-04,100,102.2916784551361
2021-10-04,2021-10-20,100,102.23933136874291
2021-10-21,2021-10-27,100,98.94375430401739
2021-10-27,2021-11-11,100,98.91526456448348
2021-11-11,2021-11-22,100,102.04552539754283
2021-11-22,2021-11-26,100,97.92321273236104
2021-11-26,2021-11-30,100,98.18337864758874
2021-11-30,2021-12-06,100,103.01060065260307
