purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,103.35886511965191
2021-01-05,2021-01-06,100,103.99910546325164
2021-01-06,2021-01-07,100,98.99734790509801
2021-01-07,2021-01-08,100,102.79522813712505
2021-01-08,2021-01-12,100,102.35129849682627
2021-01-12,2021-01-13,100,103.30808683930357
2021-01-13,2021-01-14,100,102.12301579526888
2021-01-14,2021-01-19,100,102.2235353252424
2021-01-19,2021-01-21,100,97.21750945889136
2021-01-21,2021-01-25,100,96.15139592977687
2021-01-25,2021-01-26,100,93.63503122051117
2021-01-26,2021-01-27,100,93.48197131878689
2021-01-27,2021-01-28,100,107.62896529577723
2021-01-28,2021-02-02,100,104.89269654540416
2021-02-02,2021-02-05,100,104.31136069957007
2021-02-05,2021-02-08,100,103.05254300673148
2021-02-08,2021-02-12,100,103.07061313978983
2021-02-12,2021-02-18,100,97.47307115376857
2021-02-18,2021-02-22,100,97.08886907247914
2021-02-22,2021-02-24,100,103.70258413554699
2021-02-24,2021-02-25,100,94.10964535296536
2021-02-25,2021-03-01,100,102.4651746430103
2021-03-01,2021-03-04,100,95.84980390333132
2021-03-04,2021-03-09,100,106.37738702203963
2021-03-09,2021-03-11,100,102.35917901938427
2021-03-11,2021-03-16,100,98.97032011793232
2021-03-16,2021-03-17,100,96.2747716989202
2021-03-17,2021-03-18,100,96.83443424718926
2021-03-18,2021-03-23,100,98.38298146344606
2021-03-23,2021-03-25,100,102.1078768243995
2021-03-25,2021-03-30,100,102.91406434657895
2021-03-30,2021-04-06,100,103.49642455360444
2021-04-06,2021-04-07,100,97.37167745502553
2021-04-07,2021-04-08,100,102.18436757633698
2021-04-08,2021-04-13,100,102.01859832161489
2021-04-13,2021-04-27,100,98.44190010374982
2021-04-27,2021-05-03,100,98.91145196198363
2021-05-03,2021-05-04,100,97.66385192345014
2021-05-04,2021-05-06,100,95.28140147441592
2021-05-06,2021-05-12,100,96.7386948236237
2021-05-12,2021-05-14,100,103.04617452728495
2021-05-14,2021-05-18,100,98.1047320164913
2021-05-18,2021-05-24,100,103.25660164335446
2021-05-24,2021-05-25,100,98.59678536283121
2021-05-25,2021-06-03,100,98.93374077907568
2021-06-03,2021-06-11,100,103.23283735760072
2021-06-11,2021-06-18,100,97.14227114240788
2021-06-18,2021-06-21,100,104.01692382210115
2021-06-21,2021-06-22,100,98.43227624414939
2021-06-22,2021-06-28,100,103.06893581921179
2021-06-28,2021-06-30,100,98.26524967929481
2021-06-30,2021-07-08,100,97.77391859792003
2021-07-08,2021-07-13,100,97.7636591550331
2021-07-13,2021-07-15,100,98.63510307728289
2021-07-15,2021-07-19,100,95.93375789705459
2021-07-19,2021-07-20,100,102.20426286960245
2021-07-20,2021-07-30,100,98.95618751484527
2021-07-30,2021-08-05,100,104.84991577128193
2021-08-05,2021-08-06,100,98.99313634490596
2021-08-06,2021-08-09,100,98.25296848195364
2021-08-09,2021-08-11,100,102.97761439936323
2021-08-11,2021-08-16,100,97.87146508197063
2021-08-16,2021-08-17,100,98.88965789574247
2021-08-17,2021-08-18,100,98.63116042215906
2021-08-18,2021-08-20,100,102.35906142527533
2021-08-20,2021-08-26,100,98.1529288177979
2021-08-26,2021-09-02,100,102.76229927291949
2021-09-02,2021-09-08,100,98.45168472050632
2021-09-08,2021-09-10,100,98.41962576395463
2021-09-10,2021-09-16,100,102.15144539358307
2021-09-16,2021-09-20,100,98.51156371009998
2021-09-20,2021-09-22,100,98.958698199776
2021-09-22,2021-09-28,100,97.42091670635944
2021-09-28,2021-10-07,100,104.46714123594344
2021-10-07,2021-10-20,100,103.90686051404478
2021-10-20,2021-10-27,100,102.51284106827771
2021-10-27,2021-10-29,100,97.93492369335452
2021-10-29,2021-11-08,100,95.7140211150213
2021-11-08,2021-11-11,100,104.06163187725228
2021-11-11,2021-11-18,100,98.34825837751615
2021-11-18,2021-11-26,100,97.38770536577167
2021-11-26,2021-11-30,100,98.10892554352752
2021-11-30,2021-12-02,100,102.99485465499802
2021-12-02,2021-12-03,100,98.6729291204099
2021-12-03,2021-12-06,100,102.52410295466738
2021-12-06,2021-12-08,100,102.13654109950406
2021-12-08,2021-12-09,100,98.67058974242417
2021-12-09,2021-12-13,100,97.43267579679188
2021-12-13,2021-12-14,100,98.70658528198075
2021-12-14,2021-12-15,100,102.20484168078352
2021-12-15,2021-12-20,100,96.22316718791276
2021-12-20,2021-12-21,100,102.11575078598946
2021-12-21,2021-12-31,100,102.48647054742246
2021-12-31,2022-01-05,100,96.01213495696913
2022-01-05,2022-01-10,100,98.40822855934108
2022-01-10,2022-01-12,100,102.05055865296342
2022-01-12,2022-01-14,100,98.42332063681522
2022-01-14,2022-01-18,100,97.9580099067729
2022-01-18,2022-01-19,100,102.12051285552386
2022-01-19,2022-01-24,100,97.92351918705708
2022-01-24,2022-01-25,100,98.14073942588219
2022-01-25,2022-02-03,100,98.85542559802622
2022-02-03,2022-02-08,100,103.35713414462514
2022-02-08,2022-02-09,100,102.17734687763826
2022-02-09,2022-02-10,100,97.25957416563385
2022-02-10,2022-02-11,100,96.42051319527545
2022-02-11,2022-02-18,100,98.65375050330405
2022-02-18,2022-02-22,100,98.82456317252704
2022-02-22,2022-02-23,100,97.80871170711562
2022-02-23,2022-02-25,100,102.72571471150742
2022-02-25,2022-03-01,100,97.91432937444388
2022-03-01,2022-03-02,100,103.58259375046299
2022-03-02,2022-03-07,100,102.1460618977462
2022-03-07,2022-03-08,100,98.58519189297684
2022-03-08,2022-03-10,100,103.66424719345844
2022-03-10,2022-03-14,100,97.1777913785386
2022-03-14,2022-03-15,100,102.85763972119213
2022-03-15,2022-03-17,100,104.78927815831443
2022-03-17,2022-03-24,100,103.5425860354782
2022-03-24,2022-03-29,100,104.9918297901014
2022-03-29,2022-04-01,100,103.02846759539672
2022-04-01,2022-04-05,100,98.93206567231586
2022-04-05,2022-04-06,100,98.22516410345209
2022-04-06,2022-04-08,100,97.4490981498249
2022-04-08,2022-04-12,100,98.4701785545428
2022-04-12,2022-04-18,100,98.57041459646778
2022-04-18,2022-04-20,100,103.35682759672322
2022-04-20,2022-04-21,100,92.37534373450377
2022-04-21,2022-04-22,100,97.74096519169854
2022-04-22,2022-04-25,100,98.17669326506713
2022-04-25,2022-04-26,100,96.64581570710644
2022-04-26,2022-04-27,100,98.87630236985869
2022-04-27,2022-04-29,100,97.50741437784541
2022-04-29,2022-05-04,100,107.34589984171954
2022-05-04,2022-05-05,100,97.30801586347795
2022-05-05,2022-05-06,100,98.17168751959416
2022-05-06,2022-05-09,100,95.79770942503374
2022-05-09,2022-05-12,100,96.95941168151604
2022-05-12,2022-05-13,100,104.06161443573929
2022-05-13,2022-05-17,100,102.56901859685128
2022-05-17,2022-05-18,100,97.44700996110241
2022-05-18,2022-05-19,100,102.17463163483016
2022-05-19,2022-05-23,100,102.2258931022313
2022-05-23,2022-05-26,100,104.11749756651913
2022-05-26,2022-06-06,100,103.22747034116868
2022-06-06,2022-06-08,100,97.84201227782141
2022-06-08,2022-06-09,100,96.98459237507238
2022-06-09,2022-06-10,100,96.00929034199366
2022-06-10,2022-06-13,100,93.5716874136901
2022-06-13,2022-06-14,100,97.67583041569192
2022-06-14,2022-06-15,100,103.38462692484917
2022-06-15,2022-06-16,100,96.87958332253635
2022-06-16,2022-06-21,100,105.01567398119123
2022-06-21,2022-06-23,100,104.07264021190971
2022-06-23,2022-06-24,100,103.47813318323095
2022-06-24,2022-06-28,100,98.92626211502713
2022-06-28,2022-06-29,100,96.08302532741068
2022-06-29,2022-06-30,100,103.19235228839159
2022-06-30,2022-07-01,100,102.2371289134083
2022-07-01,2022-07-05,100,98.60332165110871
2022-07-05,2022-07-13,100,98.72513657542503
2022-07-13,2022-07-14,100,98.13496659026927
2022-07-14,2022-07-18,100,98.83077895402116
2022-07-18,2022-07-20,100,98.52018385291768
2022-07-20,2022-07-22,100,98.74897311331758
2022-07-22,2022-07-26,100,102.07825153673531
2022-07-26,2022-07-28,100,110.62542132429141
2022-07-28,2022-08-04,100,103.96909490265986
2022-08-04,2022-08-05,100,105.30427289865149
2022-08-05,2022-08-08,100,98.55495651162597
2022-08-08,2022-08-10,100,102.3458012854283
2022-08-10,2022-08-15,100,103.06990994107255
2022-08-15,2022-08-18,100,103.33605011666187
2022-08-18,2022-08-19,100,98.30927213256729
2022-08-19,2022-08-22,100,97.61516165695926
2022-08-22,2022-08-24,100,102.4028137577606
2022-08-24,2022-08-25,100,102.73750555723858
2022-08-25,2022-08-26,100,97.5640578866546
2022-08-26,2022-09-02,100,102.02888880166425
2022-09-02,2022-09-07,100,103.93861636768627
