date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,104.0325819966454,100,4.032581996645405,1,104.0325819966454
2021-01-06,104.0325819966454,200,4.032581996645405,2,4.032581996645405
2021-01-12,206.8118417967128,200,6.811841796712798,2,106.8118417967128
2021-01-12,206.8118417967128,300,6.811841796712798,3,6.811841796712798
2021-01-27,304.58335090033034,300,4.5833509003303305,3,104.58335090033033
2021-01-27,304.58335090033034,400,4.5833509003303305,4,4.5833509003303305
2021-01-28,406.7347924523303,400,6.734792452330282,4,106.73479245233028
2021-01-28,406.7347924523303,500,6.734792452330282,5,6.734792452330282
2021-01-29,504.69363185853814,500,4.693631858538126,5,104.69363185853813
2021-01-29,504.69363185853814,600,4.693631858538126,6,4.693631858538126
2021-02-02,607.1950397586029,600,7.195039758602832,6,107.19503975860283
2021-02-02,607.1950397586029,700,7.195039758602832,7,7.195039758602832
2021-02-04,705.9860956152278,700,5.986095615227711,7,105.98609561522773
2021-02-04,705.9860956152278,800,5.986095615227711,8,5.986095615227725
2021-02-10,808.0415166042383,800,8.041516604238225,8,108.04151660423821
2021-02-10,808.0415166042383,900,8.041516604238225,9,8.041516604238211
2021-02-18,910.0422551999156,900,10.042255199915644,9,110.04225519991563
2021-02-18,910.0422551999156,1000,10.042255199915644,10,10.04225519991563
2021-02-22,1014.1021177518229,1000,14.102117751822902,10,114.10211775182292
2021-02-22,1014.1021177518229,1100,14.102117751822902,11,14.102117751822917
2021-02-25,1112.9639243077322,1100,12.963924307732299,11,112.9639243077323
2021-02-25,1112.9639243077322,1200,12.963924307732299,12,12.963924307732299
2021-02-26,1211.4042542676461,1200,11.40425426764611,12,111.40425426764611
2021-02-26,1211.4042542676461,1300,11.40425426764611,13,11.40425426764611
2021-03-03,1313.5957490096284,1300,13.595749009628292,13,113.5957490096283
2021-03-03,1313.5957490096284,1400,13.595749009628292,14,13.595749009628307
2021-03-04,1412.493101931355,1400,12.49310193135507,14,112.49310193135507
2021-03-04,1412.493101931355,1500,12.49310193135507,15,12.49310193135507
2021-03-05,1515.6938387543883,1500,15.693838754388125,15,115.69383875438812
2021-03-05,1515.6938387543883,1600,15.693838754388125,16,15.693838754388125
2021-03-11,1617.8173581952506,1600,17.817358195250407,16,117.8173581952504
2021-03-11,1617.8173581952506,1700,17.817358195250407,17,17.817358195250407
2021-03-15,1720.033436015848,1700,20.03343601584797,17,120.03343601584797
2021-03-15,1720.033436015848,1800,20.03343601584797,18,20.03343601584797
2021-03-16,1818.0363953362055,1800,18.03639533620543,18,118.03639533620542
2021-03-16,1818.0363953362055,1900,18.03639533620543,19,18.036395336205416
2021-03-22,1916.9623655281498,1900,16.96236552814969,19,116.96236552814969
2021-03-22,1916.9623655281498,2000,16.96236552814969,20,16.96236552814969
2021-03-23,2014.8843329471104,2000,14.884332947110138,20,114.88433294711014
