purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.0325819966454
2021-01-06,2021-01-12,100,102.7792598000674
2021-01-12,2021-01-27,100,97.77150910361753
2021-01-27,2021-01-28,100,102.15144155199995
2021-01-28,2021-01-29,100,97.95883940620784
2021-01-29,2021-02-02,100,102.5014079000647
2021-02-02,2021-02-04,100,98.7910558566249
2021-02-04,2021-02-10,100,102.05542098901049
2021-02-10,2021-02-18,100,102.00073859567742
2021-02-18,2021-02-22,100,104.05986255190729
2021-02-22,2021-02-25,100,98.86180655590938
2021-02-25,2021-02-26,100,98.44032995991381
2021-02-26,2021-03-03,100,102.1914947419822
2021-03-03,2021-03-04,100,98.89735292172676
2021-03-04,2021-03-05,100,103.20073682303305
2021-03-05,2021-03-11,100,102.12351944086228
2021-03-11,2021-03-15,100,102.21607782059756
2021-03-15,2021-03-16,100,98.00295932035745
2021-03-16,2021-03-22,100,98.92597019194427
2021-03-22,2021-03-23,100,97.92196741896045
2021-03-23,2021-03-25,100,103.31142728189207
2021-03-25,2021-04-12,100,102.5428348035203
2021-04-12,2021-04-19,100,102.13795259036877
2021-04-19,2021-04-20,100,98.18591850179908
2021-04-20,2021-04-29,100,103.10143230071367
2021-04-29,2021-05-05,100,102.13783170760824
2021-05-05,2021-05-10,100,102.07800384948187
2021-05-10,2021-05-11,100,97.6817412887546
2021-05-11,2021-05-12,100,98.6054891847897
2021-05-12,2021-05-14,100,103.69146111148393
2021-05-14,2021-06-04,100,102.40455022854691
2021-06-04,2021-06-09,100,98.4521823290214
2021-06-09,2021-06-14,100,97.95154427408114
2021-06-14,2021-06-17,100,96.44448022828426
2021-06-17,2021-06-18,100,97.41827514842298
2021-06-18,2021-06-24,100,102.07559427961034
2021-06-24,2021-07-08,100,98.43947372017516
2021-07-08,2021-07-12,100,102.55986640381114
2021-07-12,2021-07-13,100,98.91687116742376
2021-07-13,2021-07-19,100,97.40221148281955
2021-07-19,2021-07-20,100,102.45652557885609
2021-07-20,2021-07-29,100,104.96470850972548
2021-07-29,2021-07-30,100,98.90184133809625
2021-07-30,2021-08-06,100,102.25410532116048
2021-08-06,2021-08-16,100,102.27675794982902
2021-08-16,2021-08-18,100,98.56659280698081
2021-08-18,2021-09-03,100,98.82949511221764
2021-09-03,2021-09-09,100,98.97733882111487
2021-09-09,2021-09-14,100,98.45792512328177
2021-09-14,2021-09-20,100,95.91184269299853
2021-09-20,2021-09-21,100,98.61632153976342
2021-09-21,2021-09-23,100,102.02606432683903
2021-09-23,2021-10-07,100,103.37878695363574
2021-10-07,2021-10-14,100,102.19567077132368
2021-10-14,2021-10-22,100,102.15017478443251
2021-10-22,2021-10-28,100,97.9129707907167
2021-10-28,2021-10-29,100,96.94709705800665
2021-10-29,2021-11-01,100,102.23439948470951
2021-11-01,2021-11-03,100,102.17108381165887
2021-11-03,2021-11-15,100,102.69171299193755
2021-11-15,2021-11-18,100,97.66008284891277
2021-11-18,2021-11-30,100,96.85148918284452
2021-11-30,2021-12-02,100,102.05012555076516
2021-12-02,2021-12-03,100,98.24417401897517
2021-12-03,2021-12-06,100,102.65292852309287
2021-12-06,2021-12-09,100,102.96166445395004
2021-12-09,2021-12-20,100,96.49579635057775
2021-12-20,2021-12-21,100,102.67364515357798
2021-12-21,2021-12-27,100,102.39174424040911
2021-12-27,2022-01-04,100,103.40262217513254
2022-01-04,2022-01-07,100,103.29065366385923
2022-01-07,2022-01-13,100,102.04311032102483
2022-01-13,2022-01-19,100,98.9432547365901
2022-01-19,2022-01-20,100,98.62919864113287
2022-01-20,2022-01-21,100,98.32090449046164
2022-01-21,2022-01-26,100,102.13597765231273
