purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,108.29531209414212
2021-01-06,2021-01-14,100,102.71137657109932
2021-01-14,2021-01-19,100,102.30068863286196
2021-01-19,2021-01-21,100,97.15879344867542
2021-01-21,2021-01-22,100,97.63497811441792
2021-01-22,2021-01-25,100,98.75549603605347
2021-01-25,2021-01-26,100,98.80999992054306
2021-01-26,2021-01-27,100,96.140134559198
2021-01-27,2021-01-28,100,102.34337970836704
2021-01-28,2021-01-29,100,97.29510318054892
2021-01-29,2021-02-02,100,103.0138934777374
2021-02-02,2021-02-04,100,107.18463754722623
2021-02-04,2021-02-08,100,102.30078890711893
2021-02-08,2021-02-11,100,98.36744204493625
2021-02-11,2021-02-17,100,104.01280145150315
2021-02-17,2021-02-18,100,97.32068011454766
2021-02-18,2021-02-22,100,104.7279652472647
2021-02-22,2021-02-24,100,103.01197802641869
2021-02-24,2021-02-25,100,96.74264695701937
2021-02-25,2021-03-01,100,103.09510974568387
2021-03-01,2021-03-03,100,103.75042224062855
2021-03-03,2021-03-04,100,98.42382723647944
2021-03-04,2021-03-08,100,102.10032626427406
2021-03-08,2021-03-09,100,98.68450835496971
2021-03-09,2021-03-10,100,102.64154422512155
2021-03-10,2021-03-19,100,98.51856395785728
2021-03-19,2021-03-22,100,98.7211104612764
2021-03-22,2021-03-23,100,97.29397931233332
2021-03-23,2021-03-25,100,103.37768537447647
2021-03-25,2021-04-14,100,102.13073780771849
2021-04-14,2021-04-15,100,98.25185406095265
2021-04-15,2021-04-20,100,97.58020238631951
2021-04-20,2021-04-21,100,102.70029184926305
2021-04-21,2021-04-27,100,103.59228360555701
2021-04-27,2021-05-06,100,103.57155142019315
2021-05-06,2021-05-07,100,102.03254310747445
2021-05-07,2021-05-11,100,98.42010932696984
2021-05-11,2021-05-14,100,103.01516989914983
2021-05-14,2021-05-18,100,98.47744866305224
2021-05-18,2021-05-20,100,98.8665120846968
2021-05-20,2021-05-24,100,102.66970032335647
2021-05-24,2021-05-25,100,97.91841052477332
2021-05-25,2021-05-27,100,103.76050364180915
2021-05-27,2021-06-09,100,98.95505491444253
2021-06-09,2021-06-10,100,98.87134579984107
2021-06-10,2021-06-17,100,95.15457110028291
2021-06-17,2021-06-18,100,96.06335974737593
2021-06-18,2021-06-24,100,102.903698990863
2021-06-24,2021-06-29,100,98.31797650534125
2021-06-29,2021-07-06,100,98.33439962617884
2021-07-06,2021-07-08,100,96.2457671340861
2021-07-08,2021-07-09,100,104.47907197799917
2021-07-09,2021-07-15,100,102.55933505869467
2021-07-15,2021-07-16,100,97.56783408907893
2021-07-16,2021-07-19,100,95.80024980911229
2021-07-19,2021-07-20,100,105.11753797956762
2021-07-20,2021-07-21,100,102.24464259495849
2021-07-21,2021-07-22,100,98.48727104382155
2021-07-22,2021-07-28,100,98.71865179884922
2021-07-28,2021-08-05,100,103.64285273395824
2021-08-05,2021-08-06,100,104.70421330928441
2021-08-06,2021-08-10,100,104.30129806813335
2021-08-10,2021-08-13,100,102.7644689586401
2021-08-13,2021-08-17,100,98.90076150694225
2021-08-17,2021-08-19,100,98.05820963594066
2021-08-19,2021-08-23,100,102.26458604078523
2021-08-23,2021-09-20,100,98.86373408396442
2021-09-20,2021-09-23,100,102.42448492017931
2021-09-23,2021-09-27,100,104.60227594406386
2021-09-27,2021-09-28,100,98.17708474282713
2021-09-28,2021-09-30,100,98.0366537847339
2021-09-30,2021-10-05,100,104.6634513551357
2021-10-05,2021-10-13,100,97.8415668519686
2021-10-13,2021-10-14,100,102.77440162836162
2021-10-14,2021-10-20,100,103.18483702689176
2021-10-20,2021-10-27,100,98.22181563980634
2021-10-27,2021-10-28,100,102.30611208446314
2021-10-28,2021-10-29,100,98.64748804485242
2021-10-29,2021-11-03,100,103.36669557131964
2021-11-03,2021-11-04,100,98.87069033769795
2021-11-04,2021-11-05,100,97.6334607186851
2021-11-05,2021-11-12,100,98.72732063736927
2021-11-12,2021-11-16,100,98.24675209898365
2021-11-16,2021-11-18,100,98.12892767765742
2021-11-18,2021-11-19,100,97.9148599914563
2021-11-19,2021-11-22,100,103.6243254477978
2021-11-22,2021-11-23,100,103.4404622940511
2021-11-23,2021-11-24,100,98.28457832419723
2021-11-24,2021-11-26,100,96.82191264658731
2021-11-26,2021-11-29,100,98.03672490101019
2021-11-29,2021-11-30,100,95.72405993356526
2021-11-30,2021-12-01,100,98.3269499356444
2021-12-01,2021-12-02,100,104.33187644354436
2021-12-02,2021-12-03,100,98.8136006894921
2021-12-03,2021-12-06,100,102.7181401021184
2021-12-06,2021-12-13,100,98.30267439151768
2021-12-13,2021-12-16,100,103.28012337728107
2021-12-16,2021-12-17,100,97.88282445502436
2021-12-17,2021-12-20,100,97.78315485023487
2021-12-20,2021-12-21,100,104.2150297331364
2021-12-21,2021-12-23,100,102.59316490777653
2021-12-23,2022-01-04,100,104.29581412168882
2022-01-04,2022-01-05,100,98.62640601378622
2022-01-05,2022-01-07,100,104.38208073688004
2022-01-07,2022-01-19,100,96.871242510281
2022-01-19,2022-01-21,100,97.41792484810557
2022-01-21,2022-01-27,100,98.42999953603078
2022-01-27,2022-01-31,100,102.35612345535765
2022-01-31,2022-02-01,100,102.35591058840201
2022-02-01,2022-02-04,100,103.18093171431488
2022-02-04,2022-02-08,100,102.80245462153445
2022-02-08,2022-02-11,100,96.87441371805936
2022-02-11,2022-02-14,100,97.11980519152462
2022-02-14,2022-02-15,100,102.35542585454411
2022-02-15,2022-02-18,100,102.23650886421196
2022-02-18,2022-02-24,100,97.8124166317314
2022-02-24,2022-02-25,100,104.6046468291278
2022-02-25,2022-02-28,100,96.9592340431045
2022-02-28,2022-03-01,100,94.53081676966761
2022-03-01,2022-03-02,100,105.43999886917004
2022-03-02,2022-03-03,100,98.96890458890245
2022-03-03,2022-03-04,100,95.14977370125857
2022-03-04,2022-03-07,100,95.11074017788187
2022-03-07,2022-03-09,100,106.60279042267963
2022-03-09,2022-03-10,100,97.7708196945737
2022-03-10,2022-03-15,100,102.75464043370552
2022-03-15,2022-03-16,100,102.66175173172843
2022-03-16,2022-03-18,100,102.09107261065856
2022-03-18,2022-03-22,100,102.70348657924522
2022-03-22,2022-03-23,100,98.67596746236293
2022-03-23,2022-03-24,100,102.11796246648794
2022-03-24,2022-03-25,100,102.08998062386954
2022-03-25,2022-03-28,100,98.83677819270702
2022-03-28,2022-03-29,100,98.93290979615944
2022-03-29,2022-04-06,100,98.03351162096534
2022-04-06,2022-04-08,100,102.15159061022354
2022-04-08,2022-04-12,100,98.90730984258947
2022-04-12,2022-04-18,100,102.32192191409509
2022-04-18,2022-04-21,100,98.79501768708349
2022-04-21,2022-04-22,100,95.73893804596719
2022-04-22,2022-04-25,100,98.742362782556
2022-04-25,2022-04-26,100,96.61540454574897
2022-04-26,2022-04-27,100,102.53192472856483
2022-04-27,2022-04-29,100,98.96843000036135
2022-04-29,2022-05-04,100,109.28040642745123
2022-05-04,2022-05-05,100,97.15353958013476
2022-05-05,2022-05-09,100,95.95934783605506
2022-05-09,2022-05-10,100,98.45674693243681
2022-05-10,2022-05-17,100,102.70918157756526
2022-05-17,2022-05-18,100,96.7152527098659
2022-05-18,2022-05-20,100,95.40301486844194
2022-05-20,2022-05-23,100,102.35519837292502
2022-05-23,2022-05-27,100,103.63618494527584
2022-05-27,2022-06-01,100,98.03387738071018
2022-06-01,2022-06-07,100,102.71434877965989
2022-06-07,2022-06-08,100,97.18906034890172
2022-06-08,2022-06-09,100,96.77864930195847
2022-06-09,2022-06-10,100,95.61554257751628
2022-06-10,2022-06-13,100,96.63112600434104
2022-06-13,2022-06-16,100,97.38397638741661
2022-06-16,2022-06-17,100,102.98169546119466
2022-06-17,2022-06-23,100,96.38575520741237
2022-06-23,2022-06-24,100,106.39087629181189
2022-06-24,2022-06-27,100,98.38928771915708
2022-06-27,2022-06-29,100,97.84299445413758
2022-06-29,2022-07-01,100,102.40138996415628
2022-07-01,2022-07-05,100,98.28910159856179
2022-07-05,2022-07-14,100,94.69985486097104
2022-07-14,2022-07-15,100,103.42835307923278
2022-07-15,2022-07-19,100,103.3145111308059
2022-07-19,2022-07-28,100,97.58419556232964
2022-07-28,2022-07-29,100,102.53508266051519
2022-07-29,2022-08-01,100,98.59018224711554
2022-08-01,2022-08-08,100,102.40970776474599
2022-08-08,2022-08-09,100,102.44875221954437
2022-08-09,2022-08-10,100,102.55825457181804
2022-08-10,2022-08-11,100,102.56752477872195
