purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,96.47472443937667
2021-01-06,2021-01-15,100,104.84585836698513
2021-01-15,2021-01-19,100,103.34429309534994
2021-01-19,2021-01-26,100,106.35396782110718
2021-01-26,2021-01-27,100,102.94017094017094
2021-01-27,2021-01-28,100,93.63998671537695
2021-01-28,2021-01-29,100,98.44830643731159
2021-01-29,2021-02-05,100,103.27839322705574
2021-02-05,2021-02-08,100,102.2760966250981
2021-02-08,2021-02-10,100,89.61459754433832
2021-02-10,2021-02-11,100,96.53663177925786
2021-02-11,2021-02-16,100,97.45712596096983
2021-02-16,2021-02-17,100,103.10477346278317
2021-02-17,2021-02-18,100,97.79303580186365
2021-02-18,2021-02-22,100,98.35506519558676
2021-02-22,2021-02-25,100,97.37915561900876
2021-02-25,2021-02-26,100,98.96324222431669
2021-02-26,2021-03-03,100,98.84656084656083
2021-03-03,2021-03-05,100,103.98244299325555
2021-03-05,2021-03-15,100,102.9445073612684
2021-03-15,2021-03-18,100,98.1798179817982
2021-03-18,2021-03-22,100,102.05765508811247
2021-03-22,2021-03-24,100,98.20341351432279
2021-03-24,2021-03-26,100,104.38052647626792
2021-03-26,2021-03-30,100,98.51996105160663
2021-03-30,2021-04-05,100,102.6487448112275
2021-04-05,2021-04-07,100,98.68091661852493
2021-04-07,2021-04-13,100,102.00019514098938
2021-04-13,2021-04-23,100,102.36273196862444
2021-04-23,2021-04-26,100,102.56050836370432
2021-04-26,2021-05-03,100,97.5125284738041
2021-05-03,2021-05-04,100,98.29003924500094
2021-05-04,2021-05-05,100,103.1561935545204
2021-05-05,2021-05-07,100,102.11962031149201
2021-05-07,2021-05-14,100,102.12074722497968
2021-05-14,2021-06-04,100,102.62460233297985
2021-06-04,2021-06-10,100,102.5402566089727
2021-06-10,2021-06-16,100,97.9929459187101
2021-06-16,2021-06-18,100,98.23463878652841
2021-06-18,2021-06-25,100,102.02390299223589
2021-06-25,2021-07-12,100,98.80290722530995
2021-07-12,2021-07-23,100,103.45305062743402
2021-07-23,2021-08-04,100,94.03546929897941
2021-08-04,2021-08-09,100,102.38412952584291
2021-08-09,2021-08-18,100,97.5062994178469
2021-08-18,2021-08-20,100,102.02281233291748
2021-08-20,2021-08-25,100,98.89946720237576
2021-08-26,2021-09-10,100,98.77774345850064
2021-09-10,2021-09-17,100,97.82006611274903
2021-09-17,2021-09-21,100,97.6801534386702
2021-09-21,2021-09-24,100,102.97335203366057
2021-09-24,2021-09-27,100,98.9921002451648
2021-09-27,2021-09-28,100,97.33993762612366
2021-09-28,2021-09-30,100,98.55823595929137
2021-09-30,2021-10-04,100,98.05908786690888
2021-10-04,2021-10-14,100,102.64235569422777
2021-10-14,2021-10-19,100,102.51733637313576
2021-10-19,2021-10-26,100,98.97146034099333
2021-10-26,2021-10-27,100,97.65003276846737
2021-10-27,2021-11-03,100,106.29913710450624
2021-11-03,2021-11-04,100,98.90863173085594
2021-11-04,2021-11-05,100,97.83877439358017
2021-11-05,2021-11-10,100,102.33013328362381
2021-11-10,2021-11-15,100,98.80681300664905
2021-11-15,2021-11-16,100,102.19395280235987
2021-11-16,2021-11-29,100,103.06693126465814
2021-11-29,2021-11-30,100,98.63469280588131
2021-11-30,2021-12-01,100,96.78793256433008
2021-12-01,2021-12-07,100,102.92445911257792
2021-12-07,2021-12-13,100,102.79682907277099
2021-12-13,2021-12-14,100,98.98622303093319
2021-12-14,2021-12-16,100,102.2671568627451
2021-12-16,2021-12-17,100,98.73320208850465
2021-12-17,2021-12-20,100,98.8903337667967
2021-12-20,2021-12-27,100,103.3751205400193
2021-12-27,2022-01-05,100,97.93080054274085
2022-01-05,2022-01-06,100,96.88257706962243
2022-01-06,2022-01-07,100,98.80228816589204
2022-01-07,2022-01-11,100,102.6053917134069
2022-01-11,2022-01-18,100,98.81855052019044
2022-01-18,2022-01-26,100,98.09064953604569
2022-01-26,2022-01-28,100,102.02837911588138
2022-01-28,2022-01-31,100,102.12177944191852
2022-01-31,2022-02-10,100,98.50720209515495
2022-02-10,2022-02-11,100,98.49344204182914
2022-02-11,2022-02-16,100,94.3494691380241
2022-02-16,2022-02-17,100,98.15945069616633
2022-02-17,2022-02-18,100,97.4740114641018
2022-02-18,2022-02-23,100,98.55476926143726
2022-02-23,2022-02-24,100,105.11731391585761
2022-02-24,2022-02-28,100,104.15624398691554
2022-02-28,2022-03-02,100,102.0229078145206
2022-03-02,2022-03-08,100,96.93979176097781
2022-03-08,2022-03-10,100,102.29756234239285
2022-03-10,2022-03-14,100,98.67616178216014
2022-03-14,2022-03-15,100,102.17431532198373
2022-03-15,2022-03-17,100,104.346644933442
2022-03-17,2022-03-18,100,102.07411264427665
2022-03-18,2022-03-21,100,98.60567930624043
2022-03-21,2022-03-28,100,102.98327297809966
2022-03-28,2022-04-11,100,98.80274614869391
2022-04-11,2022-04-19,100,102.82179476315567
2022-04-19,2022-04-21,100,98.8626998516565
2022-04-21,2022-04-22,100,97.6492164054685
2022-04-22,2022-04-26,100,98.19873655455011
2022-04-26,2022-04-27,100,98.84377988350866
2022-04-27,2022-04-29,100,98.75109938434477
2022-04-29,2022-05-04,100,91.5256501603135
2022-05-04,2022-05-05,100,96.01518026565465
2022-05-05,2022-05-06,100,96.65551839464884
2022-05-06,2022-05-11,100,102.87302086610043
2022-05-11,2022-05-18,100,98.00224238100093
2022-05-18,2022-05-19,100,102.42329693187729
2022-05-19,2022-05-26,100,102.42688870836719
2022-05-26,2022-06-09,100,98.9590562109646
2022-06-09,2022-06-10,100,97.61570827489481
