date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,103.26520533373855,100,3.2652053337385496,1,103.26520533373855
2021-01-05,103.26520533373855,200,3.2652053337385496,2,3.2652053337385496
2021-01-07,205.97099030568742,200,5.9709903056874225,2,105.97099030568742
2021-01-07,205.97099030568742,300,5.9709903056874225,3,5.9709903056874225
2021-01-08,308.1505876980508,300,8.15058769805077,3,108.15058769805077
2021-01-08,308.1505876980508,400,8.15058769805077,4,8.15058769805077
2021-01-11,405.7861195719224,400,5.786119571922427,4,105.78611957192243
2021-01-11,405.7861195719224,500,5.786119571922427,5,5.786119571922427
2021-01-13,504.72694967389,500,4.726949673889976,5,104.72694967388998
2021-01-13,504.72694967389,600,4.726949673889976,6,4.726949673889976
2021-01-15,607.6463530922592,600,7.64635309225919,6,107.64635309225918
2021-01-15,607.6463530922592,700,7.64635309225919,7,7.646353092259176
2021-01-19,705.9151329522807,700,5.915132952280672,7,105.91513295228069
2021-01-19,705.9151329522807,800,5.915132952280672,8,5.915132952280686
2021-01-21,803.4752771908124,800,3.475277190812463,8,103.47527719081246
2021-01-21,803.4752771908124,900,3.475277190812463,9,3.475277190812463
2021-01-22,901.6860493354953,900,1.686049335495369,9,101.68604933549537
2021-01-22,901.6860493354953,1000,1.686049335495369,10,1.686049335495369
2021-01-27,997.1099558663522,1000,-2.8900441336478337,10,97.10995586635217
2021-01-27,997.1099558663522,1100,-2.8900441336478337,11,0.0
2021-01-28,1102.3960401611484,1100,2.3287385881924507,11,105.28608429479634
2021-01-28,1102.3960401611484,1200,2.3287385881924507,12,5.286084294796339
2021-01-29,1200.3087465609397,1200,0.3000742817630879,12,103.1987906945876
2021-01-29,1200.3087465609397,1300,0.3000742817630879,13,3.1987906945876006
2021-02-01,1303.6720264726225,1300,3.568884145732312,13,106.56207060627057
2021-02-01,1303.6720264726225,1400,3.568884145732312,14,6.5620706062705665
2021-02-02,1406.3826424380034,1400,6.203362523309664,14,109.2726865716513
2021-02-02,1406.3826424380034,1500,6.203362523309664,15,9.272686571651306
2021-02-03,1504.304725016844,1500,4.183811031563579,15,107.19476915049204
2021-02-03,1504.304725016844,1600,4.183811031563579,16,7.194769150492036
2021-02-04,1616.9342610672304,1600,16.45860025604999,16,119.82430520087836
2021-02-04,1616.9342610672304,1700,16.45860025604999,17,19.824305200878356
2021-02-08,1714.866506336754,1700,14.448925998557499,17,117.75655047040175
2021-02-08,1714.866506336754,1800,14.448925998557499,18,17.75655047040175
2021-02-09,1816.9513612600658,1800,16.47522012727198,18,119.8414053937136
2021-02-09,1816.9513612600658,1900,16.47522012727198,19,19.8414053937136
2021-02-10,1915.452174268196,1900,15.018143298805867,19,118.34221840184367
