purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-19,100,102.02912971797046
2021-01-19,2021-01-29,100,97.20615372847486
2021-01-29,2021-02-02,100,103.37579304578763
2021-02-02,2021-02-03,100,98.37673768042858
2021-02-03,2021-02-04,100,98.28321614066988
2021-02-04,2021-02-10,100,98.5809321366714
2021-02-10,2021-02-11,100,98.91339070018167
2021-02-11,2021-02-16,100,98.79296163414425
2021-02-16,2021-02-22,100,102.04373298464084
2021-02-22,2021-02-23,100,102.55270542326016
2021-02-23,2021-02-26,100,98.69679812573214
2021-02-26,2021-03-01,100,102.92962761485582
2021-03-01,2021-03-03,100,102.15822498967013
2021-03-03,2021-03-04,100,98.28431142005212
2021-03-04,2021-03-05,100,102.07485955459425
2021-03-05,2021-03-12,100,103.68470892674648
2021-03-12,2021-03-19,100,97.84694403501317
2021-03-19,2021-03-23,100,98.76624216771712
2021-03-23,2021-03-25,100,102.56009581645162
2021-03-25,2021-03-30,100,102.08472086636802
2021-03-30,2021-03-31,100,98.12408393808316
2021-03-31,2021-04-05,100,102.24240161030302
2021-04-05,2021-04-14,100,102.48897599216072
2021-04-14,2021-04-19,100,102.02000886578762
2021-04-19,2021-04-26,100,102.00557197992724
2021-04-26,2021-04-29,100,102.04715728281842
2021-04-29,2021-05-06,100,103.70770515150028
2021-05-06,2021-05-13,100,103.69116393597876
2021-05-13,2021-05-19,100,98.67945351448036
2021-05-19,2021-06-09,100,98.62321635171615
2021-06-09,2021-06-10,100,98.78074531732686
2021-06-10,2021-06-17,100,96.289170744066
2021-06-17,2021-06-18,100,98.02497964956135
2021-06-18,2021-06-21,100,103.32251272888932
2021-06-21,2021-06-25,100,102.0458198704314
2021-06-25,2021-07-09,100,102.05174306671545
2021-07-09,2021-07-14,100,98.66928599826937
2021-07-14,2021-07-19,100,96.80809038476733
2021-07-19,2021-07-26,100,102.36187056231128
2021-07-26,2021-08-04,100,98.79608368414338
2021-08-04,2021-08-09,100,102.91169682198944
2021-08-09,2021-08-11,100,102.20667806339299
2021-08-11,2021-08-19,100,98.83455069972993
2021-08-19,2021-08-23,100,102.46628938727031
2021-08-23,2021-08-30,100,98.5287210024698
