purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.4735109141314
2021-01-06,2021-01-07,100,102.62130312209985
2021-01-07,2021-01-13,100,97.19226700337849
2021-01-13,2021-01-15,100,97.78004055441927
2021-01-15,2021-01-25,100,97.96933352484918
2021-01-25,2021-01-28,100,98.56043251168332
2021-01-28,2021-01-29,100,96.85753865320429
2021-01-29,2021-02-01,100,103.0917939315985
2021-02-01,2021-02-05,100,103.14711359404096
2021-02-05,2021-02-08,100,102.85340314136127
2021-02-08,2021-02-16,100,93.83540604347864
2021-02-16,2021-02-18,100,98.63258415406342
2021-02-18,2021-03-01,100,103.12834858470438
2021-03-01,2021-03-04,100,98.82854883498537
2021-03-04,2021-03-05,100,102.63770003721622
2021-03-05,2021-03-08,100,102.80288265421747
2021-03-08,2021-03-09,100,98.24878534834711
2021-03-09,2021-03-12,100,102.49234883908778
2021-03-12,2021-03-16,100,103.75400619975832
2021-03-16,2021-03-19,100,98.83276364096722
2021-03-19,2021-03-25,100,102.97006028932041
2021-03-25,2021-03-26,100,102.65466909935313
2021-03-26,2021-03-30,100,98.84311808759017
2021-03-30,2021-04-05,100,103.79488185436743
2021-04-05,2021-04-16,100,102.2875456721683
2021-04-16,2021-04-23,100,104.007020947366
2021-04-23,2021-04-26,100,98.48706902932598
2021-04-26,2021-04-30,100,98.61864750710218
2021-04-30,2021-05-04,100,102.26642280140221
2021-05-04,2021-05-06,100,102.00232499217552
2021-05-06,2021-05-12,100,96.593391339923
2021-05-12,2021-05-13,100,102.81656052882362
2021-05-14,2021-05-18,100,97.82127758997086
2021-05-18,2021-05-27,100,102.18246415429515
2021-05-27,2021-06-02,100,98.67933762353816
2021-06-02,2021-06-17,100,98.97626079811687
2021-06-17,2021-06-18,100,98.59621569067384
2021-06-18,2021-06-21,100,102.31505010126448
2021-06-21,2021-07-13,100,97.29028431626942
2021-07-13,2021-07-15,100,102.46208946125125
2021-07-15,2021-07-19,100,98.96401186961275
2021-07-19,2021-07-20,100,104.00922836444524
2021-07-20,2021-07-22,100,96.1879439029501
2021-07-22,2021-07-23,100,102.36015233573956
2021-07-23,2021-07-27,100,98.2233670167096
2021-07-27,2021-08-16,100,102.39151873767258
2021-08-16,2021-08-30,100,102.22037373494153
2021-08-30,2021-09-02,100,103.23715843874027
2021-09-02,2021-09-07,100,96.91274796545596
2021-09-07,2021-09-14,100,97.49004723106121
2021-09-14,2021-09-20,100,98.60513451011387
2021-09-20,2021-09-21,100,98.58466060057296
2021-09-21,2021-09-23,100,102.43918964699506
2021-09-23,2021-09-27,100,98.75800133753702
2021-09-27,2021-09-28,100,98.3174704757369
2021-09-28,2021-09-30,100,98.21223130487436
2021-09-30,2021-10-04,100,98.5388184158202
2021-10-04,2021-10-12,100,98.54765293832412
2021-10-12,2021-10-14,100,103.12051109082974
2021-10-14,2021-10-20,100,103.38933483149526
2021-10-20,2021-10-21,100,96.10320006550494
2021-10-21,2021-10-26,100,98.4617291218069
2021-10-26,2021-10-27,100,98.36847073631215
2021-10-27,2021-11-02,100,102.99409817187275
2021-11-02,2021-11-03,100,98.62644615265161
2021-11-03,2021-11-08,100,102.03037293046032
2021-11-08,2021-11-12,100,102.39351851851852
2021-11-12,2021-11-19,100,98.97288661813688
2021-11-19,2021-11-23,100,98.69117322349035
2021-11-23,2021-11-26,100,97.9802499614257
2021-11-26,2021-11-30,100,95.56621155572354
2021-11-30,2021-12-02,100,103.8732481400005
2021-12-02,2021-12-06,100,102.47001713306683
2021-12-06,2021-12-14,100,98.50835229823664
2021-12-14,2021-12-17,100,98.9203121193786
2021-12-17,2021-12-20,100,97.15136831234858
2021-12-20,2021-12-23,100,102.43992183092257
2021-12-23,2021-12-28,100,102.97247032717927
2021-12-28,2022-01-03,100,98.70627175269559
2022-01-03,2022-01-04,100,102.35043741852392
2022-01-04,2022-01-05,100,97.66517559137888
2022-01-05,2022-01-07,100,97.92832003016781
2022-01-07,2022-01-10,100,98.77818870285839
2022-01-10,2022-01-11,100,102.01416412188942
2022-01-11,2022-01-13,100,98.83685752499841
2022-01-13,2022-01-14,100,98.67898539634466
2022-01-14,2022-01-19,100,98.77313133127087
2022-01-19,2022-01-20,100,98.2289841658127
2022-01-20,2022-01-24,100,102.31951607339664
2022-01-24,2022-01-25,100,97.67633080629513
2022-01-25,2022-02-03,100,96.20849888881405
2022-02-03,2022-02-04,100,102.70457090858183
2022-02-04,2022-02-08,100,102.07106893055828
2022-02-08,2022-02-09,100,102.84450379767966
2022-02-09,2022-02-10,100,96.41610803616355
2022-02-10,2022-02-11,100,98.48655746536254
2022-02-11,2022-02-15,100,98.50517931010904
2022-02-15,2022-02-16,100,98.42262808554943
2022-02-16,2022-02-22,100,98.49343688567222
2022-02-22,2022-02-23,100,96.5254904768724
2022-02-23,2022-02-25,100,105.05628396046214
2022-02-25,2022-03-03,100,102.26745161034077
2022-03-03,2022-03-07,100,97.46694514447476
2022-03-07,2022-03-08,100,97.1230729724704
2022-03-08,2022-03-09,100,102.79074432004668
2022-03-09,2022-03-10,100,98.5719987582598
2022-03-10,2022-03-11,100,98.58640392315651
2022-03-11,2022-03-15,100,103.22003577817532
2022-03-15,2022-03-17,100,102.89940933045662
2022-03-17,2022-03-23,100,96.0952470976446
2022-03-23,2022-03-31,100,96.98731075679397
2022-03-31,2022-04-06,100,97.44048387394199
2022-04-06,2022-04-12,100,98.90615241952271
2022-04-12,2022-04-13,100,102.25876815337811
2022-04-13,2022-04-18,100,98.53022350706821
2022-04-18,2022-04-19,100,102.52383303581603
2022-04-19,2022-04-20,100,103.01924537388629
2022-04-20,2022-04-27,100,103.04583131057052
2022-04-27,2022-04-28,100,102.74031163301984
2022-04-28,2022-04-29,100,95.83994972954154
2022-04-29,2022-05-04,100,103.6938261979019
