date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,103.14164427928223,100,3.1416442792822323,1,103.14164427928223
2021-01-05,103.14164427928223,200,3.1416442792822323,2,3.1416442792822323
2021-01-07,208.67722121763035,200,8.677221217630347,2,108.67722121763035
2021-01-07,208.67722121763035,300,8.677221217630347,3,8.677221217630347
2021-01-11,312.27285872577295,300,12.272858725772934,3,112.27285872577292
2021-01-11,312.27285872577295,400,12.272858725772934,4,12.27285872577292
2021-01-12,414.3698886424313,400,14.369888642431292,4,114.36988864243129
2021-01-12,414.3698886424313,500,14.369888642431292,5,14.369888642431292
2021-01-13,512.4066871106525,500,12.406687110652385,5,112.40668711065238
2021-01-13,512.4066871106525,600,12.406687110652385,6,12.406687110652385
2021-01-14,620.3167092225972,600,20.31670922259707,6,120.31670922259708
2021-01-14,620.3167092225972,700,20.31670922259707,7,20.316709222597083
2021-01-15,717.7901466925763,700,17.790146692576144,7,117.79014669257614
2021-01-15,717.7901466925763,800,17.790146692576144,8,17.790146692576144
2021-01-19,823.6789348341831,800,23.678934834183025,8,123.67893483418301
2021-01-19,823.6789348341831,900,23.678934834183025,9,23.67893483418301
2021-01-20,922.4317154818065,900,22.431715481806307,9,122.43171548180632
2021-01-20,922.4317154818065,1000,22.431715481806307,10,22.43171548180632
2021-01-22,1021.0283092291556,1000,21.02830922915551,10,121.0283092291555
2021-01-22,1021.0283092291556,1100,21.02830922915551,11,21.028309229155496
2021-01-27,1113.7393311199883,1100,13.739331119988108,11,113.73933111998811
2021-01-27,1113.7393311199883,1200,13.739331119988108,12,13.739331119988108
2021-01-28,1216.3506627692125,1200,16.35066276921222,12,116.35066276921222
2021-01-28,1216.3506627692125,1300,16.35066276921222,13,16.35066276921222
2021-01-29,1311.9276260400309,1300,11.927626040030631,13,111.92762604003065
2021-01-29,1311.9276260400309,1400,11.927626040030631,14,11.927626040030646
2021-02-01,1416.6180090359337,1400,16.61800903593354,14,116.61800903593354
2021-02-01,1416.6180090359337,1500,16.61800903593354,15,16.61800903593354
2021-02-02,1518.9516757789231,1500,18.95167577892289,15,118.9516757789229
2021-02-02,1518.9516757789231,1600,18.95167577892289,16,18.951675778922905
2021-02-03,1615.376048454363,1600,15.376048454362802,16,115.3760484543628
2021-02-03,1615.376048454363,1700,15.376048454362802,17,15.376048454362802
2021-02-04,1718.7402734389443,1700,18.740273438944115,17,118.74027343894412
2021-02-04,1718.7402734389443,1800,18.740273438944115,18,18.740273438944115
2021-02-05,1816.2966670074684,1800,16.296667007468074,18,116.29666700746809
2021-02-05,1816.2966670074684,1900,16.296667007468074,19,16.296667007468088
2021-02-08,1921.736447712587,1900,21.73644771258671,19,121.73644771258672
2021-02-08,1921.736447712587,2000,21.73644771258671,20,21.736447712586724
2021-02-11,2028.1497107233747,2000,28.149710723374426,20,128.14971072337443
2021-02-11,2028.1497107233747,2100,28.149710723374426,21,28.149710723374426
2021-02-12,2131.4266444560926,2100,31.426644456092475,21,131.42664445609248
2021-02-12,2131.4266444560926,2200,31.426644456092475,22,31.426644456092475
2021-02-18,2228.6255923195936,2200,28.625592319593466,22,128.62559231959347
2021-02-18,2228.6255923195936,2300,28.625592319593466,23,28.625592319593466
2021-02-19,2333.9357233255255,2300,33.93572332552549,23,133.9357233255255
2021-02-19,2333.9357233255255,2400,33.93572332552549,24,33.93572332552549
2021-02-22,2430.39602079668,2400,30.396020796680318,24,130.39602079668032
2021-02-22,2430.39602079668,2500,30.396020796680318,25,30.396020796680318
2021-02-24,2537.183007847243,2500,37.18300784724312,25,137.18300784724312
2021-02-24,2537.183007847243,2600,37.18300784724312,26,37.18300784724312
2021-02-25,2629.9509372695034,2600,29.950937269503527,26,129.95093726950353
2021-02-25,2629.9509372695034,2700,29.950937269503527,27,29.950937269503527
2021-02-26,2733.6801341743057,2700,33.68013417430569,27,133.6801341743057
2021-02-26,2733.6801341743057,2800,33.68013417430569,28,33.68013417430569
2021-03-01,2837.1233186263235,2800,37.12331862632345,28,137.12331862632345
2021-03-01,2837.1233186263235,2900,37.12331862632345,29,37.12331862632345
2021-03-02,2933.2345864890976,2900,33.234586489097524,29,133.23458648909752
2021-03-02,2933.2345864890976,3000,33.234586489097524,30,33.234586489097524
2021-03-03,3031.4774890241533,3000,31.47748902415313,30,131.47748902415313
2021-03-03,3031.4774890241533,3100,31.47748902415313,31,31.47748902415313
2021-03-04,3125.248856827214,3100,25.248856827213388,31,125.24885682721339
2021-03-04,3125.248856827214,3200,25.248856827213388,32,25.248856827213388
2021-03-05,3230.0588742602467,3200,30.05887426024617,32,130.05887426024617
2021-03-05,3230.0588742602467,3300,30.05887426024617,33,30.05887426024617
2021-03-08,3323.2152064191364,3300,23.215206419135882,33,123.21520641913588
2021-03-08,3323.2152064191364,3400,23.215206419135882,34,23.215206419135882
2021-03-09,3431.2950351655486,3400,31.295035165548086,34,131.2950351655481
2021-03-09,3431.2950351655486,3500,31.295035165548086,35,31.295035165548086
2021-03-10,3529.9378986525367,3500,29.937898652536262,35,129.93789865253626
2021-03-10,3529.9378986525367,3600,29.937898652536262,36,29.937898652536262
2021-03-11,3633.950972431147,3600,33.9509724311464,36,133.9509724311464
2021-03-11,3633.950972431147,3700,33.9509724311464,37,33.9509724311464
2021-03-12,3731.4760548851154,3700,31.47605488511499,37,131.476054885115
2021-03-12,3731.4760548851154,3800,31.47605488511499,38,31.47605488511499
2021-03-16,3835.1508285403615,3800,35.15082854036086,38,135.15082854036086
2021-03-16,3835.1508285403615,3900,35.15082854036086,39,35.15082854036086
2021-03-18,3931.5977463485806,3900,31.597746348580046,39,131.59774634858005
2021-03-18,3931.5977463485806,4000,31.597746348580046,40,31.597746348580046
2021-03-22,4036.012304715203,4000,36.01230471520233,40,136.01230471520233
2021-03-22,4036.012304715203,4100,36.01230471520233,41,36.01230471520233
2021-03-23,4133.53999912871,4100,33.539999128709894,41,133.5399991287099
2021-03-23,4133.53999912871,4200,33.539999128709894,42,33.539999128709894
2021-03-24,4237.597881707275,4200,37.597881707274155,42,137.59788170727415
2021-03-24,4237.597881707275,4300,37.597881707274155,43,37.597881707274155
2021-03-25,4336.458566971579,4300,36.45856697157842,43,136.45856697157842
2021-03-25,4336.458566971579,4400,36.45856697157842,44,36.45856697157842
