purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,103.14164427928223
2021-01-05,2021-01-07,100,105.53557693834811
2021-01-07,2021-01-11,100,103.59563750814257
2021-01-11,2021-01-12,100,102.09702991665837
2021-01-12,2021-01-13,100,98.0367984682211
2021-01-13,2021-01-14,100,107.9100221119447
2021-01-14,2021-01-15,100,97.47343746997906
2021-01-15,2021-01-19,100,105.88878814160687
2021-01-19,2021-01-20,100,98.75278064762331
2021-01-20,2021-01-22,100,98.59659374734917
2021-01-22,2021-01-27,100,92.71102189083261
2021-01-27,2021-01-28,100,102.61133164922411
2021-01-28,2021-01-29,100,95.57696327081842
2021-01-29,2021-02-01,100,104.6903829959029
2021-02-01,2021-02-02,100,102.33366674298937
2021-02-02,2021-02-03,100,96.4243726754399
2021-02-03,2021-02-04,100,103.36422498458131
2021-02-04,2021-02-05,100,97.55639356852397
2021-02-05,2021-02-08,100,105.43978070511864
2021-02-08,2021-02-11,100,106.41326301078769
2021-02-11,2021-02-12,100,103.27693373271805
2021-02-12,2021-02-18,100,97.19894786350098
2021-02-18,2021-02-19,100,105.310131005932
2021-02-19,2021-02-22,100,96.46029747115483
2021-02-22,2021-02-24,100,106.7869870505628
2021-02-24,2021-02-25,100,92.7679294222604
2021-02-25,2021-02-26,100,103.72919690480218
2021-02-26,2021-03-01,100,103.44318445201775
2021-03-01,2021-03-02,100,96.11126786277407
2021-03-02,2021-03-03,100,98.2429025350556
2021-03-03,2021-03-04,100,93.77136780306026
2021-03-04,2021-03-05,100,104.81001743303278
2021-03-05,2021-03-08,100,93.15633215888971
2021-03-08,2021-03-09,100,108.07982874641222
2021-03-09,2021-03-10,100,98.64286348698819
2021-03-10,2021-03-11,100,104.01307377861015
2021-03-11,2021-03-12,100,97.52508245396861
2021-03-12,2021-03-16,100,103.67477365524587
2021-03-16,2021-03-18,100,96.44691780821918
2021-03-18,2021-03-22,100,104.41455836662227
2021-03-22,2021-03-23,100,97.52769441350756
2021-03-23,2021-03-24,100,104.05788257856427
2021-03-24,2021-03-25,100,98.86068526430427
2021-03-25,2021-03-26,100,107.45191085501229
2021-03-26,2021-03-29,100,97.71458313617867
2021-03-29,2021-03-31,100,106.28783109776765
2021-03-31,2021-04-01,100,105.91661161605808
2021-04-01,2021-04-06,100,98.61279384037451
2021-04-06,2021-04-12,100,96.7314654608372
2021-04-12,2021-04-19,100,96.963730102662
2021-04-19,2021-04-20,100,98.24598118092048
2021-04-20,2021-04-21,100,105.01203108358645
2021-04-21,2021-04-22,100,97.56137873005379
2021-04-22,2021-04-23,100,102.3532673145339
2021-04-23,2021-04-30,100,98.41782151401615
2021-04-30,2021-05-04,100,96.99499292894545
2021-05-04,2021-05-06,100,102.33126320103403
2021-05-06,2021-05-10,100,94.65658261579458
2021-05-10,2021-05-12,100,92.1336978454729
2021-05-12,2021-05-13,100,104.39171288282878
2021-05-13,2021-05-14,100,104.08936713786599
2021-05-14,2021-05-17,100,98.98328226717489
2021-05-17,2021-05-18,100,98.58200867052022
2021-05-18,2021-05-19,100,102.45533669262483
2021-05-19,2021-05-20,100,104.4133546860901
2021-05-20,2021-05-21,100,98.74028744491676
2021-05-21,2021-05-24,100,104.59455623541287
2021-05-24,2021-05-25,100,102.17035680092874
2021-05-25,2021-06-08,100,98.9810374086918
2021-06-08,2021-06-14,100,102.33919000514354
2021-06-14,2021-06-16,100,98.51770378841405
2021-06-16,2021-06-18,100,95.80191050779287
2021-06-18,2021-06-23,100,103.25528269560252
2021-06-23,2021-06-24,100,102.04122817507772
2021-06-24,2021-06-25,100,98.50208389795127
2021-06-25,2021-06-28,100,103.52027840985141
2021-06-28,2021-07-01,100,97.84645001867656
2021-07-01,2021-07-07,100,97.7638128239388
2021-07-07,2021-07-08,100,98.26985461972846
2021-07-08,2021-07-12,100,103.21631617557159
2021-07-12,2021-07-15,100,97.3769739326142
2021-07-15,2021-07-16,100,96.2267163384779
2021-07-16,2021-07-20,100,102.95653685399829
2021-07-20,2021-07-21,100,104.569906913567
2021-07-21,2021-07-27,100,97.74995596782716
2021-07-27,2021-07-30,100,103.72528116037778
2021-07-30,2021-08-04,100,102.02663578459759
2021-08-04,2021-08-10,100,96.71112372304201
2021-08-10,2021-08-11,100,97.64824975792963
2021-08-11,2021-08-12,100,95.84579095238811
2021-08-12,2021-08-18,100,98.57745242499296
2021-08-18,2021-08-23,100,103.22724273095179
2021-08-23,2021-08-27,100,104.03675519132418
2021-08-27,2021-08-31,100,98.96426376848075
2021-08-31,2021-09-01,100,98.76041713422205
2021-09-01,2021-09-07,100,102.26940469787982
2021-09-07,2021-09-08,100,97.85279936006162
2021-09-08,2021-09-10,100,102.45696898133431
2021-09-10,2021-09-14,100,102.41282505910165
2021-09-14,2021-09-16,100,102.82198144648191
2021-09-16,2021-09-17,100,97.71569686680043
2021-09-17,2021-09-20,100,96.25866946195487
2021-09-20,2021-09-23,100,104.11572972529481
2021-09-23,2021-09-28,100,94.1764752236924
2021-09-28,2021-09-29,100,96.51909326030732
2021-09-29,2021-10-04,100,97.61356829860345
2021-10-04,2021-10-05,100,102.2849115101408
2021-10-05,2021-10-06,100,98.79228959790348
2021-10-06,2021-10-14,100,104.38652561603116
2021-10-14,2021-10-22,100,102.92546270073328
2021-10-22,2021-10-26,100,97.10563107951334
2021-10-26,2021-10-28,100,103.04803332924888
2021-10-28,2021-11-01,100,102.56770415291774
2021-11-01,2021-11-03,100,102.31575743962438
2021-11-03,2021-11-04,100,105.17325628332874
2021-11-04,2021-11-05,100,102.09882029734972
2021-11-05,2021-11-10,100,98.12173133107784
2021-11-10,2021-11-11,100,102.3215329914438
2021-11-11,2021-11-16,100,102.58219200578051
2021-11-16,2021-11-17,100,98.8044772869895
2021-11-17,2021-11-19,100,96.18597657794281
2021-11-19,2021-11-22,100,98.34112684787151
