date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,103.50875241887051,100,3.5087524188705146,1,103.50875241887051
2021-01-06,103.50875241887051,200,3.5087524188705146,2,3.5087524188705146
2021-01-08,201.12782561947648,200,1.1278256194764822,2,101.1278256194765
2021-01-08,201.12782561947648,300,1.1278256194764822,3,1.1278256194764964
2021-01-15,297.22476916812985,300,-2.775230831870118,3,97.22476916812988
2021-01-15,297.22476916812985,400,-2.775230831870118,4,0.0
2021-02-01,395.7692791256609,400,-4.116479077784916,4,98.54450995753103
2021-02-01,395.7692791256609,500,-4.116479077784916,5,0.0
2021-02-04,498.4345510921881,500,-1.5019073980109994,5,102.6652719665272
2021-02-04,498.4345510921881,600,-1.5019073980109994,6,2.6652719665272
2021-02-05,601.0281399126995,600,0.9864077539471765,6,105.25886078703861
2021-02-05,601.0281399126995,700,0.9864077539471765,7,5.258860787038614
2021-02-09,699.0220532382792,700,-0.9382519409990238,7,103.25277411261833
2021-02-09,699.0220532382792,800,-0.9382519409990238,8,3.252774112618326
2021-02-12,801.3313514629527,800,1.277311959261823,8,105.56207233729182
2021-02-12,801.3313514629527,900,1.277311959261823,9,5.5620723372918235
2021-02-16,899.1661908259077,900,-0.799964892402059,9,103.39691170024679
2021-02-16,899.1661908259077,1000,-0.799964892402059,10,3.3969117002467897
2021-02-23,1001.2762191981169,1000,1.2244175108944404,10,105.50694007245599
2021-02-23,1001.2762191981169,1100,1.2244175108944404,11,5.50694007245599
2021-02-26,1097.4987885912997,1100,-2.3996873356711177,11,101.72950946563886
2021-02-26,1097.4987885912997,1200,-2.3996873356711177,12,1.7295094656388557
2021-03-01,1200.69263127846,1200,0.6645174020194418,12,104.92335215279938
2021-03-01,1200.69263127846,1300,0.6645174020194418,13,4.9233521527993815
2021-03-05,1303.5306517430975,1300,3.38734272725047,13,107.76137261743675
2021-03-05,1303.5306517430975,1400,3.38734272725047,14,7.7613726174367486
2021-03-10,1406.2894882197277,1400,6.034198139443504,14,110.52020909406701
2021-03-10,1406.2894882197277,1500,6.034198139443504,15,10.520209094067013
2021-03-11,1504.61499929164,1500,4.427676651305205,15,108.84572016597932
2021-03-11,1504.61499929164,1600,4.427676651305205,16,8.845720165979316
2021-03-16,1602.6473807443845,1600,2.5399236637501588,16,106.8781016187238
2021-03-16,1602.6473807443845,1700,2.5399236637501588,17,6.878101618723804
2021-03-18,1701.4354457004429,1700,1.3771810157330293,17,105.66616657478217
2021-03-18,1701.4354457004429,1800,1.3771810157330293,18,5.666166574782167
2021-03-26,1805.1257788095718,1800,4.917723648627103,18,109.35649968391097
2021-03-26,1805.1257788095718,1900,4.917723648627103,19,9.356499683910968
2021-04-01,1904.1091663409688,1900,3.9423754402724,19,108.33988721530791
2021-04-01,1904.1091663409688,2000,3.9423754402724,20,8.339887215307911
2021-04-06,2006.856857081801,2000,6.578537521646538,20,111.08757795614017
2021-04-06,2006.856857081801,2100,6.578537521646538,21,11.087577956140166
2021-04-07,2103.9402766766543,2100,3.7803410008117027,21,108.17099755099333
2021-04-07,2103.9402766766543,2200,3.7803410008117027,22,8.170997550993334
2021-04-15,2206.157831873208,2200,5.907885718867618,22,110.38855274754694
2021-04-15,2206.157831873208,2300,5.907885718867618,23,10.388552747546939
2021-04-22,2304.154439149652,2300,3.985810627425465,23,108.38516002399068
2021-04-22,2304.154439149652,2400,3.985810627425465,24,8.385160023990679
2021-04-29,2406.198788213599,2400,5.947179643007885,24,110.42950908793816
2021-04-29,2406.198788213599,2500,5.947179643007885,25,10.429509087938158
2021-04-30,2505.035147252257,2500,4.830770822670914,25,109.26586812659623
2021-04-30,2505.035147252257,2600,4.830770822670914,26,9.265868126596231
2021-05-04,2610.815887215969,2600,10.376870777866557,26,115.04660809030803
2021-05-04,2610.815887215969,2700,10.376870777866557,27,15.046608090308027
2021-05-05,2709.6182317344073,2700,9.2278280853523,27,113.84895260874652
2021-05-05,2709.6182317344073,2800,9.2278280853523,28,13.848952608746515
2021-05-12,2808.5519192132424,2800,8.204797147620766,28,112.78264008758143
2021-05-12,2808.5519192132424,2900,8.204797147620766,29,12.782640087581427
2021-05-19,2907.3957580723813,2900,7.095564542144501,29,111.62647894672031
2021-05-19,2907.3957580723813,3000,7.095564542144501,30,11.626478946720312
2021-05-25,3005.949454667842,3000,5.707966536098823,30,110.18017554218093
2021-05-25,3005.949454667842,3100,5.707966536098823,31,10.180175542180933
2021-06-04,3109.6221914081216,3100,9.231627036065376,31,113.8529122824604
2021-06-04,3109.6221914081216,3200,9.231627036065376,32,13.852912282460395
2021-06-15,3208.4706492808723,3200,8.126825958619293,32,112.7013701552109
2021-06-15,3208.4706492808723,3300,8.126825958619293,33,12.701370155210896
2021-06-16,3306.8839116151653,3300,6.604493912561722,33,111.11463248950402
2021-06-16,3306.8839116151653,3400,6.604493912561722,34,11.114632489504018
2021-06-17,3404.522938094001,3400,4.339352214068626,34,108.75365896833941
2021-06-17,3404.522938094001,3500,4.339352214068626,35,8.753658968339408
2021-06-18,3502.950949710335,3500,2.831170777272334,35,107.18167058467365
2021-06-18,3502.950949710335,3600,2.831170777272334,36,7.181670584673654
2021-06-25,3605.1636889032484,3600,4.954094973087237,36,109.3944097775873
2021-06-25,3605.1636889032484,3700,4.954094973087237,37,9.394409777587299
2021-06-29,3703.8607698346495,3700,3.7040613384071435,37,108.09149070898854
2021-06-29,3703.8607698346495,3800,3.7040613384071435,38,8.091490708988545
2021-07-19,3802.0355936167107,3800,1.9529689516057687,38,106.26631449104981
2021-07-19,3802.0355936167107,3900,1.9529689516057687,39,6.266314491049812
2021-07-26,3904.169014565471,3900,3.999794427688272,39,108.39973543981023
2021-07-26,3904.169014565471,4000,3.999794427688272,40,8.399735439810229
2021-08-06,4006.257007794768,4000,6.003036093659688,40,110.48772866910734
2021-08-06,4006.257007794768,4100,6.003036093659688,41,10.48772866910734
2021-08-11,4110.094222261303,4100,9.684498175421112,41,114.32494313564274
2021-08-11,4110.094222261303,4200,9.684498175421112,42,14.32494313564274
2021-08-12,4209.028409928186,4200,8.661947123124648,42,113.25913080252599
2021-08-12,4209.028409928186,4300,8.661947123124648,43,13.259130802525988
2021-08-19,4311.93523107634,4300,11.450780514824643,43,116.16595195067916
2021-08-19,4311.93523107634,4400,11.450780514824643,44,16.16595195067916
2021-08-20,4415.074622202904,4400,14.462743878628629,44,119.30534307724305
2021-08-20,4415.074622202904,4500,14.462743878628629,45,19.30534307724305
2021-08-24,4513.753552390445,4500,13.195296238070142,45,117.98427326478415
2021-08-24,4513.753552390445,4600,13.195296238070142,46,17.98427326478415
2021-09-07,4611.476036253043,4600,11.010224391404535,46,115.70675712738233
2021-09-07,4611.476036253043,4700,11.010224391404535,47,15.706757127382332
2021-09-17,4708.453925059465,4700,8.110780572703973,47,112.68464593380429
2021-09-17,4708.453925059465,4800,8.110780572703973,48,12.68464593380429
2021-09-21,4807.102254189352,4800,6.813973970221525,48,111.33297506369081
2021-09-21,4807.102254189352,4900,6.813973970221525,49,11.33297506369081
2021-10-15,4909.327527355089,4900,8.948923385394252,49,113.55824822942783
2021-10-15,4909.327527355089,5000,8.948923385394252,50,13.558248229427832
2021-11-03,5012.256708307392,5000,11.75920899766976,50,116.48742918173042
2021-11-03,5012.256708307392,5100,11.75920899766976,51,16.48742918173042
2021-11-04,5111.111146186673,5100,10.660145198523892,51,115.3418670610118
2021-11-04,5111.111146186673,5200,10.660145198523892,52,15.341867061011797
2021-11-18,5209.962011322507,5200,9.557653673447547,52,114.19273219684621
2021-11-18,5209.962011322507,5300,9.557653673447547,53,14.192732196846208
2021-11-23,5308.8757904998665,5300,8.515522511417046,53,113.10651137420571
2021-11-23,5308.8757904998665,5400,8.515522511417046,54,13.10651137420571
2021-11-26,5406.919092141508,5400,6.638246462720261,54,111.14981301584773
2021-11-26,5406.919092141508,5500,6.638246462720261,55,11.149813015847727
2021-11-30,5505.019914900428,5500,4.816156751406254,55,109.25063577476797
2021-11-30,5505.019914900428,5600,4.816156751406254,56,9.250635774767971
2021-12-06,5607.223456644562,5600,6.930256822526744,56,111.45417751890177
2021-12-06,5607.223456644562,5700,6.930256822526744,57,11.454177518901773
2021-12-15,5710.505665169009,5700,10.079240631632103,57,114.73638604334852
2021-12-15,5710.505665169009,5800,10.079240631632103,58,14.736386043348517
2021-12-17,5809.170119160986,5800,8.79790438372035,58,113.40084003532588
2021-12-17,5809.170119160986,5900,8.79790438372035,59,13.400840035325885
2021-12-20,5907.559762356439,5900,7.252911898742397,59,111.79048323077899
2021-12-20,5907.559762356439,6000,7.252911898742397,60,11.790483230778989
2021-12-28,6009.79679324068,6000,9.399141787085668,60,114.02751411501973
2021-12-28,6009.79679324068,6100,9.399141787085668,61,14.027514115019727
2022-01-07,6111.995134277952,6100,11.508252247832303,61,116.22585515229203
2022-01-07,6111.995134277952,6200,11.508252247832303,62,16.225855152292027
2022-01-14,6214.053440576735,6200,13.483011974635033,62,118.28416145107465
2022-01-14,6214.053440576735,6300,13.483011974635033,63,18.284161451074652
2022-01-20,6312.1098195523455,6300,11.618282451433899,63,116.34054042668548
2022-01-20,6312.1098195523455,6400,11.618282451433899,64,16.34054042668548
2022-01-21,6410.62737221032,6400,10.196007588907221,64,114.8580930846594
