purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,97.86565547128927
2021-01-06,2021-01-07,100,105.34706077715043
2021-01-07,2021-01-11,100,102.19630096679278
2021-01-11,2021-01-12,100,98.05141388174808
2021-01-12,2021-01-13,100,96.25085207907293
2021-01-13,2021-01-14,100,98.9213336238832
2021-01-14,2021-01-15,100,97.15827734331974
2021-01-15,2021-01-21,100,103.76374560707404
2021-01-21,2021-01-25,100,102.8405987108052
2021-01-25,2021-01-27,100,94.38011261021991
2021-01-27,2021-01-28,100,98.51418280054028
2021-01-28,2021-01-29,100,97.85191956124315
2021-01-29,2021-02-01,100,102.35871088276507
2021-02-01,2021-02-08,100,104.34633812457221
2021-02-08,2021-02-12,100,102.51448562370176
2021-02-12,2021-02-16,100,97.53652554121787
2021-02-16,2021-02-17,100,98.33807128799475
2021-02-17,2021-02-18,100,98.55459195018902
2021-02-18,2021-02-22,100,96.31092057761734
2021-02-22,2021-02-25,100,96.54445355511302
2021-02-25,2021-02-26,100,102.53579228342635
2021-02-26,2021-03-01,100,102.22458880605845
2021-03-01,2021-03-02,100,97.38395647644403
2021-03-02,2021-03-03,100,96.11315820753596
2021-03-03,2021-03-04,100,96.15384615384616
2021-03-04,2021-03-08,100,95.12540192926045
2021-03-08,2021-03-09,100,106.1790156841536
2021-03-09,2021-03-10,100,98.71386731185532
2021-03-10,2021-03-11,100,104.78586171310631
2021-03-11,2021-03-18,100,96.17136525914071
2021-03-18,2021-03-22,100,102.7905785970302
2021-03-22,2021-03-23,100,97.60896637608965
2021-03-23,2021-03-24,100,97.57591222250575
2021-03-24,2021-03-31,100,102.64121338912133
2021-03-31,2021-04-01,100,103.29936305732485
2021-04-01,2021-04-08,100,102.7870267603897
2021-04-08,2021-04-12,100,94.27714457108578
2021-04-12,2021-04-13,100,102.04886739628405
2021-04-13,2021-04-14,100,97.95485721411647
2021-04-14,2021-04-15,100,105.67791215786124
2021-04-15,2021-04-16,100,98.96398024334417
2021-04-16,2021-04-19,100,98.73402312842362
2021-04-19,2021-04-20,100,97.73147577364072
2021-04-20,2021-04-21,100,102.95193641983096
2021-04-21,2021-04-22,100,96.87538291875995
2021-04-22,2021-04-23,100,104.67998988110297
2021-04-23,2021-04-26,100,103.20202996616723
2021-04-26,2021-04-28,100,98.37255590680249
2021-04-28,2021-04-30,100,97.143537253035
2021-04-30,2021-05-03,100,96.23866699338397
2021-05-03,2021-05-10,100,96.74092934436665
2021-05-10,2021-05-12,100,98.22345045400711
2021-05-12,2021-05-13,100,97.92336548767418
