purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.90811155737399
2021-01-06,2021-01-08,100,102.24642769211127
2021-01-08,2021-01-15,100,102.93864519092276
2021-01-15,2021-01-20,100,102.79150764805519
2021-01-20,2021-01-26,100,102.47590470611539
2021-01-26,2021-01-27,100,97.08465960964296
2021-01-27,2021-01-28,100,98.67922210502684
2021-01-28,2021-01-29,100,97.45229765405335
2021-01-29,2021-02-03,100,98.19619416791471
2021-02-03,2021-02-16,100,98.94269373107547
2021-02-16,2021-02-24,100,98.77180733379275
2021-02-24,2021-02-25,100,98.92774684543673
2021-02-25,2021-02-26,100,98.85673454805287
2021-02-26,2021-03-04,100,98.66421977011063
2021-03-04,2021-03-05,100,102.62352946773036
2021-03-05,2021-03-15,100,103.60778387599198
2021-03-15,2021-03-17,100,103.52555355217416
2021-03-17,2021-03-22,100,102.22264478739449
2021-03-22,2021-03-23,100,98.13557458969959
2021-03-23,2021-03-26,100,103.1922593096793
2021-03-26,2021-03-30,100,98.77136439920847
2021-03-30,2021-04-08,100,98.84737796450415
2021-04-08,2021-04-15,100,103.34467895871104
2021-04-15,2021-04-28,100,92.77906043378599
2021-04-28,2021-05-03,100,103.66269165247017
2021-05-03,2021-05-06,100,102.41388359497003
2021-05-06,2021-05-25,100,96.97762730090986
2021-05-25,2021-05-26,100,98.56884819135158
2021-05-26,2021-05-27,100,98.646065416002
2021-05-27,2021-06-10,100,103.96341735047531
2021-06-10,2021-06-14,100,98.58810926620248
2021-06-14,2021-06-18,100,98.95949235048678
2021-06-18,2021-06-30,100,102.12485616155583
2021-06-30,2021-07-02,100,102.0311881784246
2021-07-02,2021-07-06,100,97.96836208677033
2021-07-06,2021-08-02,100,98.4136954828828
2021-08-02,2021-08-04,100,95.2133426597884
2021-08-04,2021-08-05,100,102.49137934992723
2021-08-05,2021-08-06,100,98.35765197095202
2021-08-06,2021-08-19,100,98.24960943015519
2021-08-19,2021-08-25,100,98.75387097372375
2021-08-25,2021-09-03,100,102.15707445310301
2021-09-03,2021-09-07,100,97.77588861061966
2021-09-07,2021-09-09,100,97.40007049700388
2021-09-09,2021-09-27,100,98.85303725578187
2021-09-27,2021-10-06,100,98.52977067937091
2021-10-06,2021-10-11,100,98.44045696394423
2021-10-11,2021-10-12,100,97.67294394733929
2021-10-12,2021-10-14,100,102.42268731773167
2021-10-14,2021-10-18,100,98.23476738570508
2021-10-18,2021-10-20,100,103.20932018947637
2021-10-20,2021-10-27,100,98.53479671730955
2021-10-27,2021-11-02,100,103.71672146997064
2021-11-02,2021-11-08,100,98.6522309074137
2021-11-08,2021-11-15,100,98.9463271553294
2021-11-15,2021-11-18,100,98.37107628336807
2021-11-18,2021-11-26,100,98.56101285279455
2021-11-26,2021-11-30,100,98.9016682740648
2021-11-30,2021-12-06,100,104.98519121743234
2021-12-06,2021-12-08,100,102.26578788747148
2021-12-08,2021-12-10,100,98.7665951649371
2021-12-10,2021-12-15,100,103.96458532051751
2021-12-15,2021-12-23,100,102.07019855086101
2021-12-23,2022-01-10,100,102.93860053471006
2022-01-10,2022-01-14,100,102.16734209524662
2022-01-14,2022-01-19,100,98.27310381100568
2022-01-19,2022-01-20,100,98.96215685837254
2022-01-20,2022-01-24,100,98.77010023074703
2022-01-24,2022-01-26,100,98.43446995104011
2022-01-26,2022-01-28,100,102.96391752577321
2022-01-28,2022-02-03,100,97.7768973807187
2022-02-03,2022-02-08,100,107.57192058346838
2022-02-08,2022-02-09,100,98.41415235266172
2022-02-09,2022-02-10,100,96.47057288495328
2022-02-10,2022-02-14,100,98.85396895527234
2022-02-14,2022-02-17,100,98.84524347028966
2022-02-17,2022-02-24,100,98.91249682792349
2022-02-24,2022-02-25,100,103.53907583800577
2022-02-25,2022-03-03,100,102.47111031018403
2022-03-03,2022-03-10,100,97.5546273906353
2022-03-10,2022-03-15,100,102.03120493221806
2022-03-15,2022-03-18,100,102.02522140506636
2022-03-18,2022-03-29,100,102.23915490518661
2022-03-29,2022-04-06,100,103.47361021714828
2022-04-06,2022-04-20,100,102.18084344498783
2022-04-20,2022-04-22,100,98.03031031223466
2022-04-22,2022-04-28,100,95.11860307395635
2022-04-28,2022-04-29,100,97.92541813777285
2022-04-29,2022-05-09,100,102.59443479481376
2022-05-09,2022-05-12,100,102.29069315057953
2022-05-12,2022-05-23,100,102.58253539022239
2022-05-23,2022-05-27,100,102.4979628422425
2022-05-27,2022-06-02,100,97.26558307595073
2022-06-02,2022-06-06,100,98.85611299102544
2022-06-06,2022-06-09,100,98.49644264199459
2022-06-09,2022-06-13,100,97.94045060774964
2022-06-13,2022-06-16,100,97.44031472172583
2022-06-16,2022-06-21,100,103.33764337485047
2022-06-21,2022-06-24,100,102.91915817249378
2022-06-27,2022-07-26,100,102.56845909030632
2022-07-26,2022-07-29,100,98.53904892731607
2022-07-29,2022-08-02,100,98.5612602196036
2022-08-02,2022-08-10,100,103.3537866339414
2022-08-10,2022-08-11,100,98.51638377601661
2022-08-11,2022-08-26,100,97.64790959344013
2022-08-26,2022-09-01,100,102.01544744021021
2022-09-01,2022-09-02,100,98.72488423884734
2022-09-02,2022-09-09,100,102.19515437535314
2022-09-09,2022-09-12,100,95.93448673962179
2022-09-12,2022-09-13,100,95.47151422699633
2022-09-13,2022-09-21,100,98.94233671241146
2022-09-21,2022-09-28,100,102.90456431535269
2022-09-28,2022-09-29,100,98.88753269398431
2022-09-29,2022-09-30,100,98.68193680349837
2022-09-30,2022-10-03,100,102.23623904439421
2022-10-03,2022-10-11,100,106.509105844519
2022-10-11,2022-10-13,100,102.53403948949995
2022-10-13,2022-10-19,100,98.62125807200187
2022-10-19,2022-10-24,100,105.290232543044
2022-10-24,2022-10-26,100,102.04367862151875
2022-10-26,2022-10-28,100,102.68128200093642
2022-10-28,2022-10-31,100,98.73647205051168
2022-10-31,2022-11-03,100,98.3463748738366
2022-11-03,2022-11-07,100,104.18994096061138
2022-11-07,2022-11-08,100,105.54838709677419
2022-11-08,2022-11-11,100,97.47925204035953
2022-11-11,2022-12-09,100,98.43854876885575
2022-12-09,2022-12-13,100,97.70680064597165
2022-12-13,2022-12-15,100,97.75214868140748
2022-12-15,2022-12-27,100,98.96670925077026
2022-12-27,2023-01-06,100,104.48384524849084
2023-01-06,2023-01-09,100,98.15406976744187
2023-01-09,2023-01-18,100,97.87686953946394
2023-01-18,2023-01-23,100,98.70832308943397
2023-01-23,2023-01-25,100,98.30248687588612
2023-01-25,2023-01-27,100,98.87347002416776
2023-01-27,2023-02-01,100,97.14567317169328
2023-02-01,2023-02-06,100,98.96108112495435
2023-02-06,2023-02-08,100,98.50317818330942
2023-02-08,2023-02-16,100,97.51040799333889
2023-02-16,2023-02-17,100,102.69404833062931
2023-02-17,2023-02-22,100,98.18317881345362
2023-02-22,2023-02-24,100,98.94139566395664
2023-02-24,2023-03-07,100,97.88581699905846
2023-03-07,2023-03-09,100,98.71895767750961
2023-03-09,2023-03-13,100,103.2729527436999
2023-03-13,2023-03-14,100,98.8849815593104
2023-03-14,2023-03-24,100,103.23098273917945
