date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,97.85231089455509,100,-2.147689105444911,1,97.85231089455509
2021-01-06,97.85231089455509,200,-2.147689105444911,2,0.0
2021-01-08,201.25864398616736,200,1.2321805781314197,2,103.40633309161227
2021-01-08,201.25864398616736,300,1.2321805781314197,3,3.406333091612268
2021-01-11,297.978545246593,300,-1.9789529955203449,3,100.1262343520379
2021-01-11,297.978545246593,400,-1.9789529955203449,4,0.12623435203789768
2021-01-15,400.2967973734298,400,0.2905571100325375,4,102.44448647887471
2021-01-15,400.2967973734298,500,0.2905571100325375,5,2.4444864788747083
2021-01-19,498.92158242227805,500,-1.0557434898098847,5,101.06927152772295
2021-01-19,498.92158242227805,600,-1.0557434898098847,6,1.0692715277229468
2021-01-20,601.6442610321983,600,1.6096898976353486,6,103.79195013764321
2021-01-20,601.6442610321983,700,1.6096898976353486,7,3.7919501376432123
2021-01-25,703.7655113061562,700,3.686340179726571,7,105.91320041160112
2021-01-25,703.7655113061562,800,3.686340179726571,8,5.9132004116011245
2021-01-26,805.8705533613348,800,5.74712302622406,8,108.01824246677971
2021-01-26,805.8705533613348,900,5.74712302622406,9,8.01824246677971
2021-01-27,904.4797265572848,900,4.385538817878228,9,106.62741566272976
2021-01-27,904.4797265572848,1000,4.385538817878228,10,6.62741566272976
2021-02-01,1007.317847537974,1000,7.163987361887308,10,109.46553664341893
2021-02-01,1007.317847537974,1100,7.163987361887308,11,9.465536643418929
2021-02-03,1105.9379502033942,1100,5.813102827284226,11,108.08563930883903
2021-02-03,1105.9379502033942,1200,5.813102827284226,12,8.085639308839035
2021-02-11,1204.0007959241702,1200,3.91667786046564,12,106.14848502961514
2021-02-11,1204.0007959241702,1300,3.91667786046564,13,6.148485029615145
2021-02-16,1302.758633540167,1300,2.700632353336246,13,104.90632264561187
2021-02-16,1302.758633540167,1400,2.700632353336246,14,4.906322645611866
2021-02-26,1398.830591466205,1400,-1.1448213307966029,14,100.97828057164998
2021-02-26,1398.830591466205,1500,-1.1448213307966029,15,0.9782805716499752
2021-03-01,1497.7395810078847,1500,-2.212892931706037,15,99.88727011332946
2021-03-01,1497.7395810078847,1600,-2.212892931706037,16,0.0
2021-03-02,1595.4090951822532,1600,-4.489425002356867,16,97.66951417436853
2021-03-02,1595.4090951822532,1700,-4.489425002356867,17,0.0
2021-03-03,1692.5861815214207,1700,-7.088396922751727,17,97.17708633916756
2021-03-03,1692.5861815214207,1800,-7.088396922751727,18,0.0
2021-03-05,1791.1557377459503,1800,-8.233821662166875,18,98.56955622452949
2021-03-05,1791.1557377459503,1900,-8.233821662166875,19,0.0
2021-03-10,1893.3600695383982,1900,-6.100395486262656,19,102.20433179244792
2021-03-10,1893.3600695383982,2000,-6.100395486262656,20,2.204331792447917
2021-03-11,1998.0044839427403,2000,-1.8333681683672296,20,106.84874619678996
2021-03-11,1998.0044839427403,2100,-1.8333681683672296,21,6.8487461967899605
2021-03-15,2100.146650780191,2100,0.13473450704140078,21,108.99091303424072
2021-03-15,2100.146650780191,2200,0.13473450704140078,22,8.99091303424072
2021-03-17,2202.28668235053,2200,2.1008754188554803,22,111.13094460457981
2021-03-17,2202.28668235053,2300,2.1008754188554803,23,11.13094460457981
2021-03-23,2305.2770233257424,2300,4.848232893917185,23,114.12128557979219
2021-03-23,2305.2770233257424,2400,4.848232893917185,24,14.121285579792186
2021-03-24,2404.0413115259153,2400,3.712930238327388,24,112.88557377996484
2021-03-24,2404.0413115259153,2500,3.712930238327388,25,12.885573779964844
2021-03-26,2509.2487343573,2500,8.497218103892678,25,118.09299661134942
2021-03-26,2509.2487343573,2600,8.497218103892678,26,18.09299661134942
2021-04-05,2611.73422767161,2600,10.780749879328638,26,120.5784899256595
2021-04-05,2611.73422767161,2700,10.780749879328638,27,20.578489925659497
2021-04-08,2710.2474360516308,2700,9.414769175165574,27,119.09169830568054
2021-04-08,2710.2474360516308,2800,9.414769175165574,28,19.091698305680538
2021-04-15,2813.2827002639483,2800,12.203399599462259,28,122.12696251799824
2021-04-15,2813.2827002639483,2900,12.203399599462259,29,22.126962517998237
2021-04-20,2915.5151903329424,2900,14.254486191223577,29,124.35945258699259
2021-04-20,2915.5151903329424,3000,14.254486191223577,30,24.35945258699259
2021-05-04,3014.0136912879957,3000,12.874993130356287,30,122.85795354204578
2021-05-04,3014.0136912879957,3100,12.874993130356287,31,22.857953542045777
2021-05-06,3112.063255689328,3100,11.083042357503032,31,120.9075179433779
2021-05-06,3112.063255689328,3200,11.083042357503032,32,20.907517943377897
2021-05-20,3214.8465744115083,3200,13.640199404223722,32,123.69083666555848
2021-05-20,3214.8465744115083,3300,13.640199404223722,33,23.69083666555848
2021-06-01,3317.937310444274,3300,16.479794224161665,33,126.78157269832414
2021-06-01,3317.937310444274,3400,16.479794224161665,34,26.78157269832414
2021-06-04,3420.5324965798327,3400,18.864105607982196,34,129.37675883388295
2021-06-04,3420.5324965798327,3500,18.864105607982196,35,29.376758833882946
2021-06-10,3522.6202532640436,3500,20.78221928800123,35,131.46451551809366
2021-06-10,3522.6202532640436,3600,20.78221928800123,36,31.464515518093663
2021-06-16,3621.038469913029,3600,19.328965512140556,36,129.88273216707898
2021-06-16,3621.038469913029,3700,19.328965512140556,37,29.882732167078984
2021-06-28,3723.499104032323,3700,21.589658054252283,37,132.34336628637283
2021-06-28,3723.499104032323,3800,21.589658054252283,38,32.34336628637283
2021-07-07,3825.848421148506,3800,23.748078780830866,38,134.6926834025558
2021-07-07,3825.848421148506,3900,23.748078780830866,39,34.69268340255579
2021-07-23,3928.398937870327,3900,26.091350414082044,39,137.24320012437644
2021-07-23,3928.398937870327,4000,26.091350414082044,40,37.24320012437644
2021-08-06,4027.292405761426,4000,25.074730809165956,40,136.1366680154755
2021-08-06,4027.292405761426,4100,25.074730809165956,41,36.13666801547549
2021-08-10,4124.877755253194,4100,22.856285428373724,41,133.72201750724315
2021-08-10,4124.877755253194,4200,22.856285428373724,42,33.72201750724315
2021-08-13,4227.646929693998,4200,25.400447503119025,42,136.491191948047
