purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,97.85231089455509
2021-01-06,2021-01-08,100,103.40633309161227
2021-01-08,2021-01-11,100,96.71990126042563
2021-01-11,2021-01-15,100,102.31825212683681
2021-01-15,2021-01-19,100,98.62478504884824
2021-01-19,2021-01-20,100,102.72267860992027
2021-01-20,2021-01-25,100,102.12125027395791
2021-01-25,2021-01-26,100,102.10504205517859
2021-01-26,2021-01-27,100,98.60917319595005
2021-01-27,2021-02-01,100,102.83812098068917
2021-02-01,2021-02-03,100,98.6201026654201
2021-02-03,2021-02-11,100,98.06284572077611
2021-02-11,2021-02-16,100,98.75783761599672
2021-02-16,2021-02-26,100,96.07195792603811
2021-02-26,2021-03-01,100,98.90898954167949
2021-03-01,2021-03-02,100,97.66951417436853
2021-03-02,2021-03-03,100,97.17708633916756
2021-03-03,2021-03-05,100,98.56955622452949
2021-03-05,2021-03-10,100,102.20433179244792
2021-03-10,2021-03-11,100,104.64441440434204
2021-03-11,2021-03-15,100,102.14216683745076
2021-03-15,2021-03-17,100,102.14003157033909
2021-03-17,2021-03-23,100,102.99034097521238
2021-03-23,2021-03-24,100,98.76428820017266
2021-03-24,2021-03-26,100,105.20742283138458
2021-03-26,2021-04-05,100,102.48549331431008
2021-04-05,2021-04-08,100,98.51320838002104
2021-04-08,2021-04-15,100,103.0352642123177
2021-04-15,2021-04-20,100,102.23249006899435
2021-04-20,2021-05-04,100,98.49850095505319
2021-05-04,2021-05-06,100,98.04956440133212
2021-05-06,2021-05-20,100,102.78331872218058
2021-05-20,2021-06-01,100,103.09073603276566
2021-06-01,2021-06-04,100,102.59518613555882
2021-06-04,2021-06-10,100,102.08775668421073
2021-06-10,2021-06-16,100,98.41821664898531
2021-06-16,2021-06-28,100,102.46063411929384
2021-06-28,2021-07-07,100,102.34931711618296
2021-07-07,2021-07-23,100,102.55051672182066
2021-07-23,2021-08-06,100,98.89346789109906
2021-08-06,2021-08-10,100,97.58534949176766
2021-08-10,2021-08-13,100,102.76917444080385
2021-08-13,2021-08-19,100,102.1994161549843
2021-08-19,2021-08-24,100,98.42702304685139
2021-08-24,2021-08-30,100,102.48969103834101
2021-08-30,2021-09-01,100,102.15064000846294
2021-09-01,2021-09-10,100,98.6306004025006
2021-09-10,2021-09-23,100,97.99630409978933
2021-09-23,2021-09-24,100,97.9806926502784
2021-09-24,2021-09-27,100,97.5935234359907
2021-09-27,2021-09-28,100,98.04624618567944
2021-09-28,2021-09-30,100,98.75966629842674
2021-09-30,2021-10-08,100,98.73946014333433
2021-10-08,2021-10-14,100,102.21301164907457
2021-10-14,2021-10-20,100,103.05177507443122
2021-10-20,2021-10-22,100,103.04484564375676
2021-10-22,2021-11-03,100,98.64673236253176
2021-11-03,2021-11-10,100,98.31841100968308
2021-11-10,2021-11-11,100,98.76575737446981
2021-11-11,2021-11-15,100,95.6028720538341
2021-11-15,2021-11-17,100,98.86342199584985
2021-11-17,2021-11-24,100,103.08718535832975
2021-11-24,2021-11-30,100,98.8662743616045
