purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,98.48555218035298
2021-01-06,2021-01-15,100,98.9121776203009
2021-01-15,2021-01-20,100,105.12653660799425
2021-01-20,2021-01-29,100,98.24782893809486
2021-01-29,2021-02-01,100,104.26299045599153
2021-02-01,2021-02-09,100,98.86684535490356
2021-02-09,2021-02-11,100,98.70257186081695
2021-02-11,2021-02-18,100,102.02690275035866
2021-02-18,2021-02-19,100,97.64620339879335
2021-02-19,2021-02-22,100,97.87193452106219
2021-02-22,2021-02-25,100,96.11474059495589
2021-02-25,2021-03-01,100,102.91054442685368
2021-03-01,2021-03-02,100,98.35989498242292
2021-03-02,2021-03-03,100,97.10651663898349
2021-03-03,2021-03-08,100,98.23494176372714
2021-03-08,2021-03-09,100,103.75614845729615
2021-03-09,2021-03-17,100,102.37949092998655
2021-03-17,2021-03-18,100,96.56474430114935
2021-03-18,2021-03-22,100,102.73712021136063
2021-03-22,2021-03-25,100,97.92277426323098
2021-03-25,2021-04-01,100,103.76658591190511
2021-04-01,2021-04-05,100,102.07908889591901
2021-04-05,2021-04-08,100,102.24934298606634
2021-04-08,2021-04-09,100,102.20955960355226
2021-04-09,2021-04-14,100,98.83755411897278
2021-04-14,2021-04-26,100,102.28022802280228
2021-04-26,2021-05-04,100,97.15107069521855
2021-05-04,2021-05-05,100,98.75176636834667
2021-05-05,2021-05-10,100,97.55208619983246
2021-05-10,2021-05-12,100,98.79203129309697
2021-05-12,2021-05-14,100,102.25131189045477
2021-05-17,2021-05-18,100,98.83439334637964
2021-05-18,2021-06-03,100,98.59913126338064
2021-06-03,2021-06-08,100,102.41983056165674
2021-06-08,2021-06-10,100,102.62061443819468
2021-06-10,2021-06-17,100,104.16699008257552
2021-06-17,2021-06-21,100,98.98889156377895
2021-06-21,2021-06-25,100,98.48000555883681
2021-06-25,2021-07-02,100,103.21979385322773
2021-07-02,2021-07-06,100,104.69270687956069
2021-07-06,2021-07-15,100,98.7882712052539
2021-07-15,2021-07-16,100,98.41484908570169
2021-07-16,2021-07-23,100,102.32256186969029
2021-07-23,2021-07-29,100,98.44884921676731
2021-07-29,2021-07-30,100,92.4353874530545
2021-07-30,2021-08-11,100,98.93376607765356
2021-08-11,2021-08-17,100,98.47636173651023
2021-08-17,2021-08-18,100,98.74335278658589
2021-08-18,2021-08-23,100,102.01985493030783
2021-08-23,2021-08-27,100,102.56469925410607
2021-08-27,2021-08-30,100,102.14769348347883
2021-08-30,2021-09-07,100,102.56314334313387
2021-09-07,2021-09-10,100,98.85674554324534
2021-09-10,2021-09-20,100,96.73004416054607
2021-09-20,2021-09-24,100,102.08003051506086
2021-09-24,2021-09-28,100,96.80165347158972
2021-09-28,2021-10-04,100,96.19476712626208
2021-10-04,2021-10-06,100,102.26410598850077
2021-10-06,2021-10-15,100,104.50705088902514
2021-10-15,2021-10-22,100,97.84512851200638
2021-10-22,2021-10-28,100,103.32837664440156
