date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-11,98.81840116769767,100,-1.1815988323023277,1,98.81840116769767
2021-01-11,98.81840116769767,200,-1.1815988323023277,2,0.0
2021-01-13,201.1756925936279,200,1.1619628541119198,2,102.35729142593021
2021-01-13,201.1756925936279,300,1.1619628541119198,3,2.357291425930214
2021-01-20,303.6151479619022,300,3.572930259674905,3,104.79674679420454
2021-01-20,303.6151479619022,400,3.572930259674905,4,4.796746794204537
2021-01-21,402.4460280600316,400,2.4174633414180846,4,103.62762689233395
2021-01-21,402.4460280600316,500,2.4174633414180846,5,3.62762689233395
2021-01-22,501.00709543000403,500,0.9953345683667578,5,102.1886942623064
2021-01-22,501.00709543000403,600,0.9953345683667578,6,2.1886942623063987
2021-01-29,599.610117624243,600,-0.38532932890610994,6,100.79171645654534
2021-01-29,599.610117624243,700,-0.38532932890610994,7,0.7917164565453447
2021-02-02,703.0891853498287,700,3.053109839614905,7,104.27078418213102
2021-02-02,703.0891853498287,800,3.053109839614905,8,4.270784182131024
2021-02-03,800.7500830020487,800,0.7413235318527711,8,101.93168183435105
2021-02-03,800.7500830020487,900,0.7413235318527711,9,1.9316818343510533
2021-02-05,909.4983182497064,900,9.38739687781458,9,110.67991708200874
2021-02-05,909.4983182497064,1000,9.38739687781458,10,10.679917082008743
2021-02-09,1011.8405788034967,1000,11.702304510053452,10,113.02217763579903
2021-02-09,1011.8405788034967,1100,11.702304510053452,11,13.022177635799025
2021-02-24,1114.1381038633742,1100,13.97299906953107,11,115.3197026956766
2021-02-24,1114.1381038633742,1200,13.97299906953107,12,15.319702695676597
2021-02-25,1212.9674482962566,1200,12.816014419527846,12,114.14904712855902
2021-02-25,1212.9674482962566,1300,12.816014419527846,13,14.149047128559019
2021-02-26,1311.5556732677403,1300,11.420726101484831,13,112.73727210004274
2021-02-26,1311.5556732677403,1400,11.420726101484831,14,12.737272100042745
2021-03-01,1413.6613861040446,1400,13.501848420765825,14,114.84298493634715
2021-03-01,1413.6613861040446,1500,13.501848420765825,15,14.84298493634715
2021-03-03,1511.7294084527507,1500,11.592432406796732,15,112.9110072850532
2021-03-03,1511.7294084527507,1600,11.592432406796732,16,12.911007285053202
2021-03-05,1613.8101031434685,1600,13.648828742425195,16,114.99170197577097
2021-03-05,1613.8101031434685,1700,13.648828742425195,17,14.991701975770965
2021-03-08,1712.6351076057524,1700,12.487554804005299,17,113.81670643805487
2021-03-08,1712.6351076057524,1800,12.487554804005299,18,13.816706438054865
2021-03-15,1810.6734681632756,1800,10.548823389286312,18,111.85506699557808
2021-03-15,1810.6734681632756,1900,10.548823389286312,19,11.855066995578085
2021-03-19,1909.5186766772792,1900,9.407517559645882,19,110.70027550958162
2021-03-19,1909.5186766772792,2000,9.407517559645882,20,10.700275509581616
2021-03-26,2011.9457044660428,2000,11.806202514986538,20,113.1273032983452
2021-03-26,2011.9457044660428,2100,11.806202514986538,21,13.127303298345197
2021-03-29,2114.2757239938255,2100,14.109012071934202,21,115.4573228261279
2021-03-29,2114.2757239938255,2200,14.109012071934202,22,15.457322826127907
2021-03-31,2212.7763962408653,2200,12.627193470268281,22,113.95799507316785
2021-03-31,2212.7763962408653,2300,12.627193470268281,23,13.95799507316785
2021-04-07,2315.452156765362,2300,15.271706460156295,23,116.63375559766446
2021-04-07,2315.452156765362,2400,15.271706460156295,24,16.63375559766446
2021-04-21,2414.2732897470505,2400,14.106606252296274,24,115.45488857935321
2021-04-21,2414.2732897470505,2500,14.106606252296274,25,15.45488857935321
2021-04-22,2513.269996062333,2500,13.11502903243003,25,114.45159489463565
2021-04-22,2513.269996062333,2600,13.11502903243003,26,14.451594894635647
2021-04-28,2616.3923522730734,2600,16.200922363603198,26,117.57395110537607
2021-04-28,2616.3923522730734,2700,16.200922363603198,27,17.573951105376068
2021-04-30,2722.100273991061,2700,21.8421869649343,27,123.28187282336357
2021-04-30,2722.100273991061,2800,21.8421869649343,28,23.28187282336357
2021-05-06,2824.163568184402,2800,23.88138600621504,28,125.34516701670441
2021-05-06,2824.163568184402,2900,23.88138600621504,29,25.34516701670441
2021-05-12,2921.4710134881907,2900,21.220274966970052,29,122.65261232049345
2021-05-12,2921.4710134881907,3000,21.220274966970052,30,22.652612320493446
2021-05-17,3023.668788989553,3000,23.392384843396343,30,124.8503878218559
2021-05-17,3023.668788989553,3100,23.392384843396343,31,24.850387821855904
2021-05-19,3122.504786691659,3100,22.241975765730487,31,123.68638552396165
2021-05-19,3122.504786691659,3200,22.241975765730487,32,23.686385523961647
2021-06-07,3220.636002443642,3200,20.395015182399433,32,121.81760127594487
2021-06-07,3220.636002443642,3300,20.395015182399433,33,21.817601275944867
2021-06-08,3319.5371686779918,3300,19.30901359878004,33,120.71876751029465
2021-06-08,3319.5371686779918,3400,19.30901359878004,34,20.718767510294654
2021-06-11,3421.70555973183,3400,21.452082179295303,34,122.88715856413272
2021-06-11,3421.70555973183,3500,21.452082179295303,35,22.88715856413272
2021-06-16,3519.3014201001115,3500,19.07601809307451,35,120.4830189324144
2021-06-16,3519.3014201001115,3600,19.07601809307451,36,20.483018932414396
2021-06-17,3614.6882595238494,3600,14.51673001154525,36,115.86985835615248
2021-06-17,3614.6882595238494,3700,14.51673001154525,37,15.869858356152477
2021-06-18,3713.5201214664326,3700,13.362233471761485,37,114.70172029873567
2021-06-18,3713.5201214664326,3800,13.362233471761485,38,14.701720298735665
2021-06-23,3815.8796172285674,3800,15.694175039561102,38,117.06121606087036
2021-06-23,3815.8796172285674,3900,15.694175039561102,39,17.061216060870365
2021-06-25,3919.3428578568273,3900,19.116971939617613,39,120.52445668913003
2021-06-25,3919.3428578568273,4000,19.116971939617613,40,20.524456689130034
2021-06-28,4018.20648007656,4000,17.993864780428993,40,119.38807890886292
2021-06-28,4018.20648007656,4100,17.993864780428993,41,19.388078908862923
2021-07-06,4116.869034107363,4100,16.67203750686133,41,118.05063293966573
2021-07-06,4116.869034107363,4200,16.67203750686133,42,18.050632939665732
2021-07-08,4215.822258864172,4200,15.637486506213264,42,117.00385769647444
2021-07-08,4215.822258864172,4300,15.637486506213264,43,17.00385769647444
2021-07-12,4314.78590257425,4300,14.613232786285877,43,115.96750140655259
2021-07-12,4314.78590257425,4400,14.613232786285877,44,15.967501406552586
2021-07-14,4413.773441176784,4400,13.612594914231636,44,114.95504000908657
2021-07-14,4413.773441176784,4500,13.612594914231636,45,14.955040009086574
2021-07-19,4512.191168250062,4500,12.048799772642013,45,113.37276708236433
2021-07-19,4512.191168250062,4600,12.048799772642013,46,13.372767082364334
2021-07-22,4614.713750218371,4600,14.541923025705401,46,115.89534905067377
2021-07-22,4614.713750218371,4700,14.541923025705401,47,15.895349050673772
