purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-11,100,98.81840116769767
2021-01-11,2021-01-13,100,102.35729142593021
2021-01-13,2021-01-20,100,102.43945536827432
2021-01-20,2021-01-21,100,98.83088009812941
2021-01-21,2021-01-22,100,98.56106736997245
2021-01-22,2021-01-29,100,98.60302219423895
2021-01-29,2021-02-02,100,103.47906772558568
2021-02-02,2021-02-03,100,97.66089765222003
2021-02-03,2021-02-05,100,108.74823524765769
2021-02-05,2021-02-09,100,102.34226055379028
2021-02-09,2021-02-24,100,102.29752505987757
2021-02-24,2021-02-25,100,98.82934443288242
2021-02-25,2021-02-26,100,98.58822497148373
2021-02-26,2021-03-01,100,102.1057128363044
2021-03-01,2021-03-03,100,98.06802234870605
2021-03-03,2021-03-05,100,102.08069469071776
2021-03-05,2021-03-08,100,98.8250044622839
2021-03-08,2021-03-15,100,98.03836055752322
2021-03-15,2021-03-19,100,98.84520851400353
2021-03-19,2021-03-26,100,102.42702778876358
2021-03-26,2021-03-29,100,102.33001952778271
2021-03-29,2021-03-31,100,98.50067224703994
2021-03-31,2021-04-07,100,102.67576052449661
2021-04-07,2021-04-21,100,98.82113298168875
2021-04-21,2021-04-22,100,98.99670631528244
2021-04-22,2021-04-28,100,103.12235621074042
2021-04-28,2021-04-30,100,105.7079217179875
2021-04-30,2021-05-06,100,102.06329419334084
2021-05-06,2021-05-12,100,97.30744530378904
2021-05-12,2021-05-17,100,102.19777550136246
2021-05-17,2021-05-19,100,98.83599770210574
2021-05-19,2021-06-07,100,98.13121575198322
2021-06-07,2021-06-08,100,98.90116623434979
2021-06-08,2021-06-11,100,102.16839105383806
2021-06-11,2021-06-16,100,97.59586036828168
2021-06-16,2021-06-17,100,95.38683942373808
2021-06-17,2021-06-18,100,98.83186194258319
2021-06-18,2021-06-23,100,102.3594957621347
2021-06-23,2021-06-25,100,103.46324062825967
2021-06-25,2021-06-28,100,98.86362221973289
2021-06-28,2021-07-06,100,98.66255403080281
2021-07-06,2021-07-08,100,98.95322475680871
2021-07-08,2021-07-12,100,98.96364371007814
2021-07-12,2021-07-14,100,98.98753860253399
2021-07-14,2021-07-19,100,98.41772707327776
2021-07-19,2021-07-22,100,102.52258196830944
2021-07-22,2021-07-26,100,108.19605830782078
