date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,104.11916067897448,100,4.119160678974481,1,104.11916067897448
2021-01-06,104.11916067897448,200,4.119160678974481,2,4.119160678974481
2021-01-12,208.82248731866974,200,8.822487318669744,2,108.82248731866974
2021-01-12,208.82248731866974,300,8.822487318669744,3,8.822487318669744
2021-01-14,306.509212473837,300,6.5092124738370245,3,106.50921247383702
2021-01-14,306.509212473837,400,6.5092124738370245,4,6.5092124738370245
2021-01-15,405.4788390130814,400,5.478839013081412,4,105.47883901308143
2021-01-15,405.4788390130814,500,5.478839013081412,5,5.478839013081426
2021-01-21,507.60607573859187,500,7.606075738591883,5,107.60607573859188
2021-01-21,507.60607573859187,600,7.606075738591883,6,7.606075738591883
2021-01-25,605.6804341407343,600,5.680434140734263,6,105.68043414073426
2021-01-25,605.6804341407343,700,5.680434140734263,7,5.680434140734263
2021-01-26,701.4091189783301,700,1.4091189783299853,7,101.40911897832999
2021-01-26,701.4091189783301,800,1.4091189783299853,8,1.4091189783299853
2021-01-27,799.0230006041918,800,-0.9769993958083489,8,99.02300060419165
2021-01-27,799.0230006041918,900,-0.9769993958083489,9,0.0
2021-01-28,906.5453012040043,900,6.4819723730827405,9,107.52230059981258
2021-01-28,906.5453012040043,1000,6.4819723730827405,10,7.522300599812581
2021-01-29,1001.9571296421889,1000,1.9381935033712097,10,102.9341290379971
2021-01-29,1001.9571296421889,1100,1.9381935033712097,11,2.9341290379970957
2021-02-01,1105.1442656442548,1100,5.09449248347174,11,106.12126504006311
2021-02-01,1105.1442656442548,1200,5.09449248347174,12,6.121265040063108
2021-02-02,1207.5719387622653,1200,7.498676735862219,12,108.54893815807357
2021-02-02,1207.5719387622653,1300,7.498676735862219,13,8.548938158073568
2021-02-04,1309.7482147844214,1300,9.653896276131661,13,110.72521418022978
2021-02-04,1309.7482147844214,1400,9.653896276131661,14,10.725214180229784
2021-02-05,1412.0694493063008,1400,11.952671775273544,14,113.04644870210927
2021-02-05,1412.0694493063008,1500,11.952671775273544,15,13.046448702109274
2021-02-08,1514.3687857982145,1500,14.22976111806608,15,115.34578519402292
2021-02-08,1514.3687857982145,1600,14.22976111806608,16,15.345785194022923
2021-02-12,1612.7230250139205,1600,12.599923834188289,16,113.70002440972897
2021-02-12,1612.7230250139205,1700,12.599923834188289,17,13.700024409728968
2021-02-16,1710.6507436769207,1700,10.54769278216736,17,111.6277430727292
2021-02-16,1710.6507436769207,1800,10.54769278216736,18,11.627743072729203
2021-02-18,1809.012671760122,1800,8.925469972418497,18,109.98967115593042
2021-02-18,1809.012671760122,1900,8.925469972418497,19,9.989671155930424
2021-02-19,1911.5729370248105,1900,11.460963480848775,19,112.54993642061882
2021-02-19,1911.5729370248105,2000,11.460963480848775,20,12.54993642061882
2021-02-22,2015.278997148876,2000,15.131165750910853,20,116.25599654468435
2021-02-22,2015.278997148876,2100,15.131165750910853,21,16.25599654468435
2021-02-25,2112.66063225157,2100,12.538134750809007,21,113.6376316473784
2021-02-25,2112.66063225157,2200,12.538134750809007,22,13.637631647378399
2021-02-26,2211.2306521442656,2200,11.121990365592211,22,112.20765154007425
2021-02-26,2211.2306521442656,2300,11.121990365592211,23,12.207651540074252
2021-03-01,2313.4238471263857,2300,13.293965167025036,23,114.40084652219419
2021-03-01,2313.4238471263857,2400,13.293965167025036,24,14.400846522194186
2021-03-03,2415.581699912458,2400,15.430939724581407,24,116.55869930826647
2021-03-03,2415.581699912458,2500,15.430939724581407,25,16.55869930826647
2021-03-04,2514.0620012237077,2500,13.925944826888397,25,115.03900061951606
2021-03-04,2514.0620012237077,2600,13.925944826888397,26,15.03900061951606
2021-03-05,2616.4242791055635,2600,16.26536657242481,26,117.40127850137176
2021-03-05,2616.4242791055635,2700,16.26536657242481,27,17.401278501371763
2021-03-10,2720.4402538891695,2700,20.242484933670895,27,121.4172532849778
2021-03-10,2720.4402538891695,2800,20.242484933670895,28,21.417253284977804
2021-03-17,2823.103155093377,2800,22.879621331207915,28,124.0801544891854
2021-03-17,2823.103155093377,2900,22.879621331207915,29,24.080154489185404
2021-03-23,2921.454502852675,2900,21.246920567106557,29,122.43150224848341
2021-03-23,2921.454502852675,3000,21.246920567106557,30,22.43150224848341
2021-03-26,3027.3510531680395,3000,27.086419017888886,30,128.32805256384813
2021-03-26,3027.3510531680395,3100,27.086419017888886,31,28.328052563848132
2021-03-31,3124.647664695612,3100,24.40918708526752,31,125.62466409142066
2021-03-31,3124.647664695612,3200,24.40918708526752,32,25.624664091420655
2021-04-08,3223.4931962010114,3200,23.265888609863964,32,124.47019559682013
2021-04-08,3223.4931962010114,3300,23.265888609863964,33,24.470195596820133
2021-04-12,3325.8567178312687,3300,25.60654206995838,33,126.83371722707764
2021-04-12,3325.8567178312687,3400,25.60654206995838,34,26.833717227077642
2021-04-13,3424.7469330960466,3400,24.50749501779545,34,125.72393249185544
2021-04-13,3424.7469330960466,3500,24.50749501779545,35,25.723932491855436
2021-04-28,3523.1043456206808,3500,22.880800339607248,35,124.08134501648968
2021-04-28,3523.1043456206808,3600,22.880800339607248,36,24.081345016489678
2021-04-29,3626.3201045751252,3600,26.0654453317201,36,127.29710397093412
2021-04-29,3626.3201045751252,3700,26.0654453317201,37,27.297103970934117
2021-05-03,3729.0688982527045,3700,28.78764315303252,37,130.04589764851346
2021-05-03,3729.0688982527045,3800,28.78764315303252,38,30.04589764851346
2021-05-10,3831.853742411604,3800,31.54554265050453,38,132.83074180741278
2021-05-10,3831.853742411604,3900,31.54554265050453,39,32.83074180741278
2021-05-11,3929.944700870155,3900,29.654971973150595,39,130.92170026596375
2021-05-11,3929.944700870155,4000,29.654971973150595,40,30.92170026596375
2021-05-12,4026.5872278950083,4000,26.32998410934384,40,127.56422729081692
2021-05-12,4026.5872278950083,4100,26.32998410934384,41,27.564227290816916
2021-05-13,4130.339068649845,4100,30.045524061299176,41,131.31606804565388
2021-05-13,4130.339068649845,4200,30.045524061299176,42,31.31606804565388
2021-05-18,4227.257831703331,4200,26.994099514173996,42,128.23483109913974
2021-05-18,4227.257831703331,4300,26.994099514173996,43,28.23483109913974
2021-05-27,4330.49593432701,4300,30.200871990137756,43,131.4729337228186
2021-05-27,4330.49593432701,4400,30.200871990137756,44,31.472933722818595
2021-06-03,4427.302336545829,4400,27.038173751638666,44,128.27933594163812
2021-06-03,4427.302336545829,4500,27.038173751638666,45,28.279335941638124
2021-06-10,4525.79312669493,4500,25.543566207415935,45,126.77012609073864
2021-06-10,4525.79312669493,4600,25.543566207415935,46,26.770126090738643
2021-06-15,4627.959517114876,4600,27.688995793270152,46,128.93651651068416
2021-06-15,4627.959517114876,4700,27.688995793270152,47,28.936516510684157
2021-06-16,4726.690122138773,4700,26.431882803482537,47,127.6671215345817
2021-06-16,4726.690122138773,4800,26.431882803482537,48,27.667121534581696
2021-06-17,4824.393707573536,4800,24.157687116367853,48,125.3707069693444
2021-06-17,4824.393707573536,4900,24.157687116367853,49,25.370706969344397
2021-06-18,4923.255792654275,4900,23.030782052769922,49,124.23279205008377
2021-06-18,4923.255792654275,5000,23.030782052769922,50,24.232792050083773
2021-06-21,5025.662469210754,5000,25.41417289511965,50,126.63946860656301
2021-06-21,5025.662469210754,5100,25.41417289511965,51,26.639468606563014
2021-06-25,5128.0713503656325,5100,27.79974700535422,51,129.04834976144113
2021-06-25,5128.0713503656325,5200,27.79974700535422,52,29.04834976144113
2021-06-29,5231.422787956358,5200,31.118757879888392,52,132.3997873521663
2021-06-29,5231.422787956358,5300,31.118757879888392,53,32.3997873521663
2021-07-06,5329.772930704877,5300,29.48486376404699,53,130.749930100685
2021-07-06,5329.772930704877,5400,29.48486376404699,54,30.749930100684992
2021-07-07,5432.074069969387,5400,31.763738436773906,54,133.05106936519567
2021-07-07,5432.074069969387,5500,31.763738436773906,55,33.05106936519567
2021-07-08,5529.741561289141,5500,29.453797861987,55,130.71856068494955
2021-07-08,5529.741561289141,5600,29.453797861987,56,30.71856068494955
2021-07-19,5627.740384555758,5600,27.471983443499354,56,128.71738395156726
