purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.11916067897448
2021-01-06,2021-01-12,100,104.70332663969526
2021-01-12,2021-01-14,100,97.68672515516728
2021-01-14,2021-01-15,100,98.9696265392444
2021-01-15,2021-01-21,100,102.12723672551046
2021-01-21,2021-01-25,100,98.07435840214238
2021-01-25,2021-01-26,100,95.72868483759572
2021-01-26,2021-01-27,100,97.61388162586167
2021-01-27,2021-01-28,100,107.52230059981258
2021-01-28,2021-01-29,100,95.41182843818451
2021-01-29,2021-02-01,100,103.18713600206601
2021-02-01,2021-02-02,100,102.42767311801046
2021-02-02,2021-02-04,100,102.17627602215622
2021-02-04,2021-02-05,100,102.32123452187949
2021-02-05,2021-02-08,100,102.29933649191365
2021-02-08,2021-02-12,100,98.35423921570604
2021-02-12,2021-02-16,100,97.92771866300023
2021-02-16,2021-02-18,100,98.36192808320122
2021-02-18,2021-02-19,100,102.5602652646884
2021-02-19,2021-02-22,100,103.70606012406553
2021-02-22,2021-02-25,100,97.38163510269405
2021-02-25,2021-02-26,100,98.57001989269585
2021-02-26,2021-03-01,100,102.19319498211993
2021-03-01,2021-03-03,100,102.15785278607228
2021-03-03,2021-03-04,100,98.48030131124959
2021-03-04,2021-03-05,100,102.3622778818557
2021-03-05,2021-03-10,100,104.01597478360604
2021-03-10,2021-03-17,100,102.6629012042076
2021-03-17,2021-03-23,100,98.35134775929801
2021-03-23,2021-03-26,100,105.8965503153647
2021-03-26,2021-03-31,100,97.29661152757252
2021-03-31,2021-04-08,100,98.84553150539948
2021-04-08,2021-04-12,100,102.36352163025751
2021-04-12,2021-04-13,100,98.8902152647778
2021-04-13,2021-04-28,100,98.35741252463424
2021-04-28,2021-04-29,100,103.21575895444444
2021-04-29,2021-05-03,100,102.74879367757936
2021-05-03,2021-05-10,100,102.78484415889932
2021-05-10,2021-05-11,100,98.09095845855096
2021-05-11,2021-05-12,100,96.64252702485317
2021-05-12,2021-05-13,100,103.75184075483695
2021-05-13,2021-05-18,100,96.91876305348586
2021-05-18,2021-05-27,100,103.23810262367887
2021-05-27,2021-06-03,100,96.80640221881951
2021-06-03,2021-06-10,100,98.49079014910052
2021-06-10,2021-06-15,100,102.16639041994553
2021-06-15,2021-06-16,100,98.73060502389754
2021-06-16,2021-06-17,100,97.7035854347627
2021-06-17,2021-06-18,100,98.86208508073938
2021-06-18,2021-06-21,100,102.40667655647924
2021-06-21,2021-06-25,100,102.40888115487812
2021-06-25,2021-06-29,100,103.35143759072515
2021-06-29,2021-07-06,100,98.3501427485187
2021-07-06,2021-07-07,100,102.30113926451068
2021-07-07,2021-07-08,100,97.66749131975388
2021-07-08,2021-07-19,100,97.9988232666177
2021-07-19,2021-07-21,100,102.59489899290864
2021-07-21,2021-07-22,100,97.03103717665374
2021-07-22,2021-07-27,100,102.15635157704442
2021-07-27,2021-07-28,100,98.98801824145461
2021-07-28,2021-08-03,100,103.6160322503785
2021-08-03,2021-08-18,100,98.14281857952686
2021-08-18,2021-08-24,100,102.13288626546984
2021-08-24,2021-09-02,100,102.64534055286406
2021-09-02,2021-09-07,100,97.50515363739216
2021-09-07,2021-09-09,100,98.73347257162301
2021-09-09,2021-09-10,100,98.79985061218721
2021-09-10,2021-09-14,100,97.46239641317389
2021-09-14,2021-09-16,100,97.55610696224993
2021-09-16,2021-09-17,100,97.93113081706365
2021-09-17,2021-09-20,100,98.77301959751657
2021-09-20,2021-09-22,100,98.89917021205692
2021-09-22,2021-09-30,100,95.76669062808878
2021-09-30,2021-10-05,100,104.2413306056387
2021-10-05,2021-10-14,100,102.52911252019192
2021-10-14,2021-10-20,100,102.12842339588329
2021-10-20,2021-10-26,100,98.31994559970038
2021-10-26,2021-10-27,100,98.03160547178707
2021-10-27,2021-10-28,100,110.50446398710649
2021-10-28,2021-10-29,100,103.3673309092586
2021-10-29,2021-11-01,100,102.23105858864143
2021-11-01,2021-11-02,100,104.8992144454749
2021-11-02,2021-11-05,100,98.96679897498969
2021-11-05,2021-11-11,100,102.73404657810661
2021-11-11,2021-11-12,100,103.03710353081988
2021-11-12,2021-11-26,100,98.67234067901992
2021-11-26,2021-11-30,100,97.59169191566646
2021-11-30,2021-12-02,100,102.56852073568209
2021-12-02,2021-12-07,100,102.23204244951707
2021-12-07,2021-12-14,100,98.90170803082985
2021-12-14,2021-12-15,100,102.06240656351319
2021-12-15,2021-12-17,100,96.70078790970757
2021-12-17,2021-12-20,100,97.9726539333737
2021-12-20,2021-12-21,100,102.05657443226362
2021-12-21,2021-12-23,100,102.31169688146966
2021-12-23,2021-12-27,100,102.33134633681622
2021-12-27,2022-01-03,100,98.66693128375371
2022-01-03,2022-01-14,100,96.41097784122287
2022-01-14,2022-01-19,100,98.73240220214296
2022-01-19,2022-01-20,100,98.31566221548304
2022-01-20,2022-01-21,100,98.2223270100262
2022-01-21,2022-01-24,100,102.55264295622788
2022-01-24,2022-01-25,100,95.71027686896248
2022-01-25,2022-02-03,100,98.62548944897976
2022-02-03,2022-02-10,100,97.48912589304672
2022-02-10,2022-02-11,100,98.7275458568303
2022-02-11,2022-02-22,100,97.50256916827269
2022-02-22,2022-02-23,100,97.64224485267498
2022-02-23,2022-02-25,100,102.2089659348299
2022-02-25,2022-02-28,100,98.83330407816979
