date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,104.25627326868107,100,4.2562732686810705,1,104.25627326868107
2021-01-06,104.25627326868107,200,4.2562732686810705,2,4.2562732686810705
2021-01-15,202.57815197235325,200,2.578151972353254,2,102.57815197235325
2021-01-15,202.57815197235325,300,2.578151972353254,3,2.578151972353254
2021-01-26,301.2695183897564,300,1.2695183897563709,3,101.26951838975639
2021-01-26,301.2695183897564,400,1.2695183897563709,4,1.269518389756385
2021-01-27,397.8483600176767,400,-2.151639982323289,4,97.84836001767671
2021-01-27,397.8483600176767,500,-2.151639982323289,5,0.0
2021-02-04,500.07982774097206,500,0.0781463136430176,5,102.23146772329537
2021-02-04,500.07982774097206,600,0.0781463136430176,6,2.231467723295367
2021-02-08,603.1395032015545,600,3.0733752312716263,6,105.29114318387778
2021-02-08,603.1395032015545,700,3.0733752312716263,7,5.291143183877779
2021-02-12,705.8626361991319,700,5.739150345649264,7,108.0142761814552
2021-02-12,705.8626361991319,800,5.739150345649264,8,8.014276181455202
2021-02-17,804.4412126399288,800,4.347666509022602,8,106.59285262225211
2021-02-17,804.4412126399288,900,4.347666509022602,9,6.59285262225211
2021-02-18,902.03182391593,900,1.989027211194582,9,104.18346389825322
2021-02-18,902.03182391593,1000,1.989027211194582,10,4.183463898253223
2021-02-23,999.4684450635676,1000,-0.5203586907898625,10,101.6200850458909
2021-02-23,999.4684450635676,1100,-0.5203586907898625,11,1.620085045890903
2021-02-25,1097.7570960661942,1100,-2.1956612093490833,11,99.90873604851748
2021-02-25,1097.7570960661942,1200,-2.1956612093490833,12,0.0
2021-03-01,1201.5496685449598,1200,1.515673445624131,12,103.79257247876549
2021-03-01,1201.5496685449598,1300,1.515673445624131,13,3.792572478765493
2021-03-03,1298.2718273132011,1300,-1.6902617397466742,13,100.51473124700675
2021-03-03,1298.2718273132011,1400,-1.6902617397466742,14,0.5147312470067504
2021-03-04,1393.8006499966332,1400,-6.063354780475123,14,96.0435539304388
2021-03-04,1393.8006499966332,1500,-6.063354780475123,15,0.0
2021-03-05,1496.3316486879721,1500,-3.45421258408048,15,102.53099869133902
2021-03-05,1496.3316486879721,1600,-3.45421258408048,16,2.530998691339022
2021-03-11,1600.1654327311594,1600,0.155775653197594,16,106.36478273452634
2021-03-11,1600.1654327311594,1700,0.155775653197594,17,6.364782734526344
2021-03-15,1703.1866150626754,1700,3.000597520205446,17,109.38596506604233
