purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.25627326868107
2021-01-06,2021-01-15,100,98.32187870367218
2021-01-15,2021-01-26,100,98.69136641740313
2021-01-26,2021-01-27,100,96.57884162792033
2021-01-27,2021-02-04,100,102.23146772329537
2021-02-04,2021-02-08,100,103.05967546058241
2021-02-08,2021-02-12,100,102.72313299757742
2021-02-12,2021-02-17,100,98.57857644079691
2021-02-17,2021-02-18,100,97.59061127600111
2021-02-18,2021-02-23,100,97.43662114763768
2021-02-23,2021-02-25,100,98.28865100262658
2021-02-25,2021-03-01,100,103.79257247876549
2021-03-01,2021-03-03,100,96.72215876824126
2021-03-03,2021-03-04,100,95.52882268343205
2021-03-04,2021-03-05,100,102.53099869133902
2021-03-05,2021-03-11,100,103.83378404318732
2021-03-11,2021-03-15,100,103.02118233151599
2021-03-15,2021-03-18,100,98.70701868164389
2021-03-18,2021-03-19,100,98.9235514191579
2021-03-19,2021-03-23,100,98.31310695263029
2021-03-23,2021-03-25,100,102.49504794637352
2021-03-25,2021-03-26,100,103.08576401776457
2021-03-26,2021-03-30,100,98.64794398092968
2021-03-30,2021-04-01,100,102.22264174690076
2021-04-01,2021-04-05,100,102.64186601987171
2021-04-05,2021-04-07,100,97.77729130618621
2021-04-07,2021-04-23,100,102.2431798316235
2021-04-23,2021-04-28,100,98.13869915918997
2021-04-28,2021-05-03,100,98.11837488232202
2021-05-03,2021-05-07,100,102.81021033743707
2021-05-07,2021-05-10,100,98.45619627366081
2021-05-10,2021-05-11,100,98.88223454609243
2021-05-11,2021-05-12,100,96.77344056370642
2021-05-12,2021-05-14,100,103.41228874202004
2021-05-14,2021-06-02,100,102.11105755026513
2021-06-02,2021-06-04,100,102.06528128454953
2021-06-04,2021-06-07,100,98.59659697893849
2021-06-07,2021-06-17,100,98.82782352887766
2021-06-17,2021-06-18,100,98.35088106131599
2021-06-18,2021-06-22,100,102.11207742104231
2021-06-22,2021-07-01,100,102.11596165105385
2021-07-01,2021-07-12,100,102.04464352370289
2021-07-12,2021-07-15,100,98.182440697409
2021-07-15,2021-07-16,100,98.46353770815264
2021-07-16,2021-07-21,100,103.11724321640894
2021-07-21,2021-07-29,100,102.58003722251905
2021-07-29,2021-08-03,100,102.59842091557137
2021-08-03,2021-08-24,100,102.04617276994783
2021-08-24,2021-08-30,100,102.11037585517917
