purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-07,100,98.17587577227906
2021-01-07,2021-01-14,100,102.79398443400423
2021-01-14,2021-01-22,100,96.30661386701233
2021-01-22,2021-01-25,100,98.81692400240627
2021-01-25,2021-01-26,100,107.19580347813104
2021-01-26,2021-01-27,100,96.74207494990067
2021-01-27,2021-01-29,100,96.55363978642148
2021-01-29,2021-02-01,100,103.7033154666648
2021-02-01,2021-02-02,100,102.61911233206571
2021-02-02,2021-02-03,100,102.51855645957417
2021-02-03,2021-02-10,100,103.46916334831484
2021-02-10,2021-02-11,100,97.3607262026855
2021-02-11,2021-02-16,100,102.04000313683599
2021-02-16,2021-02-25,100,95.98536052409656
2021-02-25,2021-03-01,100,103.06939906082965
2021-03-01,2021-03-04,100,98.36991438061366
2021-03-04,2021-03-08,100,95.76462553091584
2021-03-08,2021-03-09,100,96.43737491252234
2021-03-09,2021-03-11,100,104.50241621812752
2021-03-11,2021-03-15,100,102.02749771663242
2021-03-15,2021-03-16,100,98.5026584964593
2021-03-16,2021-03-18,100,98.69026478568269
2021-03-18,2021-03-22,100,104.1726589831234
2021-03-22,2021-03-24,100,96.46172451065378
2021-03-24,2021-03-25,100,98.52997954175302
2021-03-25,2021-03-29,100,98.97781551135122
2021-03-29,2021-04-01,100,103.27137038975222
2021-04-01,2021-04-07,100,97.99994712351946
2021-04-07,2021-04-08,100,98.95730761448709
2021-04-08,2021-04-12,100,102.14893268994847
2021-04-12,2021-04-14,100,104.01662696744664
2021-04-14,2021-04-16,100,104.24532437015037
2021-04-16,2021-04-22,100,102.2098427635546
2021-04-22,2021-04-26,100,103.45400545834
2021-04-26,2021-05-05,100,103.86823708324606
2021-05-05,2021-05-07,100,102.78687667375073
2021-05-07,2021-05-10,100,98.9876398308857
2021-05-10,2021-05-12,100,96.7565732115817
2021-05-12,2021-05-14,100,102.97522166198112
2021-05-14,2021-06-16,100,102.90528666010854
2021-06-16,2021-06-18,100,97.951160829847
2021-06-18,2021-06-24,100,103.0515530992536
2021-06-24,2021-06-25,100,104.16201865353341
2021-06-25,2021-07-01,100,102.32186730095059
2021-07-01,2021-07-08,100,96.03188865925858
2021-07-08,2021-07-13,100,98.97716068956316
2021-07-13,2021-07-16,100,94.73859275650541
2021-07-16,2021-07-21,100,102.45009812218893
2021-07-21,2021-07-23,100,102.25280066952732
2021-07-23,2021-07-28,100,98.97567695811159
2021-07-28,2021-08-03,100,103.10940574296387
2021-08-03,2021-08-11,100,97.8060706834834
2021-08-11,2021-08-17,100,98.29904322285803
2021-08-17,2021-08-18,100,98.63384588832378
2021-08-18,2021-08-19,100,98.14101933164915
2021-08-19,2021-08-23,100,102.57301252704598
2021-08-23,2021-08-27,100,102.16064415550552
2021-08-27,2021-09-01,100,103.95535799738403
2021-09-01,2021-09-15,100,103.36345920731614
2021-09-15,2021-09-20,100,92.7145960443171
2021-09-20,2021-09-23,100,104.84381727029806
2021-09-23,2021-09-27,100,102.82492682306028
2021-09-27,2021-09-28,100,97.53883423848919
2021-09-28,2021-10-04,100,95.68689420176328
2021-10-04,2021-10-05,100,104.69370506713626
2021-10-05,2021-10-07,100,103.3150822817305
2021-10-07,2021-10-08,100,102.78353093874695
2021-10-08,2021-10-14,100,103.73380367034635
2021-10-14,2021-10-19,100,107.93381638216258
2021-10-19,2021-10-21,100,105.6163830941741
2021-10-21,2021-10-22,100,103.14444685037516
2021-10-22,2021-10-27,100,97.17764596505731
2021-10-27,2021-11-01,100,98.52952226581579
2021-11-01,2021-11-03,100,102.14773344736344
2021-11-03,2021-11-05,100,98.67787436006826
2021-11-05,2021-11-10,100,96.17921998262544
2021-11-10,2021-11-15,100,102.83824729625515
2021-11-15,2021-11-23,100,97.6379888756543
2021-11-23,2021-11-26,100,97.19542358938774
2021-11-26,2021-11-29,100,102.24325619756198
2021-11-29,2021-11-30,100,96.49615532974629
2021-11-30,2021-12-10,100,98.40410244439742
2021-12-10,2021-12-14,100,98.39245314348575
2021-12-14,2021-12-15,100,102.37786346383632
2021-12-15,2021-12-20,100,97.74771725116419
2021-12-20,2021-12-21,100,104.84174294314008
2021-12-21,2021-12-23,100,103.2961509241028
2021-12-23,2021-12-28,100,98.923319911908
2021-12-28,2021-12-31,100,98.5844071150689
2021-12-31,2022-01-03,100,98.75682888719078
2022-01-03,2022-01-04,100,102.8379759553754
2022-01-04,2022-01-05,100,94.61628842274601
2022-01-05,2022-01-10,100,98.2049467448247
2022-01-10,2022-01-11,100,103.26262992506649
2022-01-11,2022-01-13,100,98.54078031823688
2022-01-13,2022-01-14,100,98.96428136626965
2022-01-14,2022-01-18,100,98.28584116201546
2022-01-18,2022-01-21,100,97.41261409775011
2022-01-21,2022-01-25,100,97.34404698294705
2022-01-25,2022-01-27,100,103.24271335186619
2022-01-27,2022-01-28,100,102.91463460267171
2022-01-28,2022-01-31,100,102.6993779523026
2022-01-31,2022-02-03,100,98.54284433010375
2022-02-03,2022-02-07,100,102.7547161902823
2022-02-07,2022-02-08,100,95.37178403892662
2022-02-08,2022-02-09,100,103.35858342842215
2022-02-09,2022-02-11,100,93.9879226410577
2022-02-11,2022-02-15,100,102.90899713503094
2022-02-15,2022-02-17,100,97.09438955593788
2022-02-17,2022-02-18,100,98.3749893774727
2022-02-18,2022-02-22,100,98.48828057512526
2022-02-22,2022-02-23,100,98.25944586837669
2022-02-23,2022-02-25,100,105.74890486817092
2022-02-25,2022-03-01,100,95.02053997949129
2022-03-01,2022-03-02,100,104.05430081612441
2022-03-02,2022-03-04,100,97.76702006899407
2022-03-04,2022-03-07,100,91.82414447746905
2022-03-07,2022-03-08,100,102.96776352285436
2022-03-08,2022-03-09,100,105.44838520439141
2022-03-09,2022-03-10,100,98.0723161239362
2022-03-10,2022-03-14,100,95.7146023041124
2022-03-14,2022-03-16,100,104.83078932726966
2022-03-16,2022-03-17,100,98.87605817663967
2022-03-17,2022-03-22,100,105.03413154187886
2022-03-22,2022-03-23,100,97.0624551647082
2022-03-23,2022-03-29,100,104.6671299513551
2022-03-29,2022-03-30,100,95.93684289459131
2022-03-30,2022-03-31,100,98.33433478421583
2022-03-31,2022-04-04,100,102.20987613433132
2022-04-04,2022-04-05,100,96.48037587589616
2022-04-05,2022-04-06,100,96.5647412850692
2022-04-06,2022-04-07,100,97.69617629259675
2022-04-07,2022-04-11,100,98.61284167206603
2022-04-11,2022-04-12,100,97.60831620045379
2022-04-12,2022-04-13,100,104.03548385307155
2022-04-13,2022-04-18,100,98.28556192507666
2022-04-18,2022-04-19,100,103.22427793753279
2022-04-19,2022-04-21,100,95.85253294741378
2022-04-21,2022-04-22,100,96.02914349846277
2022-04-22,2022-04-26,100,94.84507825080611
2022-04-26,2022-04-28,100,102.2678012362527
2022-04-28,2022-04-29,100,95.12520114604183
2022-04-29,2022-05-02,100,104.34109902442346
2022-05-02,2022-05-04,100,103.35124618906958
2022-05-04,2022-05-06,100,98.58378672053747
2022-05-06,2022-05-09,100,93.66715244047977
2022-05-09,2022-05-11,100,102.94658727889718
2022-05-11,2022-05-13,100,106.25355944755361
2022-05-13,2022-05-16,100,98.72706404642496
2022-05-16,2022-05-17,100,103.18203007648614
2022-05-17,2022-05-19,100,98.44884709347077
2022-05-19,2022-05-23,100,102.35404096201239
2022-05-23,2022-05-24,100,97.03014871397468
2022-05-24,2022-05-25,100,104.10603859406258
2022-05-25,2022-05-26,100,104.17716178031222
2022-05-26,2022-05-27,100,103.80295469767475
2022-05-27,2022-05-31,100,95.55719584619855
2022-05-31,2022-06-06,100,102.65425562942237
2022-06-06,2022-06-08,100,96.87352022991
2022-06-08,2022-06-09,100,98.84854388260054
2022-06-09,2022-06-10,100,96.0997205608922
2022-06-10,2022-06-13,100,91.97397571965331
2022-06-13,2022-06-14,100,98.56245079150654
2022-06-14,2022-06-15,100,102.41090687665775
2022-06-15,2022-06-16,100,92.54209958782211
2022-06-16,2022-06-17,100,103.1421583254019
2022-06-17,2022-06-21,100,103.31629959668054
2022-06-21,2022-06-24,100,104.31270757753819
2022-06-24,2022-06-28,100,98.59613304700848
2022-06-28,2022-06-29,100,96.89871644300302
2022-06-29,2022-06-30,100,97.58472534120855
2022-06-30,2022-07-05,100,105.34226653328514
2022-07-05,2022-07-06,100,98.37485635852912
2022-07-06,2022-07-07,100,104.12024287064338
2022-07-07,2022-07-08,100,98.56627822499752
2022-07-08,2022-07-11,100,98.33200937441953
2022-07-11,2022-07-14,100,95.99591653822117
2022-07-14,2022-07-15,100,104.47924604138232
2022-07-15,2022-07-19,100,104.36595476959019
2022-07-19,2022-07-20,100,102.11047095390676
2022-07-20,2022-07-26,100,98.8187007400277
2022-07-26,2022-07-27,100,102.39046098757774
2022-07-27,2022-07-28,100,103.06399852829958
2022-07-28,2022-08-04,100,102.61880636518693
2022-08-04,2022-08-10,100,103.44889988351397
2022-08-10,2022-08-15,100,102.48387814475957
2022-08-15,2022-08-16,100,98.78012402597187
2022-08-16,2022-08-17,100,98.19313795064599
2022-08-17,2022-08-19,100,98.12623122515124
2022-08-19,2022-08-22,100,98.19370250938495
2022-08-22,2022-08-24,100,103.2937317138044
2022-08-24,2022-08-25,100,102.28968713789108
2022-08-25,2022-08-26,100,93.4669546523278
2022-08-26,2022-08-29,100,98.75838293517198
2022-08-29,2022-08-30,100,98.70659248754589
2022-08-30,2022-09-07,100,103.25746998559605
2022-09-07,2022-09-09,100,102.4145945974873
2022-09-09,2022-09-13,100,97.50455909580981
2022-09-13,2022-09-16,100,96.73508395855663
2022-09-16,2022-09-20,100,98.84381642146319
2022-09-20,2022-09-21,100,97.77193225000093
2022-09-21,2022-09-22,100,97.81631685953194
2022-09-22,2022-09-23,100,96.29191182790657
2022-09-23,2022-09-26,100,98.52817664314726
2022-09-26,2022-09-28,100,102.4145975361922
2022-09-28,2022-09-29,100,95.16483781599443
2022-09-29,2022-09-30,100,97.62753830163008
2022-09-30,2022-10-03,100,105.22572156894994
2022-10-03,2022-10-04,100,106.13140517452347
2022-10-04,2022-10-06,100,98.22838231133812
2022-10-06,2022-10-07,100,95.60854461779425
2022-10-07,2022-10-11,100,97.76510954718297
2022-10-11,2022-10-17,100,102.60063944960905
2022-10-17,2022-10-18,100,102.71881324974083
2022-10-18,2022-10-19,100,98.42786942365225
2022-10-19,2022-10-21,100,103.51795904665994
2022-10-21,2022-10-25,100,106.0741666617534
2022-10-25,2022-10-28,100,102.43045648411997
2022-10-28,2022-11-01,100,102.76837200552768
2022-11-01,2022-11-02,100,103.95313267283515
2022-11-02,2022-11-04,100,105.30021993948702
2022-11-04,2022-11-09,100,97.49132124498128
2022-11-09,2022-11-10,100,105.2777498313594
2022-11-10,2022-11-14,100,97.41555554511146
2022-11-14,2022-11-15,100,103.14848943909993
2022-11-15,2022-11-16,100,97.22482070470845
2022-11-16,2022-11-17,100,98.76523412443875
2022-11-17,2022-11-22,100,105.14693943822049
2022-11-22,2022-11-25,100,102.62507720815317
2022-11-25,2022-11-28,100,97.8182365332531
2022-11-28,2022-11-30,100,106.73742501153667
2022-11-30,2022-12-02,100,98.35711197578901
2022-12-02,2022-12-05,100,94.5054945054945
2022-12-05,2022-12-06,100,98.04651162790698
2022-12-06,2022-12-07,100,97.07463630613535
2022-12-07,2022-12-08,100,102.34565890210132
2022-12-08,2022-12-13,100,104.15406652872832
2022-12-13,2022-12-15,100,97.89119804400978
2022-12-15,2022-12-16,100,97.58039338120511
2022-12-16,2022-12-21,100,103.24748040313551
2022-12-21,2022-12-22,100,98.80694143167028
2022-12-22,2022-12-28,100,98.03983064136742
2022-12-28,2022-12-30,100,102.03134996801022
2022-12-30,2023-01-03,100,98.46370904530491
2023-01-03,2023-01-04,100,102.46775991084223
2023-01-04,2023-01-05,100,97.8091982597887
2023-01-05,2023-01-06,100,102.19221604447975
2023-01-06,2023-01-10,100,103.40432146743355
2023-01-10,2023-01-12,100,102.88634996993386
2023-01-12,2023-01-19,100,96.11338398597312
2023-01-19,2023-01-23,100,104.65186986926118
2023-01-23,2023-01-24,100,98.3439860546194
2023-01-24,2023-01-26,100,104.0324963072378
2023-01-26,2023-01-30,100,98.33877608973448
2023-01-30,2023-01-31,100,102.19462893444988
2023-01-31,2023-02-01,100,102.45832155976264
2023-02-01,2023-02-09,100,94.31880860452291
2023-02-09,2023-02-10,100,103.30409356725146
2023-02-10,2023-02-15,100,102.50495329748091
2023-02-15,2023-02-17,100,98.63316305398314
2023-02-17,2023-02-21,100,97.07446808510637
2023-02-21,2023-02-23,100,102.68204758471522
2023-02-23,2023-02-27,100,98.89060525207135
2023-02-27,2023-03-01,100,102.1584777051974
2023-03-01,2023-03-07,100,98.97136502641091
2023-03-07,2023-03-09,100,94.62078651685394
2023-03-09,2023-03-10,100,89.49087130770373
2023-03-10,2023-03-13,100,96.98125725659314
2023-03-13,2023-03-14,100,102.20625962031811
2023-03-14,2023-03-15,100,96.40227576974564
2023-03-15,2023-03-17,100,98.12532546432912
2023-03-17,2023-03-21,100,107.39430390942861
2023-03-21,2023-03-22,100,97.06802833141163
2023-03-22,2023-03-23,100,97.91277787205159
2023-03-23,2023-03-27,100,102.16637781629116
2023-03-27,2023-03-29,100,102.90076335877862
2023-03-29,2023-03-31,100,104.12133201450709
2023-03-31,2023-04-03,100,98.79670677644079
2023-04-03,2023-04-05,100,98.3974358974359
2023-04-05,2023-04-11,100,102.81758957654723
2023-04-11,2023-04-13,100,102.64533502296847
2023-04-13,2023-04-21,100,98.05555555555556
2023-04-21,2023-04-25,100,96.99401951526599
2023-04-25,2023-04-28,100,102.85575206879767
2023-04-28,2023-05-02,100,96.63984855655465
2023-05-02,2023-05-04,100,94.74371531178583
2023-05-04,2023-05-05,100,104.29014472777396
2023-05-05,2023-05-08,100,102.14769535767387
2023-05-08,2023-05-10,100,102.92738153000163
2023-05-10,2023-05-12,100,98.22438717787556
2023-05-12,2023-05-19,100,102.14365701487762
2023-05-19,2023-05-22,100,103.3672670321065
2023-05-22,2023-05-23,100,97.45454545454545
2023-05-23,2023-05-24,100,97.90111940298509
2023-05-24,2023-05-25,100,102.0009528346832
2023-05-25,2023-05-30,100,103.97010742643624
2023-05-30,2023-06-02,100,104.3725666367176
2023-06-02,2023-06-07,100,102.69727403156384
2023-06-07,2023-06-12,100,102.87789885442862
2023-06-12,2023-06-13,100,103.21835958718088
2023-06-13,2023-06-22,100,98.50019734245494
2023-06-22,2023-06-23,100,97.50233738480031
2023-06-23,2023-06-27,100,102.4109589041096
2023-06-27,2023-06-30,100,102.74210807918674
2023-06-30,2023-07-05,100,98.98450722562167
2023-07-05,2023-07-06,100,98.00078916217284
2023-07-06,2023-07-07,100,102.01315259696686
2023-07-07,2023-07-11,100,102.5654519142218
2023-07-11,2023-07-13,100,103.32221652129296
2023-07-13,2023-07-18,100,102.37119801365611
2023-07-18,2023-07-20,100,98.93281591074461
2023-07-20,2023-07-27,100,98.93356214758519
2023-07-27,2023-08-03,100,106.46760004956018
2023-08-03,2023-08-08,100,95.9851041545444
2023-08-08,2023-08-10,100,98.93307468477205
2023-08-10,2023-08-15,100,98.6764705882353
2023-08-15,2023-08-17,100,98.36065573770493
2023-08-17,2023-08-18,100,102.47474747474747
2023-08-18,2023-08-23,100,102.3410547067521
2023-08-23,2023-08-29,100,102.28750300987237
2023-08-29,2023-08-31,100,102.80131826741999
2023-08-31,2023-09-01,100,98.96954430959468
2023-09-01,2023-09-05,100,102.69551133734383
2023-09-05,2023-09-06,100,98.07367353835757
2023-09-06,2023-09-12,100,103.56076269239605
2023-09-12,2023-09-18,100,102.10736468500446
2023-09-18,2023-09-21,100,98.20769063654137
2023-09-21,2023-09-25,100,102.28956973786087
2023-09-25,2023-09-26,100,97.18858131487889
2023-09-26,2023-10-03,100,96.3061860258122
2023-10-03,2023-10-05,100,102.33364140480592
2023-10-05,2023-10-06,100,102.24655678482726
2023-10-06,2023-10-09,100,98.46527547753121
2023-10-09,2023-10-12,100,98.62076698811391
2023-10-12,2023-10-19,100,94.80386583285957
2023-10-19,2023-10-20,100,98.77668505636844
2023-10-20,2023-10-25,100,98.83438562408938
2023-10-25,2023-10-27,100,98.7100737100737
2023-10-27,2023-10-31,100,96.37834474175483
2023-10-31,2023-11-01,100,108.01911157024794
2023-11-01,2023-11-13,100,102.47459653317392
2023-11-13,2023-11-14,100,102.2865142323845
2023-11-14,2023-11-16,100,98.54014598540147
2023-11-16,2023-11-20,100,102.22222222222221
2023-11-20,2023-11-22,100,102.12862318840581
2023-11-22,2023-11-29,100,102.29490022172949
2023-11-29,2023-12-04,100,97.38810014089087
2023-12-04,2023-12-08,100,102.48163810371689
2023-12-08,2023-12-15,100,102.59528721902487
2023-12-15,2023-12-20,100,97.02582557154953
2023-12-20,2023-12-28,100,102.83626049961818
2023-12-28,2023-12-29,100,98.85435451363107
2023-12-29,2024-01-02,100,98.00407769073935
2024-01-02,2024-01-04,100,103.79940873754516
2024-01-04,2024-01-10,100,102.02531645569621
2024-01-10,2024-01-11,100,98.57320099255583
2024-01-11,2024-01-19,100,103.77595972309628
2024-01-19,2024-01-22,100,98.49403678997373
2024-01-22,2024-01-23,100,97.80400205233452
2024-01-23,2024-01-24,100,102.90630573916692
2024-01-24,2024-01-26,100,102.27365415986951
2024-01-26,2024-02-02,100,102.811285016449
2024-02-02,2024-02-07,100,102.68593037913314
2024-02-07,2024-02-09,100,103.80547686496695
2024-02-09,2024-02-14,100,102.40152824524695
2024-02-14,2024-02-20,100,97.36164164519855
2024-02-20,2024-02-29,100,102.00729927007299
2024-02-29,2024-03-05,100,97.86225402504472
2024-03-05,2024-03-20,100,102.95219815373366
