purchase_date,selling_date,purchase_price,selling_price
2021-04-15,2021-04-16,100,93.55828220858895
2021-04-16,2021-04-19,100,96.49180327868852
2021-04-19,2021-04-20,100,102.19164118246687
2021-04-20,2021-04-21,100,102.75976724854532
2021-04-21,2021-04-23,100,94.64487946934153
2021-04-23,2021-04-26,100,102.22222222222221
2021-04-26,2021-04-27,100,98.4113712374582
2021-04-27,2021-04-30,100,98.57264231096006
2021-04-30,2021-05-03,100,103.53387347009138
2021-05-03,2021-05-04,100,97.48584748584747
2021-05-04,2021-05-06,100,97.2331340734415
2021-05-06,2021-05-10,100,97.48814333391886
2021-05-10,2021-05-11,100,96.32432432432432
2021-05-11,2021-05-12,100,97.73662551440329
2021-05-12,2021-05-13,100,95.44497607655502
2021-05-13,2021-05-14,100,114.81852817325044
2021-05-14,2021-05-17,100,109.04645476772616
2021-05-17,2021-05-18,100,102.96284433055736
2021-05-18,2021-05-20,100,105.61518121014156
2021-05-20,2021-05-24,100,103.54933726067745
2021-05-24,2021-05-26,100,97.59635898165268
2021-05-26,2021-05-28,100,108.29204313611191
2021-05-28,2021-06-01,100,92.66585923832594
2021-06-01,2021-06-03,100,102.33807725820505
2021-06-03,2021-06-04,100,105.52007946643963
2021-06-04,2021-06-07,100,103.88649811726735
2021-06-07,2021-06-08,100,102.87378640776699
2021-06-08,2021-06-10,100,103.00742418522712
2021-06-10,2021-06-16,100,104.82531150745176
2021-06-16,2021-06-17,100,102.8085304743037
2021-06-17,2021-06-21,100,95.11448651099523
2021-06-21,2021-06-22,100,95.69777142176142
2021-06-22,2021-06-24,100,105.23038605230386
2021-06-24,2021-06-28,100,97.18343195266273
2021-06-28,2021-06-30,100,91.53677545056014
2021-06-30,2021-07-01,100,94.4259678063057
2021-07-01,2021-07-06,100,95.88616511693434
2021-07-06,2021-07-07,100,97.38466059359389
2021-07-07,2021-07-13,100,104.07362703681353
2021-07-13,2021-07-14,100,94.46216294578139
2021-07-14,2021-07-15,100,97.3449969306323
2021-07-15,2021-07-16,100,95.77486993536182
2021-07-16,2021-07-21,100,98.48559670781893
2021-07-21,2021-07-22,100,104.78021059669062
2021-07-22,2021-07-28,100,104.01977986919763
2021-07-28,2021-07-30,100,94.2646833307775
2021-07-30,2021-08-02,100,102.86318529363918
2021-08-02,2021-08-06,100,92.75660287838052
2021-08-06,2021-08-09,100,98.15856777493607
2021-08-09,2021-08-12,100,98.94042035782526
2021-08-12,2021-08-16,100,98.10393258426967
2021-08-16,2021-08-17,100,111.97208303507516
2021-08-17,2021-08-19,100,107.23989132171967
2021-08-19,2021-08-20,100,104.27719821162444
2021-08-20,2021-08-23,100,102.27240245819638
2021-08-23,2021-08-24,100,104.10844046953605
2021-08-24,2021-08-25,100,102.81879194630872
2021-08-25,2021-08-26,100,96.0443864229765
2021-08-26,2021-08-31,100,95.69117846948487
2021-08-31,2021-09-01,100,105.5397727272727
2021-09-01,2021-09-02,100,105.58546433378197
2021-09-02,2021-09-07,100,94.37858508604207
