date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,102.99590765191877,100,2.9959076519187704,1,102.99590765191877
2021-01-05,102.99590765191877,200,2.9959076519187704,2,2.9959076519187704
2021-01-06,206.53440379105965,200,6.5344037910596455,2,106.53440379105965
2021-01-06,206.53440379105965,300,6.5344037910596455,3,6.5344037910596455
2021-01-07,311.37836874652993,300,11.37836874652993,3,111.37836874652993
2021-01-07,311.37836874652993,400,11.37836874652993,4,11.37836874652993
2021-01-12,415.7222913984636,400,15.72229139846361,4,115.72229139846361
2021-01-12,415.7222913984636,500,15.72229139846361,5,15.72229139846361
2021-01-13,512.3931498272146,500,12.393149827214685,5,112.39314982721469
2021-01-13,512.3931498272146,600,12.393149827214685,6,12.393149827214685
2021-01-14,611.1333935626658,600,11.133393562665873,6,111.13339356266587
2021-01-14,611.1333935626658,700,11.133393562665873,7,11.133393562665873
2021-01-15,710.1141174567165,700,10.114117456716627,7,110.11411745671663
2021-01-15,710.1141174567165,800,10.114117456716627,8,10.114117456716627
2021-01-22,807.830404672128,800,7.830404672128182,8,107.8304046721282
2021-01-22,807.830404672128,900,7.830404672128182,9,7.830404672128196
2021-01-26,905.1133640240529,900,5.113364024053041,9,105.11336402405306
2021-01-26,905.1133640240529,1000,5.113364024053041,10,5.113364024053055
2021-01-27,999.4096057337065,1000,-0.5903942662932877,10,99.40960573370671
2021-01-27,999.4096057337065,1100,-0.5903942662932877,11,0.0
2021-01-28,1103.6765641582142,1100,3.6549853343664154,11,104.26695842450766
2021-01-28,1103.6765641582142,1200,3.6549853343664154,12,4.2669584245076635
2021-02-01,1207.6864577273943,1200,7.641343672484325,12,108.27685199368771
2021-02-01,1207.6864577273943,1300,7.641343672484325,13,8.276851993687714
2021-02-03,1310.8427595217304,1300,10.779120214029874,13,111.43315378802366
2021-02-03,1310.8427595217304,1400,10.779120214029874,14,11.43315378802366
2021-02-05,1413.6230599059427,1400,13.543102207034167,14,114.21345417223601
2021-02-05,1413.6230599059427,1500,13.543102207034167,15,14.213454172236013
2021-02-11,1518.2584163934027,1500,18.15125243973816,15,118.84881065969608
2021-02-11,1518.2584163934027,1600,18.15125243973816,16,18.848810659696085
2021-02-18,1615.2704332820028,1600,15.180806669847158,16,115.86082754829629
2021-02-18,1615.2704332820028,1700,15.180806669847158,17,15.860827548296285
2021-02-19,1718.250011454082,1700,18.142896831449633,17,118.8404057203753
2021-02-19,1718.250011454082,1800,18.142896831449633,18,18.8404057203753
2021-02-22,1820.324133690753,1800,20.2048454417515,18,120.9145279570463
2021-02-22,1820.324133690753,1900,20.2048454417515,19,20.914527957046303
2021-02-23,1916.9290129824276,1900,16.829651683849065,19,117.51940724872092
2021-02-23,1916.9290129824276,2000,16.829651683849065,20,17.519407248720924
2021-02-24,2019.2763689101607,2000,19.163230297249186,20,119.86676317645401
2021-02-24,2019.2763689101607,2100,19.163230297249186,21,19.866763176454015
2021-02-25,2114.264128219528,2100,14.180407904323957,21,114.85452248582136
2021-02-25,2114.264128219528,2200,14.180407904323957,22,14.854522485821363
2021-03-01,2219.2288596356975,2200,19.115999868528945,22,119.81925390199065
2021-03-01,2219.2288596356975,2300,19.115999868528945,23,19.81925390199065
2021-03-04,2313.8269469967727,2300,13.745792625256499,23,114.41734126306586
2021-03-04,2313.8269469967727,2400,13.745792625256499,24,14.417341263065865
2021-03-08,2412.5974388000513,2400,12.523500769568543,24,113.18783306634455
2021-03-08,2412.5974388000513,2500,12.523500769568543,25,13.187833066344552
2021-03-10,2515.425931192859,2500,15.335391918260015,25,116.01632545915231
2021-03-10,2515.425931192859,2600,15.335391918260015,26,16.016325459152313
2021-03-11,2617.9950346967935,2600,17.889416606873084,26,118.58542896308667
2021-03-11,2617.9950346967935,2700,17.889416606873084,27,18.58542896308667
2021-03-12,2716.9393662160383,2700,16.839944151321646,27,117.52976048233133
2021-03-12,2716.9393662160383,2800,16.839944151321646,28,17.529760482331326
2021-03-16,2814.5868148575228,2800,14.501200600632643,28,115.17720912381576
2021-03-16,2814.5868148575228,2900,14.501200600632643,29,15.177209123815757
2021-03-17,2918.5773136698745,2900,18.468278015388066,29,119.1677079361673
2021-03-17,2918.5773136698745,3000,18.468278015388066,30,19.167707936167304
2021-03-18,3015.7514962711925,3000,15.65904616050446,30,116.3418905374856
2021-03-18,3015.7514962711925,3100,15.65904616050446,31,16.341890537485597
2021-03-19,3113.7635849212934,3100,13.682802440217756,31,114.35397918758633
2021-03-19,3113.7635849212934,3200,13.682802440217756,32,14.353979187586333
2021-03-23,3209.3371082870603,3200,9.282306084159117,32,109.92750255335308
2021-03-23,3209.3371082870603,3300,9.282306084159117,33,9.92750255335308
2021-03-25,3311.631344019782,3300,11.563076280414634,33,112.22173828607463
2021-03-25,3311.631344019782,3400,11.563076280414634,34,12.221738286074626
2021-03-26,3410.201571101363,3400,10.141695114899179,34,110.79196536765576
2021-03-26,3410.201571101363,3500,10.141695114899179,35,10.791965367655763
2021-03-29,3506.248215014901,3500,6.21154242457753,35,106.8386092811939
2021-03-29,3506.248215014901,3600,6.21154242457753,36,6.8386092811938965
2021-03-31,3608.33586677682,3600,8.286941151410417,36,108.92626104311275
2021-03-31,3608.33586677682,3700,8.286941151410417,37,8.926261043112746
2021-04-01,3710.39533015608,3700,10.33431694139722,37,110.98572442237308
2021-04-01,3710.39533015608,3800,10.33431694139722,38,10.985724422373082
2021-04-06,3812.9106065522715,3800,12.834830449210742,38,113.50100081856463
2021-04-06,3812.9106065522715,3900,12.834830449210742,39,13.501000818564634
2021-04-07,3910.4362511322547,3900,10.374997740466952,39,111.02664539854801
2021-04-07,3910.4362511322547,4000,10.374997740466952,40,11.026645398548013
2021-04-20,4006.406686780041,4000,6.369084072859394,40,106.99708104633423
2021-04-20,4006.406686780041,4100,6.369084072859394,41,6.99708104633423
2021-04-21,4109.47244507388,4100,9.416848540033953,41,110.06283934017311
2021-04-21,4109.47244507388,4200,9.416848540033953,42,10.062839340173113
2021-04-23,4213.575046022293,4200,13.495370130824497,42,114.16544028858522
2021-04-23,4213.575046022293,4300,13.495370130824497,43,14.165440288585216
2021-05-03,4312.57428682566,4300,12.500484680845432,43,113.1646810919533
2021-05-03,4312.57428682566,4400,12.500484680845432,44,13.164681091953298
2021-05-04,4409.994811086675,4400,9.936148634844571,44,110.58520535296836
2021-05-04,4409.994811086675,4500,9.936148634844571,45,10.585205352968359
2021-05-05,4512.270465874138,4500,12.198446942810321,45,112.86086014043077
2021-05-05,4512.270465874138,4600,12.198446942810321,46,12.860860140430773
2021-05-06,4611.248915356366,4600,11.182892201998953,46,111.8393096226586
2021-05-06,4611.248915356366,4700,11.182892201998953,47,11.839309622658604
2021-05-07,4716.416453883157,4700,16.32010094293699,47,117.00684814945065
2021-05-07,4716.416453883157,4800,16.32010094293699,48,17.006848149450647
2021-05-10,4813.062283015375,4800,12.985616679058893,48,113.65267728166816
2021-05-10,4813.062283015375,4900,12.985616679058893,49,13.652677281668161
2021-05-11,4910.87143588782,4900,10.807628270189397,49,111.46183015411216
2021-05-11,4910.87143588782,5000,10.807628270189397,50,11.461830154112164
2021-05-12,5006.4200386041675,5000,6.382357531247919,50,107.01043287046004
2021-05-12,5006.4200386041675,5100,6.382357531247919,51,7.010432870460036
2021-05-14,5109.99970668484,5100,9.941015499320201,51,110.5901009511328
2021-05-14,5109.99970668484,5200,9.941015499320201,52,10.590100951132797
2021-05-18,5208.670492717316,5200,8.619603074983502,52,109.26088698360873
2021-05-18,5208.670492717316,5300,8.619603074983502,53,9.260886983608728
2021-05-21,5310.949674250848,5300,10.885407429521237,53,111.5400685171411
2021-05-21,5310.949674250848,5400,10.885407429521237,54,11.540068517141094
2021-05-26,5413.028557918797,5400,12.952089524875916,54,113.61895218508924
2021-05-26,5413.028557918797,5500,12.952089524875916,55,13.618952185089242
2021-05-27,5518.266387462666,5500,18.159176724478,55,118.85678172895867
2021-05-27,5518.266387462666,5600,18.159176724478,56,18.856781728958666
2021-06-01,5620.930579920748,5600,20.807732262523842,56,121.52097418704072
2021-06-01,5620.930579920748,5700,20.807732262523842,57,21.52097418704072
2021-06-04,5724.054974730638,5700,23.913789090990377,57,124.64536899693034
2021-06-04,5724.054974730638,5800,23.913789090990377,58,24.645368996930344
2021-06-07,5822.4900295037205,5800,22.35802898255082,58,123.08042377001328
2021-06-07,5822.4900295037205,5900,22.35802898255082,59,23.080423770013283
2021-06-10,5921.402589122163,5900,21.276971104718825,59,121.99298338845524
2021-06-10,5921.402589122163,6000,21.276971104718825,60,21.992983388455244
2021-06-17,6018.71517752386,6000,18.605332706336284,60,119.30557179015257
2021-06-17,6018.71517752386,6100,18.605332706336284,61,19.30557179015257
2021-06-18,6116.013010504832,6100,15.919025491082678,61,116.60340477112508
2021-06-18,6116.013010504832,6200,15.919025491082678,62,16.603404771125085
2021-06-21,6218.165519501912,6200,18.058900787109295,62,118.75591376820528
2021-06-21,6218.165519501912,6300,18.058900787109295,63,18.755913768205275
2021-06-24,6321.283041437568,6300,21.158125080238506,63,121.87343570386068
2021-06-24,6321.283041437568,6400,21.158125080238506,64,21.87343570386068
2021-06-29,6423.3264888687545,6400,23.189578924406902,64,123.91688313504744
2021-06-29,6423.3264888687545,6500,23.189578924406902,65,23.916883135047442
2021-07-07,6520.610127529525,6500,20.48916069954312,65,121.20052179581812
2021-07-07,6520.610127529525,6600,20.48916069954312,66,21.20052179581812
2021-07-08,6618.843893763291,6600,18.73329347274013,66,119.43428802958437
2021-07-08,6618.843893763291,6700,18.73329347274013,67,19.434288029584366
2021-07-09,6721.706135963185,6700,21.578736341088984,67,122.2965302294786
2021-07-09,6721.706135963185,6800,21.578736341088984,68,22.296530229478606
2021-07-15,6820.408018875594,6800,20.288238280057172,68,120.99841314188782
2021-07-15,6820.408018875594,6900,20.288238280057172,69,20.998413141887823
2021-07-16,6917.907856104581,6900,17.80274969116165,69,118.49825037087409
2021-07-16,6917.907856104581,7000,17.80274969116165,70,18.49825037087409
2021-07-19,7016.18498465216,7000,16.089990272146196,70,116.77537891845338
2021-07-19,7016.18498465216,7100,16.089990272146196,71,16.775378918453384
2021-07-20,7120.248312776098,7100,20.12946954208668,71,120.8387070423917
2021-07-20,7120.248312776098,7200,20.12946954208668,72,20.838707042391704
2021-07-23,7223.016840363431,7200,22.881747836178576,72,123.60723462972436
2021-07-23,7223.016840363431,7300,22.881747836178576,73,23.60723462972436
2021-07-28,7326.149186764092,7300,25.995709585218464,73,126.73958103038514
2021-07-28,7326.149186764092,7400,25.995709585218464,74,26.73958103038514
2021-07-29,7429.432824023826,7400,29.260074223298204,74,130.02321829011902
2021-07-29,7429.432824023826,7500,29.260074223298204,75,30.02321829011902
2021-08-04,7528.28161615028,7500,28.11562312342633,75,128.87201041657295
2021-08-04,7528.28161615028,7600,28.11562312342633,76,28.872010416572948
2021-08-05,7624.618811419408,7600,24.474316458323898,76,125.2092056857016
2021-08-05,7624.618811419408,7700,24.474316458323898,77,25.209205685701605
2021-08-06,7726.811107066135,7700,26.653744884584498,77,127.40150133242881
2021-08-06,7726.811107066135,7800,26.653744884584498,78,27.401501332428808
2021-08-10,7830.862593428378,7800,30.681451895571826,78,131.45298769467212
2021-08-10,7830.862593428378,7900,30.681451895571826,79,31.452987694672117
2021-08-12,7928.954016614052,7900,28.78407707340591,79,129.54441088034602
2021-08-12,7928.954016614052,8000,28.78407707340591,80,29.54441088034602
2021-08-16,8027.58481171374,8000,27.422908434691195,80,128.17520598003375
2021-08-16,8027.58481171374,8100,27.422908434691195,81,28.175205980033752
2021-08-17,8123.9377099115,8100,23.7972125331664,81,124.52810417779313
2021-08-17,8123.9377099115,8200,23.7972125331664,82,24.528104177793125
2021-08-18,8222.882417652416,8200,22.748114091132223,82,123.47281191870941
2021-08-18,8222.882417652416,8300,22.748114091132223,83,23.47281191870941
2021-08-19,8320.544954374858,8300,20.424370065067635,83,121.1353486411516
2021-08-19,8320.544954374858,8400,20.424370065067635,84,21.135348641151595
2021-08-24,8423.631535593797,8400,23.492835241540533,84,124.2219298600896
2021-08-24,8423.631535593797,8500,23.492835241540533,85,24.221929860089602
2021-08-26,8521.455691899304,8500,21.329762206222995,85,122.04608616559582
2021-08-26,8521.455691899304,8600,21.329762206222995,86,22.046086165595824
2021-08-31,8620.145789817727,8600,20.027548320760573,86,120.73618408401875
2021-08-31,8620.145789817727,8700,20.027548320760573,87,20.736184084018745
2021-09-03,8718.660803944806,8700,18.551278261622727,87,119.25119821109675
2021-09-03,8718.660803944806,8800,18.551278261622727,88,19.25119821109675
2021-09-08,8817.400215670277,8800,17.29808874613981,88,117.99060993656863
2021-09-08,8817.400215670277,8900,17.29808874613981,89,17.99060993656863
2021-09-10,8916.319426694325,8900,16.223643234880285,89,116.90982096061619
