purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,102.99590765191877
2021-01-05,2021-01-06,100,103.53849613914088
2021-01-06,2021-01-07,100,104.84396495547028
2021-01-07,2021-01-12,100,104.34392265193368
2021-01-12,2021-01-13,100,96.67085842875107
2021-01-13,2021-01-14,100,98.74024373545119
2021-01-14,2021-01-15,100,98.98072389405075
2021-01-15,2021-01-22,100,97.71628721541157
2021-01-22,2021-01-26,100,97.28295935192486
2021-01-26,2021-01-27,100,94.29624170965366
2021-01-27,2021-01-28,100,104.26695842450766
2021-01-28,2021-02-01,100,104.00989356918005
2021-02-01,2021-02-03,100,103.15630179433595
2021-02-03,2021-02-05,100,102.78030038421235
2021-02-05,2021-02-11,100,104.63535648746007
2021-02-11,2021-02-18,100,97.0120168886002
2021-02-18,2021-02-19,100,102.97957817207902
2021-02-19,2021-02-22,100,102.074122236671
2021-02-22,2021-02-23,100,96.60487929167462
2021-02-23,2021-02-24,100,102.34735592773309
2021-02-24,2021-02-25,100,94.98775930936735
2021-02-25,2021-03-01,100,104.96473141616929
2021-03-01,2021-03-04,100,94.59808736107522
2021-03-04,2021-03-08,100,98.77049180327869
2021-03-08,2021-03-10,100,102.82849239280776
2021-03-10,2021-03-11,100,102.56910350393436
2021-03-11,2021-03-12,100,98.94433151924466
2021-03-12,2021-03-16,100,97.64744864148443
2021-03-16,2021-03-17,100,103.99049881235155
2021-03-17,2021-03-18,100,97.1741826013183
2021-03-18,2021-03-19,100,98.01208865010074
2021-03-19,2021-03-23,100,95.57352336576675
2021-03-23,2021-03-25,100,102.29423573272155
2021-03-25,2021-03-26,100,98.57022708158114
2021-03-26,2021-03-29,100,96.04664391353813
2021-03-29,2021-03-31,100,102.08765176191885
2021-03-31,2021-04-01,100,102.05946337926034
2021-04-01,2021-04-06,100,102.51527639619155
2021-04-06,2021-04-07,100,97.52564457998338
2021-04-07,2021-04-20,100,95.97043564778622
2021-04-20,2021-04-21,100,103.06575829383888
2021-04-21,2021-04-23,100,104.1026009484121
2021-04-23,2021-05-03,100,98.99924080336808
2021-05-03,2021-05-04,100,97.42052426101506
2021-05-04,2021-05-05,100,102.27565478746241
2021-05-05,2021-05-06,100,98.97844948222783
2021-05-06,2021-05-07,100,105.16753852679204
2021-05-07,2021-05-10,100,96.64582913221751
2021-05-10,2021-05-11,100,97.809152872444
2021-05-11,2021-05-12,100,95.54860271634787
2021-05-12,2021-05-14,100,103.57966808067276
2021-05-14,2021-05-18,100,98.67078603247593
2021-05-18,2021-05-21,100,102.27918153353237
2021-05-21,2021-05-26,100,102.07888366794815
2021-05-26,2021-05-27,100,105.23782954386942
2021-05-27,2021-06-01,100,102.66419245808206
2021-06-01,2021-06-04,100,103.12439480988962
2021-06-04,2021-06-07,100,98.43505477308294
2021-06-07,2021-06-10,100,98.91255961844196
2021-06-10,2021-06-17,100,97.31258840169733
2021-06-17,2021-06-18,100,97.29783298097252
2021-06-18,2021-06-21,100,102.15250899708019
2021-06-21,2021-06-24,100,103.1175219356554
2021-06-24,2021-06-29,100,102.04344743118676
2021-06-29,2021-07-07,100,97.28363866077068
2021-07-07,2021-07-08,100,98.23376623376625
2021-07-08,2021-07-09,100,102.86224219989424
2021-07-09,2021-07-15,100,98.70188291240922
2021-07-15,2021-07-16,100,97.49983722898627
2021-07-16,2021-07-19,100,98.2771285475793
2021-07-19,2021-07-20,100,104.06332812393832
2021-07-20,2021-07-23,100,102.76852758733266
2021-07-23,2021-07-28,100,103.13234640066078
