date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,98.86144323774938,100,-1.1385567622506159,1,98.86144323774938
2021-01-05,98.86144323774938,200,-1.1385567622506159,2,0.0
2021-01-07,201.57393024248543,200,1.5562118868131591,2,102.71248700473605
2021-01-07,201.57393024248543,300,1.5562118868131591,3,2.7124870047360474
2021-01-11,300.18118949874565,300,0.17914977684682754,3,101.3197462609963
2021-01-11,300.18118949874565,400,0.17914977684682754,4,1.3197462609962969
2021-01-13,399.15313058437766,400,-0.8373358714353003,4,100.29168734662834
2021-01-13,399.15313058437766,500,-0.8373358714353003,5,0.2916873466283363
2021-01-14,498.1143928339697,500,-1.8643801398736315,5,99.25294959622039
2021-01-14,498.1143928339697,600,-1.8643801398736315,6,0.0
2021-01-15,596.7175112475147,600,-3.2217394034234985,6,98.60311841354496
2021-01-15,596.7175112475147,700,-3.2217394034234985,7,0.0
2021-01-20,699.5548680865296,700,-0.43098488315587247,7,102.83735683901489
2021-01-20,699.5548680865296,800,-0.43098488315587247,8,2.8373568390148876
2021-01-21,798.1308901352205,800,-1.8097064539747834,8,101.41337888770576
2021-01-21,798.1308901352205,900,-1.8097064539747834,9,1.4133788877057611
2021-01-22,897.0805639469633,900,-2.826651534349736,9,100.36305269944855
2021-01-22,897.0805639469633,1000,-2.826651534349736,10,0.363052699448545
2021-01-27,995.4483222282589,1000,-4.40701790469933,10,98.73081098074417
2021-01-27,995.4483222282589,1100,-4.40701790469933,11,0.0
2021-01-28,1099.0372249475236,1100,-0.9208604519751447,11,103.58890271926464
2021-01-28,1099.0372249475236,1200,-0.9208604519751447,12,3.588902719264638
2021-01-29,1196.9159224955474,1200,-2.9498115861762955,12,101.46760026728857
2021-01-29,1196.9159224955474,1300,-2.9498115861762955,13,1.4676002672885744
2021-02-01,1299.7081212428707,1300,-0.27917175826331686,13,104.25979901461193
2021-02-01,1299.7081212428707,1400,-0.27917175826331686,14,4.259799014611929
2021-02-02,1404.5514836682266,1400,4.353333935170028,14,109.10316143996792
2021-02-02,1404.5514836682266,1500,4.353333935170028,15,9.10316143996792
2021-02-03,1502.6664395925882,1500,2.550355622613637,15,107.21811736432957
2021-02-03,1502.6664395925882,1600,2.550355622613637,16,7.218117364329572
2021-02-04,1604.757164179143,1600,4.550060104754465,16,109.30884195088454
2021-02-04,1604.757164179143,1700,4.550060104754465,17,9.308841950884542
2021-02-10,1708.6152540080539,1700,8.240187237227573,17,113.16693177979539
2021-02-10,1708.6152540080539,1800,8.240187237227573,18,13.16693177979539
2021-02-16,1812.7216959480481,1800,12.167854422979985,18,117.27337371978967
2021-02-16,1812.7216959480481,1900,12.167854422979985,19,17.273373719789674
2021-02-18,1911.4140212222756,1900,10.917109572545769,19,115.96569899401706
2021-02-18,1911.4140212222756,2000,10.917109572545769,20,15.96569899401706
2021-02-19,2010.3964447144588,2000,9.943833457323237,20,114.94812248620028
