purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.86144323774938
2021-01-05,2021-01-07,100,102.71248700473605
2021-01-07,2021-01-11,100,98.60725925626025
2021-01-11,2021-01-13,100,98.97194108563204
2021-01-13,2021-01-14,100,98.96126224959205
2021-01-14,2021-01-15,100,98.60311841354496
2021-01-15,2021-01-20,100,102.83735683901489
2021-01-20,2021-01-21,100,98.57602204869087
2021-01-21,2021-01-22,100,98.94967381174278
2021-01-22,2021-01-27,100,98.36775828129562
2021-01-27,2021-01-28,100,103.58890271926464
2021-01-28,2021-01-29,100,97.87869754802394
2021-01-29,2021-02-01,100,102.79219874732335
2021-02-01,2021-02-02,100,104.84336242535599
2021-02-02,2021-02-03,100,98.11495592436165
2021-02-03,2021-02-04,100,102.09072458655497
2021-02-04,2021-02-10,100,103.85808982891085
2021-02-10,2021-02-16,100,104.10644193999428
2021-02-16,2021-02-18,100,98.69232527422739
2021-02-18,2021-02-19,100,98.98242349218322
2021-02-19,2021-02-22,100,97.68800250124751
2021-02-22,2021-02-24,100,103.75546055155544
2021-02-24,2021-02-25,100,98.94792966858765
2021-02-25,2021-03-04,100,97.63626716436707
2021-03-04,2021-03-08,100,104.1068951517407
2021-03-08,2021-03-09,100,102.43818220963816
2021-03-09,2021-03-12,100,102.73150149304632
2021-03-12,2021-03-19,100,98.95891637747677
2021-03-19,2021-03-29,100,97.56397253861758
2021-03-29,2021-03-31,100,105.95725966055613
2021-03-31,2021-04-01,100,102.94436163990717
2021-04-01,2021-04-05,100,102.51413029932041
2021-04-05,2021-04-06,100,92.74377228016604
2021-04-06,2021-04-14,100,102.51674165230567
2021-04-14,2021-04-20,100,96.88598816897382
2021-04-20,2021-04-27,100,102.66622158478907
2021-04-27,2021-04-29,100,97.04782050627695
2021-04-29,2021-04-30,100,96.77452657085756
2021-04-30,2021-05-04,100,98.01881152845179
2021-05-04,2021-05-05,100,102.0011088751078
2021-05-05,2021-05-06,100,102.28718103578439
2021-05-06,2021-05-11,100,97.67204764547735
2021-05-11,2021-05-12,100,97.29455243038903
2021-05-12,2021-05-14,100,102.68188521059085
2021-05-14,2021-05-18,100,98.5703364993818
2021-05-18,2021-05-21,100,106.46459024377266
2021-05-21,2021-05-24,100,98.65458354555676
2021-05-24,2021-06-02,100,102.4163963490069
2021-06-02,2021-06-07,100,103.68716805405487
2021-06-07,2021-06-08,100,102.60241326359318
2021-06-08,2021-06-15,100,98.89621211037522
2021-06-15,2021-06-18,100,98.60436860290407
2021-06-18,2021-06-22,100,102.88467885669021
2021-06-22,2021-06-24,100,102.90805851405108
2021-06-24,2021-06-25,100,103.56763702930138
2021-06-25,2021-07-02,100,103.63353305028487
2021-07-02,2021-07-08,100,98.41821274014025
2021-07-08,2021-07-15,100,98.42131754159023
2021-07-15,2021-07-16,100,98.75797504622612
2021-07-16,2021-07-19,100,98.86025901824057
2021-07-19,2021-07-20,100,102.84543343507985
2021-07-20,2021-07-22,100,102.99100492058383
2021-07-22,2021-07-23,100,102.16590448177602
2021-07-23,2021-07-28,100,103.27710410264739
2021-07-28,2021-07-29,100,102.64993878180368
2021-07-29,2021-08-03,100,103.2202941141477
2021-08-03,2021-08-10,100,98.98291897499442
2021-08-10,2021-08-11,100,98.5970602021002
2021-08-11,2021-08-13,100,104.87105594170202
2021-08-13,2021-08-17,100,97.14095463875148
2021-08-17,2021-08-19,100,98.13342260442617
2021-08-19,2021-08-23,100,102.14220419905102
2021-08-23,2021-08-26,100,102.50831695965788
2021-08-26,2021-08-30,100,102.39461331889062
2021-08-30,2021-09-01,100,102.00885416523184
2021-09-01,2021-09-03,100,102.15064072268657
2021-09-03,2021-09-14,100,98.60118414217108
2021-09-14,2021-09-15,100,102.09742396921904
2021-09-15,2021-09-20,100,96.38347602290035
2021-09-20,2021-09-27,100,98.75861354898655
2021-09-27,2021-09-28,100,96.84938460986665
2021-09-28,2021-10-05,100,102.0646177644014
2021-10-05,2021-10-07,100,103.40082225962304
2021-10-07,2021-10-14,100,102.03271289769222
2021-10-14,2021-10-15,100,97.37272352088382
2021-10-15,2021-10-19,100,102.38585575917296
2021-10-19,2021-10-21,100,103.1312483995473
2021-10-21,2021-10-25,100,103.1724201813216
2021-10-25,2021-10-28,100,103.15767028450583
2021-10-28,2021-10-29,100,98.27240035054847
2021-10-29,2021-11-03,100,102.20582718211818
2021-11-03,2021-11-05,100,98.90337892157571
2021-11-05,2021-11-09,100,102.11339930202334
2021-11-09,2021-11-11,100,98.35373439533257
2021-11-11,2021-11-17,100,103.26610182018203
2021-11-17,2021-11-22,100,98.49233967763055
2021-11-22,2021-11-23,100,97.80455147570353
2021-11-23,2021-11-24,100,98.57472406745642
2021-11-24,2021-11-26,100,97.40415552579165
2021-11-26,2021-11-30,100,98.77004730294561
2021-11-30,2021-12-02,100,102.53947011855485
2021-12-02,2021-12-03,100,95.99787074148296
2021-12-03,2021-12-10,100,98.49735206739669
2021-12-10,2021-12-13,100,98.75551375624231
2021-12-13,2021-12-14,100,98.6614981188006
2021-12-14,2021-12-16,100,98.87636019555276
2021-12-16,2021-12-20,100,97.69088301656421
2021-12-20,2021-12-21,100,104.5231718079035
2021-12-21,2021-12-22,100,102.6781698656404
2021-12-22,2021-12-23,100,102.98771315750474
2021-12-23,2022-01-03,100,97.33211936763423
2022-01-03,2022-01-05,100,93.57300413159348
2022-01-05,2022-01-11,100,105.92383698088304
2022-01-11,2022-01-13,100,97.554507799651
2022-01-13,2022-01-19,100,97.70143869804117
2022-01-19,2022-01-21,100,97.24533052294542
2022-01-21,2022-01-25,100,98.95612595985142
2022-01-25,2022-01-28,100,103.01369192731794
2022-01-28,2022-01-31,100,107.49815242461965
2022-01-31,2022-02-01,100,97.353130381104
2022-02-01,2022-02-02,100,103.99368315383097
2022-02-02,2022-02-03,100,96.97699046885529
2022-02-03,2022-02-09,100,103.83242330983819
2022-02-09,2022-02-11,100,98.31469554885854
2022-02-11,2022-02-14,100,98.42325287082083
2022-02-14,2022-02-15,100,102.77162972565637
2022-02-15,2022-02-17,100,97.76101609309742
2022-02-17,2022-02-18,100,97.39201699404684
2022-02-18,2022-02-22,100,98.14266537952503
2022-02-22,2022-02-23,100,97.1793134102308
2022-02-23,2022-02-24,100,102.9151226398447
2022-02-24,2022-02-25,100,105.54850656699016
2022-02-25,2022-03-02,100,103.12251860034438
2022-03-02,2022-03-03,100,94.17342363346279
2022-03-03,2022-03-04,100,96.4355492273187
2022-03-04,2022-03-07,100,90.98624540680959
2022-03-07,2022-03-08,100,97.70298135054509
2022-03-08,2022-03-09,100,106.88588309671177
2022-03-09,2022-03-14,100,98.61813540286857
