date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,98.48976009886185,100,-1.5102399011381493,1,98.48976009886185
2021-01-05,98.48976009886185,200,-1.5102399011381493,2,0.0
2021-01-07,195.42387354211976,200,-4.508044175973751,2,96.93411344325791
2021-01-07,195.42387354211976,300,-4.508044175973751,3,0.0
2021-01-11,293.08420886865275,300,-6.6131643670438365,3,97.660335326533
2021-01-11,293.08420886865275,400,-6.6131643670438365,4,0.0
2021-01-15,395.77586317956167,400,-3.9509007750304477,4,102.6916543109089
2021-01-15,395.77586317956167,500,-3.9509007750304477,5,2.691654310908902
2021-01-22,494.7323320554217,500,-4.926931642966508,5,101.64812318676891
2021-01-22,494.7323320554217,600,-4.926931642966508,6,1.6481231867689132
2021-01-26,596.8194287038511,600,-2.9748377321002835,6,103.7352198351984
2021-01-26,596.8194287038511,700,-2.9748377321002835,7,3.735219835198393
2021-01-28,694.2021541828149,700,-5.422815241634737,7,101.11794531416217
2021-01-28,694.2021541828149,800,-5.422815241634737,8,1.1179453141621707
2021-02-03,792.4866237361899,800,-7.0273775129997205,8,99.40241486753719
2021-02-03,792.4866237361899,900,-7.0273775129997205,9,0.0
2021-02-05,894.7842999431562,900,-4.851210368508831,9,102.29767620696619
2021-02-05,894.7842999431562,1000,-4.851210368508831,10,2.2976762069661874
2021-02-10,997.9285362584828,1000,-1.9267032749807527,10,105.44191252229284
2021-02-10,997.9285362584828,1100,-1.9267032749807527,11,5.441912522292839
2021-02-18,1099.9303514025598,1100,-0.06478133220301174,11,107.44372766636991
2021-02-18,1099.9303514025598,1200,-0.06478133220301174,12,7.4437276663699095
2021-02-22,1196.0041700823663,1200,-3.7165886297059814,12,103.51754634617627
2021-02-22,1196.0041700823663,1300,-3.7165886297059814,13,3.5175463461762746
2021-02-25,1294.6846802445662,1300,-4.943868326106127,13,102.19805650837624
2021-02-25,1294.6846802445662,1400,-4.943868326106127,14,2.19805650837624
2021-02-26,1390.580378169071,1400,-8.761348734705948,14,98.09375443288107
2021-02-26,1390.580378169071,1500,-8.761348734705948,15,0.0
2021-03-02,1493.6893951834015,1500,-5.767342923510995,15,103.10901701433039
2021-03-02,1493.6893951834015,1600,-5.767342923510995,16,3.109017014330391
2021-03-05,1598.8146380170379,1600,-1.0833175651016518,16,108.23425984796673
2021-03-05,1598.8146380170379,1700,-1.0833175651016518,17,8.234259847966726
2021-03-09,1696.230804504153,1700,-3.4447162517809033,17,105.65042633508175
2021-03-09,1696.230804504153,1800,-3.4447162517809033,18,5.650426335081747
2021-03-12,1798.557841905267,1800,-1.3180068351556855,18,107.97746373619583
2021-03-12,1798.557841905267,1900,-1.3180068351556855,19,7.97746373619583
2021-03-16,1901.1612121970654,1900,1.0612467650999093,19,110.58083402799426
2021-03-16,1901.1612121970654,2000,1.0612467650999093,20,10.580834027994257
2021-03-17,1999.6998375842556,2000,-0.27432229313345147,20,109.11945941518442
2021-03-17,1999.6998375842556,2100,-0.27432229313345147,21,9.119459415184423
2021-03-24,2103.40219647926,2100,3.1093111293301945,21,112.82181831018906
2021-03-24,2103.40219647926,2200,3.1093111293301945,22,12.821818310189059
2021-03-29,2206.530942570236,2200,5.968712431055252,22,115.9505644011653
2021-03-29,2206.530942570236,2300,5.968712431055252,23,15.950564401165295
2021-04-15,2309.03096107949,2300,8.253511507693489,23,118.4505829104194
2021-04-15,2309.03096107949,2400,8.253511507693489,24,18.4505829104194
2021-04-20,2412.2566010997148,2400,11.201465417833006,24,121.67622293064414
2021-04-20,2412.2566010997148,2500,11.201465417833006,25,21.676222930644144
2021-04-21,2511.10762622042,2500,10.151402494868407,25,120.52724805134949
2021-04-21,2511.10762622042,2600,10.151402494868407,26,20.52724805134949
2021-04-27,2609.255725678795,2600,8.458926766441436,26,118.67534750972443
2021-04-27,2609.255725678795,2700,8.458926766441436,27,18.675347509724432
2021-04-28,2708.09732586343,2700,7.4002502731568995,27,117.51694769435954
2021-04-28,2708.09732586343,2800,7.4002502731568995,28,17.516947694359544
2021-04-30,2811.3832992612533,2800,10.403343633231586,28,120.802921092183
2021-04-30,2811.3832992612533,2900,10.403343633231586,29,20.802921092183
2021-05-05,2910.3623504328316,2900,9.470285365127353,29,119.78197226376113
2021-05-05,2910.3623504328316,3000,9.470285365127353,30,19.781972263761133
2021-05-11,3009.1678284098834,3000,8.378596321644821,30,118.58745024081286
2021-05-11,3009.1678284098834,3100,8.378596321644821,31,18.587450240812856
2021-05-12,3107.1329722883906,3100,6.5189151351780765,31,116.55259411932003
2021-05-12,3107.1329722883906,3200,6.5189151351780765,32,16.552594119320034
2021-05-19,3205.9846452158504,3200,5.469444251139947,32,115.4042670467798
2021-05-19,3205.9846452158504,3300,5.469444251139947,33,15.404267046779793
2021-06-01,3307.988603045885,3300,7.300887091557939,33,117.40822487681477
2021-06-01,3307.988603045885,3400,7.300887091557939,34,17.40822487681477
2021-06-11,3410.3646004884204,3400,9.472341719875615,34,119.78422231935018
2021-06-11,3410.3646004884204,3500,9.472341719875615,35,19.784222319350178
2021-06-16,3509.1511600874164,3500,8.363362927316189,35,118.57078191834646
2021-06-16,3509.1511600874164,3600,8.363362927316189,36,18.570781918346455
2021-06-18,3606.4790873639,3600,5.92132129090372,36,115.8987091948301
2021-06-18,3606.4790873639,3700,5.92132129090372,37,15.898709194830104
2021-06-29,3704.9761946137655,3700,4.547808272866845,37,114.39581644469558
2021-06-29,3704.9761946137655,3800,4.547808272866845,38,14.395816444695583
2021-07-09,3807.1761400892547,3800,6.558366743712753,38,116.59576192018488
2021-07-09,3807.1761400892547,3900,6.558366743712753,39,16.595761920184884
2021-07-15,3909.4985878165203,3900,8.680881598364778,39,118.91820964745041
2021-07-15,3909.4985878165203,4000,8.680881598364778,40,18.91820964745041
2021-07-19,4007.6447361617484,4000,6.986622722533028,40,117.06435799267838
