purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,98.48976009886185
2021-01-05,2021-01-07,100,96.93411344325791
2021-01-07,2021-01-11,100,97.660335326533
2021-01-11,2021-01-15,100,102.6916543109089
2021-01-15,2021-01-22,100,98.95646887586001
2021-01-22,2021-01-26,100,102.08709664842948
2021-01-26,2021-01-28,100,97.38272547896378
2021-01-28,2021-02-03,100,98.28446955337502
2021-02-03,2021-02-05,100,102.29767620696619
2021-02-05,2021-02-10,100,103.14423631532665
2021-02-10,2021-02-18,100,102.00181514407707
2021-02-18,2021-02-22,100,96.07381867980637
2021-02-22,2021-02-25,100,98.68051016219997
2021-02-25,2021-02-26,100,95.89569792450483
2021-02-26,2021-03-02,100,103.10901701433039
2021-03-02,2021-03-05,100,105.12524283363634
2021-03-05,2021-03-09,100,97.41616648711502
2021-03-09,2021-03-12,100,102.32703740111408
2021-03-12,2021-03-16,100,102.60337029179843
2021-03-16,2021-03-17,100,98.53862538719017
2021-03-17,2021-03-24,100,103.70235889500464
2021-03-24,2021-03-29,100,103.12874609097624
2021-03-29,2021-04-15,100,102.5000185092541
2021-04-15,2021-04-20,100,103.22564002022474
2021-04-20,2021-04-21,100,98.85102512070534
2021-04-21,2021-04-27,100,98.14809945837494
2021-04-27,2021-04-28,100,98.84160018463511
2021-04-28,2021-04-30,100,103.28597339782345
2021-04-30,2021-05-05,100,98.97905117157813
2021-05-05,2021-05-11,100,98.80547797705172
2021-05-11,2021-05-12,100,97.96514387850718
2021-05-12,2021-05-19,100,98.85167292745976
2021-05-19,2021-06-01,100,102.00395783003498
2021-06-01,2021-06-11,100,102.37599744253541
2021-06-11,2021-06-16,100,98.78655959899628
2021-06-16,2021-06-18,100,97.32792727648365
2021-06-18,2021-06-29,100,98.49710724986548
2021-06-29,2021-07-09,100,102.1999454754893
2021-07-09,2021-07-15,100,102.32244772726553
2021-07-15,2021-07-19,100,98.14614834522797
2021-07-19,2021-07-22,100,98.6958187878947
2021-07-22,2021-07-27,100,103.523524737435
2021-07-27,2021-07-30,100,97.5176124359828
2021-07-30,2021-08-05,100,102.76074847895404
2021-08-05,2021-08-18,100,97.70810218843377
2021-08-18,2021-08-26,100,98.3099425208345
2021-08-26,2021-09-10,100,96.29628838884543
2021-09-10,2021-09-13,100,98.99087430215903
2021-09-13,2021-09-15,100,97.15845525860477
2021-09-15,2021-09-23,100,98.4029341014372
2021-09-23,2021-09-28,100,98.36541784043057
2021-09-28,2021-09-29,100,102.56209959751364
2021-09-29,2021-10-13,100,103.69977336478979
2021-10-13,2021-10-18,100,98.80704732176245
2021-10-18,2021-10-20,100,103.7532846764955
2021-10-20,2021-10-21,100,98.86853860183699
2021-10-21,2021-10-27,100,98.21346117732831
2021-10-27,2021-11-02,100,102.19008724582356
2021-11-02,2021-11-15,100,102.57999117293237
2021-11-15,2021-11-16,100,98.2951899657729
2021-11-16,2021-11-18,100,97.92800296030765
2021-11-18,2021-11-19,100,102.47274948475098
2021-11-19,2021-11-30,100,95.85977942464183
2021-11-30,2021-12-03,100,102.70101593058129
2021-12-03,2021-12-07,100,102.28613667099786
2021-12-07,2021-12-13,100,102.60306452571145
2021-12-13,2021-12-16,100,103.08500367951672
2021-12-16,2021-12-17,100,98.48257070374895
2021-12-17,2021-12-22,100,103.332476060305
2021-12-22,2021-12-29,100,102.65216025563184
2021-12-29,2022-01-24,100,97.59898715366717
2022-01-24,2022-01-27,100,102.46007967536845
2022-01-27,2022-01-31,100,102.27499364526915
2022-01-31,2022-02-04,100,98.6387925018879
2022-02-04,2022-02-09,100,102.92182306253575
2022-02-09,2022-02-10,100,97.3362585213363
2022-02-10,2022-02-25,100,103.62950423216444
2022-02-25,2022-03-03,100,104.26316428164701
2022-03-03,2022-03-04,100,102.11828746396405
2022-03-04,2022-03-08,100,97.63282482903735
2022-03-08,2022-03-09,100,98.9233117816092
2022-03-09,2022-03-17,100,102.04155735695934
2022-03-17,2022-03-18,100,98.48056222755983
2022-03-18,2022-03-21,100,102.22489205253744
2022-03-21,2022-03-25,100,102.84717006141474
2022-03-25,2022-04-01,100,102.43841666165466
2022-04-01,2022-04-04,100,98.16313692598028
2022-04-04,2022-04-06,100,102.40782671850302
