date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,102.39261683572866,100,2.39261683572866,1,102.39261683572866
2021-01-06,102.39261683572866,200,2.39261683572866,2,2.39261683572866
2021-01-07,201.01944497417082,200,1.0194449741708382,2,101.01944497417084
2021-01-07,201.01944497417082,300,1.0194449741708382,3,1.0194449741708382
2021-01-14,303.21020553377093,300,3.2102055337709317,3,103.21020553377095
2021-01-14,303.21020553377093,400,3.2102055337709317,4,3.210205533770946
2021-01-15,405.3927400052089,400,5.3927400052088785,4,105.39274000520889
2021-01-15,405.3927400052089,500,5.3927400052088785,5,5.392740005208893
2021-01-26,507.9019930767146,500,7.901993076714604,5,107.90199307671459
2021-01-26,507.9019930767146,600,7.901993076714604,6,7.901993076714589
2021-01-27,605.3739260794915,600,5.373926079491525,6,105.37392607949153
2021-01-27,605.3739260794915,700,5.373926079491525,7,5.373926079491525
2021-02-03,707.7778464375715,700,7.777846437571469,7,107.77784643757147
2021-02-03,707.7778464375715,800,7.777846437571469,8,7.777846437571469
2021-02-04,810.1862516776584,800,10.186251677658362,8,110.18625167765836
2021-02-04,810.1862516776584,900,10.186251677658362,9,10.186251677658362
2021-02-10,912.520232998449,900,12.52023299844896,9,112.52023299844895
2021-02-10,912.520232998449,1000,12.52023299844896,10,12.520232998448947
2021-02-12,1014.6062255078124,1000,14.606225507812226,10,114.60622550781224
2021-02-12,1014.6062255078124,1100,14.606225507812226,11,14.60622550781224
2021-02-24,1117.6551348506005,1100,17.65513485060029,11,117.65513485060029
2021-02-24,1117.6551348506005,1200,17.65513485060029,12,17.65513485060029
2021-02-25,1215.128219441885,1200,15.128219441884823,12,115.12821944188482
2021-02-25,1215.128219441885,1300,15.128219441884823,13,15.128219441884823
2021-02-26,1312.599495900854,1300,12.599495900853725,13,112.59949590085371
2021-02-26,1312.599495900854,1400,12.599495900853725,14,12.59949590085371
2021-03-03,1415.8071799529685,1400,15.80717995296807,14,115.80717995296808
2021-03-03,1415.8071799529685,1500,15.80717995296807,15,15.807179952968085
2021-03-04,1513.9615569898635,1500,13.961556989863126,15,113.96155698986313
2021-03-04,1513.9615569898635,1600,13.961556989863126,16,13.961556989863126
2021-03-08,1617.2505011186513,1600,17.250501118650988,16,117.25050111865099
2021-03-08,1617.2505011186513,1700,17.250501118650988,17,17.250501118650988
2021-03-09,1716.2248130767987,1700,16.224813076798327,17,116.22481307679833
2021-03-09,1716.2248130767987,1800,16.224813076798327,18,16.224813076798327
2021-03-11,1818.587501017885,1800,18.587501017884534,18,118.58750101788453
2021-03-11,1818.587501017885,1900,18.587501017884534,19,18.587501017884534
2021-03-12,1920.82948101879,1900,20.82948101878948,19,120.82948101878948
2021-03-12,1920.82948101879,2000,20.82948101878948,20,20.82948101878948
2021-03-19,2016.7873727276829,2000,16.787372727682452,20,116.78737272768245
2021-03-19,2016.7873727276829,2100,16.787372727682452,21,16.787372727682452
2021-03-25,2119.276059206223,2100,19.276059206222797,21,119.2760592062228
2021-03-25,2119.276059206223,2200,19.276059206222797,22,19.276059206222797
2021-04-16,2221.461319806284,2200,21.46131980628354,22,121.46131980628354
2021-04-16,2221.461319806284,2300,21.46131980628354,23,21.46131980628354
2021-04-21,2323.4644353968974,2300,23.46443539689713,23,123.46443539689713
2021-04-21,2323.4644353968974,2400,23.46443539689713,24,23.46443539689713
2021-04-28,2422.2960976204627,2400,22.296097620462447,24,122.29609762046246
2021-04-28,2422.2960976204627,2500,22.296097620462447,25,22.29609762046246
2021-05-05,2520.5187785056823,2500,20.51877850568205,25,120.51877850568205
2021-05-05,2520.5187785056823,2600,20.51877850568205,26,20.51877850568205
2021-05-06,2623.35112788251,2600,23.351127882509587,26,123.3511278825096
2021-05-06,2623.35112788251,2700,23.351127882509587,27,23.3511278825096
2021-05-14,2725.7757012170687,2700,25.77570121706829,27,125.7757012170683
2021-05-14,2725.7757012170687,2800,25.77570121706829,28,25.775701217068303
2021-05-24,2828.5213125668624,2800,28.521312566861923,28,128.52131256686192
2021-05-24,2828.5213125668624,2900,28.521312566861923,29,28.521312566861923
2021-06-01,2932.0981716294714,2900,32.098171629471096,29,132.0981716294711
2021-06-01,2932.0981716294714,3000,32.098171629471096,30,32.098171629471096
2021-06-18,3029.9278704357066,3000,29.927870435706268,30,129.92787043570627
2021-06-18,3029.9278704357066,3100,29.927870435706268,31,29.927870435706268
2021-06-21,3132.834767599277,3100,32.83476759927626,31,132.83476759927626
2021-06-21,3132.834767599277,3200,32.83476759927626,32,32.83476759927626
2021-07-07,3235.3147049357826,3200,35.314704935782174,32,135.31470493578217
2021-07-07,3235.3147049357826,3300,35.314704935782174,33,35.314704935782174
2021-07-09,3337.683673751731,3300,37.683673751730396,33,137.6836737517304
2021-07-09,3337.683673751731,3400,37.683673751730396,34,37.683673751730396
2021-07-16,3439.964949726016,3400,39.96494972601556,34,139.96494972601556
2021-07-16,3439.964949726016,3500,39.96494972601556,35,39.96494972601556
2021-07-19,3538.768488606411,3500,38.768488606410756,35,138.76848860641076
2021-07-19,3538.768488606411,3600,38.768488606410756,36,38.768488606410756
2021-07-20,3641.2633423026887,3600,41.263342302688216,36,141.26334230268822
2021-07-20,3641.2633423026887,3700,41.263342302688216,37,41.263342302688216
2021-07-22,3739.3909378270528,3700,39.39093782705214,37,139.39093782705214
2021-07-22,3739.3909378270528,3800,39.39093782705214,38,39.39093782705214
2021-07-29,3841.8220741129862,3800,41.82207411298555,38,141.82207411298555
