purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.39261683572866
2021-01-06,2021-01-07,100,98.62682813844218
2021-01-07,2021-01-14,100,102.19076055960011
2021-01-14,2021-01-15,100,102.18253447143795
2021-01-15,2021-01-26,100,102.5092530715057
2021-01-26,2021-01-27,100,97.47193300277694
2021-01-27,2021-02-03,100,102.40392035807994
2021-02-03,2021-02-04,100,102.40840524008689
2021-02-04,2021-02-10,100,102.33398132079058
2021-02-10,2021-02-12,100,102.0859925093633
2021-02-12,2021-02-24,100,103.04890934278805
2021-02-24,2021-02-25,100,97.47308459128453
2021-02-25,2021-02-26,100,97.47127645896889
2021-02-26,2021-03-03,100,103.20768405211437
2021-03-03,2021-03-04,100,98.15437703689504
2021-03-04,2021-03-08,100,103.28894412878786
2021-03-08,2021-03-09,100,98.97431195814734
2021-03-09,2021-03-11,100,102.36268794108621
2021-03-11,2021-03-12,100,102.24198000090495
2021-03-12,2021-03-19,100,95.95789170889297
2021-03-19,2021-03-25,100,102.48868647854034
2021-03-25,2021-04-16,100,102.18526060006074
2021-04-16,2021-04-21,100,102.00311559061359
2021-04-21,2021-04-28,100,98.83166222356533
2021-04-28,2021-05-05,100,98.22268088521959
2021-05-05,2021-05-06,100,102.83234937682755
2021-05-06,2021-05-14,100,102.4245733345587
2021-05-14,2021-05-24,100,102.74561134979363
2021-05-24,2021-06-01,100,103.57685906260916
2021-06-01,2021-06-18,100,97.82969880623516
2021-06-18,2021-06-21,100,102.90689716357
2021-06-21,2021-07-07,100,102.47993733650591
2021-07-07,2021-07-09,100,102.36896881594824
2021-07-09,2021-07-16,100,102.28127597428515
2021-07-16,2021-07-19,100,98.80353888039521
2021-07-19,2021-07-20,100,102.49485369627746
2021-07-20,2021-07-22,100,98.12759552436393
2021-07-22,2021-07-29,100,102.4311362859334
2021-07-29,2021-08-09,100,98.97069967163425
2021-08-09,2021-08-10,100,97.90677324971972
2021-08-10,2021-08-30,100,102.4358908713442
2021-08-30,2021-09-02,100,102.10486135725385
2021-09-02,2021-09-07,100,97.67550535394804
2021-09-07,2021-09-10,100,98.22072164431748
2021-09-10,2021-09-17,100,98.36245047920359
2021-09-17,2021-09-23,100,103.35839197117471
2021-09-23,2021-09-27,100,97.5268871174546
2021-09-27,2021-10-04,100,102.14469184090729
2021-10-04,2021-10-14,100,103.38721423958302
2021-10-14,2021-10-18,100,98.96728632440765
2021-10-18,2021-10-27,100,102.88381046175886
2021-10-27,2021-11-04,100,98.77211989888046
2021-11-04,2021-11-09,100,102.74267086628048
2021-11-09,2021-11-15,100,102.20468119589592
2021-11-15,2021-11-16,100,98.56023962445411
2021-11-16,2021-11-22,100,98.54729485275026
2021-11-22,2021-11-24,100,103.55982861684116
2021-11-24,2021-11-26,100,96.97293239354381
2021-11-26,2021-12-01,100,96.11675956509772
2021-12-01,2021-12-02,100,103.61772483813087
2021-12-02,2021-12-08,100,102.95161680370344
2021-12-08,2021-12-09,100,98.80370632919887
2021-12-09,2021-12-13,100,102.2878272645839
2021-12-13,2021-12-14,100,98.45729227193493
2021-12-14,2021-12-20,100,98.8972401495639
