purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.04954869487437
2021-01-06,2021-01-07,100,103.1143355823586
2021-01-07,2021-01-08,100,96.18139329249036
2021-01-08,2021-01-11,100,102.9313650810328
2021-01-11,2021-01-15,100,98.7527751550259
2021-01-15,2021-01-22,100,98.33455001195144
2021-01-22,2021-01-27,100,94.88618073120259
2021-01-27,2021-01-28,100,103.79558405051547
2021-01-28,2021-01-29,100,97.78004575987406
2021-01-29,2021-02-02,100,103.38233789269024
2021-02-02,2021-02-03,100,106.68127198220967
2021-02-03,2021-02-04,100,102.01029269861692
2021-02-04,2021-02-08,100,103.01907614693361
2021-02-08,2021-02-09,100,98.6621305850015
2021-02-09,2021-02-12,100,102.71679473106477
2021-02-12,2021-02-18,100,97.37248661269152
2021-02-18,2021-02-24,100,104.60710749519843
2021-02-24,2021-02-26,100,97.05436257683404
2021-02-26,2021-03-03,100,102.19373487180692
2021-03-03,2021-03-04,100,96.50236280224898
2021-03-04,2021-03-05,100,102.9476593868773
2021-03-05,2021-03-08,100,103.26427868757595
2021-03-08,2021-03-10,100,98.46680601397583
2021-03-10,2021-03-15,100,102.09031670602965
2021-03-15,2021-03-16,100,98.1063393315049
2021-03-16,2021-03-23,100,97.93966736935411
2021-03-23,2021-03-25,100,102.7105270791634
2021-03-25,2021-04-01,100,103.56592124810066
2021-04-01,2021-04-06,100,102.25143168802838
2021-04-06,2021-04-09,100,102.50802760857273
2021-04-09,2021-04-13,100,98.22666250390259
2021-04-13,2021-04-15,100,102.49083550526561
2021-04-15,2021-04-27,100,102.91512037793194
2021-04-27,2021-04-28,100,103.51256064365137
2021-04-28,2021-05-05,100,102.12267354978944
2021-05-05,2021-05-06,100,102.06002384990711
2021-05-06,2021-05-12,100,97.55375455616124
2021-05-12,2021-05-13,100,102.55005630738103
2021-05-13,2021-05-18,100,98.0056582351518
2021-05-18,2021-05-28,100,102.07765570548185
2021-05-28,2021-06-07,100,98.43719476460247
2021-06-07,2021-06-14,100,98.67982120413158
2021-06-14,2021-06-16,100,98.84602861465974
2021-06-16,2021-06-17,100,98.79864750961566
2021-06-18,2021-06-21,100,102.1379409876531
2021-06-21,2021-07-06,100,98.40282210322701
2021-07-06,2021-07-16,100,98.43532598200625
2021-07-16,2021-07-19,100,97.8083390761523
2021-07-19,2021-07-21,100,102.13894117526048
2021-07-21,2021-07-22,100,98.91541331614646
2021-07-22,2021-07-26,100,102.19244885388935
2021-07-26,2021-07-28,100,102.28787471233451
2021-07-28,2021-08-09,100,102.22209236073572
2021-08-09,2021-08-16,100,102.35291315325617
2021-08-16,2021-08-17,100,98.67162518792269
2021-08-17,2021-08-25,100,103.30290808745491
2021-08-25,2021-09-17,100,96.14834906414244
2021-09-17,2021-09-20,100,98.95422725847969
2021-09-20,2021-09-23,100,102.86331349587252
2021-09-23,2021-09-28,100,97.25744893293394
2021-09-28,2021-09-30,100,97.50297436291065
2021-09-30,2021-10-07,100,102.95508332390291
2021-10-07,2021-10-08,100,96.92184908888454
2021-10-08,2021-10-19,100,102.18235967022997
2021-10-19,2021-10-21,100,102.41176640898695
2021-10-21,2021-10-26,100,97.92868181989522
2021-10-26,2021-10-27,100,98.2466945091322
2021-10-27,2021-10-28,100,103.41443347437705
2021-10-28,2021-11-05,100,105.1741774166051
2021-11-05,2021-11-10,100,98.30519158899544
2021-11-10,2021-11-18,100,98.73766752471074
2021-11-18,2021-11-26,100,97.34703344621238
2021-11-26,2021-11-30,100,96.1548908511277
2021-11-30,2021-12-01,100,98.84925315439435
2021-12-01,2021-12-02,100,103.18911059861627
2021-12-02,2021-12-03,100,98.32038518907206
2021-12-03,2021-12-06,100,102.60174734636595
2021-12-06,2021-12-08,100,102.13168680675628
2021-12-08,2021-12-09,100,98.15991134375514
2021-12-09,2021-12-14,100,98.47660134612522
2021-12-14,2021-12-20,100,97.14657872398553
2021-12-20,2021-12-21,100,102.89756092661688
2021-12-21,2021-12-27,100,102.04389394005946
2021-12-27,2021-12-29,100,102.16795557914975
2021-12-29,2022-01-03,100,97.10144927536231
2022-01-03,2022-01-04,100,102.42344479154615
2022-01-04,2022-01-07,100,98.75834866962566
2022-01-07,2022-01-10,100,97.28864127041622
2022-01-10,2022-01-11,100,102.03691728881313
2022-01-11,2022-01-14,100,98.76710355753998
2022-01-14,2022-01-18,100,98.94372016604933
2022-01-18,2022-01-20,100,98.16113073510554
2022-01-20,2022-01-21,100,98.86790186480886
2022-01-21,2022-01-25,100,97.46436236990239
2022-01-25,2022-01-31,100,104.98195133352377
2022-01-31,2022-02-02,100,97.70292934640102
2022-02-02,2022-02-03,100,96.22349152336392
2022-02-03,2022-02-04,100,98.02500710429098
2022-02-04,2022-02-07,100,95.8582295877556
2022-02-07,2022-02-09,100,104.0552649559247
2022-02-09,2022-02-10,100,98.8939660600972
2022-02-10,2022-02-11,100,98.2584465343086
2022-02-11,2022-02-18,100,98.57264711095355
2022-02-18,2022-02-22,100,98.67278765164326
2022-02-22,2022-02-23,100,98.01998804134278
2022-02-23,2022-02-25,100,103.07619910764083
2022-02-25,2022-02-28,100,97.71731962597858
2022-02-28,2022-03-01,100,95.11169559273935
2022-03-01,2022-03-02,100,103.02550667685479
2022-03-02,2022-03-04,100,97.44124035388228
2022-03-04,2022-03-07,100,94.62425999758366
2022-03-07,2022-03-09,100,104.5524479542393
2022-03-09,2022-03-10,100,98.70307500671666
2022-03-10,2022-03-15,100,102.12622488369792
2022-03-15,2022-03-17,100,102.3636308568313
2022-03-17,2022-03-23,100,96.21213466124614
2022-03-23,2022-03-25,100,105.18863862817216
2022-03-25,2022-03-29,100,103.32705733765246
2022-03-29,2022-03-30,100,98.84274978496084
2022-03-30,2022-03-31,100,98.3826366743575
2022-03-31,2022-04-14,100,95.7007018074743
2022-04-14,2022-04-18,100,98.61237792939058
2022-04-18,2022-04-19,100,102.95365414498188
2022-04-19,2022-04-21,100,102.07652040584085
2022-04-21,2022-04-22,100,97.03278197959268
2022-04-22,2022-04-26,100,104.06175168710543
2022-04-26,2022-04-27,100,104.08102784024544
2022-04-27,2022-05-02,100,98.85267318772611
2022-05-02,2022-05-04,100,103.43674635851731
2022-05-04,2022-05-05,100,96.68836203601577
2022-05-05,2022-05-06,100,98.92363209225364
2022-05-06,2022-05-10,100,96.84251388643096
2022-05-10,2022-05-17,100,103.73202074982318
2022-05-17,2022-05-18,100,94.56615010427853
2022-05-18,2022-05-20,100,97.6437572487065
2022-05-20,2022-05-24,100,98.9845403968293
2022-05-24,2022-05-26,100,103.69750929506709
2022-05-26,2022-05-27,100,102.81859879485565
2022-05-27,2022-06-02,100,102.68418413164923
2022-06-02,2022-06-07,100,102.32155330543078
2022-06-07,2022-06-08,100,98.44153249304851
2022-06-08,2022-06-09,100,97.29321358298237
2022-06-09,2022-06-10,100,97.09100180798293
2022-06-10,2022-06-13,100,95.44667796691098
2022-06-13,2022-06-16,100,95.10564723391217
2022-06-16,2022-06-24,100,107.85314151960654
2022-06-24,2022-06-30,100,97.89497427393987
2022-06-30,2022-07-06,100,102.38505943966672
2022-07-06,2022-07-11,100,98.80544725782025
2022-07-11,2022-07-19,100,104.82428331353223
2022-07-19,2022-07-21,100,102.55158967854081
2022-07-21,2022-07-26,100,97.57431383889458
2022-07-26,2022-07-27,100,107.23671469233251
2022-07-27,2022-07-28,100,102.68763066011405
2022-07-28,2022-08-03,100,102.10406263157054
2022-08-03,2022-08-08,100,102.06122608763732
2022-08-08,2022-08-09,100,98.26475191015373
2022-08-09,2022-08-11,100,102.62255322913903
2022-08-11,2022-08-16,100,102.69702809615579
2022-08-16,2022-08-17,100,98.4468982409703
2022-08-17,2022-08-19,100,98.05922158181718
2022-08-19,2022-08-22,100,98.63978637637862
2022-08-22,2022-08-26,100,97.12433553740439
2022-08-26,2022-08-29,100,98.52199914566424
2022-08-29,2022-08-31,100,98.7258281304197
2022-08-31,2022-09-07,100,103.16752762665993
2022-09-07,2022-09-13,100,97.8795408953286
2022-09-13,2022-09-14,100,97.57428810629207
2022-09-14,2022-09-16,100,96.21526152748991
2022-09-16,2022-09-19,100,103.38581628457766
2022-09-19,2022-09-20,100,98.09732381901891
2022-09-20,2022-09-21,100,98.35618159083253
2022-09-21,2022-09-22,100,97.66982851702637
2022-09-22,2022-09-23,100,98.05227996766679
2022-09-23,2022-09-26,100,98.82282340532578
2022-09-26,2022-10-03,100,102.70626698317477
2022-10-03,2022-10-04,100,103.38507295106933
2022-10-04,2022-10-05,100,98.88336250570448
2022-10-05,2022-10-06,100,98.98174977800626
2022-10-06,2022-10-07,100,97.31339231436615
2022-10-07,2022-10-12,100,98.74940108320546
2022-10-12,2022-10-17,100,103.6955146512385
2022-10-17,2022-10-18,100,102.17666848302494
2022-10-18,2022-10-19,100,98.89166487934102
2022-10-19,2022-10-20,100,98.51112843568838
2022-10-20,2022-10-24,100,102.90433716730433
2022-10-24,2022-10-26,100,94.02104776222967
2022-10-26,2022-10-27,100,103.17958179581797
2022-10-27,2022-11-02,100,98.26011801871608
2022-11-02,2022-11-04,100,105.47464073617996
2022-11-04,2022-11-09,100,97.73114173318918
2022-11-09,2022-11-10,100,107.07522465000501
2022-11-10,2022-11-14,100,98.83926706750059
2022-11-14,2022-11-15,100,102.6200776236919
2022-11-15,2022-11-21,100,102.1050749374167
2022-11-21,2022-11-23,100,102.02452783128757
2022-11-23,2022-11-28,100,97.2640361188844
2022-11-28,2022-11-30,100,102.98298341123244
2022-11-30,2022-12-05,100,98.9811602932929
2022-12-05,2022-12-08,100,94.02444782540265
2022-12-08,2022-12-13,100,103.47059479968755
2022-12-13,2022-12-14,100,98.06406384814495
2022-12-14,2022-12-16,100,98.59224635688754
2022-12-16,2022-12-19,100,98.43270678788555
2022-12-19,2022-12-21,100,102.52153218495015
2022-12-21,2022-12-22,100,98.82827612888963
2022-12-22,2023-01-03,100,102.46071248811587
2023-01-03,2023-01-06,100,102.78369084656951
2023-01-06,2023-01-11,100,102.2728479634645
2023-01-11,2023-01-18,100,98.28132301780985
2023-01-18,2023-01-19,100,98.34108199492813
2023-01-19,2023-01-20,100,102.33695068228216
2023-01-20,2023-01-25,100,97.1652055225996
2023-01-25,2023-01-31,100,102.35020800691555
2023-01-31,2023-02-03,100,95.65033783783782
2023-02-03,2023-02-06,100,98.53200883002208
2023-02-06,2023-02-07,100,102.83409880138905
2023-02-07,2023-02-09,100,98.53485838779956
