date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,104.66409927257168,100,4.664099272571676,1,104.66409927257168
2021-01-05,104.66409927257168,200,4.664099272571676,2,4.664099272571676
2021-01-08,207.16614342629202,200,7.166143426292024,2,107.16614342629202
2021-01-08,207.16614342629202,300,7.166143426292024,3,7.166143426292024
2021-01-12,314.8559966490106,300,14.855996649010606,3,114.8559966490106
2021-01-12,314.8559966490106,400,14.855996649010606,4,14.855996649010606
2021-01-13,422.45599664901056,400,22.455996649010586,4,122.45599664901059
2021-01-13,422.45599664901056,500,22.455996649010586,5,22.455996649010586
2021-01-14,525.4712795899441,500,25.47127958994409,5,125.47127958994407
2021-01-14,525.4712795899441,600,25.47127958994409,6,25.471279589944075
2021-01-19,631.9668690045391,600,31.96686900453912,6,131.96686900453912
2021-01-19,631.9668690045391,700,31.96686900453912,7,31.96686900453912
2021-01-20,735.2299212133745,700,35.22992121337444,7,135.22992121337444
2021-01-20,735.2299212133745,800,35.22992121337444,8,35.22992121337444
2021-01-21,834.0024054136661,800,34.00240541366611,8,134.0024054136661
2021-01-21,834.0024054136661,900,34.00240541366611,9,34.00240541366611
2021-01-22,938.7520055121034,900,38.75200551210341,9,138.7520055121034
2021-01-22,938.7520055121034,1000,38.75200551210341,10,38.75200551210341
2021-01-25,1041.265807931932,1000,41.26580793193193,10,141.26580793193193
2021-01-25,1041.265807931932,1100,41.26580793193193,11,41.26580793193193
2021-01-27,1138.687602363008,1100,38.6876023630079,11,138.6876023630079
2021-01-27,1138.687602363008,1200,38.6876023630079,12,38.6876023630079
2021-01-28,1235.1178540684891,1200,35.11785406848895,12,135.11785406848895
2021-01-28,1235.1178540684891,1300,35.11785406848895,13,35.11785406848895
2021-02-03,1337.3011802866997,1300,37.301180286699605,13,137.3011802866996
2021-02-03,1337.3011802866997,1400,37.301180286699605,14,37.301180286699605
2021-02-04,1441.9505386871772,1400,41.95053868717707,14,141.95053868717707
2021-02-04,1441.9505386871772,1500,41.95053868717707,15,41.95053868717707
2021-02-08,1545.9712983541099,1500,45.97129835410988,15,145.97129835410988
2021-02-08,1545.9712983541099,1600,45.97129835410988,16,45.97129835410988
2021-02-10,1649.0361593662267,1600,49.03615936622677,16,149.03615936622677
2021-02-10,1649.0361593662267,1700,49.03615936622677,17,49.03615936622677
2021-02-11,1757.2976765489057,1700,57.29767654890577,17,157.29767654890577
2021-02-11,1757.2976765489057,1800,57.29767654890577,18,57.29767654890577
2021-02-12,1853.381407078118,1800,53.38140707811809,18,153.3814070781181
2021-02-12,1853.381407078118,1900,53.38140707811809,19,53.38140707811809
2021-02-16,1943.3527684364078,1900,43.352768436407956,19,143.35276843640796
2021-02-16,1943.3527684364078,2000,43.352768436407956,20,43.352768436407956
2021-02-18,2042.1136392372946,2000,42.11363923729465,20,142.11363923729465
2021-02-18,2042.1136392372946,2100,42.11363923729465,21,42.11363923729465
2021-02-22,2139.955365856,2100,39.95536585599967,21,139.95536585599967
2021-02-22,2139.955365856,2200,39.95536585599967,22,39.95536585599967
2021-02-24,2234.925954091294,2200,34.92595409129376,22,134.92595409129376
2021-02-24,2234.925954091294,2300,34.92595409129376,23,34.92595409129376
2021-02-26,2337.4282767918203,2300,37.428276791820224,23,137.42827679182022
2021-02-26,2337.4282767918203,2400,37.428276791820224,24,37.428276791820224
2021-03-01,2439.942023846023,2400,39.94202384602289,24,139.9420238460229
2021-03-01,2439.942023846023,2500,39.94202384602289,25,39.94202384602289
2021-03-02,2537.8789528174348,2500,37.87895281743462,25,137.87895281743462
2021-03-02,2537.8789528174348,2600,37.87895281743462,26,37.87895281743462
2021-03-03,2631.1741679844527,2600,31.174167984452367,26,131.17416798445237
