purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.2574248830163
2021-01-06,2021-01-11,100,98.71847182553232
2021-01-11,2021-01-14,100,102.23530602604762
2021-01-14,2021-01-15,100,98.68979059751489
2021-01-15,2021-01-19,100,103.76711756148947
2021-01-19,2021-01-25,100,95.58572349339349
2021-01-25,2021-01-26,100,95.85977865999105
2021-01-26,2021-01-27,100,98.23703716730122
2021-01-27,2021-01-28,100,104.27213490387024
2021-01-28,2021-01-29,100,97.71667939946951
2021-01-29,2021-02-02,100,103.82828078744168
2021-02-02,2021-02-04,100,103.48491898980498
2021-02-04,2021-02-08,100,102.46660235132528
2021-02-08,2021-02-09,100,98.98588537552561
2021-02-09,2021-02-12,100,102.31178462034498
2021-02-12,2021-02-22,100,104.87993192991303
2021-02-22,2021-02-24,100,102.90710776580877
2021-02-24,2021-02-25,100,97.98674375145995
2021-02-25,2021-02-26,100,98.66799767570063
2021-02-26,2021-03-01,100,102.55575857330534
2021-03-01,2021-03-03,100,102.79833027806613
2021-03-03,2021-03-05,100,103.32660135212556
2021-03-05,2021-03-09,100,98.48000720835616
2021-03-09,2021-03-12,100,102.36127924326455
2021-03-12,2021-03-15,100,98.9693273468602
2021-03-15,2021-03-16,100,97.4899263582048
2021-03-16,2021-03-19,100,98.18922944265893
2021-03-19,2021-03-23,100,96.70793839722468
2021-03-23,2021-03-25,100,104.5590994371482
2021-03-25,2021-04-05,100,102.97003409294814
2021-04-05,2021-04-16,100,102.69198329882967
2021-04-16,2021-04-20,100,96.73239436619718
2021-04-20,2021-04-26,100,103.62077313330198
2021-04-26,2021-04-29,100,102.84957777762729
2021-04-29,2021-05-07,100,102.81013174961646
2021-05-07,2021-05-11,100,97.14627882700276
2021-05-11,2021-05-12,100,98.60637743834505
2021-05-12,2021-05-14,100,103.19166716808066
2021-05-14,2021-05-18,100,98.62391562089006
2021-05-18,2021-05-24,100,102.35372174449999
2021-05-24,2021-06-01,100,103.22315640844617
2021-06-01,2021-06-18,100,96.59955730202945
2021-06-18,2021-06-21,100,104.24875935711849
2021-06-21,2021-06-24,100,102.0029142278531
2021-06-24,2021-06-28,100,97.96377899375332
2021-06-28,2021-07-02,100,102.5271248856924
2021-07-02,2021-07-09,100,102.03936504875432
2021-07-09,2021-07-16,100,98.88021356264542
2021-07-16,2021-07-19,100,95.761608390773
2021-07-19,2021-07-20,100,103.71992066165188
2021-07-20,2021-07-21,100,102.15527091226171
2021-07-21,2021-07-28,100,98.56246394386427
2021-07-28,2021-08-04,100,98.84370968512592
2021-08-04,2021-08-13,100,98.82534925315414
2021-08-13,2021-08-18,100,97.62094012913325
2021-08-18,2021-08-19,100,98.0853182680805
2021-08-19,2021-08-25,100,104.49286097417689
2021-08-25,2021-08-30,100,98.84808115375215
2021-08-30,2021-09-02,100,98.65661030570925
2021-09-02,2021-09-03,100,98.29554711684276
2021-09-03,2021-09-16,100,102.09419744743786
2021-09-16,2021-09-20,100,98.73553672563334
2021-09-20,2021-09-22,100,104.30553623151744
2021-09-22,2021-09-23,100,103.50876129266962
2021-09-23,2021-09-29,100,98.947380752942
2021-09-29,2021-09-30,100,97.66161496566423
2021-09-30,2021-10-01,100,103.83281808813724
2021-10-01,2021-10-13,100,97.23573059027514
2021-10-13,2021-10-15,100,104.20093901223599
2021-10-15,2021-10-20,100,102.15608884791565
2021-10-20,2021-10-21,100,98.81893094637812
2021-10-21,2021-10-22,100,105.4097247193256
2021-10-22,2021-10-25,100,97.45290527991509
2021-10-25,2021-10-27,100,97.65081093695305
2021-10-27,2021-10-28,100,98.0796476793609
2021-10-28,2021-11-03,100,98.8548156914616
2021-11-03,2021-11-05,100,102.3644366197183
2021-11-05,2021-11-10,100,102.66240132088127
2021-11-10,2021-11-18,100,97.14083083435247
2021-11-18,2021-11-19,100,98.48752249170754
2021-11-19,2021-11-22,100,98.47655292373425
2021-11-22,2021-11-26,100,91.76407131680023
2021-11-26,2021-11-30,100,97.11530387489745
2021-11-30,2021-12-01,100,98.52811088719065
2021-12-01,2021-12-02,100,104.47555657562542
2021-12-02,2021-12-06,100,102.49405561873255
2021-12-06,2021-12-07,100,103.89842902892303
2021-12-07,2021-12-13,100,97.81387277625416
2021-12-13,2021-12-17,100,97.98708508830151
2021-12-17,2021-12-20,100,97.42409662961182
2021-12-20,2021-12-21,100,103.2242762922772
2021-12-21,2021-12-23,100,102.03642269462475
2021-12-23,2022-01-03,100,102.44922636527404
2022-01-03,2022-01-04,100,103.2096445905746
2022-01-04,2022-01-05,100,98.93460604929052
2022-01-05,2022-01-11,100,102.35837373058278
2022-01-11,2022-01-13,100,98.81082015383285
2022-01-13,2022-01-14,100,97.17610976029293
2022-01-14,2022-01-18,100,98.67753123162406
2022-01-18,2022-01-19,100,97.12138348717573
2022-01-19,2022-01-21,100,98.35962935136489
2022-01-21,2022-01-25,100,109.05283259070657
2022-01-25,2022-01-28,100,102.2828358296074
2022-01-28,2022-02-01,100,103.65912813225819
2022-02-01,2022-02-07,100,102.36009799333866
2022-02-07,2022-02-08,100,103.26140739625241
2022-02-08,2022-02-11,100,98.87289318527469
2022-02-11,2022-02-15,100,103.21547473555566
2022-02-15,2022-02-17,100,98.85523844520661
2022-02-17,2022-02-22,100,98.32983122776766
2022-02-22,2022-02-23,100,98.18595175839292
2022-02-23,2022-02-25,100,102.51600241707352
2022-02-25,2022-03-01,100,91.9236547248941
2022-03-01,2022-03-04,100,97.12810327706057
2022-03-04,2022-03-07,100,92.00941786824333
2022-03-07,2022-03-09,100,105.98081111456818
2022-03-09,2022-03-14,100,102.45587336584663
2022-03-14,2022-03-16,100,104.52735300137424
2022-03-16,2022-03-17,100,103.52005907791457
2022-03-17,2022-03-18,100,102.0055231599825
2022-03-18,2022-03-23,100,97.53377483443708
2022-03-23,2022-03-25,100,102.29175154132378
2022-03-25,2022-03-31,100,98.27681425703877
2022-03-31,2022-04-06,100,98.24065618769215
2022-04-06,2022-04-11,100,96.93201256235804
2022-04-11,2022-04-12,100,98.85720770562033
2022-04-12,2022-04-13,100,102.30684016278175
2022-04-13,2022-04-18,100,102.72273339317772
2022-04-18,2022-04-20,100,102.15737357517764
2022-04-20,2022-04-21,100,98.55648166464394
2022-04-21,2022-04-22,100,97.20087011711863
2022-04-22,2022-04-26,100,98.95302567765914
2022-04-26,2022-04-29,100,97.79478531586457
2022-04-29,2022-05-02,100,98.23122660715008
2022-05-02,2022-05-04,100,103.61239945987202
2022-05-04,2022-05-05,100,96.17016936475467
2022-05-05,2022-05-06,100,97.74339515919965
2022-05-06,2022-05-09,100,96.33259792397556
2022-05-09,2022-05-11,100,98.98754771290909
2022-05-11,2022-05-12,100,96.16036209163548
2022-05-12,2022-05-13,100,103.57551374590778
2022-05-13,2022-05-16,100,98.53830677151761
2022-05-16,2022-05-17,100,103.46528913908818
2022-05-17,2022-05-18,100,96.44720295827783
2022-05-18,2022-05-19,100,98.65485034887398
2022-05-19,2022-05-23,100,103.27198497804937
2022-05-23,2022-05-24,100,97.85611109703251
2022-05-24,2022-05-25,100,103.13608701281885
2022-05-25,2022-05-26,100,103.02691708933862
2022-05-26,2022-05-27,100,102.55840025346379
2022-05-27,2022-06-01,100,97.73592752116443
2022-06-01,2022-06-02,100,102.03873226594695
2022-06-02,2022-06-03,100,98.63464150403888
2022-06-03,2022-06-09,100,96.49345315746244
2022-06-09,2022-06-10,100,95.92476685235025
2022-06-10,2022-06-13,100,94.73570883276024
2022-06-13,2022-06-14,100,98.84428098160355
2022-06-14,2022-06-16,100,95.08964344693513
2022-06-16,2022-06-17,100,104.85835299635073
2022-06-17,2022-06-23,100,98.24523396880416
2022-06-23,2022-06-24,100,103.17672582423442
2022-06-24,2022-06-27,100,98.72734417549691
2022-06-27,2022-06-28,100,98.54474354945707
2022-06-28,2022-06-29,100,98.08745686325918
2022-06-29,2022-07-08,100,102.02207741543974
2022-07-08,2022-07-12,100,98.18015734203837
2022-07-12,2022-07-14,100,98.05987695725238
2022-07-14,2022-07-15,100,104.39611359139751
2022-07-15,2022-07-19,100,103.71993405571448
2022-07-19,2022-07-22,100,103.53896941950033
2022-07-22,2022-07-26,100,97.92164169312724
2022-07-26,2022-07-29,100,102.79646254857298
2022-07-29,2022-08-02,100,98.4286403274372
2022-08-02,2022-08-03,100,102.52676744601817
2022-08-03,2022-08-09,100,102.16805843489043
2022-08-09,2022-08-10,100,102.29209335255001
2022-08-10,2022-08-12,100,102.09304050129153
2022-08-12,2022-08-17,100,98.83057218432408
2022-08-17,2022-08-19,100,98.98699755630003
2022-08-19,2022-08-22,100,97.2015121610167
2022-08-22,2022-08-25,100,102.87269255251432
2022-08-25,2022-08-26,100,96.96744692568048
2022-08-26,2022-08-29,100,98.23880749400175
2022-08-29,2022-08-31,100,98.35663063812096
2022-08-31,2022-09-02,100,98.54578594920157
2022-09-02,2022-09-08,100,102.49028280391369
2022-09-08,2022-09-09,100,103.20460846367108
2022-09-09,2022-09-12,100,102.53109220271546
2022-09-12,2022-09-13,100,95.62941816204459
2022-09-13,2022-09-16,100,98.5390187323516
2022-09-16,2022-09-21,100,97.14488058859789
2022-09-21,2022-09-22,100,96.1807430608057
2022-09-22,2022-09-23,100,98.06366941313533
2022-09-23,2022-09-26,100,97.99609238014126
2022-09-26,2022-09-28,100,102.2625194446676
2022-09-28,2022-09-29,100,98.02963756472057
2022-09-29,2022-09-30,100,97.90989757113925
2022-09-30,2022-10-03,100,103.78803098283444
2022-10-03,2022-10-04,100,103.88492200045883
2022-10-04,2022-10-06,100,97.88277998992456
2022-10-06,2022-10-07,100,97.6254767729609
2022-10-07,2022-10-10,100,98.9282954553661
2022-10-10,2022-10-13,100,103.33097301203765
2022-10-13,2022-10-14,100,96.65135994348286
2022-10-14,2022-10-17,100,103.4573496089467
2022-10-17,2022-10-18,100,103.14398756535257
2022-10-18,2022-10-19,100,98.61634358517706
2022-10-19,2022-10-20,100,98.92338681669791
2022-10-20,2022-10-21,100,98.32888639236063
2022-10-21,2022-10-25,100,104.98429020279923
2022-10-25,2022-10-28,100,102.32621412052781
2022-10-28,2022-10-31,100,98.67721350704599
2022-10-31,2022-11-02,100,96.66554395419334
2022-11-02,2022-11-03,100,97.0801393728223
2022-11-03,2022-11-04,100,103.88342545402341
2022-11-04,2022-11-08,100,103.78662244333884
2022-11-08,2022-11-09,100,97.1105193075899
2022-11-09,2022-11-10,100,106.0948855066502
2022-11-10,2022-11-16,100,98.59127625201938
2022-11-16,2022-11-17,100,98.7350068820869
2022-11-17,2022-11-22,100,102.61550716941052
2022-11-22,2022-11-28,100,97.59994824686245
2022-11-28,2022-11-29,100,102.35301915556438
2022-11-29,2022-11-30,100,102.05284289599794
