purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,104.17655032192476
2021-01-06,2021-01-11,100,102.90802634788973
2021-01-11,2021-01-14,100,98.62184502078296
2021-01-14,2021-01-22,100,98.32855242704444
2021-01-22,2021-01-25,100,97.46406336582027
2021-01-25,2021-01-27,100,95.08126818501054
2021-01-27,2021-01-29,100,98.3433138998074
2021-01-29,2021-02-01,100,103.66247306347631
2021-02-01,2021-02-02,100,102.96205567008532
2021-02-02,2021-02-04,100,102.2384746202887
2021-02-04,2021-02-11,100,94.26658691074165
2021-02-11,2021-02-17,100,103.69864918899184
2021-02-17,2021-02-25,100,97.28408928975581
2021-02-25,2021-03-05,100,105.14230076600293
2021-03-05,2021-03-10,100,102.92972751485352
2021-03-10,2021-03-12,100,102.35031847133757
2021-03-12,2021-03-19,100,103.05246126081275
2021-03-19,2021-03-24,100,102.1686947069658
2021-03-24,2021-03-26,100,104.45071629638933
2021-03-26,2021-04-12,100,102.86193261796808
2021-04-12,2021-04-13,100,98.74294280664839
2021-04-13,2021-04-15,100,102.19582007228864
2021-04-15,2021-04-19,100,102.51185738428828
2021-04-19,2021-04-21,100,98.84265106694144
2021-04-21,2021-04-23,100,98.95486552468574
2021-04-23,2021-04-26,100,98.13300710232102
2021-04-26,2021-04-29,100,102.15253345153337
2021-04-29,2021-05-07,100,102.1858219883929
2021-05-07,2021-05-19,100,97.32085987261145
2021-05-19,2021-05-24,100,98.74422219495236
2021-05-24,2021-05-25,100,98.07787903893951
2021-05-25,2021-06-02,100,98.88142704285634
2021-06-02,2021-06-04,100,98.75700342429182
2021-06-04,2021-06-21,100,102.04655387432327
2021-06-21,2021-06-24,100,102.75148346990674
2021-06-24,2021-06-28,100,102.8606785603795
2021-06-28,2021-07-02,100,103.56178483584644
2021-07-02,2021-07-15,100,103.0739939978702
2021-07-15,2021-07-23,100,102.19463020011521
2021-07-23,2021-07-28,100,98.55832562357165
2021-07-28,2021-08-03,100,103.20216337187615
2021-08-03,2021-08-05,100,98.76514206889905
2021-08-05,2021-08-09,100,98.60515610419552
2021-08-09,2021-08-24,100,98.96334599255292
2021-08-24,2021-08-27,100,96.78183477293466
2021-08-27,2021-09-02,100,98.20211948414263
2021-09-02,2021-09-08,100,102.34768026830629
2021-09-08,2021-09-15,100,102.59388954926591
2021-09-15,2021-09-21,100,102.90282579287539
2021-09-21,2021-09-22,100,102.47646174539125
2021-09-22,2021-09-29,100,103.16197082719627
2021-09-29,2021-09-30,100,97.75417386298216
2021-09-30,2021-10-01,100,98.48585680716612
2021-10-01,2021-10-04,100,98.21979572798813
2021-10-04,2021-10-07,100,102.50957376210799
2021-10-07,2021-10-14,100,102.00863558884143
2021-10-14,2021-10-18,100,102.38362784198422
2021-10-18,2021-10-21,100,102.79728630813938
2021-10-21,2021-10-28,100,98.47428748451053
2021-10-28,2021-11-05,100,102.12572327397338
2021-11-05,2021-11-09,100,102.6645543857333
