date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-05,104.39522494080504,100,4.395224940805036,1,104.39522494080504
2021-01-05,104.39522494080504,200,4.395224940805036,2,4.395224940805036
2021-01-11,202.10821459255573,200,2.1082145925557256,2,102.10821459255573
2021-01-11,202.10821459255573,300,2.1082145925557256,3,2.1082145925557256
2021-01-15,300.91376611825814,300,0.913766118258124,3,100.91376611825814
2021-01-15,300.91376611825814,400,0.913766118258124,4,0.9137661182581382
2021-01-19,404.0412132599966,400,4.0412132599965815,4,104.04121325999658
2021-01-19,404.0412132599966,500,4.0412132599965815,5,4.0412132599965815
2021-01-21,502.47507971151765,500,2.4750797115176084,5,102.47507971151762
2021-01-21,502.47507971151765,600,2.4750797115176084,6,2.4750797115176226
2021-01-25,600.5224255482661,600,0.5224255482660851,6,100.5224255482661
2021-01-25,600.5224255482661,700,0.5224255482660851,7,0.5224255482660993
2021-01-27,695.9345026529081,700,-4.065497347091892,7,95.93450265290811
2021-01-27,695.9345026529081,800,-4.065497347091892,8,0.0
2021-02-02,799.4958076057504,800,-0.4844952526079709,8,103.56130495284235
2021-02-02,799.4958076057504,900,-0.4844952526079709,9,3.561304952842349
2021-02-03,902.7057210127376,900,2.60001737532005,9,106.7712183598295
2021-02-03,902.7057210127376,1000,2.60001737532005,10,6.771218359829504
2021-02-08,1004.9044769797563,1000,4.712875164953331,10,108.96997432684816
2021-02-08,1004.9044769797563,1100,4.712875164953331,11,8.96997432684816
2021-02-16,1107.3720400842622,1100,7.084038679673,11,111.43753743135396
2021-02-16,1107.3720400842622,1200,7.084038679673,12,11.43753743135396
2021-02-18,1203.366146355558,1200,3.2346420680915884,12,107.43164370264965
2021-02-18,1203.366146355558,1300,3.2346420680915884,13,7.431643702649652
2021-02-19,1307.6783105919355,1300,7.378344204059985,13,111.74380793902725
2021-02-19,1307.6783105919355,1400,7.378344204059985,14,11.74380793902725
2021-02-22,1405.5676746421493,1400,5.3501638718731215,14,109.63317198924108
2021-02-22,1405.5676746421493,1500,5.3501638718731215,15,9.633171989241077
2021-02-24,1513.299730260338,1500,12.780153460449029,15,117.36522760742974
2021-02-24,1513.299730260338,1600,12.780153460449029,16,17.365227607429745
2021-02-25,1607.679254111389,1600,7.379250863305728,16,111.74475145848058
2021-02-25,1607.679254111389,1700,7.379250863305728,17,11.744751458480579
2021-02-26,1705.627972060107,1700,5.408105667659996,17,109.69346940719852
2021-02-26,1705.627972060107,1800,5.408105667659996,18,9.69346940719852
2021-03-01,1811.4673192607106,1800,11.019328742996521,18,115.53281660780227
2021-03-01,1811.4673192607106,1900,11.019328742996521,19,15.532816607802275
2021-03-09,1914.2392787954493,1900,13.682996918715958,19,118.3047761425409
2021-03-09,1914.2392787954493,2000,13.682996918715958,20,18.304776142540902
2021-03-10,2020.626686106494,2000,19.82086919519253,20,124.69218345358551
2021-03-10,2020.626686106494,2100,19.82086919519253,21,24.692183453585514
2021-03-11,2123.341286253229,2100,22.429418825893933,21,127.40678360032067
2021-03-11,2123.341286253229,2200,22.429418825893933,22,27.406783600320665
2021-03-12,2230.1627148246575,2200,28.984356576949807,22,134.22821217174925
2021-03-12,2230.1627148246575,2300,28.984356576949807,23,34.22821217174925
2021-03-15,2328.84022884821,2300,27.71353578604257,23,132.90572619530138
2021-03-15,2328.84022884821,2400,27.71353578604257,24,32.90572619530138
2021-03-16,2424.917479158792,2400,23.944035049084604,24,128.98297650588378
2021-03-16,2424.917479158792,2500,23.944035049084604,25,28.982976505883784
2021-03-17,2528.2010495518016,2500,27.099327126398094,25,132.26654689889344
2021-03-17,2528.2010495518016,2600,27.099327126398094,26,32.26654689889344
2021-03-18,2625.3443402684447,2600,24.35422009651606,26,129.40983761553673
2021-03-18,2625.3443402684447,2700,24.35422009651606,27,29.40983761553673
2021-03-22,2723.4580636145356,2700,22.54163407906023,27,127.52356096162748
2021-03-22,2723.4580636145356,2800,22.54163407906023,28,27.52356096162748
2021-03-23,2819.4856080956883,2800,18.72436935625028,28,123.55110544278023
2021-03-23,2819.4856080956883,2900,18.72436935625028,29,23.551105442780226
2021-03-25,2921.9477842614915,2900,21.09035638227772,29,126.01328160858334
2021-03-25,2921.9477842614915,3000,21.09035638227772,30,26.01328160858334
2021-03-31,3024.994023996109,3000,24.01758953089464,30,129.05952134320046
2021-03-31,3024.994023996109,3100,24.01758953089464,31,29.05952134320046
2021-04-12,3122.952566709677,3100,22.05588527878959,31,127.0180640567683
2021-04-12,3122.952566709677,3200,22.05588527878959,32,27.018064056768296
2021-04-19,3220.800434616057,3200,19.98782992088195,32,124.86593196314854
2021-04-19,3220.800434616057,3300,19.98782992088195,33,24.86593196314854
2021-04-20,3316.6677293119405,3300,16.01657584583303,33,120.73322665903221
2021-04-20,3316.6677293119405,3400,16.01657584583303,34,20.733226659032212
2021-04-26,3419.820766994586,3400,19.046434697253375,34,123.88626434167769
2021-04-26,3419.820766994586,3500,19.046434697253375,35,23.886264341677688
2021-04-28,3517.343961162909,3500,16.666389538370737,35,121.40945851000109
2021-04-28,3517.343961162909,3600,16.666389538370737,36,21.409458510001087
2021-05-05,3614.252140896197,3600,13.695356539412629,36,118.31763824328912
2021-05-05,3614.252140896197,3700,13.695356539412629,37,18.317638243289124
2021-05-07,3717.44698707027,3700,16.76539056175268,37,121.51248441736223
2021-05-07,3717.44698707027,3800,16.76539056175268,38,21.51248441736223
2021-05-10,3816.3682933937935,3800,15.728837905996812,38,120.4337907408854
2021-05-10,3816.3682933937935,3900,15.728837905996812,39,20.4337907408854
