purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-05,100,104.39522494080504
2021-01-05,2021-01-11,100,97.71298965175069
2021-01-11,2021-01-15,100,98.80555152570241
2021-01-15,2021-01-19,100,103.12744714173844
2021-01-19,2021-01-21,100,98.43386645152104
2021-01-21,2021-01-25,100,98.04734583674848
2021-01-25,2021-01-27,100,95.41207710464201
2021-01-27,2021-02-02,100,103.56130495284235
2021-02-02,2021-02-03,100,103.20991340698716
2021-02-03,2021-02-08,100,102.19875596701866
2021-02-08,2021-02-16,100,102.4675631045058
2021-02-16,2021-02-18,100,95.99410627129569
2021-02-18,2021-02-19,100,104.3121642363776
2021-02-19,2021-02-22,100,97.88936405021383
2021-02-22,2021-02-24,100,107.73205561818867
2021-02-24,2021-02-25,100,94.37952385105083
2021-02-25,2021-02-26,100,97.94871794871794
2021-02-26,2021-03-01,100,105.83934720060375
2021-03-01,2021-03-09,100,102.77195953473863
2021-03-09,2021-03-10,100,106.38740731104461
2021-03-10,2021-03-11,100,102.71460014673515
2021-03-11,2021-03-12,100,106.82142857142858
2021-03-12,2021-03-15,100,98.67751402355213
2021-03-15,2021-03-16,100,96.0772503105824
2021-03-16,2021-03-17,100,103.28357039300965
2021-03-17,2021-03-18,100,97.14329071664328
2021-03-18,2021-03-22,100,98.11372334609075
2021-03-22,2021-03-23,100,96.02754448115274
2021-03-23,2021-03-25,100,102.46217616580311
2021-03-25,2021-03-31,100,103.0462397346171
2021-03-31,2021-04-12,100,97.95854271356784
2021-04-12,2021-04-19,100,97.84786790638024
2021-04-19,2021-04-20,100,95.86729469588367
2021-04-20,2021-04-26,100,103.15303768264548
2021-04-26,2021-04-28,100,97.5231941683234
2021-04-28,2021-05-05,100,96.90817973328804
2021-05-05,2021-05-07,100,103.1948461740731
2021-05-07,2021-05-10,100,98.92130632352317
2021-05-10,2021-05-11,100,98.26128021293951
2021-05-11,2021-05-12,100,96.46102761272283
2021-05-12,2021-05-14,100,103.48310535374581
2021-05-14,2021-05-19,100,98.22733838140675
2021-05-19,2021-05-21,100,104.63416807771144
2021-05-21,2021-05-25,100,102.52107997615197
2021-05-25,2021-05-27,100,104.13724349921077
2021-05-27,2021-05-28,100,98.53211009174314
2021-05-28,2021-06-01,100,103.12120476074811
2021-06-01,2021-06-03,100,98.26875515251443
2021-06-03,2021-06-11,100,98.78555449025248
2021-06-11,2021-06-16,100,97.97395664833387
2021-06-16,2021-06-17,100,98.7410740083378
2021-06-17,2021-06-21,100,102.53323300727364
2021-06-21,2021-06-24,100,102.15671885192432
2021-06-24,2021-06-28,100,95.76565430817736
2021-06-28,2021-06-29,100,98.2497082847141
2021-06-29,2021-07-07,100,98.31184255174755
2021-07-07,2021-07-08,100,102.15290361549745
2021-07-08,2021-07-13,100,96.3804536047641
2021-07-13,2021-07-14,100,98.3567046450482
2021-07-14,2021-07-16,100,97.01047003787036
2021-07-16,2021-07-19,100,95.06291907779921
2021-07-19,2021-07-20,100,104.9084496835596
2021-07-20,2021-07-21,100,102.4821551922634
2021-07-21,2021-07-28,100,104.0576974925856
2021-07-28,2021-07-30,100,97.80196053029321
2021-07-30,2021-08-06,100,102.14146944542566
2021-08-06,2021-08-11,100,103.52742834911166
2021-08-11,2021-08-13,100,97.89970353668211
2021-08-13,2021-08-16,100,97.69683528107139
2021-08-16,2021-08-17,100,97.01388282546057
2021-08-17,2021-08-18,100,98.5509855098551
2021-08-18,2021-08-19,100,96.87671232876713
2021-08-19,2021-08-23,100,103.41251885369533
2021-08-23,2021-08-26,100,98.67821330902461
2021-08-26,2021-08-27,100,102.42494226327945
2021-08-27,2021-08-30,100,98.15558060879368
2021-08-30,2021-09-07,100,98.42874207479557
2021-09-07,2021-09-08,100,98.66504854368931
2021-09-08,2021-09-21,100,98.64225565332576
2021-09-21,2021-09-22,100,104.06215529231211
2021-09-22,2021-09-24,100,102.03244538667158
2021-09-24,2021-09-28,100,98.65395907674241
2021-09-28,2021-09-29,100,103.18208873220091
2021-09-29,2021-09-30,100,97.59495917642882
2021-09-30,2021-10-01,100,102.75529689915433
2021-10-01,2021-10-12,100,98.92477876106194
2021-10-12,2021-10-14,100,97.25812944491659
2021-10-14,2021-10-21,100,98.57431935246504
2021-10-21,2021-10-26,100,97.8865354110292
2021-10-26,2021-10-27,100,98.47481054287212
2021-10-27,2021-11-01,100,103.85750931707081
2021-11-01,2021-11-05,100,104.60434336844067
2021-11-05,2021-11-09,100,98.36496480441949
2021-11-09,2021-11-10,100,98.96281534489788
2021-11-10,2021-11-15,100,106.67734553775743
