date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,102.12911760093277,100,2.129117600932773,1,102.12911760093277
2021-01-06,102.12911760093277,200,2.129117600932773,2,2.129117600932773
2021-01-07,201.04819531183446,200,1.048195311834462,2,101.04819531183446
2021-01-07,201.04819531183446,300,1.048195311834462,3,1.048195311834462
2021-01-26,298.97544312754786,300,-1.0245568724521519,3,98.97544312754785
2021-01-26,298.97544312754786,400,-1.0245568724521519,4,0.0
2021-01-27,395.0671658228497,400,-4.8828070420325815,4,96.09172269530185
2021-01-27,395.0671658228497,500,-4.8828070420325815,5,0.0
2021-01-28,498.5010593380807,500,-1.4284762950257175,5,103.43389351523106
2021-01-28,498.5010593380807,600,-1.4284762950257175,6,3.4338935152310626
2021-02-02,601.0494881537028,600,1.0001522992612877,6,105.98232233085311
2021-02-02,601.0494881537028,700,1.0001522992612877,7,5.982322330853108
2021-02-04,699.2718260841855,700,-0.69394286499994,7,104.20466026133575
2021-02-04,699.2718260841855,800,-0.69394286499994,8,4.204660261335746
2021-02-23,796.5838662532701,800,-3.2555431991502957,8,101.51670043042041
2021-02-23,796.5838662532701,900,-3.2555431991502957,9,1.5167004304204141
2021-02-26,895.4607543193952,900,-4.325858265623083,9,100.39358849654548
2021-02-26,895.4607543193952,1000,-4.325858265623083,10,0.3935884965454761
2021-03-04,993.2468531906812,1000,-6.43568513351876,10,98.17968736783155
2021-03-04,993.2468531906812,1100,-6.43568513351876,11,0.0
2021-03-05,1091.7012434345836,1100,-7.77378167618744,11,98.45439024390245
2021-03-05,1091.7012434345836,1200,-7.77378167618744,12,0.0
2021-03-09,1196.6278777805603,1200,-3.113722009728434,12,104.92663434597671
2021-03-09,1196.6278777805603,1300,-3.113722009728434,13,4.926634345976709
2021-03-10,1295.4227071985747,1300,-4.226542341379826,13,103.72146376399111
2021-03-10,1295.4227071985747,1400,-4.226542341379826,14,3.7214637639911103
2021-03-11,1393.4386973334908,1400,-6.058520775855726,14,101.73745389890713
2021-03-11,1393.4386973334908,1500,-6.058520775855726,15,1.737453898907134
2021-03-15,1495.6790107847585,1500,-3.989878879755622,15,103.9777673501748
2021-03-15,1495.6790107847585,1600,-3.989878879755622,16,3.977767350174801
2021-03-16,1593.9222881878663,1600,-5.611986697615066,16,102.22104475328261
2021-03-16,1593.9222881878663,1700,-5.611986697615066,17,2.2210447532826123
2021-03-18,1692.4079623523292,1700,-7.010272221440545,17,100.7067189177454
2021-03-18,1692.4079623523292,1800,-7.010272221440545,18,0.7067189177454054
2021-03-19,1790.7375041378154,1800,-8.55272595543579,18,99.03626070323172
2021-03-19,1790.7375041378154,1900,-8.55272595543579,19,0.0
2021-03-22,1894.5173058420412,1900,-5.0179104135368675,19,103.77980170422572
