purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,105.3910063837777
2021-01-06,2021-01-11,100,104.60264599001934
2021-01-11,2021-01-12,100,103.54854942034876
2021-01-12,2021-01-13,100,98.69351899443951
2021-01-13,2021-01-19,100,98.59194939729375
2021-01-19,2021-01-21,100,102.57779485209373
2021-01-21,2021-01-28,100,98.0927680611213
2021-01-28,2021-01-29,100,96.88546966124831
2021-01-29,2021-02-01,100,98.97245428751576
2021-02-01,2021-02-03,100,102.44074815102377
2021-02-03,2021-02-04,100,103.18910147406062
2021-02-04,2021-02-08,100,103.56325627383586
2021-02-08,2021-02-12,100,102.21314978314042
2021-02-12,2021-02-17,100,98.20483396048499
2021-02-17,2021-02-18,100,98.6620770868246
2021-02-18,2021-02-23,100,98.91753429185258
2021-02-23,2021-02-24,100,98.23555072907673
2021-02-24,2021-02-25,100,90.72431451841494
2021-02-25,2021-02-26,100,97.48554479862696
2021-02-26,2021-03-02,100,102.15957455900451
2021-03-02,2021-03-03,100,97.90521385495238
2021-03-03,2021-03-04,100,97.87887170800013
2021-03-04,2021-03-05,100,104.6975735168946
2021-03-05,2021-03-08,100,103.61201789384596
2021-03-08,2021-03-12,100,104.15545458111986
2021-03-12,2021-03-15,100,102.63859378018157
2021-03-15,2021-03-19,100,104.37932851550738
2021-03-19,2021-03-22,100,102.34210194183511
2021-03-22,2021-03-23,100,98.23825798950003
2021-03-23,2021-03-24,100,96.21785445285319
2021-03-24,2021-03-26,100,104.30917190091888
2021-03-26,2021-03-29,100,96.26462967926382
2021-03-29,2021-04-05,100,102.76939925196523
2021-04-05,2021-04-06,100,102.34528099121309
2021-04-06,2021-04-15,100,98.79819994705727
2021-04-15,2021-04-22,100,98.93987567876536
2021-04-22,2021-04-30,100,98.50967223621379
2021-04-30,2021-05-06,100,103.24658663978741
2021-05-06,2021-05-10,100,104.78109218712557
2021-05-10,2021-05-11,100,96.72878197526681
2021-05-11,2021-05-12,100,95.46051594598855
2021-05-12,2021-05-13,100,102.46206909204322
2021-05-13,2021-05-18,100,98.24526849182618
2021-05-18,2021-05-19,100,97.23796679363575
2021-05-19,2021-05-26,100,102.87703712033888
2021-05-26,2021-06-01,100,98.23187006385673
2021-06-01,2021-06-02,100,103.00827182017139
2021-06-02,2021-06-03,100,97.65394310406914
2021-06-03,2021-06-08,100,102.28718402566513
2021-06-08,2021-06-09,100,97.2673606417016
2021-06-09,2021-06-10,100,97.87070411311768
2021-06-10,2021-06-16,100,98.26366863905325
2021-06-16,2021-06-18,100,97.93623724600398
2021-06-18,2021-06-22,100,103.17169868862459
2021-06-22,2021-06-28,100,103.41460623802121
2021-06-28,2021-07-06,100,96.27123019897837
2021-07-06,2021-07-08,100,97.83545637391056
2021-07-08,2021-07-09,100,102.49534997552618
2021-07-09,2021-07-19,100,97.8519374588105
2021-07-19,2021-07-21,100,102.11908247925817
2021-07-21,2021-07-23,100,102.26245208896876
2021-07-23,2021-08-11,100,104.22290350319663
2021-08-11,2021-08-13,100,96.36342438971893
2021-08-13,2021-08-17,100,97.3401829671199
2021-08-17,2021-08-24,100,109.70906274798504
2021-08-24,2021-08-26,100,97.1990797225224
2021-08-26,2021-08-31,100,98.65780838130077
2021-08-31,2021-09-03,100,97.85981079091577
2021-09-03,2021-09-07,100,97.7860738099218
2021-09-07,2021-09-15,100,98.62390548728371
2021-09-15,2021-09-20,100,97.62058373214956
2021-09-20,2021-09-24,100,98.1905344354791
2021-09-24,2021-09-27,100,105.19812423902692
2021-09-27,2021-09-30,100,95.94434576672587
2021-09-30,2021-10-11,100,102.99787998526939
2021-10-11,2021-10-14,100,103.47013519128745
2021-10-14,2021-10-18,100,102.61407998206849
2021-10-18,2021-10-19,100,98.55924567455153
2021-10-19,2021-10-21,100,103.20989934435312
2021-10-21,2021-10-25,100,102.45244528747561
2021-10-25,2021-10-27,100,98.55904005868636
2021-10-27,2021-10-29,100,102.94266195273664
2021-10-29,2021-11-03,100,102.34295649778788
2021-11-03,2021-11-04,100,102.80151387720773
2021-11-04,2021-11-09,100,103.364940154298
2021-11-09,2021-11-10,100,98.73124168935605
2021-11-10,2021-11-12,100,103.34292654379875
2021-11-12,2021-11-15,100,97.58127700506552
2021-11-15,2021-11-18,100,102.46357110491044
2021-11-18,2021-11-23,100,89.22198429693077
2021-11-23,2021-11-24,100,96.43217391304348
2021-11-24,2021-11-26,100,98.36334616806586
2021-11-26,2021-11-29,100,96.66306081663336
2021-11-29,2021-11-30,100,96.32025189203543
2021-11-30,2021-12-01,100,95.6838187511077
2021-12-01,2021-12-03,100,103.54667292320106
2021-12-03,2021-12-06,100,98.84859627329192
2021-12-06,2021-12-08,100,102.17420153941433
2021-12-08,2021-12-09,100,97.6151492192189
2021-12-09,2021-12-13,100,96.68394732942696
2021-12-13,2021-12-15,100,102.24290939117309
2021-12-15,2021-12-16,100,97.78671498742185
2021-12-16,2021-12-20,100,95.55927021243758
2021-12-20,2021-12-23,100,102.4124297916037
2021-12-23,2021-12-29,100,102.83818831607505
2021-12-29,2022-01-04,100,104.24174353086966
2022-01-04,2022-01-05,100,97.96562829254715
2022-01-05,2022-01-14,100,97.12264596035077
2022-01-14,2022-01-18,100,98.60128244504479
2022-01-18,2022-01-20,100,96.20827572323846
2022-01-20,2022-01-24,100,106.82655383968186
2022-01-24,2022-01-25,100,96.69685767479068
2022-01-25,2022-01-26,100,98.86780866606114
2022-01-26,2022-01-31,100,102.43491369270981
2022-01-31,2022-02-03,100,97.80391909175601
2022-02-03,2022-02-08,100,102.43148499143797
2022-02-08,2022-02-09,100,102.77032323414879
2022-02-09,2022-02-10,100,98.29243430099821
