purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-11,100,102.55975074816546
2021-01-11,2021-01-12,100,102.32158417741253
2021-01-12,2021-01-14,100,97.9861865287403
2021-01-14,2021-01-20,100,102.14251256842365
2021-01-20,2021-01-22,100,98.27323078364252
2021-01-22,2021-01-27,100,96.95762520007784
2021-01-27,2021-01-28,100,102.12439117308504
2021-01-28,2021-01-29,100,102.17927582098892
2021-01-29,2021-02-02,100,98.64055335720118
2021-02-02,2021-02-04,100,98.70419822265026
2021-02-04,2021-02-19,100,97.26671962002604
2021-02-19,2021-02-26,100,97.27157413011217
2021-02-26,2021-03-01,100,102.02892745124778
2021-03-01,2021-03-03,100,98.2181716419469
2021-03-03,2021-03-10,100,98.77525504888347
2021-03-10,2021-03-26,100,103.02922017815396
2021-03-26,2021-04-01,100,98.56126231159139
2021-04-01,2021-04-09,100,102.62227385272868
2021-04-09,2021-04-15,100,104.0066267573921
2021-04-15,2021-04-29,100,97.50384314410896
2021-04-29,2021-04-30,100,98.96399864745399
2021-04-30,2021-05-06,100,96.79030133377243
2021-05-06,2021-05-10,100,102.41533154986963
2021-05-10,2021-05-11,100,97.79279241866762
2021-05-13,2021-05-17,100,98.77506829655181
2021-05-17,2021-06-01,100,98.9102727504461
2021-06-01,2021-06-09,100,102.40620234950497
2021-06-10,2021-06-11,100,98.87246502187692
2021-06-11,2021-06-24,100,98.8381533284257
2021-06-24,2021-06-29,100,102.94897494499133
2021-06-29,2021-06-30,100,98.49809005671952
2021-06-30,2021-07-02,100,102.16361186775735
2021-07-06,2021-07-14,100,98.65572361284512
2021-07-14,2021-07-23,100,102.06505097277719
2021-07-23,2021-08-02,100,102.01554547376294
2021-08-02,2021-08-05,100,94.90049652116392
2021-08-05,2021-08-09,100,98.13016220937311
2021-08-09,2021-08-12,100,103.17206969738464
2021-08-12,2021-08-17,100,102.99657001605082
2021-08-17,2021-08-18,100,97.96322694435719
2021-08-18,2021-09-02,100,102.74585244742596
2021-09-02,2021-09-08,100,103.36939301317032
2021-09-08,2021-09-09,100,98.96159889773898
2021-09-09,2021-09-22,100,98.7117464166292
2021-09-22,2021-09-23,100,98.83954500972658
2021-09-23,2021-09-28,100,98.38899756285274
2021-09-28,2021-09-30,100,98.43595311526036
2021-09-30,2021-10-04,100,97.85360119860603
2021-10-04,2021-10-11,100,98.04126414807045
2021-10-11,2021-10-14,100,102.90297113422523
2021-10-14,2021-10-18,100,98.25763229165793
2021-10-18,2021-10-20,100,103.54268891069675
2021-10-20,2021-10-28,100,96.6638233342811
2021-10-28,2021-11-03,100,103.50588506119524
2021-11-04,2021-11-17,100,102.36806015814857
2021-11-17,2021-11-22,100,98.17046851967979
2021-11-22,2021-11-30,100,96.67508679367371
2021-11-30,2021-12-02,100,102.02940709563097
2021-12-02,2021-12-07,100,103.47893003872954
2021-12-07,2021-12-08,100,98.43544270875665
2021-12-08,2021-12-13,100,102.94600909894065
2021-12-13,2021-12-14,100,98.07548864702721
2021-12-14,2021-12-16,100,103.73891389948602
2021-12-16,2021-12-20,100,98.1313089508764
2021-12-20,2021-12-22,100,98.1917209578818
2021-12-22,2021-12-30,100,102.1860069376268
2021-12-30,2022-01-06,100,98.60532889258951
2022-01-06,2022-01-10,100,103.7807927769929
2022-01-10,2022-01-21,100,102.10572022046887
2022-01-21,2022-01-24,100,98.23691671136312
2022-01-24,2022-01-26,100,97.66514051275652
2022-01-26,2022-01-27,100,98.93703255587367
2022-01-27,2022-02-02,100,102.18066021172947
2022-02-02,2022-02-03,100,105.4176607207748
2022-02-03,2022-02-08,100,102.18368753934234
2022-02-08,2022-02-10,100,98.35653206999223
2022-02-10,2022-02-14,100,98.88231916908371
2022-02-14,2022-02-17,100,98.9775143645659
2022-02-17,2022-02-25,100,102.46910758635399
2022-02-25,2022-03-08,100,97.2153037478718
2022-03-08,2022-03-10,100,97.52518975966963
2022-03-10,2022-03-11,100,98.75471979234874
2022-03-11,2022-03-16,100,102.46717513608374
2022-03-16,2022-03-21,100,102.61119570987402
2022-03-21,2022-03-22,100,98.98006192885735
2022-03-22,2022-03-23,100,98.90469595870577
2022-03-23,2022-03-28,100,102.35565944578167
2022-03-28,2022-04-01,100,97.89640293192139
2022-04-01,2022-04-04,100,98.40399117691214
2022-04-04,2022-04-06,100,104.776881941266
2022-04-06,2022-04-18,100,96.10212143161164
2022-04-18,2022-04-20,100,102.90250895500354
2022-04-20,2022-04-21,100,98.96892426067224
2022-04-21,2022-04-22,100,96.28172947073679
2022-04-22,2022-04-29,100,96.92183952676602
2022-04-29,2022-05-04,100,102.56886134525922
2022-05-04,2022-05-05,100,102.40608036475811
