date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-11,98.98805890938038,100,-1.0119410906196151,1,98.98805890938038
2021-01-11,98.98805890938038,200,-1.0119410906196151,2,0.0
2021-01-12,197.45938812247348,200,-2.515159940592852,2,98.4713292130931
2021-01-12,197.45938812247348,300,-2.515159940592852,3,0.0
2021-01-14,294.0413816215778,300,-5.810983832960829,3,96.58199349910433
2021-01-14,294.0413816215778,400,-5.810983832960829,4,0.0
2021-01-25,392.0132147512629,400,-7.537645706376523,4,97.97183312968515
2021-01-25,392.0132147512629,500,-7.537645706376523,5,0.0
2021-01-28,495.01479998414254,500,-4.616490808921185,5,103.00158523287963
2021-01-28,495.01479998414254,600,-4.616490808921185,6,3.001585232879634
2021-01-29,591.6949762891121,600,-7.690777803745135,6,99.68176153784924
2021-01-29,591.6949762891121,700,-7.690777803745135,7,0.0
2021-02-04,694.4999876937702,700,-5.078261485738281,7,102.80501140465807
2021-02-04,694.4999876937702,800,-5.078261485738281,8,2.8050114046580745
2021-02-08,797.4988116017399,800,-2.3093927802801915,8,105.8038353126278
2021-02-08,797.4988116017399,900,-2.3093927802801915,9,5.803835312627797
2021-02-22,895.9470143135313,900,-3.7421954657318537,9,104.25203802441914
2021-02-22,895.9470143135313,1000,-3.7421954657318537,10,4.252038024419136
2021-02-25,994.6332122554586,1000,-4.955252822683164,10,102.93823596634635
2021-02-25,994.6332122554586,1100,-4.955252822683164,11,2.9382359663463546
2021-02-26,1091.7171745394799,1100,-7.647683530018483,11,100.02219825036761
2021-02-26,1091.7171745394799,1200,-7.647683530018483,12,0.022198250367608807
2021-03-03,1189.1049309402795,1200,-10.059615598999557,12,97.40995465116715
2021-03-03,1189.1049309402795,1300,-10.059615598999557,13,0.0
2021-03-04,1287.2404856476549,1300,-11.505934808944346,13,98.13555470737536
2021-03-04,1287.2404856476549,1400,-11.505934808944346,14,0.0
2021-03-05,1391.4893843027353,1400,-7.547581014468818,14,104.24889865508042
2021-03-05,1391.4893843027353,1500,-7.547581014468818,15,4.248898655080424
2021-03-08,1489.6882900294515,1500,-9.144869086902176,15,102.44780438179663
2021-03-08,1489.6882900294515,1600,-9.144869086902176,16,2.4478043817966295
2021-03-10,1592.811054098447,1600,-6.375467243579735,16,105.57056845079191
2021-03-10,1592.811054098447,1700,-6.375467243579735,17,5.57056845079191
2021-03-18,1690.9643735933837,1700,-8.013183152228336,17,103.72388794572866
2021-03-18,1690.9643735933837,1800,-8.013183152228336,18,3.723887945728663
2021-03-19,1788.177581245269,1800,-10.484630784936812,18,100.93709559761405
2021-03-19,1788.177581245269,1900,-10.484630784936812,19,0.9370955976140465
2021-03-29,1890.6210431367886,1900,-8.317663407013953,19,103.38055748913361
2021-03-29,1890.6210431367886,2000,-8.317663407013953,20,3.380557489133608
2021-03-31,1988.5760995472556,2000,-10.131207568922179,20,101.33561389960059
2021-03-31,1988.5760995472556,2100,-10.131207568922179,21,1.3356138996005882
2021-04-05,2090.879025140092,2100,-8.088873841197568,21,103.63853949243699
2021-04-05,2090.879025140092,2200,-8.088873841197568,22,3.6385394924369905
2021-04-12,2193.5029979783876,2200,-5.76182157126992,22,106.26251233073265
2021-04-12,2193.5029979783876,2300,-5.76182157126992,23,6.262512330732648
2021-04-16,2296.0571694876317,2300,-3.4966721300767603,23,108.81668383997692
2021-04-16,2296.0571694876317,2400,-3.4966721300767603,24,8.816683839976918
2021-04-20,2398.335395630499,2400,-1.4762429397304828,24,111.0949099828444
2021-04-20,2398.335395630499,2500,-1.4762429397304828,25,11.094909982844399
2021-04-29,2501.1533253148127,2500,1.022818625494267,25,113.91283966715795
2021-04-29,2501.1533253148127,2600,1.022818625494267,26,13.912839667157954
2021-04-30,2598.8336419225716,2600,-1.0343766414103612,26,111.59315627491685
2021-04-30,2598.8336419225716,2700,-1.0343766414103612,27,11.59315627491685
2021-05-10,2700.8392624249514,2700,0.7442941110307402,27,113.59877677729664
2021-05-10,2700.8392624249514,2800,0.7442941110307402,28,13.598776777296635
2021-05-12,2798.733601146187,2800,-1.1230971160940726,28,111.4931154985324
2021-05-12,2798.733601146187,2900,-1.1230971160940726,29,11.493115498532404
2021-05-14,2901.4505231427897,2900,1.286386475785477,29,114.21003749513523
2021-05-14,2901.4505231427897,3000,1.286386475785477,30,14.210037495135225
2021-05-26,3004.171730984788,3000,3.699670940185996,30,116.93124533713386
2021-05-26,3004.171730984788,3100,3.699670940185996,31,16.93124533713386
2021-06-09,3097.935719195505,3100,-1.8306932380396006,31,110.69523354785059
2021-06-09,3097.935719195505,3200,-1.8306932380396006,32,10.695233547850592
2021-06-18,3195.04957414421,3200,-4.390251132441847,32,107.80908849655552
2021-06-18,3195.04957414421,3300,-4.390251132441847,33,7.809088496555518
2021-06-25,3297.91242536907,3300,-1.8513512078515362,33,110.67193972141561
2021-06-25,3297.91242536907,3400,-1.8513512078515362,34,10.671939721415612
2021-07-06,3396.7126020436376,3400,-2.9154062743563713,34,109.47211639598324
2021-07-06,3396.7126020436376,3500,-2.9154062743563713,35,9.472116395983235
2021-07-12,3495.4583623552953,3500,-4.02772011815577,35,108.21787670764112
2021-07-12,3495.4583623552953,3600,-4.02772011815577,36,8.217876707641125
2021-07-13,3593.8227750806227,3600,-5.478229446851401,36,106.58228943296847
2021-07-13,3593.8227750806227,3700,-5.478229446851401,37,6.582289432968466
2021-07-22,3692.6559821531346,3700,-6.51299173204734,37,105.41549650548029
2021-07-22,3692.6559821531346,3800,-6.51299173204734,38,5.4154965054802915
2021-08-04,3790.8601829089407,3800,-8.105583944339301,38,103.6196972612866
2021-08-04,3790.8601829089407,3900,-8.105583944339301,39,3.6196972612866034
2021-08-12,3888.587676539561,3900,-10.120940592895678,39,101.34719089190673
2021-08-12,3888.587676539561,4000,-10.120940592895678,40,1.3471908919067346
2021-08-16,3990.8099523416645,4000,-8.150130577556908,40,103.5694666940101
