purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-11,100,98.98805890938038
2021-01-11,2021-01-12,100,98.4713292130931
2021-01-12,2021-01-14,100,96.58199349910433
2021-01-14,2021-01-25,100,97.97183312968515
2021-01-25,2021-01-28,100,103.00158523287963
2021-01-28,2021-01-29,100,96.6801763049696
2021-01-29,2021-02-04,100,102.80501140465807
2021-02-04,2021-02-08,100,102.99882390796972
2021-02-08,2021-02-22,100,98.44820271179134
2021-02-22,2021-02-25,100,98.68619794192722
2021-02-25,2021-02-26,100,97.08396228402125
2021-02-26,2021-03-03,100,97.38775640079955
2021-03-03,2021-03-04,100,98.13555470737536
2021-03-04,2021-03-05,100,104.24889865508042
2021-03-05,2021-03-08,100,98.1989057267162
2021-03-08,2021-03-10,100,103.12276406899528
2021-03-10,2021-03-18,100,98.15331949493675
2021-03-18,2021-03-19,100,97.21320765188538
2021-03-19,2021-03-29,100,102.44346189151956
2021-03-29,2021-03-31,100,97.95505641046698
2021-03-31,2021-04-05,100,102.3029255928364
2021-04-05,2021-04-12,100,102.62397283829566
2021-04-12,2021-04-16,100,102.55417150924427
2021-04-16,2021-04-20,100,102.27822614286748
2021-04-20,2021-04-29,100,102.81792968431355
2021-04-29,2021-04-30,100,97.6803166077589
2021-04-30,2021-05-10,100,102.00562050237978
2021-05-10,2021-05-12,100,97.89433872123577
2021-05-12,2021-05-14,100,102.71692199660282
2021-05-14,2021-05-26,100,102.72120784199863
2021-05-26,2021-06-09,100,93.76398821071673
2021-06-09,2021-06-18,100,97.11385494870493
2021-06-18,2021-06-25,100,102.8628512248601
2021-06-25,2021-07-06,100,98.80017667456762
2021-07-06,2021-07-12,100,98.74576031165789
2021-07-12,2021-07-13,100,98.36441272532734
2021-07-13,2021-07-22,100,98.83320707251183
2021-07-22,2021-08-04,100,98.20420075580631
2021-08-04,2021-08-12,100,97.72749363062013
2021-08-12,2021-08-16,100,102.22227580210337
2021-08-16,2021-08-18,100,98.02490174630645
2021-08-18,2021-08-27,100,102.42500165426469
2021-08-27,2021-09-01,100,103.49052157404566
2021-09-01,2021-09-02,100,97.8724430584837
2021-09-02,2021-09-07,100,98.9706457925636
2021-09-07,2021-09-08,100,103.26401063934183
2021-09-08,2021-09-09,100,98.26136044502819
2021-09-09,2021-09-17,100,97.65364273589154
2021-09-17,2021-09-21,100,98.81999228405327
2021-09-21,2021-09-28,100,98.45723055383537
2021-09-28,2021-10-05,100,98.78855830234085
2021-10-05,2021-10-11,100,102.08027681660899
2021-10-11,2021-10-19,100,102.63883804349953
2021-10-19,2021-10-21,100,98.78569132517141
2021-10-21,2021-10-29,100,98.14923776410804
2021-10-29,2021-11-01,100,104.49358427041136
2021-11-01,2021-11-05,100,102.45260030105166
2021-11-05,2021-11-12,100,98.92728260008823
2021-11-12,2021-11-19,100,104.63128403779356
2021-11-19,2021-11-26,100,98.89574994193909
2021-11-26,2021-11-30,100,94.57071143116451
2021-11-30,2021-12-02,100,102.30629677886778
2021-12-02,2021-12-06,100,102.53457701604671
2021-12-06,2021-12-08,100,97.04196227781298
2021-12-08,2021-12-13,100,102.51183093175224
2021-12-15,2022-01-06,100,96.16550286783253
2022-01-06,2022-01-07,100,98.43997587380777
2022-01-07,2022-01-10,100,96.55129953074767
2022-01-10,2022-01-13,100,102.0374766635167
2022-01-13,2022-01-20,100,98.73355770895922
2022-01-20,2022-02-02,100,103.152420098985
2022-02-02,2022-02-04,100,98.202045173615
2022-02-04,2022-02-14,100,98.83838931348284
2022-02-14,2022-02-23,100,98.2065628860734
2022-02-23,2022-03-01,100,98.8648561447921
2022-03-01,2022-03-03,100,107.71324749983526
2022-03-03,2022-03-07,100,97.88643868560084
2022-03-07,2022-03-08,100,94.52477570984912
2022-03-08,2022-03-11,100,97.65811575608258
2022-03-11,2022-03-16,100,102.52603818234869
2022-03-16,2022-03-22,100,103.10294351180565
2022-03-22,2022-03-23,100,98.47257466328324
2022-03-23,2022-03-24,100,102.02716933445662
2022-03-24,2022-04-01,100,102.13761615499273
2022-04-01,2022-04-20,100,102.18145016874696
2022-04-20,2022-04-22,100,96.62468367317258
2022-04-22,2022-04-28,100,102.55263617370991
2022-04-28,2022-04-29,100,98.1659428383561
2022-04-29,2022-05-02,100,96.85647431728304
2022-05-02,2022-05-04,100,102.95472437906174
2022-05-04,2022-05-05,100,96.9368064520482
2022-05-05,2022-05-13,100,102.46983469987828
2022-05-13,2022-05-18,100,93.51777916312572
2022-05-18,2022-05-24,100,102.51329604790614
2022-05-24,2022-05-27,100,103.9348717399656
2022-05-27,2022-06-01,100,98.42252846886943
2022-06-01,2022-06-08,100,104.98511607002683
2022-06-08,2022-06-13,100,96.398526863339
2022-06-13,2022-06-14,100,98.56307897742568
2022-06-14,2022-06-15,100,102.96172166852604
2022-06-15,2022-06-16,100,98.43509980322604
2022-06-16,2022-06-21,100,104.01266098373834
2022-06-21,2022-06-24,100,104.10537825483
2022-06-24,2022-06-30,100,98.11212782470784
2022-06-30,2022-07-01,100,102.00975355296742
2022-07-01,2022-07-05,100,98.92416773318011
2022-07-05,2022-07-12,100,98.96884670168696
2022-07-12,2022-07-14,100,102.12641088704007
2022-07-14,2022-07-18,100,98.12749658925337
2022-07-18,2022-07-26,100,102.34981972926458
2022-07-26,2022-07-28,100,102.42093997663697
2022-07-28,2022-08-03,100,103.11100790864762
2022-08-03,2022-08-08,100,97.83914392371827
2022-08-08,2022-08-10,100,102.24892834028819
2022-08-10,2022-08-16,100,102.00189622661495
2022-08-16,2022-08-23,100,98.8508403197707
2022-08-23,2022-08-26,100,98.94214984568916
2022-08-26,2022-08-30,100,97.05599320409613
2022-08-30,2022-08-31,100,98.88459618580035
2022-08-31,2022-09-02,100,98.79954471211893
2022-09-02,2022-09-09,100,102.5683845689753
2022-09-09,2022-09-13,100,96.95152491992243
2022-09-13,2022-09-15,100,98.72267346105662
2022-09-15,2022-09-23,100,97.4833028192712
2022-09-23,2022-09-27,100,98.45392340704379
2022-09-27,2022-09-30,100,98.62218762256795
2022-09-30,2022-10-03,100,102.56876090277214
2022-10-03,2022-10-05,100,98.69652828570337
2022-10-05,2022-10-06,100,98.23407475308743
2022-10-06,2022-10-07,100,98.38380808686746
2022-10-07,2022-10-12,100,98.97115001162499
2022-10-12,2022-10-20,100,98.30906638497406
2022-10-20,2022-10-25,100,105.44427072123968
2022-10-25,2022-10-28,100,102.02036574292939
2022-10-28,2022-11-01,100,98.92906055956587
2022-11-01,2022-11-02,100,98.51731680587422
2022-11-02,2022-11-10,100,105.11738407247412
2022-11-10,2022-11-14,100,98.62541820427035
2022-11-14,2022-11-21,100,102.3083407463271
2022-11-21,2022-11-22,100,102.51169753754029
2022-11-22,2022-11-29,100,98.44966836118508
2022-11-29,2022-11-30,100,102.67148340228485
2022-11-30,2022-12-02,100,102.3292224022853
2022-12-02,2022-12-06,100,98.84579251107233
2022-12-06,2022-12-07,100,92.69517990495586
2022-12-07,2022-12-15,100,97.93467115863483
2022-12-15,2022-12-16,100,98.50433742147771
2022-12-16,2022-12-20,100,98.84603704828423
2022-12-20,2022-12-21,100,102.642089093702
2022-12-21,2022-12-28,100,98.12930260401077
2022-12-28,2023-01-05,100,97.20908952264756
2023-01-05,2023-01-10,100,102.38468779416378
2023-01-10,2023-01-13,100,102.77352129941771
2023-01-13,2023-01-19,100,98.25555389891161
2023-01-19,2023-01-25,100,103.71775417298936
2023-01-25,2023-01-26,100,98.25896122896854
2023-01-26,2023-01-30,100,98.27278141751043
2023-01-30,2023-02-08,100,98.53030303030303
2023-02-09,2023-02-13,100,102.07591014717275
2023-02-13,2023-02-21,100,98.4974958263773
2023-02-21,2023-03-01,100,98.99845916795068
2023-03-01,2023-03-02,100,102.45914396887159
2023-03-02,2023-03-06,100,102.20264317180616
2023-03-06,2023-03-07,100,98.48394768133176
2023-03-07,2023-03-08,100,95.80440688198007
2023-03-08,2023-03-09,100,98.12539382482672
2023-03-09,2023-03-10,100,98.76384652432174
2023-03-10,2023-03-24,100,102.32444733420026
2023-03-24,2023-03-31,100,102.09690230341539
2023-03-31,2023-04-04,100,97.86836782324568
2023-04-04,2023-04-27,100,103.78378378378379
2023-04-27,2023-05-02,100,98.97365196078431
2023-05-02,2023-05-09,100,98.74632409843677
2023-05-09,2023-05-16,100,98.76175548589342
2023-05-16,2023-05-22,100,102.11077606729091
2023-05-22,2023-05-23,100,97.88622940627914
2023-05-23,2023-05-24,100,98.1422673864719
