date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-06,103.96149865069684,100,3.9614986506968393,1,103.96149865069684
2021-01-06,103.96149865069684,200,3.9614986506968393,2,3.9614986506968393
2021-01-11,202.6929470841201,200,2.6929470841201066,2,102.6929470841201
2021-01-11,202.6929470841201,300,2.6929470841201066,3,2.6929470841201066
2021-01-12,301.57061616532144,300,1.570616165321411,3,101.57061616532141
2021-01-12,301.57061616532144,400,1.570616165321411,4,1.570616165321411
2021-01-15,398.05977540296226,400,-1.9402245970377976,4,98.0597754029622
2021-01-15,398.05977540296226,500,-1.9402245970377976,5,0.0
2021-01-19,500.12703568145963,500,0.12461781594237209,5,102.06726027849737
2021-01-19,500.12703568145963,600,0.12461781594237209,6,2.067260278497372
2021-01-21,597.6721573620573,600,-2.2835368934535296,6,99.61238195909505
2021-01-21,597.6721573620573,700,-2.2835368934535296,7,0.0
2021-01-22,695.6010084194334,700,-4.2989194994868285,7,97.92885105737604
2021-01-22,695.6010084194334,800,-4.2989194994868285,8,0.0
2021-01-25,793.2871436215396,800,-6.430001168430849,8,97.68613520210624
2021-01-25,793.2871436215396,900,-6.430001168430849,9,0.0
2021-01-26,891.5397458916208,900,-7.928055152393938,9,98.2526022700812
2021-01-26,891.5397458916208,1000,-7.928055152393938,10,0.0
2021-01-27,986.6450324040554,1000,-12.313236499150719,10,95.10528651243469
2021-01-27,986.6450324040554,1100,-12.313236499150719,11,0.0
2021-01-28,1094.4924840102885,1100,-4.858645462581947,11,107.847451606233
2021-01-28,1094.4924840102885,1200,-4.858645462581947,12,7.847451606232994
2021-01-29,1190.079229991312,1200,-8.751949931343788,12,103.43419758725653
2021-01-29,1190.079229991312,1300,-8.751949931343788,13,3.4341975872565342
2021-02-01,1292.4517696322166,1300,-6.658932138456649,13,105.80673722816111
2021-02-01,1292.4517696322166,1400,-6.658932138456649,14,5.806737228161111
2021-02-02,1396.2232596395515,1400,-3.3317819594027185,14,109.5782272354961
2021-02-02,1396.2232596395515,1500,-3.3317819594027185,15,9.578227235496101
2021-02-03,1494.3724029586997,1500,-4.964579109898423,15,107.7273705546442
2021-02-03,1494.3724029586997,1600,-4.964579109898423,16,7.727370554644196
2021-02-04,1597.1169400277076,1600,-2.5433909368392875,16,110.47190762365223
2021-02-04,1597.1169400277076,1700,-2.5433909368392875,17,10.471907623652228
2021-02-10,1699.9408331787345,1700,-0.05219605502985303,17,113.29580077467914
2021-02-10,1699.9408331787345,1800,-0.05219605502985303,18,13.295800774679137
2021-02-17,1804.236832730505,1800,3.7376683354604268,18,117.59180032644963
2021-02-17,1804.236832730505,1900,3.7376683354604268,19,17.59180032644963
2021-02-19,1906.8906422095472,1900,6.078818031256475,19,120.2456098054918
2021-02-19,1906.8906422095472,2000,6.078818031256475,20,20.245609805491796
2021-02-22,2009.3751061331425,2000,8.270573696037829,20,122.730073729087
2021-02-22,2009.3751061331425,2100,8.270573696037829,21,22.730073729086996
2021-02-24,2113.3529446196235,2100,11.779761313346341,21,126.70791221556796
2021-02-24,2113.3529446196235,2200,11.779761313346341,22,26.70791221556796
2021-02-25,2206.383433672212,2200,5.6313665008186575,22,119.73840126815645
