purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,103.96149865069684
2021-01-06,2021-01-11,100,98.73144843342327
2021-01-11,2021-01-12,100,98.8776690812013
2021-01-12,2021-01-15,100,96.48915923764079
2021-01-15,2021-01-19,100,102.06726027849737
2021-01-19,2021-01-21,100,97.54512168059767
2021-01-21,2021-01-22,100,97.92885105737604
2021-01-22,2021-01-25,100,97.68613520210624
2021-01-25,2021-01-26,100,98.2526022700812
2021-01-26,2021-01-27,100,95.10528651243469
2021-01-27,2021-01-28,100,107.847451606233
2021-01-28,2021-01-29,100,95.58674598102354
2021-01-29,2021-02-01,100,102.37253964090458
2021-02-01,2021-02-02,100,103.77149000733499
2021-02-02,2021-02-03,100,98.1491433191481
2021-02-03,2021-02-04,100,102.74453706900803
2021-02-04,2021-02-10,100,102.82389315102691
2021-02-10,2021-02-17,100,104.29599955177049
2021-02-17,2021-02-19,100,102.65380947904217
2021-02-19,2021-02-22,100,102.4844639235952
2021-02-22,2021-02-24,100,103.97783848648096
2021-02-24,2021-02-25,100,93.03048905258849
2021-02-25,2021-02-26,100,102.43313390814713
2021-02-26,2021-03-02,100,98.01160398709904
2021-03-02,2021-03-04,100,97.24565224059135
2021-03-04,2021-03-05,100,103.95386036452115
2021-03-05,2021-03-08,100,102.67175241645354
2021-03-08,2021-03-15,100,102.98724216249991
2021-03-15,2021-03-16,100,98.23980323836852
2021-03-16,2021-03-17,100,102.72140067429984
2021-03-17,2021-03-18,100,95.33548895514626
2021-03-18,2021-03-19,100,97.47715119623341
2021-03-19,2021-03-22,100,97.55872607901249
2021-03-22,2021-03-24,100,98.69348399786728
2021-03-24,2021-03-25,100,103.00445356444048
2021-03-25,2021-03-26,100,102.40732334028235
2021-03-26,2021-04-01,100,102.53622720601842
2021-04-01,2021-04-09,100,102.83740335619484
2021-04-09,2021-04-12,100,98.32616344089533
2021-04-12,2021-04-16,100,102.81646292106848
2021-04-16,2021-04-20,100,94.6747951067867
2021-04-20,2021-04-23,100,102.15053304904052
2021-04-23,2021-04-26,100,102.62249366502047
2021-04-26,2021-05-04,100,96.93643852333977
2021-05-04,2021-05-05,100,98.11073715662165
2021-05-05,2021-05-06,100,97.49478168628524
2021-05-06,2021-05-07,100,102.09401803145634
2021-05-07,2021-05-10,100,97.25063169293708
2021-05-10,2021-05-12,100,95.98559498033671
2021-05-12,2021-05-14,100,105.074461963402
2021-05-14,2021-05-17,100,97.40063439767272
2021-05-17,2021-05-19,100,102.10781998515621
2021-05-19,2021-05-24,100,103.45681296558165
2021-05-24,2021-06-02,100,98.69873279738384
2021-06-02,2021-06-17,100,98.96804031200386
2021-06-17,2021-06-18,100,97.75980819529208
2021-06-18,2021-06-28,100,98.30287031628326
2021-06-28,2021-06-29,100,98.532126737883
2021-06-29,2021-07-02,100,103.07063378433745
2021-07-02,2021-07-07,100,96.77876090384075
2021-07-07,2021-07-16,100,98.98235622608767
2021-07-16,2021-07-19,100,96.40186131522998
2021-07-19,2021-07-20,100,103.04128074290826
2021-07-20,2021-07-21,100,102.98531282417167
2021-07-21,2021-07-27,100,102.37736038249248
2021-07-27,2021-07-29,100,98.58204337121973
2021-07-29,2021-07-30,100,98.37062059123713
2021-07-30,2021-08-03,100,98.21095736964365
2021-08-03,2021-08-04,100,97.49215861337173
2021-08-04,2021-08-05,100,105.85287969160547
2021-08-05,2021-08-06,100,98.87983476090609
2021-08-06,2021-08-09,100,98.84561471016684
2021-08-09,2021-08-13,100,102.11513685361805
2021-08-13,2021-08-16,100,96.7082989171379
2021-08-16,2021-08-18,100,97.90791641051392
2021-08-18,2021-08-23,100,102.44498660314146
2021-08-23,2021-08-24,100,104.48178092190219
2021-08-24,2021-08-27,100,103.24032403240322
2021-08-27,2021-08-30,100,98.79590712522827
2021-08-30,2021-09-07,100,102.6719819467799
2021-09-07,2021-09-10,100,98.55595513497565
2021-09-10,2021-09-15,100,103.08790350572717
2021-09-15,2021-09-16,100,98.69653236362413
2021-09-16,2021-09-22,100,102.60597014925375
2021-09-22,2021-09-23,100,102.88432365935056
2021-09-23,2021-09-28,100,98.27267916510132
2021-09-28,2021-09-29,100,97.74206145308808
2021-09-29,2021-10-01,100,103.2824183495807
2021-10-01,2021-10-15,100,103.3580767711646
2021-10-15,2021-10-18,100,98.57347715436072
2021-10-18,2021-10-19,100,98.4401290100834
2021-10-19,2021-10-20,100,96.79590759611871
2021-10-20,2021-10-26,100,102.46835389945392
2021-10-26,2021-11-05,100,107.20171262735208
2021-11-05,2021-11-10,100,98.12178070004622
2021-11-10,2021-11-11,100,96.46895843223933
2021-11-11,2021-11-12,100,98.89513682715891
2021-11-12,2021-11-15,100,98.09760773356719
2021-11-15,2021-11-16,100,98.97380884071167
2021-11-16,2021-11-19,100,98.30527699940764
2021-11-19,2021-11-22,100,98.16836824088993
2021-11-22,2021-11-26,100,93.83709237178566
2021-11-26,2021-11-30,100,97.50830410658948
2021-11-30,2021-12-01,100,98.34241263648693
2021-12-01,2021-12-02,100,105.0759309340545
2021-12-02,2021-12-03,100,97.35304544805773
2021-12-03,2021-12-06,100,105.33663759671592
2021-12-06,2021-12-08,100,103.58823318127939
2021-12-08,2021-12-09,100,98.28406726768378
2021-12-09,2021-12-10,100,98.62189706342801
2021-12-10,2021-12-13,100,96.11645709993026
2021-12-13,2021-12-14,100,98.85648357067423
2021-12-14,2021-12-17,100,104.02507376713588
2021-12-17,2021-12-21,100,107.02523456656081
2021-12-21,2022-01-03,100,104.04396068899926
2022-01-03,2022-01-05,100,98.04503091711288
2022-01-05,2022-01-11,100,102.32544648406746
2022-01-11,2022-01-12,100,98.6506953049704
2022-01-12,2022-01-18,100,97.86995607733672
2022-01-18,2022-01-20,100,102.07322341572261
2022-01-20,2022-01-21,100,96.3930573133249
2022-01-21,2022-01-28,100,102.85950568235103
2022-01-28,2022-02-01,100,102.1840576226512
2022-02-01,2022-02-02,100,98.9998539932837
2022-02-02,2022-02-08,100,104.11310211472443
2022-02-08,2022-02-09,100,103.36824874674389
2022-02-09,2022-02-11,100,96.30868906501003
2022-02-11,2022-02-15,100,104.15611005490095
2022-02-15,2022-02-16,100,102.58428330727547
2022-02-16,2022-02-17,100,97.06613496297062
2022-02-17,2022-02-22,100,95.97057870767355
2022-02-22,2022-02-23,100,98.07840458736727
2022-02-23,2022-02-24,100,92.92137515537507
2022-02-24,2022-02-28,100,94.65141612200436
2022-02-28,2022-03-01,100,95.38496950166878
2022-03-01,2022-03-02,100,104.4169884169884
2022-03-02,2022-03-03,100,97.15925898535718
2022-03-03,2022-03-04,100,94.43307993111519
2022-03-04,2022-03-07,100,91.54273969290291
2022-03-07,2022-03-08,100,104.53289748838847
2022-03-08,2022-03-09,100,107.15650713597576
2022-03-09,2022-03-14,100,98.25494848855547
2022-03-14,2022-03-15,100,104.01160029000724
2022-03-15,2022-03-16,100,105.87737599630802
2022-03-16,2022-03-17,100,98.12480703220065
2022-03-17,2022-03-24,100,104.66651859666658
2022-03-24,2022-03-29,100,104.85988001715305
2022-03-29,2022-03-30,100,98.14791392627069
2022-03-30,2022-04-04,100,102.01804990571266
2022-04-04,2022-04-05,100,96.75911695726683
2022-04-05,2022-04-06,100,96.69886858137511
2022-04-06,2022-04-08,100,97.53750888782886
2022-04-08,2022-04-13,100,104.27651308929511
2022-04-13,2022-04-14,100,98.54785829008323
2022-04-14,2022-04-18,100,98.74376484427263
2022-04-18,2022-04-20,100,102.38665763353052
2022-04-20,2022-04-22,100,98.31556976640908
2022-04-22,2022-04-26,100,97.56489766788475
2022-04-26,2022-04-27,100,104.58295523991184
2022-04-27,2022-04-28,100,102.60519267801413
2022-04-28,2022-04-29,100,95.3624126326689
2022-04-29,2022-05-03,100,95.27758549705698
2022-05-03,2022-05-05,100,103.13305760400394
2022-05-05,2022-05-09,100,93.17006689964134
2022-05-09,2022-05-11,100,102.40070766022427
2022-05-11,2022-05-16,100,98.73850831262216
2022-05-16,2022-05-17,100,104.91590950190862
2022-05-17,2022-05-18,100,95.5180076307073
2022-05-18,2022-05-19,100,102.58586213287293
2022-05-19,2022-05-24,100,97.4641057335742
2022-05-24,2022-05-25,100,104.73937348175176
2022-05-25,2022-05-26,100,103.4598224681216
2022-05-26,2022-05-27,100,102.00179157419953
2022-05-27,2022-06-01,100,98.79036884703308
2022-06-01,2022-06-02,100,105.97658326520948
2022-06-02,2022-06-03,100,98.46186919354565
2022-06-03,2022-06-09,100,97.51570078814319
2022-06-09,2022-06-10,100,92.41035366838759
2022-06-10,2022-06-13,100,94.0312404986318
2022-06-13,2022-06-14,100,98.5949720105895
2022-06-14,2022-06-16,100,94.6057155740939
2022-06-16,2022-06-17,100,103.28397174798509
2022-06-17,2022-06-23,100,96.23414286238705
2022-06-23,2022-06-24,100,105.23089163297112
2022-06-24,2022-06-27,100,98.19735377126435
2022-06-27,2022-06-28,100,96.95080791460997
2022-06-28,2022-06-29,100,98.47205752765962
2022-06-29,2022-06-30,100,96.61166748603847
2022-06-30,2022-07-05,100,102.22814309973185
2022-07-05,2022-07-06,100,97.92500950804268
2022-07-06,2022-07-07,100,102.0024445129822
2022-07-07,2022-07-11,100,96.5636758645404
2022-07-11,2022-07-14,100,97.06358180394886
2022-07-14,2022-07-18,100,103.87595509913913
2022-07-18,2022-07-19,100,105.5216558641354
2022-07-19,2022-07-22,100,98.64181382166994
