purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-06,100,102.78684408737134
2021-01-06,2021-01-07,100,103.54176844162188
2021-01-07,2021-01-08,100,94.76291578202407
2021-01-08,2021-01-11,100,98.65571321882001
2021-01-11,2021-01-13,100,97.40095886954327
2021-01-13,2021-01-14,100,104.27461139896373
2021-01-14,2021-01-20,100,103.03105590062111
2021-01-20,2021-01-21,100,102.724861345551
2021-01-21,2021-01-25,100,98.42723004694835
2021-01-25,2021-01-26,100,96.25566420224183
2021-01-26,2021-01-27,100,94.00396432111
2021-01-27,2021-01-28,100,102.50395361096469
2021-01-28,2021-01-29,100,98.35433273335047
2021-01-29,2021-02-01,100,103.05882352941175
2021-02-01,2021-02-03,100,102.4099441907661
2021-02-03,2021-02-04,100,102.92296259598712
2021-02-04,2021-02-05,100,102.50300842358607
2021-02-05,2021-02-09,100,102.1131721061282
2021-02-09,2021-02-10,100,98.1604966659002
2021-02-10,2021-02-16,100,97.70438041695948
2021-02-16,2021-02-17,100,98.82522176935986
2021-02-17,2021-02-18,100,97.16157205240175
2021-02-18,2021-02-19,100,102.14731585518102
2021-02-19,2021-02-23,100,102.00439990222438
2021-02-23,2021-02-25,100,97.31607955907022
2021-02-25,2021-02-26,100,106.53779857178036
2021-02-26,2021-03-01,100,103.64035594591472
2021-03-01,2021-03-02,100,97.47992863514719
2021-03-02,2021-03-03,100,98.9476092427362
2021-03-03,2021-03-04,100,97.84971098265896
2021-03-04,2021-03-05,100,102.83553875236295
2021-03-05,2021-03-09,100,102.98713235294117
2021-03-09,2021-03-10,100,105.04239178937974
2021-03-10,2021-03-16,100,97.28122344944775
2021-03-16,2021-03-17,100,103.7117903930131
2021-03-17,2021-03-18,100,96.16842105263159
2021-03-18,2021-03-22,100,98.22679509632223
2021-03-22,2021-03-23,100,94.22776911076444
2021-03-23,2021-03-25,100,104.18637653736991
2021-03-25,2021-03-26,100,105.83427922814982
2021-03-26,2021-03-29,100,96.01029601029602
2021-03-29,2021-03-30,100,102.5692582663092
2021-03-30,2021-04-01,100,103.18013504683077
2021-04-01,2021-04-09,100,102.58602491028077
2021-04-09,2021-04-14,100,98.40518571869535
2021-04-14,2021-04-16,100,104.16143872856544
2021-04-16,2021-04-20,100,95.7839791206585
2021-04-20,2021-04-23,100,102.2217564451897
2021-04-23,2021-04-27,100,102.44002460529013
2021-04-27,2021-04-28,100,98.1785428342674
2021-04-28,2021-05-06,100,106.01427115188584
2021-05-06,2021-05-11,100,96.92307692307692
2021-05-11,2021-05-12,100,92.53968253968254
2021-05-12,2021-05-13,100,102.8301886792453
2021-05-13,2021-05-18,100,95.60050041701417
2021-05-18,2021-05-19,100,97.31733914940021
2021-05-19,2021-05-21,100,98.52084267144778
2021-05-21,2021-05-25,100,102.04731574158326
2021-05-25,2021-06-02,100,95.58626839054838
2021-06-02,2021-06-03,100,98.53078358208954
2021-06-03,2021-06-09,100,103.57396449704142
2021-06-09,2021-06-10,100,97.53199268738575
2021-06-10,2021-06-11,100,102.7647610121837
2021-06-11,2021-06-14,100,97.1500227998176
2021-06-14,2021-06-21,100,102.98052100445905
2021-06-21,2021-06-24,100,102.18778486782134
2021-06-24,2021-06-29,100,94.93755575379124
2021-06-29,2021-07-01,100,102.6074700493305
2021-07-01,2021-07-06,100,96.54304029304029
2021-07-06,2021-07-12,100,103.74673938819066
2021-07-12,2021-07-13,100,96.75428571428571
2021-07-13,2021-07-15,100,98.84242853768015
2021-07-15,2021-07-16,100,97.94455066921604
2021-07-16,2021-07-19,100,98.75549048316252
2021-07-19,2021-07-20,100,103.75586854460094
2021-07-20,2021-07-21,100,107.02548225768038
2021-07-21,2021-07-26,100,97.93057409879839
2021-07-26,2021-07-29,100,102.11315610088616
2021-07-29,2021-08-02,100,98.90965732087228
2021-08-02,2021-08-03,100,103.17210348706412
2021-08-03,2021-08-05,100,103.20540776275622
2021-08-05,2021-08-10,100,103.08472427635749
2021-08-10,2021-08-11,100,102.97192047550728
2021-08-11,2021-08-12,100,103.30414012738854
2021-08-12,2021-08-17,100,95.76107899807323
2021-08-17,2021-08-19,100,97.44466800804828
2021-08-19,2021-08-23,100,103.59281437125749
2021-08-23,2021-08-25,100,104.42495515248156
2021-08-25,2021-08-26,100,98.77839282305784
2021-08-26,2021-08-27,100,102.89855072463767
2021-08-27,2021-09-02,100,102.55399061032864
2021-09-02,2021-09-10,100,97.91247024354513
2021-09-10,2021-09-14,100,97.83055919207033
2021-09-14,2021-09-22,100,103.15427260562033
2021-09-22,2021-09-30,100,95.88584136397331
2021-09-30,2021-10-01,100,102.35794356397372
2021-10-01,2021-10-07,100,103.37990936555892
2021-10-07,2021-10-13,100,103.05022831050228
2021-10-13,2021-10-18,100,102.48138957816377
