date,earnings,expenses,roi,number_of_investments,wallet
2021-01-04,0.0,100,0.0,1,0.0
2021-01-11,98.64284537732075,100,-1.3571546226792464,1,98.64284537732075
2021-01-11,98.64284537732075,200,-1.3571546226792464,2,0.0
2021-01-12,200.73145410460648,200,0.7216600617188362,2,102.08860872728573
2021-01-12,200.73145410460648,300,0.7216600617188362,3,2.088608727285731
2021-01-14,304.1099398438613,300,4.0549084661672765,3,105.46709446654052
2021-01-14,304.1099398438613,400,4.0549084661672765,4,5.467094466540516
2021-01-19,402.77782406608173,400,2.7406294863176583,4,104.13497868876098
2021-01-19,402.77782406608173,500,2.7406294863176583,5,4.134978688760981
2021-01-21,501.3738888782451,500,1.3554927457856394,5,102.73104350092439
2021-01-21,501.3738888782451,600,1.3554927457856394,6,2.731043500924386
2021-01-27,598.915330509121,600,-1.0701459555735369,6,100.27248513180024
2021-01-27,598.915330509121,700,-1.0701459555735369,7,0.2724851318002379
2021-01-28,701.3696375458254,700,1.3512983379655736,7,102.7267921685047
2021-01-28,701.3696375458254,800,1.3512983379655736,8,2.7267921685047014
2021-02-01,799.5303684175776,800,-0.46334329744223623,8,100.8875230402569
2021-02-01,799.5303684175776,900,-0.46334329744223623,9,0.8875230402568945
2021-02-04,901.9557276324623,900,1.9295407805624194,9,103.31288225514156
2021-02-04,901.9557276324623,1000,1.9295407805624194,10,3.3128822551415595
2021-02-08,1005.1264161932173,1000,5.057774374489313,10,106.48357081589663
2021-02-08,1005.1264161932173,1100,5.057774374489313,11,6.483570815896627
2021-02-12,1103.8163392472095,1100,3.7652391302978288,11,105.17349386988884
2021-02-12,1103.8163392472095,1200,3.7652391302978288,12,5.173493869888844
2021-02-16,1202.3502197682947,1200,2.318750735499407,12,103.7073743909739
2021-02-16,1202.3502197682947,1300,2.318750735499407,13,3.7073743909738965
2021-02-18,1301.21689573143,1300,1.2006017098250794,13,102.57405035410918
2021-02-18,1301.21689573143,1400,1.2006017098250794,14,2.5740503541091755
2021-02-22,1406.4432738103899,1400,6.356999497841144,14,107.80042843306904
2021-02-22,1406.4432738103899,1500,6.356999497841144,15,7.800428433069044
2021-02-23,1511.2964112901038,1500,11.145154313138278,15,112.65356591278301
2021-02-23,1511.2964112901038,1600,11.145154313138278,16,12.653565912783009
2021-02-24,1614.8045066917043,1600,14.606276929158952,16,116.16166131438361
2021-02-24,1614.8045066917043,1700,14.606276929158952,17,16.161661314383608
2021-02-25,1712.9194975565345,1700,12.74650773754422,17,114.27665217921371
2021-02-25,1712.9194975565345,1800,12.74650773754422,18,14.276652179213713
2021-02-26,1809.4286698737592,1800,9.302421628605401,18,110.78582449643837
2021-02-26,1809.4286698737592,1900,9.302421628605401,19,10.785824496438366
2021-03-01,1911.6109345136342,1900,11.455466125561742,19,112.96808913631351
2021-03-01,1911.6109345136342,2000,11.455466125561742,20,12.968089136313509
2021-03-03,2014.8191172150607,2000,14.620691820155855,20,116.17627183774005
2021-03-03,2014.8191172150607,2100,14.620691820155855,21,16.176271837740046
2021-03-04,2111.3523058168375,2100,11.200300421907585,21,112.7094604395167
2021-03-04,2111.3523058168375,2200,11.200300421907585,22,12.709460439516704
2021-03-08,2218.169537100819,2200,17.926250167991114,22,119.5266917234983
2021-03-08,2218.169537100819,2300,17.926250167991114,23,19.526691723498303
2021-03-09,2316.2818057684835,2300,16.063795228956067,23,117.63896039116283
2021-03-09,2316.2818057684835,2400,16.063795228956067,24,17.638960391162826
2021-03-12,2418.945411840907,2400,18.691736080630037,24,120.30256646358656
2021-03-12,2418.945411840907,2500,18.691736080630037,25,20.302566463586558
2021-03-15,2517.533218759177,2500,17.298452017963513,25,118.8903733818565
2021-03-15,2517.533218759177,2600,17.298452017963513,26,18.890373381856506
2021-03-18,2616.2757821450823,2600,16.05785226082186,26,117.63293676776186
2021-03-18,2616.2757821450823,2700,16.05785226082186,27,17.632936767761862
2021-03-19,2715.0318514250985,2700,14.83057755622464,27,116.38900604777821
2021-03-19,2715.0318514250985,2800,14.83057755622464,28,16.38900604777821
2021-03-22,2813.17536282547,2800,12.998947015154542,28,114.53251744814959
2021-03-22,2813.17536282547,2900,12.998947015154542,29,14.53251744814959
2021-03-25,2915.3420110655966,2900,15.136584213231075,29,116.69916568827593
2021-03-25,2915.3420110655966,3000,15.136584213231075,30,16.699165688275926
2021-03-26,3017.645655141612,3000,17.409382896847816,30,119.00280976429157
2021-03-26,3017.645655141612,3100,17.409382896847816,31,19.00280976429157
2021-03-29,3113.9066071424104,3100,13.720400098227458,31,115.2637617650899
2021-03-29,3113.9066071424104,3200,13.720400098227458,32,15.263761765089896
2021-04-01,3216.018606445771,3200,15.804120099270193,32,117.37576106845046
2021-04-01,3216.018606445771,3300,15.804120099270193,33,17.37576106845046
