purchase_date,selling_date,purchase_price,selling_price
2021-01-04,2021-01-11,100,98.64284537732075
2021-01-11,2021-01-12,100,102.08860872728573
2021-01-12,2021-01-14,100,103.37848573925478
2021-01-14,2021-01-19,100,98.66788422222047
2021-01-19,2021-01-21,100,98.5960648121634
2021-01-21,2021-01-27,100,97.54144163087585
2021-01-27,2021-01-28,100,102.45430703670446
2021-01-28,2021-02-01,100,98.1607308717522
2021-02-01,2021-02-04,100,102.42535921488466
2021-02-04,2021-02-08,100,103.17068856075507
2021-02-08,2021-02-12,100,98.68992305399222
2021-02-12,2021-02-16,100,98.53388052108505
2021-02-16,2021-02-18,100,98.86667596313528
2021-02-18,2021-02-22,100,105.22637807895987
2021-02-22,2021-02-23,100,104.85313747971396
2021-02-23,2021-02-24,100,103.5080954016006
2021-02-24,2021-02-25,100,98.1149908648301
2021-02-25,2021-02-26,100,96.50917231722465
2021-02-26,2021-03-01,100,102.18226463987514
2021-03-01,2021-03-03,100,103.20818270142654
2021-03-03,2021-03-04,100,96.53318860177666
2021-03-04,2021-03-08,100,106.8172312839816
2021-03-08,2021-03-09,100,98.11226866766452
2021-03-09,2021-03-12,100,102.66360607242373
2021-03-12,2021-03-15,100,98.58780691826995
2021-03-15,2021-03-18,100,98.74256338590536
2021-03-18,2021-03-19,100,98.75606928001635
2021-03-19,2021-03-22,100,98.14351140037138
2021-03-22,2021-03-25,100,102.16664824012634
2021-03-25,2021-03-26,100,102.30364407601564
2021-03-26,2021-03-29,100,96.26095200079833
2021-03-29,2021-04-01,100,102.11199930336056
2021-04-01,2021-04-21,100,103.02394711087469
2021-04-21,2021-04-22,100,98.70022369160122
2021-04-22,2021-04-29,100,103.21785143769968
2021-04-29,2021-05-03,100,98.77252546356752
2021-05-03,2021-05-05,100,98.24999510351175
2021-05-05,2021-05-12,100,97.76072243762896
2021-05-12,2021-05-13,100,102.13049702081149
2021-05-13,2021-05-14,100,102.05750224618149
2021-05-14,2021-05-18,100,103.88825307392085
2021-05-18,2021-05-19,100,97.36078940926124
2021-05-19,2021-05-21,100,102.41772482423141
2021-05-21,2021-05-24,100,102.58160769761007
2021-05-24,2021-05-28,100,102.23956847114701
2021-05-28,2021-06-01,100,102.08337084721349
2021-06-01,2021-06-07,100,102.61853524306781
2021-06-07,2021-06-16,100,98.33781681606834
2021-06-16,2021-06-17,100,98.48102150866552
2021-06-17,2021-06-18,100,98.31826128628607
2021-06-18,2021-06-21,100,102.02733197335402
2021-06-21,2021-06-22,100,98.43584117771958
2021-06-22,2021-06-29,100,97.47267759562843
2021-06-29,2021-07-06,100,102.15210415667761
2021-07-06,2021-07-07,100,98.37795389309119
2021-07-07,2021-07-09,100,102.43694317775187
2021-07-09,2021-07-19,100,94.48967710152716
2021-07-19,2021-07-20,100,104.80411022532302
2021-07-20,2021-07-22,100,98.68398440679805
2021-07-22,2021-07-28,100,103.05299433578354
2021-07-28,2021-08-02,100,98.58409598263917
2021-08-02,2021-08-04,100,98.58992286526231
2021-08-04,2021-08-06,100,102.79734997529329
2021-08-06,2021-08-10,100,98.60867552675384
2021-08-10,2021-08-18,100,97.4254351122987
2021-08-18,2021-08-26,100,98.86030910640821
2021-08-26,2021-09-01,100,103.11170262620205
2021-09-01,2021-09-03,100,98.62472049011944
2021-09-03,2021-09-09,100,97.82213988811162
2021-09-09,2021-09-10,100,97.0453560459025
2021-09-10,2021-09-13,100,102.34267295780666
2021-09-13,2021-09-20,100,98.98022103116254
2021-09-20,2021-09-23,100,102.67778416714586
2021-09-23,2021-09-30,100,97.21096944014039
2021-09-30,2021-10-01,100,103.1964741804774
2021-10-01,2021-10-11,100,102.5633868341475
2021-10-11,2021-10-20,100,103.80930781094075
2021-10-20,2021-10-21,100,98.216361237099
2021-10-21,2021-10-27,100,98.53987970245933
2021-10-27,2021-10-29,100,98.63382303809584
2021-10-29,2021-11-03,100,103.01279821301061
2021-11-03,2021-11-04,100,97.99422350588758
2021-11-04,2021-11-08,100,103.25116987702687
2021-11-08,2021-11-17,100,98.97938569910323
2021-11-17,2021-11-26,100,95.25072987195074
2021-11-26,2021-11-29,100,98.79913172285934
2021-11-29,2021-11-30,100,97.74351720886374
2021-11-30,2021-12-01,100,97.64511803351438
2021-12-01,2021-12-02,100,104.92017072399622
